	Syncephalastrum_racemosum_CBS_440.59_Plus.aa	Syncephalastrum_racemosum_CBS_441.59-.aa
OG0000010	GBNXA_003522-T1, GBNXA_007393-T1, GBNXA_007748-T1, GBNXA_009599-T1	GBNXB_001544-T1, GBNXB_004189-T1, GBNXB_004913-T1, GBNXB_006979-T1, GBNXB_007759-T1, GBNXB_010917-T1, GBNXB_011696-T1, GBNXB_015723-T1, GBNXB_018338-T1
OG0000011	GBNXA_000080-T1, GBNXA_000301-T1, GBNXA_005544-T1, GBNXA_006937-T1	GBNXB_002365-T1, GBNXB_005700-T1, GBNXB_006887-T1, GBNXB_007598-T1, GBNXB_009113-T1, GBNXB_009977-T1, GBNXB_017691-T1, GBNXB_018792-T1
OG0000012	GBNXA_000085-T1, GBNXA_000222-T1, GBNXA_002697-T1, GBNXA_007997-T1, GBNXA_009481-T1	GBNXB_000019-T1, GBNXB_004092-T1, GBNXB_009227-T1, GBNXB_011239-T1, GBNXB_012422-T1, GBNXB_015585-T1, GBNXB_020248-T1
OG0000013	GBNXA_000184-T1, GBNXA_001423-T1, GBNXA_003624-T1, GBNXA_009059-T1	GBNXB_000336-T1, GBNXB_002385-T1, GBNXB_007000-T1, GBNXB_009999-T1, GBNXB_012478-T1, GBNXB_014913-T1, GBNXB_017263-T1, GBNXB_017550-T1
OG0000014	GBNXA_000344-T1, GBNXA_001242-T1, GBNXA_008498-T1, GBNXA_008534-T1	GBNXB_001738-T1, GBNXB_002293-T1, GBNXB_004361-T1, GBNXB_007735-T1, GBNXB_013192-T1, GBNXB_013448-T1, GBNXB_016314-T1, GBNXB_018650-T1
OG0000015	GBNXA_000836-T1, GBNXA_004634-T1, GBNXA_009111-T1, GBNXA_009236-T1	GBNXB_000549-T1, GBNXB_001978-T1, GBNXB_005304-T1, GBNXB_010625-T1, GBNXB_014841-T1, GBNXB_016108-T1, GBNXB_017651-T1, GBNXB_018527-T1
OG0000016	GBNXA_000952-T1, GBNXA_001710-T1, GBNXA_003790-T1, GBNXA_004400-T1, GBNXA_006523-T1, GBNXA_006525-T1	GBNXB_002795-T1, GBNXB_009021-T1, GBNXB_009469-T1, GBNXB_010021-T1, GBNXB_010025-T1, GBNXB_020002-T1
OG0000017	GBNXA_000120-T1, GBNXA_000138-T1, GBNXA_006010-T1, GBNXA_008511-T1, GBNXA_008826-T1, GBNXA_009516-T1	GBNXB_000435-T1, GBNXB_003599-T1, GBNXB_003884-T1, GBNXB_008801-T1, GBNXB_013822-T1
OG0000018	GBNXA_000947-T1, GBNXA_001408-T1, GBNXA_007829-T1, GBNXA_007834-T1, GBNXA_009804-T1	GBNXB_001952-T1, GBNXB_002790-T1, GBNXB_007968-T1, GBNXB_008313-T1, GBNXB_008533-T1, GBNXB_014238-T1
OG0000019	GBNXA_001527-T1, GBNXA_005641-T1, GBNXA_006360-T1, GBNXA_006789-T1	GBNXB_000557-T1, GBNXB_003997-T1, GBNXB_004302-T1, GBNXB_005585-T1, GBNXB_015214-T1, GBNXB_016031-T1, GBNXB_020506-T1
OG0000020	GBNXA_001618-T1, GBNXA_001796-T1, GBNXA_005833-T1, GBNXA_005954-T1	GBNXB_000922-T1, GBNXB_006687-T1, GBNXB_008291-T1, GBNXB_009440-T1, GBNXB_009582-T1, GBNXB_012262-T1, GBNXB_013273-T1
OG0000021	GBNXA_002155-T1, GBNXA_005719-T1, GBNXA_008841-T1, GBNXA_008896-T1	GBNXB_012191-T1, GBNXB_012325-T1, GBNXB_012646-T1, GBNXB_013866-T1, GBNXB_014147-T1, GBNXB_020164-T1, GBNXB_021470-T1
OG0000022	GBNXA_002451-T1, GBNXA_005614-T1, GBNXA_005615-T1, GBNXA_005867-T1, GBNXA_006170-T1	GBNXB_000866-T1, GBNXB_004613-T1, GBNXB_008582-T1, GBNXB_018562-T1, GBNXB_021797-T1, GBNXB_021978-T1
OG0000023	GBNXA_003018-T1, GBNXA_006391-T1, GBNXA_007437-T1, GBNXA_007903-T1, GBNXA_007953-T1	GBNXB_000915-T1, GBNXB_001929-T1, GBNXB_002951-T1, GBNXB_005023-T1, GBNXB_011775-T1, GBNXB_015543-T1
OG0000024	GBNXA_006023-T1, GBNXA_006505-T1, GBNXA_009583-T1, GBNXA_009595-T1	GBNXB_001578-T1, GBNXB_003615-T1, GBNXB_007377-T1, GBNXB_012670-T1, GBNXB_016910-T1, GBNXB_017193-T1, GBNXB_017207-T1
OG0000025	GBNXA_006182-T1, GBNXA_006403-T1, GBNXA_007084-T1, GBNXA_007359-T1	GBNXB_001151-T1, GBNXB_006168-T1, GBNXB_011890-T1, GBNXB_014294-T1, GBNXB_015927-T1, GBNXB_017053-T1, GBNXB_020222-T1
OG0000026	GBNXA_001183-T1, GBNXA_006948-T1, GBNXA_009289-T1, GBNXA_009449-T1	GBNXB_000224-T1, GBNXB_001217-T1, GBNXB_001254-T1, GBNXB_007997-T1, GBNXB_015338-T1, GBNXB_017228-T1
OG0000027	GBNXA_001574-T1, GBNXA_005064-T1, GBNXA_008618-T1, GBNXA_009471-T1	GBNXB_000354-T1, GBNXB_011945-T1, GBNXB_014015-T1, GBNXB_014331-T1, GBNXB_015068-T1, GBNXB_018401-T1
OG0000028	GBNXA_003748-T1, GBNXA_005952-T1, GBNXA_008575-T1	GBNXB_000920-T1, GBNXB_004975-T1, GBNXB_005809-T1, GBNXB_007464-T1, GBNXB_012260-T1, GBNXB_014100-T1, GBNXB_021100-T1
OG0000029	GBNXA_005426-T1, GBNXA_005427-T1, GBNXA_005449-T1, GBNXA_007656-T1, GBNXA_007676-T1	GBNXB_000076-T1, GBNXB_000104-T1, GBNXB_000105-T1, GBNXB_001826-T1, GBNXB_014050-T1
OG0000030	GBNXA_000279-T1, GBNXA_005313-T1, GBNXA_006890-T1, GBNXA_008075-T1	GBNXB_000734-T1, GBNXB_004242-T1, GBNXB_015132-T1, GBNXB_020422-T1, GBNXB_020751-T1
OG0000031	GBNXA_001037-T1, GBNXA_005972-T1, GBNXA_008397-T1	GBNXB_002381-T1, GBNXB_007772-T1, GBNXB_011788-T1, GBNXB_015532-T1, GBNXB_017186-T1, GBNXB_017187-T1
OG0000032	GBNXA_001074-T1, GBNXA_008390-T1, GBNXA_008797-T1	GBNXB_001745-T1, GBNXB_005257-T1, GBNXB_007786-T1, GBNXB_014703-T1, GBNXB_014835-T1, GBNXB_016666-T1
OG0000033	GBNXA_001090-T1, GBNXA_001091-T1, GBNXA_005454-T1, GBNXA_009446-T1	GBNXB_000073-T1, GBNXB_002292-T1, GBNXB_007847-T1, GBNXB_010321-T1, GBNXB_015334-T1
OG0000034	GBNXA_001638-T1, GBNXA_002162-T1, GBNXA_006238-T1	GBNXB_000798-T1, GBNXB_001321-T1, GBNXB_004928-T1, GBNXB_006537-T1, GBNXB_014418-T1, GBNXB_014685-T1
OG0000035	GBNXA_001762-T1, GBNXA_002737-T1, GBNXA_004586-T1, GBNXA_008305-T1	GBNXB_006248-T1, GBNXB_011495-T1, GBNXB_014857-T1, GBNXB_018249-T1, GBNXB_019046-T1
OG0000036	GBNXA_001805-T1, GBNXA_007996-T1, GBNXA_009355-T1	GBNXB_000020-T1, GBNXB_000558-T1, GBNXB_002264-T1, GBNXB_004135-T1, GBNXB_018271-T1, GBNXB_021490-T1
OG0000037	GBNXA_001851-T1, GBNXA_002026-T1, GBNXA_004096-T1, GBNXA_005607-T1	GBNXB_000483-T1, GBNXB_008015-T1, GBNXB_012454-T1, GBNXB_019746-T1, GBNXB_021710-T1
OG0000038	GBNXA_001943-T1, GBNXA_002265-T1, GBNXA_002266-T1, GBNXA_005112-T1, GBNXA_005115-T1	GBNXB_003725-T1, GBNXB_011445-T1, GBNXB_011449-T1, GBNXB_016793-T1
OG0000039	GBNXA_002095-T1, GBNXA_002283-T1, GBNXA_007369-T1	GBNXB_001137-T1, GBNXB_013258-T1, GBNXB_015763-T1, GBNXB_015946-T1, GBNXB_019527-T1, GBNXB_020061-T1
OG0000040	GBNXA_002196-T1, GBNXA_005810-T1, GBNXA_009755-T1	GBNXB_001731-T1, GBNXB_011434-T1, GBNXB_013342-T1, GBNXB_015573-T1, GBNXB_017591-T1, GBNXB_018447-T1
OG0000041	GBNXA_003176-T1, GBNXA_003788-T1, GBNXA_004526-T1	GBNXB_003512-T1, GBNXB_009138-T1, GBNXB_012696-T1, GBNXB_013271-T1, GBNXB_013378-T1, GBNXB_020005-T1
OG0000042	GBNXA_003462-T1, GBNXA_004393-T1, GBNXA_006828-T1, GBNXA_007115-T1	GBNXB_006461-T1, GBNXB_009030-T1, GBNXB_009710-T1, GBNXB_013139-T1, GBNXB_015986-T1
OG0000043	GBNXA_004449-T1, GBNXA_004956-T1, GBNXA_005377-T1, GBNXA_008306-T1	GBNXB_000471-T1, GBNXB_005740-T1, GBNXB_008522-T1, GBNXB_010173-T1, GBNXB_019047-T1
OG0000044	GBNXA_004699-T1, GBNXA_008863-T1, GBNXA_009064-T1	GBNXB_002419-T1, GBNXB_004659-T1, GBNXB_012156-T1, GBNXB_014802-T1, GBNXB_015188-T1, GBNXB_015728-T1
OG0000045	GBNXA_005060-T1, GBNXA_006378-T1, GBNXA_008730-T1	GBNXB_001038-T1, GBNXB_005566-T1, GBNXB_006702-T1, GBNXB_010788-T1, GBNXB_016562-T1, GBNXB_016996-T1
OG0000046	GBNXA_005686-T1, GBNXA_006638-T1, GBNXA_008053-T1, GBNXA_009415-T1	GBNXB_003316-T1, GBNXB_004583-T1, GBNXB_016218-T1, GBNXB_021647-T1, GBNXB_021648-T1
OG0000047	GBNXA_005753-T1, GBNXA_005754-T1, GBNXA_009786-T1	GBNXB_008559-T1, GBNXB_008560-T1, GBNXB_015684-T1, GBNXB_020241-T1, GBNXB_020982-T1, GBNXB_020983-T1
OG0000048	GBNXA_005795-T1, GBNXA_005796-T1, GBNXA_005797-T1, GBNXA_006027-T1	GBNXB_001061-T1, GBNXB_001062-T1, GBNXB_011415-T1, GBNXB_020178-T1, GBNXB_021819-T1
OG0000049	GBNXA_006143-T1, GBNXA_006684-T1, GBNXA_008843-T1	GBNXB_000885-T1, GBNXB_002211-T1, GBNXB_003954-T1, GBNXB_012187-T1, GBNXB_013670-T1, GBNXB_021957-T1
OG0000050	GBNXA_008460-T1	GBNXB_000479-T1, GBNXB_005524-T1, GBNXB_007669-T1, GBNXB_007670-T1, GBNXB_012617-T1, GBNXB_015692-T1, GBNXB_016917-T1, GBNXB_020305-T1
OG0000051	GBNXA_000081-T1, GBNXA_004117-T1, GBNXA_005546-T1	GBNXB_006885-T1, GBNXB_009223-T1, GBNXB_012645-T1, GBNXB_013418-T1, GBNXB_018794-T1
OG0000052	GBNXA_000143-T1, GBNXA_002249-T1, GBNXA_003259-T1	GBNXB_003215-T1, GBNXB_003250-T1, GBNXB_003890-T1, GBNXB_010308-T1, GBNXB_010994-T1
OG0000053	GBNXA_000331-T1, GBNXA_002168-T1, GBNXA_004522-T1, GBNXA_007358-T1	GBNXB_007003-T1, GBNXB_013029-T1, GBNXB_013177-T1, GBNXB_017995-T1
OG0000054	GBNXA_000366-T1, GBNXA_005661-T1, GBNXA_007440-T1, GBNXA_009025-T1	GBNXB_003806-T1, GBNXB_013219-T1, GBNXB_017371-T1, GBNXB_020530-T1
OG0000055	GBNXA_000543-T1, GBNXA_001559-T1, GBNXA_004453-T1	GBNXB_001409-T1, GBNXB_004264-T1, GBNXB_006679-T1, GBNXB_014041-T1, GBNXB_017792-T1
OG0000056	GBNXA_000663-T1, GBNXA_001784-T1, GBNXA_005781-T1	GBNXB_001976-T1, GBNXB_005459-T1, GBNXB_005468-T1, GBNXB_007646-T1, GBNXB_008271-T1
OG0000057	GBNXA_000780-T1, GBNXA_002870-T1, GBNXA_007033-T1	GBNXB_003157-T1, GBNXB_003266-T1, GBNXB_012371-T1, GBNXB_014748-T1, GBNXB_020254-T1
OG0000058	GBNXA_000838-T1, GBNXA_002051-T1, GBNXA_005604-T1	GBNXB_005306-T1, GBNXB_007055-T1, GBNXB_019601-T1, GBNXB_019718-T1, GBNXB_021180-T1
OG0000059	GBNXA_000894-T1, GBNXA_001221-T1, GBNXA_007141-T1	GBNXB_001472-T1, GBNXB_007527-T1, GBNXB_010648-T1, GBNXB_018576-T1, GBNXB_020894-T1
OG0000060	GBNXA_000979-T1, GBNXA_002843-T1, GBNXA_002991-T1, GBNXA_006888-T1	GBNXB_015130-T1, GBNXB_016093-T1, GBNXB_018154-T1, GBNXB_018636-T1
OG0000061	GBNXA_001012-T1, GBNXA_002799-T1, GBNXA_003695-T1	GBNXB_007240-T1, GBNXB_010276-T1, GBNXB_011516-T1, GBNXB_017600-T1, GBNXB_021304-T1
OG0000062	GBNXA_001244-T1, GBNXA_003001-T1, GBNXA_003065-T1	GBNXB_004964-T1, GBNXB_007725-T1, GBNXB_013548-T1, GBNXB_014449-T1, GBNXB_017265-T1
OG0000063	GBNXA_001292-T1, GBNXA_002089-T1, GBNXA_007414-T1	GBNXB_004600-T1, GBNXB_008802-T1, GBNXB_009645-T1, GBNXB_017639-T1, GBNXB_021280-T1
OG0000064	GBNXA_001391-T1, GBNXA_001614-T1, GBNXA_006940-T1	GBNXB_002363-T1, GBNXB_005701-T1, GBNXB_009586-T1, GBNXB_014735-T1, GBNXB_017339-T1
OG0000065	GBNXA_001462-T1, GBNXA_002163-T1, GBNXA_008160-T1	GBNXB_001322-T1, GBNXB_009311-T1, GBNXB_014987-T1, GBNXB_015791-T1, GBNXB_016815-T1
OG0000066	GBNXA_001534-T1, GBNXA_001871-T1, GBNXA_007523-T1	GBNXB_001034-T1, GBNXB_004295-T1, GBNXB_010597-T1, GBNXB_017377-T1, GBNXB_020936-T1
OG0000067	GBNXA_001540-T1, GBNXA_005872-T1, GBNXA_008456-T1	GBNXB_000985-T1, GBNXB_002503-T1, GBNXB_012643-T1, GBNXB_016536-T1, GBNXB_019392-T1
OG0000068	GBNXA_001584-T1, GBNXA_007199-T1, GBNXA_007200-T1	GBNXB_008084-T1, GBNXB_010879-T1, GBNXB_010880-T1, GBNXB_016824-T1, GBNXB_019915-T1
OG0000069	GBNXA_001861-T1, GBNXA_008617-T1, GBNXA_009328-T1	GBNXB_006303-T1, GBNXB_007876-T1, GBNXB_015069-T1, GBNXB_017392-T1, GBNXB_019324-T1
OG0000070	GBNXA_001954-T1, GBNXA_003534-T1, GBNXA_003993-T1, GBNXA_004926-T1	GBNXB_002326-T1, GBNXB_005160-T1, GBNXB_006959-T1, GBNXB_012566-T1
OG0000071	GBNXA_002038-T1, GBNXA_004475-T1, GBNXA_005556-T1, GBNXA_009240-T1	GBNXB_004169-T1, GBNXB_004557-T1, GBNXB_005666-T1, GBNXB_014257-T1
OG0000072	GBNXA_002212-T1, GBNXA_002524-T1, GBNXA_005862-T1	GBNXB_009408-T1, GBNXB_010826-T1, GBNXB_017035-T1, GBNXB_017649-T1, GBNXB_018330-T1
OG0000073	GBNXA_002333-T1, GBNXA_005591-T1, GBNXA_005943-T1	GBNXB_006425-T1, GBNXB_009859-T1, GBNXB_012243-T1, GBNXB_012737-T1, GBNXB_017678-T1
OG0000074	GBNXA_002505-T1, GBNXA_003022-T1, GBNXA_003040-T1	GBNXB_003851-T1, GBNXB_004630-T1, GBNXB_005814-T1, GBNXB_019423-T1, GBNXB_021732-T1
OG0000075	GBNXA_002548-T1, GBNXA_005918-T1, GBNXA_006043-T1	GBNXB_008941-T1, GBNXB_012212-T1, GBNXB_015106-T1, GBNXB_018812-T1, GBNXB_021057-T1
OG0000076	GBNXA_002557-T1, GBNXA_002929-T1, GBNXA_008360-T1	GBNXB_005329-T1, GBNXB_010129-T1, GBNXB_012032-T1, GBNXB_019142-T1, GBNXB_022139-T1
OG0000077	GBNXA_002604-T1, GBNXA_004374-T1, GBNXA_008201-T1	GBNXB_001681-T1, GBNXB_001977-T1, GBNXB_009360-T1, GBNXB_017575-T1, GBNXB_019927-T1
OG0000078	GBNXA_002964-T1, GBNXA_009092-T1	GBNXB_000999-T1, GBNXB_005156-T1, GBNXB_006490-T1, GBNXB_011973-T1, GBNXB_012861-T1, GBNXB_017779-T1
OG0000079	GBNXA_003125-T1, GBNXA_005886-T1, GBNXA_008907-T1	GBNXB_000948-T1, GBNXB_006767-T1, GBNXB_009167-T1, GBNXB_009851-T1, GBNXB_014696-T1
OG0000080	GBNXA_003270-T1, GBNXA_007836-T1, GBNXA_008359-T1	GBNXB_008206-T1, GBNXB_012033-T1, GBNXB_015245-T1, GBNXB_018382-T1, GBNXB_020107-T1
OG0000081	GBNXA_003672-T1, GBNXA_004620-T1, GBNXA_008172-T1	GBNXB_000673-T1, GBNXB_003355-T1, GBNXB_004644-T1, GBNXB_005233-T1, GBNXB_005509-T1
OG0000082	GBNXA_003831-T1, GBNXA_005992-T1, GBNXA_005993-T1	GBNXB_017091-T1, GBNXB_017094-T1, GBNXB_020282-T1, GBNXB_020580-T1, GBNXB_021699-T1
OG0000083	GBNXA_003934-T1, GBNXA_006522-T1, GBNXA_008932-T1	GBNXB_001975-T1, GBNXB_003413-T1, GBNXB_006587-T1, GBNXB_016613-T1, GBNXB_018703-T1
OG0000084	GBNXA_003985-T1, GBNXA_008471-T1, GBNXA_009177-T1	GBNXB_011548-T1, GBNXB_013453-T1, GBNXB_013859-T1, GBNXB_014656-T1, GBNXB_021403-T1
OG0000085	GBNXA_004077-T1, GBNXA_004390-T1, GBNXA_005058-T1	GBNXB_000343-T1, GBNXB_000404-T1, GBNXB_004927-T1, GBNXB_009037-T1, GBNXB_012091-T1
OG0000086	GBNXA_004126-T1, GBNXA_006869-T1, GBNXA_009522-T1	GBNXB_000439-T1, GBNXB_003131-T1, GBNXB_008658-T1, GBNXB_014223-T1, GBNXB_014364-T1
OG0000087	GBNXA_004185-T1, GBNXA_005906-T1, GBNXA_008009-T1, GBNXA_009062-T1	GBNXB_000004-T1, GBNXB_003739-T1, GBNXB_015185-T1, GBNXB_019019-T1
OG0000088	GBNXA_005138-T1, GBNXA_007312-T1, GBNXA_007607-T1	GBNXB_006205-T1, GBNXB_008335-T1, GBNXB_010425-T1, GBNXB_010746-T1, GBNXB_018904-T1
OG0000089	GBNXA_005803-T1, GBNXA_005804-T1, GBNXA_005990-T1	GBNXB_004840-T1, GBNXB_011425-T1, GBNXB_014371-T1, GBNXB_016322-T1, GBNXB_017089-T1
OG0000090	GBNXA_006113-T1, GBNXA_006319-T1	GBNXB_002111-T1, GBNXB_002254-T1, GBNXB_013780-T1, GBNXB_014359-T1, GBNXB_014460-T1, GBNXB_019634-T1
OG0000091	GBNXA_007226-T1, GBNXA_007457-T1, GBNXA_009686-T1	GBNXB_005805-T1, GBNXB_008761-T1, GBNXB_009821-T1, GBNXB_011180-T1, GBNXB_019343-T1
OG0000092	GBNXA_000061-T1, GBNXA_000062-T1, GBNXA_004961-T1	GBNXB_010162-T1, GBNXB_010756-T1, GBNXB_014560-T1, GBNXB_014561-T1
OG0000093	GBNXA_000129-T1, GBNXA_003497-T1, GBNXA_007333-T1	GBNXB_003873-T1, GBNXB_006699-T1, GBNXB_006843-T1, GBNXB_010718-T1
OG0000094	GBNXA_000228-T1, GBNXA_004512-T1	GBNXB_002501-T1, GBNXB_010770-T1, GBNXB_012998-T1, GBNXB_019370-T1, GBNXB_020784-T1
OG0000095	GBNXA_000242-T1, GBNXA_002184-T1	GBNXB_000712-T1, GBNXB_001347-T1, GBNXB_014288-T1, GBNXB_014421-T1, GBNXB_015850-T1
OG0000096	GBNXA_000369-T1, GBNXA_004037-T1, GBNXA_006207-T1	GBNXB_001882-T1, GBNXB_002834-T1, GBNXB_007267-T1, GBNXB_013223-T1
OG0000097	GBNXA_000386-T1, GBNXA_006129-T1	GBNXB_002473-T1, GBNXB_003934-T1, GBNXB_010134-T1, GBNXB_013565-T1, GBNXB_020795-T1
OG0000098	GBNXA_000484-T1, GBNXA_000903-T1, GBNXA_008223-T1	GBNXB_010208-T1, GBNXB_013456-T1, GBNXB_013673-T1, GBNXB_021889-T1
OG0000099	GBNXA_000564-T1, GBNXA_002921-T1	GBNXB_002401-T1, GBNXB_004436-T1, GBNXB_012524-T1, GBNXB_014772-T1, GBNXB_015664-T1
OG0000100	GBNXA_000597-T1, GBNXA_002113-T1	GBNXB_005711-T1, GBNXB_011298-T1, GBNXB_013702-T1, GBNXB_014617-T1, GBNXB_019034-T1
OG0000101	GBNXA_000904-T1, GBNXA_002373-T1, GBNXA_008833-T1	GBNXB_001823-T1, GBNXB_002747-T1, GBNXB_002962-T1, GBNXB_012200-T1
OG0000102	GBNXA_000905-T1, GBNXA_005917-T1, GBNXA_008832-T1	GBNXB_002368-T1, GBNXB_002961-T1, GBNXB_003753-T1, GBNXB_017252-T1
OG0000103	GBNXA_000941-T1, GBNXA_003891-T1	GBNXB_001634-T1, GBNXB_002781-T1, GBNXB_004334-T1, GBNXB_017411-T1, GBNXB_021301-T1
OG0000104	GBNXA_001294-T1, GBNXA_007197-T1	GBNXB_008081-T1, GBNXB_008148-T1, GBNXB_010878-T1, GBNXB_013732-T1, GBNXB_019917-T1
OG0000105	GBNXA_001410-T1, GBNXA_003298-T1, GBNXA_009512-T1	GBNXB_000430-T1, GBNXB_004024-T1, GBNXB_009096-T1, GBNXB_010433-T1
OG0000106	GBNXA_001562-T1, GBNXA_003057-T1	GBNXB_002742-T1, GBNXB_004260-T1, GBNXB_006713-T1, GBNXB_011571-T1, GBNXB_021564-T1
OG0000107	GBNXA_001639-T1, GBNXA_005523-T1, GBNXA_005951-T1	GBNXB_011985-T1, GBNXB_011988-T1, GBNXB_012259-T1, GBNXB_014416-T1
OG0000108	GBNXA_001657-T1, GBNXA_002478-T1, GBNXA_006598-T1	GBNXB_003984-T1, GBNXB_014401-T1, GBNXB_017587-T1, GBNXB_022002-T1
OG0000109	GBNXA_002034-T1, GBNXA_003620-T1, GBNXA_006531-T1, GBNXA_008817-T1	GBNXB_010012-T1, GBNXB_011234-T1, GBNXB_020721-T1
OG0000110	GBNXA_002200-T1, GBNXA_004113-T1, GBNXA_007110-T1	GBNXB_004033-T1, GBNXB_004895-T1, GBNXB_005012-T1, GBNXB_021507-T1
OG0000111	GBNXA_002233-T1, GBNXA_002449-T1, GBNXA_009440-T1	GBNXB_001536-T1, GBNXB_010974-T1, GBNXB_015324-T1, GBNXB_021980-T1
OG0000112	GBNXA_002250-T1, GBNXA_004550-T1, GBNXA_007425-T1	GBNXB_002946-T1, GBNXB_015231-T1, GBNXB_015415-T1, GBNXB_021202-T1
OG0000113	GBNXA_002573-T1, GBNXA_008594-T1, GBNXA_008595-T1	GBNXB_007118-T1, GBNXB_009559-T1, GBNXB_020858-T1, GBNXB_020976-T1
OG0000114	GBNXA_002627-T1, GBNXA_003110-T1, GBNXA_005494-T1	GBNXB_004874-T1, GBNXB_005204-T1, GBNXB_006788-T1, GBNXB_022112-T1
OG0000115	GBNXA_003150-T1, GBNXA_003435-T1, GBNXA_006323-T1	GBNXB_000733-T1, GBNXB_009744-T1, GBNXB_009921-T1, GBNXB_019975-T1
OG0000116	GBNXA_003393-T1, GBNXA_004147-T1, GBNXA_008620-T1	GBNXB_002625-T1, GBNXB_003078-T1, GBNXB_005082-T1, GBNXB_015065-T1
OG0000117	GBNXA_003468-T1, GBNXA_003469-T1	GBNXB_005764-T1, GBNXB_008563-T1, GBNXB_008564-T1, GBNXB_009699-T1, GBNXB_011718-T1
OG0000118	GBNXA_003483-T1, GBNXA_006300-T1, GBNXA_009282-T1	GBNXB_010534-T1, GBNXB_015475-T1, GBNXB_017858-T1, GBNXB_018454-T1
OG0000119	GBNXA_003779-T1, GBNXA_007792-T1, GBNXA_009573-T1	GBNXB_003557-T1, GBNXB_006010-T1, GBNXB_006071-T1, GBNXB_022064-T1
OG0000120	GBNXA_004336-T1, GBNXA_007657-T1, GBNXA_007941-T1	GBNXB_005895-T1, GBNXB_014051-T1, GBNXB_019539-T1, GBNXB_019540-T1
