	Syncephalastrum_racemosum_CBS_440.59_Plus.aa	Syncephalastrum_racemosum_CBS_441.59-.aa
OG0008266	GBNXA_002325-T1	
OG0008267	GBNXA_002339-T1	
OG0008268	GBNXA_002341-T1	
OG0008269	GBNXA_002342-T1	
OG0008270	GBNXA_002346-T1	
OG0008271	GBNXA_002360-T1	
OG0008272	GBNXA_002361-T1	
OG0008273	GBNXA_002362-T1	
OG0008274	GBNXA_002375-T1	
OG0008275	GBNXA_002400-T1	
OG0008276	GBNXA_002427-T1	
OG0008277	GBNXA_002431-T1	
OG0008278	GBNXA_002432-T1	
OG0008279	GBNXA_002436-T1	
OG0008280	GBNXA_002456-T1	
OG0008281	GBNXA_002460-T1	
OG0008282	GBNXA_002461-T1	
OG0008283	GBNXA_002462-T1	
OG0008284	GBNXA_002499-T1	
OG0008285	GBNXA_002508-T1	
OG0008286	GBNXA_002510-T1	
OG0008287	GBNXA_002513-T1	
OG0008288	GBNXA_002514-T1	
OG0008289	GBNXA_002521-T1	
OG0008290	GBNXA_002523-T1	
OG0008291	GBNXA_002534-T1	
OG0008292	GBNXA_002537-T1	
OG0008293	GBNXA_002550-T1	
OG0008294	GBNXA_002553-T1	
OG0008295	GBNXA_002569-T1	
OG0008296	GBNXA_002591-T1	
OG0008297	GBNXA_002593-T1	
OG0008298	GBNXA_002595-T1	
OG0008299	GBNXA_002600-T1	
OG0008300	GBNXA_002608-T1	
OG0008301	GBNXA_002623-T1	
OG0008302	GBNXA_002625-T1	
OG0008303	GBNXA_002639-T1	
OG0008304	GBNXA_002648-T1	
OG0008305	GBNXA_002655-T1	
OG0008306	GBNXA_002680-T1	
OG0008307	GBNXA_002683-T1	
OG0008308	GBNXA_002695-T1	
OG0008309	GBNXA_002733-T1	
OG0008310	GBNXA_002744-T1	
OG0008311	GBNXA_002753-T1	
OG0008312	GBNXA_002754-T1	
OG0008313	GBNXA_002760-T1	
OG0008314	GBNXA_002774-T1	
OG0008315	GBNXA_002782-T1	
OG0008316	GBNXA_002783-T1	
OG0008317	GBNXA_002803-T1	
OG0008318	GBNXA_002806-T1	
OG0008319	GBNXA_002814-T1	
OG0008320	GBNXA_002821-T1	
OG0008321	GBNXA_002829-T1	
OG0008322	GBNXA_002833-T1	
OG0008323	GBNXA_002834-T1	
OG0008324	GBNXA_002838-T1	
OG0008325	GBNXA_002842-T1	
OG0008326	GBNXA_002849-T1	
OG0008327	GBNXA_002850-T1	
OG0008328	GBNXA_002851-T1	
OG0008329	GBNXA_002951-T1	
OG0008330	GBNXA_002987-T1	
OG0008331	GBNXA_002992-T1	
OG0008332	GBNXA_002996-T1	
OG0008333	GBNXA_002998-T1	
OG0008334	GBNXA_003010-T1	
OG0008335	GBNXA_003013-T1	
OG0008336	GBNXA_003025-T1	
OG0008337	GBNXA_003035-T1	
OG0008338	GBNXA_003038-T1	
OG0008339	GBNXA_003067-T1	
OG0008340	GBNXA_003090-T1	
OG0008341	GBNXA_003102-T1	
OG0008342	GBNXA_003106-T1	
OG0008343	GBNXA_003128-T1	
OG0008344	GBNXA_003136-T1	
OG0008345	GBNXA_003140-T1	
OG0008346	GBNXA_003152-T1	
OG0008347	GBNXA_003158-T1	
OG0008348	GBNXA_003179-T1	
OG0008349	GBNXA_003223-T1	
OG0008350	GBNXA_003240-T1	
OG0008351	GBNXA_003248-T1	
OG0008352	GBNXA_003287-T1	
OG0008353	GBNXA_003297-T1	
OG0008354	GBNXA_003329-T1	
OG0008355	GBNXA_003343-T1	
OG0008356	GBNXA_003350-T1	
OG0008357	GBNXA_003382-T1	
OG0008358	GBNXA_003402-T1	
OG0008359	GBNXA_003409-T1	
OG0008360	GBNXA_003413-T1	
OG0008361	GBNXA_003431-T1	
OG0008362	GBNXA_003434-T1	
OG0008363	GBNXA_003456-T1	
OG0008364	GBNXA_003460-T1	
OG0008365	GBNXA_003475-T1	
OG0008366	GBNXA_003481-T1	
OG0008367	GBNXA_003488-T1	
OG0008368	GBNXA_003529-T1	
OG0008369	GBNXA_003550-T1	
OG0008370	GBNXA_003552-T1	
OG0008371	GBNXA_003560-T1	
OG0008372	GBNXA_003564-T1	
OG0008373	GBNXA_003603-T1	
OG0008374	GBNXA_003604-T1	
OG0008375	GBNXA_003613-T1	
OG0008376	GBNXA_003638-T1	
OG0008377	GBNXA_003653-T1	
OG0008378	GBNXA_003666-T1	
OG0008379	GBNXA_003680-T1	
OG0008380	GBNXA_003684-T1	
OG0008381	GBNXA_003706-T1	
OG0008382	GBNXA_003712-T1	
OG0008383	GBNXA_003717-T1	
OG0008384	GBNXA_003728-T1	
OG0008385	GBNXA_003731-T1	
OG0008386	GBNXA_003734-T1	
OG0008387	GBNXA_003745-T1	
OG0008388	GBNXA_003797-T1	
OG0008389	GBNXA_003800-T1	
OG0008390	GBNXA_003805-T1	
OG0008391	GBNXA_003806-T1	
OG0008392	GBNXA_003824-T1	
OG0008393	GBNXA_003835-T1	
OG0008394	GBNXA_003837-T1	
OG0008395	GBNXA_003841-T1	
OG0008396	GBNXA_003884-T1	
OG0008397	GBNXA_003894-T1	
OG0008398	GBNXA_003909-T1	
OG0008399	GBNXA_003961-T1	
OG0008400	GBNXA_003962-T1	
OG0008401	GBNXA_003963-T1	
OG0008402	GBNXA_003964-T1	
OG0008403	GBNXA_003965-T1	
OG0008404	GBNXA_003966-T1	
OG0008405	GBNXA_003975-T1	
OG0008406	GBNXA_003986-T1	
OG0008407	GBNXA_003987-T1	
OG0008408	GBNXA_004025-T1	
OG0008409	GBNXA_004031-T1	
OG0008410	GBNXA_004035-T1	
OG0008411	GBNXA_004036-T1	
OG0008412	GBNXA_004043-T1	
OG0008413	GBNXA_004073-T1	
OG0008414	GBNXA_004092-T1	
OG0008415	GBNXA_004133-T1	
OG0008416	GBNXA_004136-T1	
OG0008417	GBNXA_004175-T1	
OG0008418	GBNXA_004177-T1	
OG0008419	GBNXA_004179-T1	
OG0008420	GBNXA_004188-T1	
OG0008421	GBNXA_004196-T1	
OG0008422	GBNXA_004251-T1	
OG0008423	GBNXA_004274-T1	
OG0008424	GBNXA_004284-T1	
OG0008425	GBNXA_004290-T1	
OG0008426	GBNXA_004295-T1	
OG0008427	GBNXA_004297-T1	
OG0008428	GBNXA_004309-T1	
OG0008429	GBNXA_004323-T1	
OG0008430	GBNXA_004330-T1	
OG0008431	GBNXA_004333-T1	
OG0008432	GBNXA_004342-T1	
OG0008433	GBNXA_004345-T1	
OG0008434	GBNXA_004349-T1	
OG0008435	GBNXA_004365-T1	
OG0008436	GBNXA_004368-T1	
OG0008437	GBNXA_004381-T1	
OG0008438	GBNXA_004382-T1	
OG0008439	GBNXA_004418-T1	
OG0008440	GBNXA_004423-T1	
OG0008441	GBNXA_004426-T1	
OG0008442	GBNXA_004470-T1	
OG0008443	GBNXA_004471-T1	
OG0008444	GBNXA_004473-T1	
OG0008445	GBNXA_004476-T1	
OG0008446	GBNXA_004478-T1	
OG0008447	GBNXA_004497-T1	
OG0008448	GBNXA_004517-T1	
OG0008449	GBNXA_004519-T1	
OG0008450	GBNXA_004524-T1	
OG0008451	GBNXA_004551-T1	
OG0008452	GBNXA_004555-T1	
OG0008453	GBNXA_004588-T1	
OG0008454	GBNXA_004591-T1	
OG0008455	GBNXA_004612-T1	
OG0008456	GBNXA_004667-T1	
OG0008457	GBNXA_004680-T1	
OG0008458	GBNXA_004683-T1	
OG0008459	GBNXA_004686-T1	
OG0008460	GBNXA_004721-T1	
OG0008461	GBNXA_004752-T1	
OG0008462	GBNXA_004779-T1	
OG0008463	GBNXA_004780-T1	
OG0008464	GBNXA_004784-T1	
OG0008465	GBNXA_004785-T1	
OG0008466	GBNXA_004790-T1	
OG0008467	GBNXA_004801-T1	
OG0008468	GBNXA_004818-T1	
OG0008469	GBNXA_004827-T1	
OG0008470	GBNXA_004830-T1	
OG0008471	GBNXA_004852-T1	
OG0008472	GBNXA_004853-T1	
OG0008473	GBNXA_004858-T1	
OG0008474	GBNXA_004859-T1	
OG0008475	GBNXA_004868-T1	
OG0008476	GBNXA_004885-T1	
OG0008477	GBNXA_004899-T1	
OG0008478	GBNXA_004911-T1	
OG0008479	GBNXA_004914-T1	
OG0008480	GBNXA_004921-T1	
OG0008481	GBNXA_004922-T1	
OG0008482	GBNXA_004969-T1	
OG0008483	GBNXA_005000-T1	
OG0008484	GBNXA_005005-T1	
OG0008485	GBNXA_005010-T1	
OG0008486	GBNXA_005026-T1	
OG0008487	GBNXA_005043-T1	
OG0008488	GBNXA_005054-T1	
OG0008489	GBNXA_005065-T1	
OG0008490	GBNXA_005108-T1	
OG0008491	GBNXA_005114-T1	
OG0008492	GBNXA_005128-T1	
OG0008493	GBNXA_005131-T1	
OG0008494	GBNXA_005132-T1	
OG0008495	GBNXA_005199-T1	
OG0008496	GBNXA_005220-T1	
OG0008497	GBNXA_005237-T1	
OG0008498	GBNXA_005244-T1	
OG0008499	GBNXA_005269-T1	
OG0008500	GBNXA_005276-T1	
OG0008501	GBNXA_005278-T1	
OG0008502	GBNXA_005293-T1	
OG0008503	GBNXA_005305-T1	
OG0008504	GBNXA_005310-T1	
OG0008505	GBNXA_005311-T1	
OG0008506	GBNXA_005315-T1	
OG0008507	GBNXA_005317-T1	
OG0008508	GBNXA_005362-T1	
OG0008509	GBNXA_005384-T1	
OG0008510	GBNXA_005407-T1	
OG0008511	GBNXA_005451-T1	
OG0008512	GBNXA_005473-T1	
OG0008513	GBNXA_005479-T1	
OG0008514	GBNXA_005512-T1	
OG0008515	GBNXA_005528-T1	
OG0008516	GBNXA_005552-T1	
OG0008517	GBNXA_005560-T1	
OG0008518	GBNXA_005561-T1	
OG0008519	GBNXA_005600-T1	
OG0008520	GBNXA_005618-T1	
OG0008521	GBNXA_005626-T1	
OG0008522	GBNXA_005632-T1	
OG0008523	GBNXA_005648-T1	
OG0008524	GBNXA_005665-T1	
OG0008525	GBNXA_005667-T1	
OG0008526	GBNXA_005697-T1	
OG0008527	GBNXA_005700-T1	
OG0008528	GBNXA_005705-T1	
OG0008529	GBNXA_005706-T1	
OG0008530	GBNXA_005716-T1	
OG0008531	GBNXA_005718-T1	
OG0008532	GBNXA_005728-T1	
OG0008533	GBNXA_005757-T1	
OG0008534	GBNXA_005764-T1	
OG0008535	GBNXA_005777-T1	
OG0008536	GBNXA_005788-T1	
OG0008537	GBNXA_005792-T1	
OG0008538	GBNXA_005807-T1	
OG0008539	GBNXA_005826-T1	
OG0008540	GBNXA_005849-T1	
OG0008541	GBNXA_005857-T1	
OG0008542	GBNXA_005889-T1	
OG0008543	GBNXA_005892-T1	
OG0008544	GBNXA_005896-T1	
OG0008545	GBNXA_005922-T1	
OG0008546	GBNXA_005932-T1	
OG0008547	GBNXA_005939-T1	
OG0008548	GBNXA_005971-T1	
OG0008549	GBNXA_005997-T1	
OG0008550	GBNXA_006005-T1	
OG0008551	GBNXA_006052-T1	
OG0008552	GBNXA_006101-T1	
OG0008553	GBNXA_006106-T1	
OG0008554	GBNXA_006114-T1	
OG0008555	GBNXA_006152-T1	
OG0008556	GBNXA_006153-T1	
OG0008557	GBNXA_006171-T1	
OG0008558	GBNXA_006173-T1	
OG0008559	GBNXA_006174-T1	
OG0008560	GBNXA_006208-T1	
OG0008561	GBNXA_006228-T1	
OG0008562	GBNXA_006231-T1	
OG0008563	GBNXA_006233-T1	
OG0008564	GBNXA_006241-T1	
OG0008565	GBNXA_006266-T1	
OG0008566	GBNXA_006273-T1	
OG0008567	GBNXA_006301-T1	
OG0008568	GBNXA_006315-T1	
OG0008569	GBNXA_006318-T1	
OG0008570	GBNXA_006321-T1	
OG0008571	GBNXA_006322-T1	
OG0008572	GBNXA_006338-T1	
OG0008573	GBNXA_006365-T1	
OG0008574	GBNXA_006377-T1	
OG0008575	GBNXA_006390-T1	
OG0008576	GBNXA_006406-T1	
OG0008577	GBNXA_006439-T1	
OG0008578	GBNXA_006440-T1	
OG0008579	GBNXA_006449-T1	
OG0008580	GBNXA_006465-T1	
OG0008581	GBNXA_006467-T1	
OG0008582	GBNXA_006474-T1	
OG0008583	GBNXA_006493-T1	
OG0008584	GBNXA_006496-T1	
OG0008585	GBNXA_006499-T1	
OG0008586	GBNXA_006502-T1	
OG0008587	GBNXA_006533-T1	
OG0008588	GBNXA_006537-T1	
OG0008589	GBNXA_006538-T1	
OG0008590	GBNXA_006550-T1	
OG0008591	GBNXA_006558-T1	
OG0008592	GBNXA_006560-T1	
OG0008593	GBNXA_006582-T1	
OG0008594	GBNXA_006599-T1	
OG0008595	GBNXA_006646-T1	
OG0008596	GBNXA_006673-T1	
OG0008597	GBNXA_006700-T1	
OG0008598	GBNXA_006727-T1	
OG0008599	GBNXA_006740-T1	
OG0008600	GBNXA_006775-T1	
OG0008601	GBNXA_006788-T1	
OG0008602	GBNXA_006797-T1	
OG0008603	GBNXA_006810-T1	
OG0008604	GBNXA_006816-T1	
OG0008605	GBNXA_006837-T1	
OG0008606	GBNXA_006859-T1	
OG0008607	GBNXA_006904-T1	
OG0008608	GBNXA_006910-T1	
OG0008609	GBNXA_006945-T1	
OG0008610	GBNXA_006954-T1	
OG0008611	GBNXA_006967-T1	
OG0008612	GBNXA_006983-T1	
OG0008613	GBNXA_006985-T1	
OG0008614	GBNXA_006992-T1	
OG0008615	GBNXA_007008-T1	
OG0008616	GBNXA_007059-T1	
OG0008617	GBNXA_007068-T1	
OG0008618	GBNXA_007070-T1	
OG0008619	GBNXA_007074-T1	
OG0008620	GBNXA_007076-T1	
OG0008621	GBNXA_007086-T1	
OG0008622	GBNXA_007094-T1	
OG0008623	GBNXA_007108-T1	
OG0008624	GBNXA_007109-T1	
OG0008625	GBNXA_007162-T1	
OG0008626	GBNXA_007168-T1	
OG0008627	GBNXA_007182-T1	
OG0008628	GBNXA_007211-T1	
OG0008629	GBNXA_007220-T1	
OG0008630	GBNXA_007233-T1	
OG0008631	GBNXA_007292-T1	
OG0008632	GBNXA_007329-T1	
OG0008633	GBNXA_007334-T1	
OG0008634	GBNXA_007346-T1	
OG0008635	GBNXA_007350-T1	
OG0008636	GBNXA_007383-T1	
OG0008637	GBNXA_007408-T1	
OG0008638	GBNXA_007416-T1	
OG0008639	GBNXA_007421-T1	
OG0008640	GBNXA_007431-T1	
OG0008641	GBNXA_007436-T1	
OG0008642	GBNXA_007454-T1	
OG0008643	GBNXA_007470-T1	
OG0008644	GBNXA_007516-T1	
OG0008645	GBNXA_007517-T1	
OG0008646	GBNXA_007518-T1	
OG0008647	GBNXA_007520-T1	
OG0008648	GBNXA_007545-T1	
OG0008649	GBNXA_007554-T1	
OG0008650	GBNXA_007559-T1	
OG0008651	GBNXA_007561-T1	
OG0008652	GBNXA_007573-T1	
OG0008653	GBNXA_007582-T1	
OG0008654	GBNXA_007585-T1	
OG0008655	GBNXA_007638-T1	
OG0008656	GBNXA_007640-T1	
OG0008657	GBNXA_007643-T1	
OG0008658	GBNXA_007644-T1	
OG0008659	GBNXA_007651-T1	
OG0008660	GBNXA_007677-T1	
OG0008661	GBNXA_007678-T1	
OG0008662	GBNXA_007679-T1	
OG0008663	GBNXA_007718-T1	
OG0008664	GBNXA_007766-T1	
OG0008665	GBNXA_007767-T1	
OG0008666	GBNXA_007783-T1	
OG0008667	GBNXA_007816-T1	
OG0008668	GBNXA_007838-T1	
OG0008669	GBNXA_007871-T1	
OG0008670	GBNXA_007883-T1	
OG0008671	GBNXA_007884-T1	
OG0008672	GBNXA_007887-T1	
OG0008673	GBNXA_007926-T1	
OG0008674	GBNXA_007932-T1	
OG0008675	GBNXA_007935-T1	
OG0008676	GBNXA_007962-T1	
OG0008677	GBNXA_008007-T1	
OG0008678	GBNXA_008016-T1	
OG0008679	GBNXA_008024-T1	
OG0008680	GBNXA_008030-T1	
OG0008681	GBNXA_008052-T1	
OG0008682	GBNXA_008077-T1	
OG0008683	GBNXA_008083-T1	
OG0008684	GBNXA_008088-T1	
OG0008685	GBNXA_008133-T1	
OG0008686	GBNXA_008135-T1	
OG0008687	GBNXA_008150-T1	
OG0008688	GBNXA_008156-T1	
OG0008689	GBNXA_008179-T1	
OG0008690	GBNXA_008218-T1	
OG0008691	GBNXA_008238-T1	
OG0008692	GBNXA_008239-T1	
OG0008693	GBNXA_008255-T1	
OG0008694	GBNXA_008279-T1	
OG0008695	GBNXA_008307-T1	
OG0008696	GBNXA_008308-T1	
OG0008697	GBNXA_008313-T1	
OG0008698	GBNXA_008336-T1	
OG0008699	GBNXA_008364-T1	
OG0008700	GBNXA_008368-T1	
OG0008701	GBNXA_008387-T1	
OG0008702	GBNXA_008398-T1	
OG0008703	GBNXA_008404-T1	
OG0008704	GBNXA_008408-T1	
OG0008705	GBNXA_008429-T1	
OG0008706	GBNXA_008453-T1	
OG0008707	GBNXA_008490-T1	
OG0008708	GBNXA_008494-T1	
OG0008709	GBNXA_008495-T1	
OG0008710	GBNXA_008496-T1	
OG0008711	GBNXA_008497-T1	
OG0008712	GBNXA_008503-T1	
OG0008713	GBNXA_008521-T1	
OG0008714	GBNXA_008523-T1	
OG0008715	GBNXA_008541-T1	
OG0008716	GBNXA_008548-T1	
OG0008717	GBNXA_008563-T1	
OG0008718	GBNXA_008570-T1	
OG0008719	GBNXA_008585-T1	
OG0008720	GBNXA_008586-T1	
OG0008721	GBNXA_008621-T1	
OG0008722	GBNXA_008623-T1	
OG0008723	GBNXA_008631-T1	
OG0008724	GBNXA_008653-T1	
OG0008725	GBNXA_008659-T1	
OG0008726	GBNXA_008666-T1	
OG0008727	GBNXA_008670-T1	
OG0008728	GBNXA_008706-T1	
OG0008729	GBNXA_008707-T1	
OG0008730	GBNXA_008709-T1	
OG0008731	GBNXA_008712-T1	
OG0008732	GBNXA_008713-T1	
OG0008733	GBNXA_008715-T1	
OG0008734	GBNXA_008736-T1	
OG0008735	GBNXA_008747-T1	
OG0008736	GBNXA_008757-T1	
OG0008737	GBNXA_008759-T1	
OG0008738	GBNXA_008760-T1	
OG0008739	GBNXA_008796-T1	
OG0008740	GBNXA_008811-T1	
OG0008741	GBNXA_008828-T1	
OG0008742	GBNXA_008852-T1	
OG0008743	GBNXA_008877-T1	
OG0008744	GBNXA_008909-T1	
OG0008745	GBNXA_008933-T1	
OG0008746	GBNXA_008978-T1	
OG0008747	GBNXA_009056-T1	
OG0008748	GBNXA_009060-T1	
OG0008749	GBNXA_009073-T1	
OG0008750	GBNXA_009108-T1	
OG0008751	GBNXA_009114-T1	
OG0008752	GBNXA_009133-T1	
OG0008753	GBNXA_009134-T1	
OG0008754	GBNXA_009152-T1	
OG0008755	GBNXA_009153-T1	
OG0008756	GBNXA_009155-T1	
OG0008757	GBNXA_009191-T1	
OG0008758	GBNXA_009193-T1	
OG0008759	GBNXA_009195-T1	
OG0008760	GBNXA_009196-T1	
OG0008761	GBNXA_009218-T1	
OG0008762	GBNXA_009227-T1	
OG0008763	GBNXA_009239-T1	
OG0008764	GBNXA_009243-T1	
OG0008765	GBNXA_009253-T1	
OG0008766	GBNXA_009270-T1	
OG0008767	GBNXA_009301-T1	
OG0008768	GBNXA_009302-T1	
OG0008769	GBNXA_009311-T1	
OG0008770	GBNXA_009312-T1	
OG0008771	GBNXA_009313-T1	
OG0008772	GBNXA_009357-T1	
OG0008773	GBNXA_009359-T1	
OG0008774	GBNXA_009371-T1	
OG0008775	GBNXA_009386-T1	
OG0008776	GBNXA_009396-T1	
OG0008777	GBNXA_009422-T1	
OG0008778	GBNXA_009429-T1	
OG0008779	GBNXA_009475-T1	
OG0008780	GBNXA_009487-T1	
OG0008781	GBNXA_009488-T1	
OG0008782	GBNXA_009520-T1	
OG0008783	GBNXA_009533-T1	
OG0008784	GBNXA_009541-T1	
OG0008785	GBNXA_009557-T1	
OG0008786	GBNXA_009566-T1	
OG0008787	GBNXA_009567-T1	
OG0008788	GBNXA_009575-T1	
OG0008789	GBNXA_009593-T1	
OG0008790	GBNXA_009605-T1	
OG0008791	GBNXA_009621-T1	
OG0008792	GBNXA_009622-T1	
OG0008793	GBNXA_009629-T1	
OG0008794	GBNXA_009634-T1	
OG0008795	GBNXA_009659-T1	
OG0008796	GBNXA_009662-T1	
OG0008797	GBNXA_009664-T1	
OG0008798	GBNXA_009667-T1	
OG0008799	GBNXA_009739-T1	
OG0008800	GBNXA_009761-T1	
OG0008801	GBNXA_009771-T1	
OG0008802	GBNXA_009782-T1	
OG0008803	GBNXA_009785-T1	
OG0008804	GBNXA_009789-T1	
OG0008805	GBNXA_009801-T1	
OG0008806		GBNXB_000002-T1
OG0008807		GBNXB_000003-T1
OG0008808		GBNXB_000009-T1
OG0008809		GBNXB_000014-T1
OG0008810		GBNXB_000016-T1
OG0008811		GBNXB_000017-T1
OG0008812		GBNXB_000018-T1
OG0008813		GBNXB_000022-T1
OG0008814		GBNXB_000031-T1
OG0008815		GBNXB_000032-T1
