	Circinella_angarensis_RSA_198_Plus.aa	Circinella_angarensis_RSA_618-.aa
OG0008946	GBNTO_003608-T1	
OG0008947	GBNTO_003612-T1	
OG0008948	GBNTO_003628-T1	
OG0008949	GBNTO_003668-T1	
OG0008950	GBNTO_003692-T1	
OG0008951	GBNTO_003694-T1	
OG0008952	GBNTO_003708-T1	
OG0008953	GBNTO_003709-T1	
OG0008954	GBNTO_003722-T1	
OG0008955	GBNTO_003752-T1	
OG0008956	GBNTO_003773-T1	
OG0008957	GBNTO_003776-T1	
OG0008958	GBNTO_003779-T1	
OG0008959	GBNTO_003785-T1	
OG0008960	GBNTO_003790-T1	
OG0008961	GBNTO_003807-T1	
OG0008962	GBNTO_003808-T1	
OG0008963	GBNTO_003813-T1	
OG0008964	GBNTO_003826-T1	
OG0008965	GBNTO_003846-T1	
OG0008966	GBNTO_003847-T1	
OG0008967	GBNTO_003866-T1	
OG0008968	GBNTO_003884-T1	
OG0008969	GBNTO_003908-T1	
OG0008970	GBNTO_003912-T1	
OG0008971	GBNTO_003917-T1	
OG0008972	GBNTO_003926-T1	
OG0008973	GBNTO_003931-T1	
OG0008974	GBNTO_003940-T1	
OG0008975	GBNTO_003942-T1	
OG0008976	GBNTO_003951-T1	
OG0008977	GBNTO_003990-T1	
OG0008978	GBNTO_003991-T1	
OG0008979	GBNTO_003993-T1	
OG0008980	GBNTO_004008-T1	
OG0008981	GBNTO_004057-T1	
OG0008982	GBNTO_004076-T1	
OG0008983	GBNTO_004085-T1	
OG0008984	GBNTO_004088-T1	
OG0008985	GBNTO_004089-T1	
OG0008986	GBNTO_004093-T1	
OG0008987	GBNTO_004108-T1	
OG0008988	GBNTO_004113-T1	
OG0008989	GBNTO_004131-T1	
OG0008990	GBNTO_004132-T1	
OG0008991	GBNTO_004181-T1	
OG0008992	GBNTO_004186-T1	
OG0008993	GBNTO_004199-T1	
OG0008994	GBNTO_004200-T1	
OG0008995	GBNTO_004226-T1	
OG0008996	GBNTO_004233-T1	
OG0008997	GBNTO_004235-T1	
OG0008998	GBNTO_004238-T1	
OG0008999	GBNTO_004268-T1	
OG0009000	GBNTO_004354-T1	
OG0009001	GBNTO_004377-T1	
OG0009002	GBNTO_004378-T1	
OG0009003	GBNTO_004394-T1	
OG0009004	GBNTO_004399-T1	
OG0009005	GBNTO_004405-T1	
OG0009006	GBNTO_004416-T1	
OG0009007	GBNTO_004460-T1	
OG0009008	GBNTO_004493-T1	
OG0009009	GBNTO_004508-T1	
OG0009010	GBNTO_004510-T1	
OG0009011	GBNTO_004511-T1	
OG0009012	GBNTO_004514-T1	
OG0009013	GBNTO_004528-T1	
OG0009014	GBNTO_004529-T1	
OG0009015	GBNTO_004545-T1	
OG0009016	GBNTO_004546-T1	
OG0009017	GBNTO_004551-T1	
OG0009018	GBNTO_004561-T1	
OG0009019	GBNTO_004567-T1	
OG0009020	GBNTO_004570-T1	
OG0009021	GBNTO_004580-T1	
OG0009022	GBNTO_004593-T1	
OG0009023	GBNTO_004602-T1	
OG0009024	GBNTO_004608-T1	
OG0009025	GBNTO_004628-T1	
OG0009026	GBNTO_004631-T1	
OG0009027	GBNTO_004639-T1	
OG0009028	GBNTO_004669-T1	
OG0009029	GBNTO_004670-T1	
OG0009030	GBNTO_004680-T1	
OG0009031	GBNTO_004701-T1	
OG0009032	GBNTO_004744-T1	
OG0009033	GBNTO_004752-T1	
OG0009034	GBNTO_004761-T1	
OG0009035	GBNTO_004767-T1	
OG0009036	GBNTO_004773-T1	
OG0009037	GBNTO_004781-T1	
OG0009038	GBNTO_004803-T1	
OG0009039	GBNTO_004808-T1	
OG0009040	GBNTO_004811-T1	
OG0009041	GBNTO_004824-T1	
OG0009042	GBNTO_004857-T1	
OG0009043	GBNTO_004897-T1	
OG0009044	GBNTO_004898-T1	
OG0009045	GBNTO_004903-T1	
OG0009046	GBNTO_004904-T1	
OG0009047	GBNTO_004911-T1	
OG0009048	GBNTO_004943-T1	
OG0009049	GBNTO_004944-T1	
OG0009050	GBNTO_004948-T1	
OG0009051	GBNTO_004955-T1	
OG0009052	GBNTO_004962-T1	
OG0009053	GBNTO_004972-T1	
OG0009054	GBNTO_004974-T1	
OG0009055	GBNTO_004976-T1	
OG0009056	GBNTO_004988-T1	
OG0009057	GBNTO_004999-T1	
OG0009058	GBNTO_005065-T1	
OG0009059	GBNTO_005092-T1	
OG0009060	GBNTO_005096-T1	
OG0009061	GBNTO_005100-T1	
OG0009062	GBNTO_005103-T1	
OG0009063	GBNTO_005109-T1	
OG0009064	GBNTO_005116-T1	
OG0009065	GBNTO_005126-T1	
OG0009066	GBNTO_005181-T1	
OG0009067	GBNTO_005186-T1	
OG0009068	GBNTO_005187-T1	
OG0009069	GBNTO_005189-T1	
OG0009070	GBNTO_005192-T1	
OG0009071	GBNTO_005193-T1	
OG0009072	GBNTO_005194-T1	
OG0009073	GBNTO_005195-T1	
OG0009074	GBNTO_005196-T1	
OG0009075	GBNTO_005197-T1	
OG0009076	GBNTO_005198-T1	
OG0009077	GBNTO_005199-T1	
OG0009078	GBNTO_005200-T1	
OG0009079	GBNTO_005206-T1	
OG0009080	GBNTO_005207-T1	
OG0009081	GBNTO_005208-T1	
OG0009082	GBNTO_005210-T1	
OG0009083	GBNTO_005211-T1	
OG0009084	GBNTO_005216-T1	
OG0009085	GBNTO_005223-T1	
OG0009086	GBNTO_005229-T1	
OG0009087	GBNTO_005250-T1	
OG0009088	GBNTO_005252-T1	
OG0009089	GBNTO_005267-T1	
OG0009090	GBNTO_005271-T1	
OG0009091	GBNTO_005289-T1	
OG0009092	GBNTO_005303-T1	
OG0009093	GBNTO_005304-T1	
OG0009094	GBNTO_005307-T1	
OG0009095	GBNTO_005311-T1	
OG0009096	GBNTO_005316-T1	
OG0009097	GBNTO_005322-T1	
OG0009098	GBNTO_005330-T1	
OG0009099	GBNTO_005339-T1	
OG0009100	GBNTO_005351-T1	
OG0009101	GBNTO_005352-T1	
OG0009102	GBNTO_005365-T1	
OG0009103	GBNTO_005375-T1	
OG0009104	GBNTO_005379-T1	
OG0009105	GBNTO_005383-T1	
OG0009106	GBNTO_005407-T1	
OG0009107	GBNTO_005435-T1	
OG0009108	GBNTO_005450-T1	
OG0009109	GBNTO_005463-T1	
OG0009110	GBNTO_005476-T1	
OG0009111	GBNTO_005491-T1	
OG0009112	GBNTO_005493-T1	
OG0009113	GBNTO_005495-T1	
OG0009114	GBNTO_005500-T1	
OG0009115	GBNTO_005544-T1	
OG0009116	GBNTO_005547-T1	
OG0009117	GBNTO_005549-T1	
OG0009118	GBNTO_005551-T1	
OG0009119	GBNTO_005567-T1	
OG0009120	GBNTO_005613-T1	
OG0009121	GBNTO_005621-T1	
OG0009122	GBNTO_005625-T1	
OG0009123	GBNTO_005641-T1	
OG0009124	GBNTO_005655-T1	
OG0009125	GBNTO_005673-T1	
OG0009126	GBNTO_005674-T1	
OG0009127	GBNTO_005675-T1	
OG0009128	GBNTO_005694-T1	
OG0009129	GBNTO_005730-T1	
OG0009130	GBNTO_005742-T1	
OG0009131	GBNTO_005760-T1	
OG0009132	GBNTO_005777-T1	
OG0009133	GBNTO_005785-T1	
OG0009134	GBNTO_005791-T1	
OG0009135	GBNTO_005792-T1	
OG0009136	GBNTO_005805-T1	
OG0009137	GBNTO_005818-T1	
OG0009138	GBNTO_005824-T1	
OG0009139	GBNTO_005832-T1	
OG0009140	GBNTO_005887-T1	
OG0009141	GBNTO_005919-T1	
OG0009142	GBNTO_005943-T1	
OG0009143	GBNTO_005945-T1	
OG0009144	GBNTO_005956-T1	
OG0009145	GBNTO_005957-T1	
OG0009146	GBNTO_005958-T1	
OG0009147	GBNTO_005960-T1	
OG0009148	GBNTO_005966-T1	
OG0009149	GBNTO_005974-T1	
OG0009150	GBNTO_005986-T1	
OG0009151	GBNTO_005989-T1	
OG0009152	GBNTO_006030-T1	
OG0009153	GBNTO_006034-T1	
OG0009154	GBNTO_006046-T1	
OG0009155	GBNTO_006051-T1	
OG0009156	GBNTO_006072-T1	
OG0009157	GBNTO_006081-T1	
OG0009158	GBNTO_006085-T1	
OG0009159	GBNTO_006103-T1	
OG0009160	GBNTO_006112-T1	
OG0009161	GBNTO_006113-T1	
OG0009162	GBNTO_006125-T1	
OG0009163	GBNTO_006126-T1	
OG0009164	GBNTO_006129-T1	
OG0009165	GBNTO_006142-T1	
OG0009166	GBNTO_006147-T1	
OG0009167	GBNTO_006149-T1	
OG0009168	GBNTO_006186-T1	
OG0009169	GBNTO_006195-T1	
OG0009170	GBNTO_006199-T1	
OG0009171	GBNTO_006221-T1	
OG0009172	GBNTO_006230-T1	
OG0009173	GBNTO_006253-T1	
OG0009174	GBNTO_006274-T1	
OG0009175	GBNTO_006282-T1	
OG0009176	GBNTO_006314-T1	
OG0009177	GBNTO_006319-T1	
OG0009178	GBNTO_006321-T1	
OG0009179	GBNTO_006324-T1	
OG0009180	GBNTO_006326-T1	
OG0009181	GBNTO_006327-T1	
OG0009182	GBNTO_006347-T1	
OG0009183	GBNTO_006350-T1	
OG0009184	GBNTO_006351-T1	
OG0009185	GBNTO_006404-T1	
OG0009186	GBNTO_006405-T1	
OG0009187	GBNTO_006410-T1	
OG0009188	GBNTO_006411-T1	
OG0009189	GBNTO_006420-T1	
OG0009190	GBNTO_006428-T1	
OG0009191	GBNTO_006439-T1	
OG0009192	GBNTO_006454-T1	
OG0009193	GBNTO_006460-T1	
OG0009194	GBNTO_006463-T1	
OG0009195	GBNTO_006478-T1	
OG0009196	GBNTO_006480-T1	
OG0009197	GBNTO_006513-T1	
OG0009198	GBNTO_006515-T1	
OG0009199	GBNTO_006525-T1	
OG0009200	GBNTO_006528-T1	
OG0009201	GBNTO_006529-T1	
OG0009202	GBNTO_006533-T1	
OG0009203	GBNTO_006536-T1	
OG0009204	GBNTO_006550-T1	
OG0009205	GBNTO_006563-T1	
OG0009206	GBNTO_006580-T1	
OG0009207	GBNTO_006598-T1	
OG0009208	GBNTO_006605-T1	
OG0009209	GBNTO_006611-T1	
OG0009210	GBNTO_006612-T1	
OG0009211	GBNTO_006619-T1	
OG0009212	GBNTO_006621-T1	
OG0009213	GBNTO_006644-T1	
OG0009214	GBNTO_006646-T1	
OG0009215	GBNTO_006662-T1	
OG0009216	GBNTO_006679-T1	
OG0009217	GBNTO_006685-T1	
OG0009218	GBNTO_006699-T1	
OG0009219	GBNTO_006718-T1	
OG0009220	GBNTO_006738-T1	
OG0009221	GBNTO_006749-T1	
OG0009222	GBNTO_006762-T1	
OG0009223	GBNTO_006784-T1	
OG0009224	GBNTO_006796-T1	
OG0009225	GBNTO_006806-T1	
OG0009226	GBNTO_006815-T1	
OG0009227	GBNTO_006824-T1	
OG0009228	GBNTO_006835-T1	
OG0009229	GBNTO_006852-T1	
OG0009230	GBNTO_006853-T1	
OG0009231	GBNTO_006854-T1	
OG0009232	GBNTO_006867-T1	
OG0009233	GBNTO_006876-T1	
OG0009234	GBNTO_006882-T1	
OG0009235	GBNTO_006907-T1	
OG0009236	GBNTO_006908-T1	
OG0009237	GBNTO_006911-T1	
OG0009238	GBNTO_006918-T1	
OG0009239	GBNTO_006946-T1	
OG0009240	GBNTO_006953-T1	
OG0009241	GBNTO_006973-T1	
OG0009242	GBNTO_006986-T1	
OG0009243	GBNTO_006997-T1	
OG0009244	GBNTO_007004-T1	
OG0009245	GBNTO_007028-T1	
OG0009246	GBNTO_007049-T1	
OG0009247	GBNTO_007056-T1	
OG0009248	GBNTO_007059-T1	
OG0009249	GBNTO_007066-T1	
OG0009250	GBNTO_007071-T1	
OG0009251	GBNTO_007108-T1	
OG0009252	GBNTO_007126-T1	
OG0009253	GBNTO_007137-T1	
OG0009254	GBNTO_007155-T1	
OG0009255	GBNTO_007163-T1	
OG0009256	GBNTO_007169-T1	
OG0009257	GBNTO_007173-T1	
OG0009258	GBNTO_007195-T1	
OG0009259	GBNTO_007196-T1	
OG0009260	GBNTO_007210-T1	
OG0009261	GBNTO_007214-T1	
OG0009262	GBNTO_007247-T1	
OG0009263	GBNTO_007248-T1	
OG0009264	GBNTO_007251-T1	
OG0009265	GBNTO_007262-T1	
OG0009266	GBNTO_007263-T1	
OG0009267	GBNTO_007268-T1	
OG0009268	GBNTO_007278-T1	
OG0009269	GBNTO_007279-T1	
OG0009270	GBNTO_007318-T1	
OG0009271	GBNTO_007323-T1	
OG0009272	GBNTO_007325-T1	
OG0009273	GBNTO_007344-T1	
OG0009274	GBNTO_007351-T1	
OG0009275	GBNTO_007360-T1	
OG0009276	GBNTO_007362-T1	
OG0009277	GBNTO_007370-T1	
OG0009278	GBNTO_007390-T1	
OG0009279	GBNTO_007405-T1	
OG0009280	GBNTO_007406-T1	
OG0009281	GBNTO_007435-T1	
OG0009282	GBNTO_007439-T1	
OG0009283	GBNTO_007441-T1	
OG0009284	GBNTO_007444-T1	
OG0009285	GBNTO_007457-T1	
OG0009286	GBNTO_007467-T1	
OG0009287	GBNTO_007480-T1	
OG0009288	GBNTO_007493-T1	
OG0009289	GBNTO_007495-T1	
OG0009290	GBNTO_007506-T1	
OG0009291	GBNTO_007523-T1	
OG0009292	GBNTO_007541-T1	
OG0009293	GBNTO_007548-T1	
OG0009294	GBNTO_007563-T1	
OG0009295	GBNTO_007569-T1	
OG0009296	GBNTO_007588-T1	
OG0009297	GBNTO_007591-T1	
OG0009298	GBNTO_007594-T1	
OG0009299	GBNTO_007609-T1	
OG0009300	GBNTO_007615-T1	
OG0009301	GBNTO_007619-T1	
OG0009302	GBNTO_007635-T1	
OG0009303	GBNTO_007647-T1	
OG0009304	GBNTO_007684-T1	
OG0009305	GBNTO_007694-T1	
OG0009306	GBNTO_007699-T1	
OG0009307	GBNTO_007737-T1	
OG0009308	GBNTO_007744-T1	
OG0009309	GBNTO_007750-T1	
OG0009310	GBNTO_007755-T1	
OG0009311	GBNTO_007770-T1	
OG0009312	GBNTO_007774-T1	
OG0009313	GBNTO_007779-T1	
OG0009314	GBNTO_007780-T1	
OG0009315	GBNTO_007781-T1	
OG0009316	GBNTO_007801-T1	
OG0009317	GBNTO_007805-T1	
OG0009318	GBNTO_007807-T1	
OG0009319	GBNTO_007830-T1	
OG0009320	GBNTO_007854-T1	
OG0009321	GBNTO_007869-T1	
OG0009322	GBNTO_007875-T1	
OG0009323	GBNTO_007877-T1	
OG0009324	GBNTO_007881-T1	
OG0009325	GBNTO_007917-T1	
OG0009326	GBNTO_007924-T1	
OG0009327	GBNTO_007930-T1	
OG0009328	GBNTO_007934-T1	
OG0009329	GBNTO_007944-T1	
OG0009330	GBNTO_007948-T1	
OG0009331	GBNTO_007964-T1	
OG0009332	GBNTO_007971-T1	
OG0009333	GBNTO_007976-T1	
OG0009334	GBNTO_007993-T1	
OG0009335	GBNTO_007997-T1	
OG0009336	GBNTO_008015-T1	
OG0009337	GBNTO_008024-T1	
OG0009338	GBNTO_008028-T1	
OG0009339	GBNTO_008029-T1	
OG0009340	GBNTO_008033-T1	
OG0009341	GBNTO_008034-T1	
OG0009342	GBNTO_008053-T1	
OG0009343	GBNTO_008066-T1	
OG0009344	GBNTO_008068-T1	
OG0009345	GBNTO_008070-T1	
OG0009346	GBNTO_008078-T1	
OG0009347	GBNTO_008089-T1	
OG0009348	GBNTO_008101-T1	
OG0009349	GBNTO_008106-T1	
OG0009350	GBNTO_008111-T1	
OG0009351	GBNTO_008114-T1	
OG0009352	GBNTO_008122-T1	
