	Thamnostylum_nigricans_RSA_1405-.aa	Thamnostylum_nigricans_RSA_1406.aa
OG0000010	GBNWP_003279-T1, GBNWP_008412-T1, GBNWP_008428-T1, GBNWP_008472-T1, GBNWP_010454-T1, GBNWP_010455-T1	CHXZG_004086-T1, CHXZG_004103-T1, CHXZG_005667-T1, CHXZG_007261-T1, CHXZG_010456-T1, CHXZG_010457-T1, CHXZG_010458-T1
OG0000011	GBNWP_007516-T1	CHXZG_001541-T1, CHXZG_001930-T1, CHXZG_002060-T1, CHXZG_005445-T1, CHXZG_006377-T1, CHXZG_008400-T1, CHXZG_009275-T1, CHXZG_010259-T1, CHXZG_011279-T1, CHXZG_011280-T1, CHXZG_011583-T1, CHXZG_011584-T1
OG0000012	GBNWP_000058-T1, GBNWP_000059-T1, GBNWP_000060-T1, GBNWP_001009-T1, GBNWP_001010-T1, GBNWP_002429-T1, GBNWP_003459-T1, GBNWP_007077-T1, GBNWP_007321-T1, GBNWP_008105-T1, GBNWP_009395-T1	CHXZG_010193-T1
OG0000013	GBNWP_000325-T1, GBNWP_000824-T1, GBNWP_004983-T1, GBNWP_004990-T1, GBNWP_006990-T1, GBNWP_007009-T1	CHXZG_003492-T1, CHXZG_003692-T1, CHXZG_005770-T1, CHXZG_005843-T1, CHXZG_007321-T1, CHXZG_007791-T1
OG0000014	GBNWP_000463-T1, GBNWP_003706-T1, GBNWP_003749-T1, GBNWP_005145-T1, GBNWP_005146-T1	CHXZG_001095-T1, CHXZG_001096-T1, CHXZG_001128-T1, CHXZG_001135-T1, CHXZG_005635-T1, CHXZG_005636-T1, CHXZG_011486-T1
OG0000015	GBNWP_000530-T1, GBNWP_000531-T1, GBNWP_005200-T1, GBNWP_005733-T1, GBNWP_005776-T1, GBNWP_006656-T1	CHXZG_000067-T1, CHXZG_000411-T1, CHXZG_000412-T1, CHXZG_000413-T1, CHXZG_002276-T1, CHXZG_003581-T1
OG0000016	GBNWP_000906-T1, GBNWP_000907-T1, GBNWP_003116-T1, GBNWP_005308-T1, GBNWP_005309-T1	CHXZG_002884-T1, CHXZG_002885-T1, CHXZG_002886-T1, CHXZG_002888-T1, CHXZG_003706-T1, CHXZG_005809-T1, CHXZG_005810-T1
OG0000017	GBNWP_001028-T1, GBNWP_005210-T1, GBNWP_010028-T1	CHXZG_000003-T1, CHXZG_000019-T1, CHXZG_000614-T1, CHXZG_001533-T1, CHXZG_002286-T1, CHXZG_007118-T1, CHXZG_007119-T1, CHXZG_010278-T1, CHXZG_010279-T1
OG0000018	GBNWP_001760-T1, GBNWP_002182-T1, GBNWP_002185-T1, GBNWP_003461-T1, GBNWP_010808-T1	CHXZG_004200-T1, CHXZG_006740-T1, CHXZG_006743-T1, CHXZG_007961-T1, CHXZG_008750-T1, CHXZG_011194-T1, CHXZG_011195-T1
OG0000019	GBNWP_000110-T1, GBNWP_001407-T1, GBNWP_002199-T1, GBNWP_002200-T1, GBNWP_002219-T1, GBNWP_008041-T1	CHXZG_002546-T1, CHXZG_002547-T1, CHXZG_005398-T1, CHXZG_008012-T1, CHXZG_010929-T1
OG0000020	GBNWP_000170-T1, GBNWP_000614-T1, GBNWP_000966-T1, GBNWP_000967-T1, GBNWP_009659-T1	CHXZG_000678-T1, CHXZG_000855-T1, CHXZG_004286-T1, CHXZG_005723-T1, CHXZG_005724-T1, CHXZG_006132-T1
OG0000021	GBNWP_000241-T1, GBNWP_001512-T1, GBNWP_002296-T1, GBNWP_004332-T1, GBNWP_009829-T1	CHXZG_000885-T1, CHXZG_003862-T1, CHXZG_003939-T1, CHXZG_006649-T1, CHXZG_008912-T1, CHXZG_009732-T1
OG0000022	GBNWP_000334-T1, GBNWP_004351-T1, GBNWP_004615-T1, GBNWP_005326-T1, GBNWP_006938-T1	CHXZG_003322-T1, CHXZG_005965-T1, CHXZG_007797-T1, CHXZG_008668-T1, CHXZG_009144-T1, CHXZG_011355-T1
OG0000023	GBNWP_000593-T1, GBNWP_001521-T1, GBNWP_001522-T1, GBNWP_001528-T1, GBNWP_001529-T1, GBNWP_002768-T1, GBNWP_004667-T1, GBNWP_008158-T1, GBNWP_009513-T1, GBNWP_009660-T1	CHXZG_006131-T1
OG0000024	GBNWP_000818-T1, GBNWP_004078-T1, GBNWP_004388-T1, GBNWP_004721-T1, GBNWP_011205-T1	CHXZG_001866-T1, CHXZG_003988-T1, CHXZG_004653-T1, CHXZG_004748-T1, CHXZG_004862-T1, CHXZG_005477-T1
OG0000025	GBNWP_001566-T1, GBNWP_001575-T1, GBNWP_009000-T1, GBNWP_009024-T1, GBNWP_009871-T1	CHXZG_000585-T1, CHXZG_001631-T1, CHXZG_006502-T1, CHXZG_006578-T1, CHXZG_008829-T1, CHXZG_008830-T1
OG0000026	GBNWP_001662-T1, GBNWP_001668-T1, GBNWP_003071-T1, GBNWP_003874-T1, GBNWP_004100-T1, GBNWP_004659-T1, GBNWP_006587-T1, GBNWP_008082-T1, GBNWP_011206-T1, GBNWP_011207-T1	CHXZG_004423-T1
OG0000027	GBNWP_002015-T1, GBNWP_006580-T1, GBNWP_006705-T1, GBNWP_006869-T1, GBNWP_007442-T1, GBNWP_009521-T1	CHXZG_001401-T1, CHXZG_007546-T1, CHXZG_008203-T1, CHXZG_010124-T1, CHXZG_011317-T1
OG0000028	GBNWP_002803-T1, GBNWP_006787-T1, GBNWP_007829-T1, GBNWP_008140-T1, GBNWP_008142-T1	CHXZG_002169-T1, CHXZG_002203-T1, CHXZG_003799-T1, CHXZG_003800-T1, CHXZG_006239-T1, CHXZG_006241-T1
OG0000029	GBNWP_003635-T1, GBNWP_004137-T1, GBNWP_005529-T1, GBNWP_007380-T1, GBNWP_010425-T1	CHXZG_001015-T1, CHXZG_003153-T1, CHXZG_003649-T1, CHXZG_003651-T1, CHXZG_005622-T1, CHXZG_010486-T1
OG0000030	GBNWP_006011-T1, GBNWP_006019-T1, GBNWP_009882-T1, GBNWP_009885-T1, GBNWP_009886-T1	CHXZG_007618-T1, CHXZG_007626-T1, CHXZG_008841-T1, CHXZG_008842-T1, CHXZG_008845-T1, CHXZG_008846-T1
OG0000031	GBNWP_006653-T1, GBNWP_008814-T1, GBNWP_008815-T1, GBNWP_010440-T1, GBNWP_010441-T1, GBNWP_010442-T1, GBNWP_011127-T1	CHXZG_000064-T1, CHXZG_008364-T1, CHXZG_010471-T1, CHXZG_011239-T1
OG0000032		CHXZG_000346-T1, CHXZG_001913-T1, CHXZG_001914-T1, CHXZG_001915-T1, CHXZG_004202-T1, CHXZG_004520-T1, CHXZG_005056-T1, CHXZG_006276-T1, CHXZG_006484-T1, CHXZG_006485-T1, CHXZG_008599-T1
OG0000033		CHXZG_001863-T1, CHXZG_001867-T1, CHXZG_001868-T1, CHXZG_004422-T1, CHXZG_004769-T1, CHXZG_004791-T1, CHXZG_005180-T1, CHXZG_006671-T1, CHXZG_007465-T1, CHXZG_010586-T1, CHXZG_010587-T1
OG0000034	GBNWP_000090-T1, GBNWP_002988-T1, GBNWP_004610-T1, GBNWP_010677-T1	CHXZG_001820-T1, CHXZG_002430-T1, CHXZG_003203-T1, CHXZG_007566-T1, CHXZG_008176-T1, CHXZG_010907-T1
OG0000035	GBNWP_000473-T1, GBNWP_002706-T1, GBNWP_004457-T1, GBNWP_005629-T1, GBNWP_005630-T1	CHXZG_001348-T1, CHXZG_004223-T1, CHXZG_007087-T1, CHXZG_008286-T1, CHXZG_008287-T1
OG0000036	GBNWP_001992-T1, GBNWP_001993-T1, GBNWP_009237-T1, GBNWP_009238-T1, GBNWP_010656-T1	CHXZG_008731-T1, CHXZG_008732-T1, CHXZG_009827-T1, CHXZG_009828-T1, CHXZG_010793-T1
OG0000037	GBNWP_002054-T1, GBNWP_004277-T1, GBNWP_004281-T1, GBNWP_007434-T1, GBNWP_007949-T1	CHXZG_000978-T1, CHXZG_003440-T1, CHXZG_003444-T1, CHXZG_004564-T1, CHXZG_008342-T1
OG0000038	GBNWP_002278-T1, GBNWP_003990-T1, GBNWP_006735-T1, GBNWP_009403-T1, GBNWP_009404-T1	CHXZG_002517-T1, CHXZG_007220-T1, CHXZG_009808-T1, CHXZG_010184-T1, CHXZG_010185-T1
OG0000039	GBNWP_002905-T1, GBNWP_003261-T1, GBNWP_007051-T1, GBNWP_009931-T1, GBNWP_009939-T1	CHXZG_003282-T1, CHXZG_003290-T1, CHXZG_003415-T1, CHXZG_008344-T1, CHXZG_010331-T1
OG0000040	GBNWP_003392-T1, GBNWP_005091-T1, GBNWP_005980-T1, GBNWP_005981-T1, GBNWP_006836-T1	CHXZG_001210-T1, CHXZG_005340-T1, CHXZG_007460-T1, CHXZG_007660-T1, CHXZG_007661-T1
OG0000041	GBNWP_006043-T1, GBNWP_006045-T1, GBNWP_006898-T1, GBNWP_009533-T1, GBNWP_009534-T1	CHXZG_007594-T1, CHXZG_007596-T1, CHXZG_010157-T1, CHXZG_010854-T1, CHXZG_010855-T1
OG0000042	GBNWP_006204-T1, GBNWP_006205-T1, GBNWP_006206-T1, GBNWP_006207-T1, GBNWP_006291-T1	CHXZG_009306-T1, CHXZG_009325-T1, CHXZG_009326-T1, CHXZG_009327-T1, CHXZG_009328-T1
OG0000043	GBNWP_000044-T1, GBNWP_000795-T1, GBNWP_002455-T1, GBNWP_002456-T1, GBNWP_002472-T1, GBNWP_005417-T1, GBNWP_005849-T1, GBNWP_006310-T1, GBNWP_008752-T1	
OG0000044	GBNWP_000272-T1, GBNWP_000273-T1, GBNWP_000276-T1, GBNWP_000278-T1, GBNWP_000280-T1	CHXZG_004816-T1, CHXZG_004818-T1, CHXZG_004820-T1, CHXZG_004823-T1
OG0000045	GBNWP_000328-T1, GBNWP_001386-T1, GBNWP_003789-T1, GBNWP_003946-T1, GBNWP_007912-T1	CHXZG_001055-T1, CHXZG_003695-T1, CHXZG_005983-T1, CHXZG_009496-T1
OG0000046	GBNWP_001266-T1, GBNWP_001611-T1, GBNWP_005882-T1, GBNWP_010218-T1	CHXZG_001711-T1, CHXZG_003011-T1, CHXZG_005591-T1, CHXZG_005594-T1, CHXZG_006632-T1
OG0000047	GBNWP_001513-T1, GBNWP_002322-T1, GBNWP_002744-T1, GBNWP_004279-T1, GBNWP_007248-T1	CHXZG_003442-T1, CHXZG_003861-T1, CHXZG_008073-T1, CHXZG_010588-T1
OG0000048	GBNWP_001557-T1, GBNWP_002380-T1, GBNWP_005777-T1, GBNWP_010770-T1	CHXZG_001640-T1, CHXZG_002922-T1, CHXZG_003040-T1, CHXZG_003580-T1, CHXZG_011156-T1
OG0000049	GBNWP_001570-T1, GBNWP_005516-T1, GBNWP_007423-T1, GBNWP_007425-T1	CHXZG_001026-T1, CHXZG_001027-T1, CHXZG_001627-T1, CHXZG_005751-T1, CHXZG_010823-T1
OG0000050	GBNWP_002249-T1, GBNWP_002252-T1, GBNWP_004493-T1, GBNWP_010397-T1	CHXZG_000557-T1, CHXZG_000560-T1, CHXZG_001990-T1, CHXZG_003495-T1, CHXZG_003498-T1
OG0000051	GBNWP_002589-T1, GBNWP_006500-T1, GBNWP_008271-T1, GBNWP_008969-T1	CHXZG_000466-T1, CHXZG_002869-T1, CHXZG_008220-T1, CHXZG_009425-T1, CHXZG_010622-T1
OG0000052	GBNWP_003276-T1, GBNWP_003277-T1, GBNWP_007100-T1, GBNWP_009809-T1	CHXZG_004496-T1, CHXZG_008055-T1, CHXZG_008056-T1, CHXZG_010314-T1, CHXZG_010315-T1
OG0000053	GBNWP_003339-T1, GBNWP_004280-T1, GBNWP_004804-T1, GBNWP_010410-T1	CHXZG_003441-T1, CHXZG_004280-T1, CHXZG_004954-T1, CHXZG_007526-T1, CHXZG_008277-T1
OG0000054	GBNWP_003572-T1, GBNWP_009198-T1, GBNWP_009199-T1, GBNWP_009204-T1, GBNWP_009213-T1	CHXZG_004152-T1, CHXZG_008513-T1, CHXZG_008518-T1, CHXZG_008527-T1
OG0000055	GBNWP_003745-T1, GBNWP_004566-T1, GBNWP_006224-T1, GBNWP_009439-T1	CHXZG_001099-T1, CHXZG_003998-T1, CHXZG_008129-T1, CHXZG_008786-T1, CHXZG_009346-T1
OG0000056	GBNWP_004962-T1, GBNWP_006396-T1, GBNWP_006537-T1, GBNWP_006945-T1, GBNWP_008495-T1, GBNWP_009951-T1	CHXZG_006808-T1, CHXZG_007924-T1, CHXZG_009904-T1
OG0000057	GBNWP_007447-T1, GBNWP_010182-T1, GBNWP_010988-T1	CHXZG_006461-T1, CHXZG_009245-T1, CHXZG_009295-T1, CHXZG_011067-T1, CHXZG_011114-T1, CHXZG_011257-T1
OG0000058	GBNWP_000086-T1, GBNWP_008626-T1, GBNWP_009805-T1, GBNWP_010817-T1	CHXZG_007747-T1, CHXZG_008052-T1, CHXZG_010903-T1, CHXZG_011205-T1
OG0000059	GBNWP_000109-T1, GBNWP_008898-T1, GBNWP_009942-T1, GBNWP_009946-T1	CHXZG_003294-T1, CHXZG_003297-T1, CHXZG_010693-T1, CHXZG_010928-T1
OG0000060	GBNWP_000138-T1, GBNWP_002163-T1, GBNWP_008915-T1, GBNWP_009122-T1	CHXZG_000645-T1, CHXZG_005697-T1, CHXZG_006721-T1, CHXZG_010676-T1
OG0000061	GBNWP_000142-T1, GBNWP_001577-T1, GBNWP_004133-T1, GBNWP_009956-T1	CHXZG_000649-T1, CHXZG_003655-T1, CHXZG_006580-T1, CHXZG_006813-T1
OG0000062	GBNWP_000197-T1, GBNWP_000428-T1, GBNWP_001262-T1, GBNWP_004521-T1	CHXZG_000709-T1, CHXZG_003015-T1, CHXZG_006123-T1, CHXZG_011425-T1
OG0000063	GBNWP_000212-T1, GBNWP_000360-T1, GBNWP_007530-T1	CHXZG_000893-T1, CHXZG_008474-T1, CHXZG_008940-T1, CHXZG_010988-T1, CHXZG_011310-T1
OG0000064	GBNWP_000219-T1, GBNWP_000998-T1, GBNWP_003949-T1, GBNWP_006172-T1	CHXZG_000771-T1, CHXZG_001387-T1, CHXZG_006660-T1, CHXZG_008935-T1
OG0000065	GBNWP_000226-T1, GBNWP_000457-T1, GBNWP_002310-T1	CHXZG_005088-T1, CHXZG_008401-T1, CHXZG_008928-T1, CHXZG_011479-T1, CHXZG_011480-T1
OG0000066	GBNWP_000227-T1, GBNWP_000228-T1, GBNWP_005347-T1, GBNWP_008309-T1	CHXZG_005914-T1, CHXZG_006888-T1, CHXZG_008926-T1, CHXZG_008927-T1
OG0000067	GBNWP_000315-T1, GBNWP_000419-T1, GBNWP_006184-T1, GBNWP_011166-T1	CHXZG_001156-T1, CHXZG_006780-T1, CHXZG_010439-T1, CHXZG_011434-T1
OG0000068	GBNWP_000376-T1, GBNWP_005435-T1, GBNWP_007188-T1, GBNWP_010091-T1	CHXZG_002308-T1, CHXZG_002423-T1, CHXZG_009257-T1, CHXZG_009881-T1
OG0000069	GBNWP_000385-T1, GBNWP_008011-T1, GBNWP_009321-T1	CHXZG_000096-T1, CHXZG_000145-T1, CHXZG_002414-T1, CHXZG_005367-T1, CHXZG_007004-T1
OG0000070	GBNWP_000499-T1, GBNWP_009502-T1, GBNWP_009509-T1, GBNWP_010396-T1	CHXZG_003499-T1, CHXZG_004249-T1, CHXZG_009014-T1, CHXZG_009021-T1
OG0000071	GBNWP_000500-T1, GBNWP_004414-T1, GBNWP_007630-T1, GBNWP_009505-T1	CHXZG_000130-T1, CHXZG_004251-T1, CHXZG_006326-T1, CHXZG_009018-T1
OG0000072	GBNWP_000640-T1, GBNWP_003849-T1, GBNWP_006147-T1, GBNWP_006839-T1	CHXZG_000293-T1, CHXZG_001661-T1, CHXZG_004836-T1, CHXZG_006621-T1
OG0000073	GBNWP_000846-T1, GBNWP_000847-T1, GBNWP_000848-T1, GBNWP_000849-T1	CHXZG_009095-T1, CHXZG_009096-T1, CHXZG_009097-T1, CHXZG_009098-T1
OG0000074	GBNWP_000938-T1, GBNWP_001973-T1, GBNWP_003340-T1, GBNWP_005069-T1	CHXZG_003005-T1, CHXZG_004436-T1, CHXZG_006561-T1, CHXZG_007525-T1
OG0000075	GBNWP_001816-T1, GBNWP_001967-T1, GBNWP_002426-T1, GBNWP_008919-T1	CHXZG_000343-T1, CHXZG_007173-T1, CHXZG_009683-T1, CHXZG_010672-T1
OG0000076	GBNWP_001943-T1, GBNWP_005684-T1, GBNWP_009322-T1, GBNWP_010732-T1	CHXZG_000095-T1, CHXZG_002072-T1, CHXZG_006053-T1, CHXZG_006463-T1
OG0000077	GBNWP_002078-T1, GBNWP_004341-T1, GBNWP_004639-T1, GBNWP_008866-T1	CHXZG_005129-T1, CHXZG_006935-T1, CHXZG_009133-T1, CHXZG_009936-T1
OG0000078	GBNWP_002284-T1	CHXZG_001838-T1, CHXZG_001945-T1, CHXZG_002189-T1, CHXZG_002523-T1, CHXZG_006278-T1, CHXZG_007165-T1, CHXZG_007309-T1
OG0000079	GBNWP_002437-T1, GBNWP_003329-T1, GBNWP_009278-T1, GBNWP_009838-T1	CHXZG_007536-T1, CHXZG_008687-T1, CHXZG_009724-T1, CHXZG_011300-T1
OG0000080	GBNWP_003061-T1, GBNWP_004017-T1, GBNWP_005166-T1, GBNWP_010799-T1	CHXZG_000742-T1, CHXZG_002706-T1, CHXZG_005191-T1, CHXZG_011187-T1
OG0000081	GBNWP_003134-T1, GBNWP_008101-T1, GBNWP_008243-T1	CHXZG_000702-T1, CHXZG_003724-T1, CHXZG_005176-T1, CHXZG_006282-T1, CHXZG_006983-T1
OG0000082	GBNWP_003162-T1, GBNWP_005867-T1, GBNWP_009124-T1, GBNWP_010507-T1	CHXZG_005458-T1, CHXZG_005695-T1, CHXZG_006458-T1, CHXZG_011083-T1
OG0000083	GBNWP_003226-T1, GBNWP_004533-T1, GBNWP_004534-T1, GBNWP_006862-T1	CHXZG_001685-T1, CHXZG_003611-T1, CHXZG_003759-T1, CHXZG_003760-T1
OG0000084	GBNWP_003236-T1, GBNWP_003646-T1, GBNWP_003647-T1, GBNWP_009418-T1	CHXZG_002690-T1, CHXZG_002692-T1, CHXZG_008764-T1, CHXZG_010094-T1
OG0000085	GBNWP_003431-T1, GBNWP_004976-T1, GBNWP_004977-T1, GBNWP_007019-T1	CHXZG_003481-T1, CHXZG_007587-T1, CHXZG_007588-T1, CHXZG_010413-T1
OG0000086	GBNWP_003786-T1, GBNWP_004377-T1, GBNWP_007271-T1, GBNWP_008456-T1	CHXZG_001058-T1, CHXZG_007246-T1, CHXZG_008651-T1, CHXZG_009172-T1
OG0000087	GBNWP_004127-T1, GBNWP_004889-T1, GBNWP_004890-T1, GBNWP_004891-T1	CHXZG_003661-T1, CHXZG_005143-T1, CHXZG_005144-T1, CHXZG_005145-T1
OG0000088	GBNWP_004951-T1, GBNWP_007224-T1, GBNWP_009177-T1, GBNWP_010916-T1	CHXZG_002342-T1, CHXZG_004921-T1, CHXZG_005506-T1, CHXZG_008494-T1
OG0000089	GBNWP_005070-T1, GBNWP_008208-T1, GBNWP_009145-T1	CHXZG_002994-T1, CHXZG_003006-T1, CHXZG_006444-T1, CHXZG_007020-T1, CHXZG_010753-T1
OG0000090	GBNWP_005513-T1, GBNWP_005688-T1, GBNWP_007219-T1, GBNWP_010716-T1	CHXZG_002337-T1, CHXZG_005278-T1, CHXZG_005747-T1, CHXZG_006057-T1
OG0000091	GBNWP_006417-T1, GBNWP_007405-T1, GBNWP_007421-T1, GBNWP_010573-T1	CHXZG_001029-T1, CHXZG_001044-T1, CHXZG_003252-T1, CHXZG_009638-T1
OG0000092	GBNWP_007066-T1, GBNWP_007123-T1, GBNWP_007124-T1	CHXZG_004471-T1, CHXZG_004472-T1, CHXZG_004473-T1, CHXZG_004531-T1, CHXZG_007720-T1
OG0000093	GBNWP_007088-T1, GBNWP_007716-T1, GBNWP_009757-T1, GBNWP_011218-T1	CHXZG_001878-T1, CHXZG_004508-T1, CHXZG_005905-T1, CHXZG_009546-T1
OG0000094	GBNWP_008506-T1, GBNWP_009162-T1, GBNWP_010013-T1	CHXZG_000754-T1, CHXZG_000955-T1, CHXZG_009125-T1, CHXZG_010590-T1, CHXZG_011030-T1
OG0000095		CHXZG_000831-T1, CHXZG_002011-T1, CHXZG_002012-T1, CHXZG_002019-T1, CHXZG_003836-T1, CHXZG_004783-T1, CHXZG_006399-T1, CHXZG_009010-T1
OG0000096		CHXZG_001944-T1, CHXZG_002287-T1, CHXZG_003263-T1, CHXZG_003268-T1, CHXZG_005103-T1, CHXZG_009605-T1, CHXZG_009854-T1, CHXZG_010640-T1
OG0000097	GBNWP_000032-T1, GBNWP_006387-T1, GBNWP_007166-T1, GBNWP_008950-T1, GBNWP_010118-T1, GBNWP_010588-T1, GBNWP_010894-T1	
OG0000098	GBNWP_000111-T1, GBNWP_000354-T1, GBNWP_000918-T1	CHXZG_006297-T1, CHXZG_007091-T1, CHXZG_010930-T1, CHXZG_011376-T1
OG0000099	GBNWP_000470-T1, GBNWP_007254-T1, GBNWP_008370-T1, GBNWP_008374-T1	CHXZG_002034-T1, CHXZG_008944-T1, CHXZG_010238-T1
OG0000100	GBNWP_000592-T1, GBNWP_007165-T1, GBNWP_009519-T1, GBNWP_010184-T1	CHXZG_000567-T1, CHXZG_002748-T1, CHXZG_009959-T1
OG0000101	GBNWP_000605-T1, GBNWP_001456-T1, GBNWP_009307-T1	CHXZG_000110-T1, CHXZG_000846-T1, CHXZG_003921-T1, CHXZG_005341-T1
OG0000102	GBNWP_000961-T1, GBNWP_010067-T1, GBNWP_010369-T1, GBNWP_011030-T1, GBNWP_011072-T1	CHXZG_000894-T1, CHXZG_004279-T1
OG0000103	GBNWP_000999-T1, GBNWP_003906-T1, GBNWP_006490-T1, GBNWP_010128-T1	CHXZG_000770-T1, CHXZG_008210-T1, CHXZG_009795-T1
OG0000104	GBNWP_001796-T1, GBNWP_003223-T1, GBNWP_010903-T1	CHXZG_003614-T1, CHXZG_005792-T1, CHXZG_009594-T1, CHXZG_009664-T1
OG0000105	GBNWP_002091-T1, GBNWP_002092-T1, GBNWP_010950-T1	CHXZG_010873-T1, CHXZG_010875-T1, CHXZG_010876-T1, CHXZG_011024-T1
OG0000106	GBNWP_002193-T1, GBNWP_002194-T1, GBNWP_003093-T1, GBNWP_003763-T1	CHXZG_001081-T1, CHXZG_002541-T1, CHXZG_004037-T1
OG0000107	GBNWP_002363-T1, GBNWP_002364-T1, GBNWP_003168-T1, GBNWP_004856-T1	CHXZG_002937-T1, CHXZG_002938-T1, CHXZG_005005-T1
OG0000108	GBNWP_002446-T1, GBNWP_010351-T1, GBNWP_010685-T1	CHXZG_002436-T1, CHXZG_002487-T1, CHXZG_011291-T1, CHXZG_011602-T1
OG0000109	GBNWP_002457-T1, GBNWP_002471-T1, GBNWP_004425-T1, GBNWP_009635-T1	CHXZG_002061-T1, CHXZG_006157-T1, CHXZG_011278-T1
OG0000110	GBNWP_003265-T1, GBNWP_007598-T1, GBNWP_010239-T1	CHXZG_001799-T1, CHXZG_005615-T1, CHXZG_009266-T1, CHXZG_010326-T1
OG0000111	GBNWP_003393-T1, GBNWP_005250-T1, GBNWP_005251-T1, GBNWP_010797-T1	CHXZG_001211-T1, CHXZG_010022-T1, CHXZG_011185-T1
