	Thamnostylum_nigricans_RSA_1405-.aa	Thamnostylum_nigricans_RSA_1406.aa
OG0009174	GBNWP_001699-T1	
OG0009175	GBNWP_001724-T1	
OG0009176	GBNWP_001749-T1	
OG0009177	GBNWP_001752-T1	
OG0009178	GBNWP_001779-T1	
OG0009179	GBNWP_001813-T1	
OG0009180	GBNWP_001829-T1	
OG0009181	GBNWP_001867-T1	
OG0009182	GBNWP_001895-T1	
OG0009183	GBNWP_001903-T1	
OG0009184	GBNWP_001931-T1	
OG0009185	GBNWP_001937-T1	
OG0009186	GBNWP_001981-T1	
OG0009187	GBNWP_002002-T1	
OG0009188	GBNWP_002003-T1	
OG0009189	GBNWP_002012-T1	
OG0009190	GBNWP_002014-T1	
OG0009191	GBNWP_002028-T1	
OG0009192	GBNWP_002033-T1	
OG0009193	GBNWP_002042-T1	
OG0009194	GBNWP_002065-T1	
OG0009195	GBNWP_002066-T1	
OG0009196	GBNWP_002080-T1	
OG0009197	GBNWP_002084-T1	
OG0009198	GBNWP_002090-T1	
OG0009199	GBNWP_002099-T1	
OG0009200	GBNWP_002100-T1	
OG0009201	GBNWP_002118-T1	
OG0009202	GBNWP_002143-T1	
OG0009203	GBNWP_002181-T1	
OG0009204	GBNWP_002220-T1	
OG0009205	GBNWP_002223-T1	
OG0009206	GBNWP_002243-T1	
OG0009207	GBNWP_002268-T1	
OG0009208	GBNWP_002280-T1	
OG0009209	GBNWP_002344-T1	
OG0009210	GBNWP_002369-T1	
OG0009211	GBNWP_002370-T1	
OG0009212	GBNWP_002388-T1	
OG0009213	GBNWP_002402-T1	
OG0009214	GBNWP_002537-T1	
OG0009215	GBNWP_002554-T1	
OG0009216	GBNWP_002586-T1	
OG0009217	GBNWP_002609-T1	
OG0009218	GBNWP_002642-T1	
OG0009219	GBNWP_002649-T1	
OG0009220	GBNWP_002652-T1	
OG0009221	GBNWP_002660-T1	
OG0009222	GBNWP_002687-T1	
OG0009223	GBNWP_002698-T1	
OG0009224	GBNWP_002699-T1	
OG0009225	GBNWP_002709-T1	
OG0009226	GBNWP_002714-T1	
OG0009227	GBNWP_002745-T1	
OG0009228	GBNWP_002751-T1	
OG0009229	GBNWP_002797-T1	
OG0009230	GBNWP_002804-T1	
OG0009231	GBNWP_002807-T1	
OG0009232	GBNWP_002835-T1	
OG0009233	GBNWP_002868-T1	
OG0009234	GBNWP_002870-T1	
OG0009235	GBNWP_002875-T1	
OG0009236	GBNWP_002883-T1	
OG0009237	GBNWP_002890-T1	
OG0009238	GBNWP_002914-T1	
OG0009239	GBNWP_002938-T1	
OG0009240	GBNWP_002943-T1	
OG0009241	GBNWP_002993-T1	
OG0009242	GBNWP_003002-T1	
OG0009243	GBNWP_003014-T1	
OG0009244	GBNWP_003087-T1	
OG0009245	GBNWP_003092-T1	
OG0009246	GBNWP_003113-T1	
OG0009247	GBNWP_003128-T1	
OG0009248	GBNWP_003140-T1	
OG0009249	GBNWP_003198-T1	
OG0009250	GBNWP_003245-T1	
OG0009251	GBNWP_003304-T1	
OG0009252	GBNWP_003332-T1	
OG0009253	GBNWP_003343-T1	
OG0009254	GBNWP_003387-T1	
OG0009255	GBNWP_003426-T1	
OG0009256	GBNWP_003526-T1	
OG0009257	GBNWP_003544-T1	
OG0009258	GBNWP_003559-T1	
OG0009259	GBNWP_003615-T1	
OG0009260	GBNWP_003636-T1	
OG0009261	GBNWP_003637-T1	
OG0009262	GBNWP_003660-T1	
OG0009263	GBNWP_003699-T1	
OG0009264	GBNWP_003713-T1	
OG0009265	GBNWP_003714-T1	
OG0009266	GBNWP_003724-T1	
OG0009267	GBNWP_003731-T1	
OG0009268	GBNWP_003746-T1	
OG0009269	GBNWP_003753-T1	
OG0009270	GBNWP_003754-T1	
OG0009271	GBNWP_003797-T1	
OG0009272	GBNWP_003811-T1	
OG0009273	GBNWP_003815-T1	
OG0009274	GBNWP_003869-T1	
OG0009275	GBNWP_003916-T1	
OG0009276	GBNWP_004023-T1	
OG0009277	GBNWP_004069-T1	
OG0009278	GBNWP_004080-T1	
OG0009279	GBNWP_004101-T1	
OG0009280	GBNWP_004125-T1	
OG0009281	GBNWP_004136-T1	
OG0009282	GBNWP_004139-T1	
OG0009283	GBNWP_004152-T1	
OG0009284	GBNWP_004153-T1	
OG0009285	GBNWP_004162-T1	
OG0009286	GBNWP_004184-T1	
OG0009287	GBNWP_004185-T1	
OG0009288	GBNWP_004239-T1	
OG0009289	GBNWP_004275-T1	
OG0009290	GBNWP_004287-T1	
OG0009291	GBNWP_004302-T1	
OG0009292	GBNWP_004305-T1	
OG0009293	GBNWP_004325-T1	
OG0009294	GBNWP_004326-T1	
OG0009295	GBNWP_004409-T1	
OG0009296	GBNWP_004438-T1	
OG0009297	GBNWP_004458-T1	
OG0009298	GBNWP_004467-T1	
OG0009299	GBNWP_004478-T1	
OG0009300	GBNWP_004514-T1	
OG0009301	GBNWP_004612-T1	
OG0009302	GBNWP_004614-T1	
OG0009303	GBNWP_004618-T1	
OG0009304	GBNWP_004629-T1	
OG0009305	GBNWP_004630-T1	
OG0009306	GBNWP_004632-T1	
OG0009307	GBNWP_004638-T1	
OG0009308	GBNWP_004690-T1	
OG0009309	GBNWP_004709-T1	
OG0009310	GBNWP_004717-T1	
OG0009311	GBNWP_004762-T1	
OG0009312	GBNWP_004777-T1	
OG0009313	GBNWP_004788-T1	
OG0009314	GBNWP_004790-T1	
OG0009315	GBNWP_004791-T1	
OG0009316	GBNWP_004792-T1	
OG0009317	GBNWP_004794-T1	
OG0009318	GBNWP_004813-T1	
OG0009319	GBNWP_004816-T1	
OG0009320	GBNWP_004855-T1	
OG0009321	GBNWP_004877-T1	
OG0009322	GBNWP_004930-T1	
OG0009323	GBNWP_004941-T1	
OG0009324	GBNWP_004956-T1	
OG0009325	GBNWP_004992-T1	
OG0009326	GBNWP_005007-T1	
OG0009327	GBNWP_005017-T1	
OG0009328	GBNWP_005047-T1	
OG0009329	GBNWP_005048-T1	
OG0009330	GBNWP_005049-T1	
OG0009331	GBNWP_005059-T1	
OG0009332	GBNWP_005092-T1	
OG0009333	GBNWP_005107-T1	
OG0009334	GBNWP_005134-T1	
OG0009335	GBNWP_005138-T1	
OG0009336	GBNWP_005149-T1	
OG0009337	GBNWP_005153-T1	
OG0009338	GBNWP_005154-T1	
OG0009339	GBNWP_005157-T1	
OG0009340	GBNWP_005185-T1	
OG0009341	GBNWP_005212-T1	
OG0009342	GBNWP_005233-T1	
OG0009343	GBNWP_005252-T1	
OG0009344	GBNWP_005254-T1	
OG0009345	GBNWP_005271-T1	
OG0009346	GBNWP_005272-T1	
OG0009347	GBNWP_005274-T1	
OG0009348	GBNWP_005289-T1	
OG0009349	GBNWP_005304-T1	
OG0009350	GBNWP_005338-T1	
OG0009351	GBNWP_005352-T1	
OG0009352	GBNWP_005363-T1	
OG0009353	GBNWP_005397-T1	
OG0009354	GBNWP_005410-T1	
OG0009355	GBNWP_005425-T1	
OG0009356	GBNWP_005426-T1	
OG0009357	GBNWP_005466-T1	
OG0009358	GBNWP_005491-T1	
OG0009359	GBNWP_005495-T1	
OG0009360	GBNWP_005499-T1	
OG0009361	GBNWP_005521-T1	
OG0009362	GBNWP_005524-T1	
OG0009363	GBNWP_005530-T1	
OG0009364	GBNWP_005533-T1	
OG0009365	GBNWP_005544-T1	
OG0009366	GBNWP_005552-T1	
OG0009367	GBNWP_005553-T1	
OG0009368	GBNWP_005554-T1	
OG0009369	GBNWP_005565-T1	
OG0009370	GBNWP_005592-T1	
OG0009371	GBNWP_005639-T1	
OG0009372	GBNWP_005693-T1	
OG0009373	GBNWP_005747-T1	
OG0009374	GBNWP_005750-T1	
OG0009375	GBNWP_005753-T1	
OG0009376	GBNWP_005770-T1	
OG0009377	GBNWP_005797-T1	
OG0009378	GBNWP_005842-T1	
OG0009379	GBNWP_005853-T1	
OG0009380	GBNWP_005873-T1	
OG0009381	GBNWP_005893-T1	
OG0009382	GBNWP_005894-T1	
OG0009383	GBNWP_005935-T1	
OG0009384	GBNWP_006022-T1	
OG0009385	GBNWP_006027-T1	
OG0009386	GBNWP_006058-T1	
OG0009387	GBNWP_006067-T1	
OG0009388	GBNWP_006071-T1	
OG0009389	GBNWP_006073-T1	
OG0009390	GBNWP_006074-T1	
OG0009391	GBNWP_006080-T1	
OG0009392	GBNWP_006097-T1	
OG0009393	GBNWP_006111-T1	
OG0009394	GBNWP_006144-T1	
OG0009395	GBNWP_006163-T1	
OG0009396	GBNWP_006176-T1	
OG0009397	GBNWP_006177-T1	
OG0009398	GBNWP_006179-T1	
OG0009399	GBNWP_006195-T1	
OG0009400	GBNWP_006232-T1	
OG0009401	GBNWP_006233-T1	
OG0009402	GBNWP_006296-T1	
OG0009403	GBNWP_006339-T1	
OG0009404	GBNWP_006345-T1	
OG0009405	GBNWP_006377-T1	
OG0009406	GBNWP_006408-T1	
OG0009407	GBNWP_006424-T1	
OG0009408	GBNWP_006432-T1	
OG0009409	GBNWP_006437-T1	
OG0009410	GBNWP_006535-T1	
OG0009411	GBNWP_006541-T1	
OG0009412	GBNWP_006543-T1	
OG0009413	GBNWP_006552-T1	
OG0009414	GBNWP_006553-T1	
OG0009415	GBNWP_006608-T1	
OG0009416	GBNWP_006609-T1	
OG0009417	GBNWP_006613-T1	
OG0009418	GBNWP_006630-T1	
OG0009419	GBNWP_006664-T1	
OG0009420	GBNWP_006700-T1	
OG0009421	GBNWP_006701-T1	
OG0009422	GBNWP_006707-T1	
OG0009423	GBNWP_006715-T1	
OG0009424	GBNWP_006732-T1	
OG0009425	GBNWP_006746-T1	
OG0009426	GBNWP_006753-T1	
OG0009427	GBNWP_006754-T1	
OG0009428	GBNWP_006756-T1	
OG0009429	GBNWP_006815-T1	
OG0009430	GBNWP_006830-T1	
OG0009431	GBNWP_006833-T1	
OG0009432	GBNWP_006835-T1	
OG0009433	GBNWP_006855-T1	
OG0009434	GBNWP_006922-T1	
OG0009435	GBNWP_006923-T1	
OG0009436	GBNWP_006925-T1	
OG0009437	GBNWP_006932-T1	
OG0009438	GBNWP_006951-T1	
OG0009439	GBNWP_006956-T1	
OG0009440	GBNWP_006978-T1	
OG0009441	GBNWP_006992-T1	
OG0009442	GBNWP_007007-T1	
OG0009443	GBNWP_007008-T1	
OG0009444	GBNWP_007044-T1	
OG0009445	GBNWP_007047-T1	
OG0009446	GBNWP_007057-T1	
OG0009447	GBNWP_007062-T1	
OG0009448	GBNWP_007101-T1	
OG0009449	GBNWP_007112-T1	
OG0009450	GBNWP_007125-T1	
OG0009451	GBNWP_007133-T1	
OG0009452	GBNWP_007137-T1	
OG0009453	GBNWP_007138-T1	
OG0009454	GBNWP_007149-T1	
OG0009455	GBNWP_007164-T1	
OG0009456	GBNWP_007168-T1	
OG0009457	GBNWP_007169-T1	
OG0009458	GBNWP_007201-T1	
OG0009459	GBNWP_007202-T1	
OG0009460	GBNWP_007214-T1	
OG0009461	GBNWP_007238-T1	
OG0009462	GBNWP_007246-T1	
OG0009463	GBNWP_007319-T1	
OG0009464	GBNWP_007346-T1	
OG0009465	GBNWP_007360-T1	
OG0009466	GBNWP_007364-T1	
OG0009467	GBNWP_007386-T1	
OG0009468	GBNWP_007399-T1	
OG0009469	GBNWP_007416-T1	
OG0009470	GBNWP_007424-T1	
OG0009471	GBNWP_007433-T1	
OG0009472	GBNWP_007435-T1	
OG0009473	GBNWP_007439-T1	
OG0009474	GBNWP_007449-T1	
OG0009475	GBNWP_007452-T1	
OG0009476	GBNWP_007453-T1	
OG0009477	GBNWP_007454-T1	
OG0009478	GBNWP_007519-T1	
OG0009479	GBNWP_007520-T1	
OG0009480	GBNWP_007524-T1	
OG0009481	GBNWP_007528-T1	
OG0009482	GBNWP_007533-T1	
OG0009483	GBNWP_007534-T1	
OG0009484	GBNWP_007542-T1	
OG0009485	GBNWP_007599-T1	
OG0009486	GBNWP_007604-T1	
OG0009487	GBNWP_007608-T1	
OG0009488	GBNWP_007613-T1	
OG0009489	GBNWP_007617-T1	
OG0009490	GBNWP_007619-T1	
OG0009491	GBNWP_007622-T1	
OG0009492	GBNWP_007633-T1	
OG0009493	GBNWP_007638-T1	
OG0009494	GBNWP_007686-T1	
OG0009495	GBNWP_007695-T1	
OG0009496	GBNWP_007697-T1	
OG0009497	GBNWP_007741-T1	
OG0009498	GBNWP_007769-T1	
OG0009499	GBNWP_007771-T1	
OG0009500	GBNWP_007779-T1	
OG0009501	GBNWP_007787-T1	
OG0009502	GBNWP_007794-T1	
OG0009503	GBNWP_007795-T1	
OG0009504	GBNWP_007850-T1	
OG0009505	GBNWP_007852-T1	
OG0009506	GBNWP_007854-T1	
OG0009507	GBNWP_007855-T1	
OG0009508	GBNWP_007856-T1	
OG0009509	GBNWP_007877-T1	
OG0009510	GBNWP_007894-T1	
OG0009511	GBNWP_007914-T1	
OG0009512	GBNWP_007933-T1	
OG0009513	GBNWP_007938-T1	
OG0009514	GBNWP_007951-T1	
OG0009515	GBNWP_007971-T1	
OG0009516	GBNWP_007978-T1	
OG0009517	GBNWP_007981-T1	
OG0009518	GBNWP_007985-T1	
OG0009519	GBNWP_007996-T1	
OG0009520	GBNWP_008000-T1	
OG0009521	GBNWP_008009-T1	
OG0009522	GBNWP_008039-T1	
OG0009523	GBNWP_008050-T1	
OG0009524	GBNWP_008061-T1	
OG0009525	GBNWP_008074-T1	
OG0009526	GBNWP_008079-T1	
OG0009527	GBNWP_008083-T1	
OG0009528	GBNWP_008085-T1	
OG0009529	GBNWP_008116-T1	
OG0009530	GBNWP_008146-T1	
OG0009531	GBNWP_008147-T1	
OG0009532	GBNWP_008149-T1	
OG0009533	GBNWP_008151-T1	
OG0009534	GBNWP_008154-T1	
OG0009535	GBNWP_008182-T1	
OG0009536	GBNWP_008193-T1	
OG0009537	GBNWP_008194-T1	
OG0009538	GBNWP_008211-T1	
OG0009539	GBNWP_008277-T1	
OG0009540	GBNWP_008285-T1	
OG0009541	GBNWP_008302-T1	
OG0009542	GBNWP_008303-T1	
OG0009543	GBNWP_008307-T1	
OG0009544	GBNWP_008324-T1	
OG0009545	GBNWP_008333-T1	
OG0009546	GBNWP_008354-T1	
OG0009547	GBNWP_008434-T1	
OG0009548	GBNWP_008436-T1	
OG0009549	GBNWP_008438-T1	
OG0009550	GBNWP_008439-T1	
OG0009551	GBNWP_008441-T1	
OG0009552	GBNWP_008452-T1	
OG0009553	GBNWP_008459-T1	
OG0009554	GBNWP_008490-T1	
OG0009555	GBNWP_008496-T1	
OG0009556	GBNWP_008499-T1	
OG0009557	GBNWP_008504-T1	
OG0009558	GBNWP_008505-T1	
OG0009559	GBNWP_008511-T1	
OG0009560	GBNWP_008516-T1	
OG0009561	GBNWP_008551-T1	
OG0009562	GBNWP_008587-T1	
OG0009563	GBNWP_008592-T1	
OG0009564	GBNWP_008598-T1	
OG0009565	GBNWP_008607-T1	
OG0009566	GBNWP_008616-T1	
OG0009567	GBNWP_008653-T1	
OG0009568	GBNWP_008661-T1	
OG0009569	GBNWP_008669-T1	
OG0009570	GBNWP_008677-T1	
OG0009571	GBNWP_008684-T1	
OG0009572	GBNWP_008717-T1	
OG0009573	GBNWP_008719-T1	
OG0009574	GBNWP_008720-T1	
OG0009575	GBNWP_008723-T1	
OG0009576	GBNWP_008748-T1	
OG0009577	GBNWP_008771-T1	
OG0009578	GBNWP_008774-T1	
OG0009579	GBNWP_008778-T1	
OG0009580	GBNWP_008779-T1	
OG0009581	GBNWP_008780-T1	
OG0009582	GBNWP_008794-T1	
OG0009583	GBNWP_008804-T1	
OG0009584	GBNWP_008808-T1	
OG0009585	GBNWP_008835-T1	
OG0009586	GBNWP_008871-T1	
OG0009587	GBNWP_008873-T1	
OG0009588	GBNWP_008894-T1	
OG0009589	GBNWP_008897-T1	
OG0009590	GBNWP_008903-T1	
OG0009591	GBNWP_008944-T1	
OG0009592	GBNWP_008947-T1	
OG0009593	GBNWP_008949-T1	
OG0009594	GBNWP_008958-T1	
OG0009595	GBNWP_008960-T1	
OG0009596	GBNWP_008961-T1	
OG0009597	GBNWP_008981-T1	
OG0009598	GBNWP_008995-T1	
OG0009599	GBNWP_008996-T1	
OG0009600	GBNWP_009014-T1	
OG0009601	GBNWP_009032-T1	
OG0009602	GBNWP_009108-T1	
OG0009603	GBNWP_009166-T1	
OG0009604	GBNWP_009191-T1	
OG0009605	GBNWP_009193-T1	
OG0009606	GBNWP_009194-T1	
OG0009607	GBNWP_009225-T1	
OG0009608	GBNWP_009240-T1	
OG0009609	GBNWP_009289-T1	
OG0009610	GBNWP_009319-T1	
OG0009611	GBNWP_009334-T1	
OG0009612	GBNWP_009347-T1	
OG0009613	GBNWP_009349-T1	
OG0009614	GBNWP_009356-T1	
OG0009615	GBNWP_009362-T1	
OG0009616	GBNWP_009370-T1	
OG0009617	GBNWP_009411-T1	
OG0009618	GBNWP_009441-T1	
OG0009619	GBNWP_009491-T1	
OG0009620	GBNWP_009517-T1	
OG0009621	GBNWP_009520-T1	
OG0009622	GBNWP_009522-T1	
OG0009623	GBNWP_009536-T1	
OG0009624	GBNWP_009566-T1	
OG0009625	GBNWP_009570-T1	
OG0009626	GBNWP_009586-T1	
OG0009627	GBNWP_009588-T1	
OG0009628	GBNWP_009589-T1	
OG0009629	GBNWP_009603-T1	
OG0009630	GBNWP_009604-T1	
OG0009631	GBNWP_009607-T1	
OG0009632	GBNWP_009611-T1	
OG0009633	GBNWP_009613-T1	
OG0009634	GBNWP_009614-T1	
OG0009635	GBNWP_009621-T1	
OG0009636	GBNWP_009631-T1	
OG0009637	GBNWP_009647-T1	
OG0009638	GBNWP_009689-T1	
OG0009639	GBNWP_009705-T1	
OG0009640	GBNWP_009713-T1	
OG0009641	GBNWP_009716-T1	
OG0009642	GBNWP_009754-T1	
OG0009643	GBNWP_009755-T1	
OG0009644	GBNWP_009794-T1	
OG0009645	GBNWP_009808-T1	
OG0009646	GBNWP_009817-T1	
OG0009647	GBNWP_009822-T1	
OG0009648	GBNWP_009834-T1	
OG0009649	GBNWP_009849-T1	
OG0009650	GBNWP_009863-T1	
OG0009651	GBNWP_009865-T1	
OG0009652	GBNWP_009866-T1	
OG0009653	GBNWP_009881-T1	
OG0009654	GBNWP_009894-T1	
OG0009655	GBNWP_009895-T1	
OG0009656	GBNWP_009911-T1	
OG0009657	GBNWP_009920-T1	
OG0009658	GBNWP_009929-T1	
OG0009659	GBNWP_009943-T1	
OG0009660	GBNWP_009963-T1	
OG0009661	GBNWP_009986-T1	
OG0009662	GBNWP_010008-T1	
OG0009663	GBNWP_010009-T1	
OG0009664	GBNWP_010011-T1	
OG0009665	GBNWP_010012-T1	
OG0009666	GBNWP_010029-T1	
OG0009667	GBNWP_010063-T1	
OG0009668	GBNWP_010068-T1	
OG0009669	GBNWP_010086-T1	
OG0009670	GBNWP_010126-T1	
OG0009671	GBNWP_010154-T1	
OG0009672	GBNWP_010168-T1	
OG0009673	GBNWP_010176-T1	
OG0009674	GBNWP_010200-T1	
OG0009675	GBNWP_010272-T1	
OG0009676	GBNWP_010295-T1	
OG0009677	GBNWP_010301-T1	
OG0009678	GBNWP_010318-T1	
OG0009679	GBNWP_010335-T1	
OG0009680	GBNWP_010337-T1	
OG0009681	GBNWP_010367-T1	
OG0009682	GBNWP_010407-T1	
OG0009683	GBNWP_010409-T1	
OG0009684	GBNWP_010411-T1	
OG0009685	GBNWP_010463-T1	
OG0009686	GBNWP_010465-T1	
OG0009687	GBNWP_010486-T1	
OG0009688	GBNWP_010493-T1	
OG0009689	GBNWP_010505-T1	
OG0009690	GBNWP_010506-T1	
OG0009691	GBNWP_010533-T1	
OG0009692	GBNWP_010552-T1	
OG0009693	GBNWP_010577-T1	
OG0009694	GBNWP_010616-T1	
OG0009695	GBNWP_010620-T1	
OG0009696	GBNWP_010667-T1	
OG0009697	GBNWP_010680-T1	
OG0009698	GBNWP_010682-T1	
OG0009699	GBNWP_010720-T1	
OG0009700	GBNWP_010788-T1	
OG0009701	GBNWP_010800-T1	
OG0009702	GBNWP_010807-T1	
OG0009703	GBNWP_010868-T1	
OG0009704	GBNWP_010904-T1	
OG0009705	GBNWP_010906-T1	
OG0009706	GBNWP_010908-T1	
OG0009707	GBNWP_010909-T1	
OG0009708	GBNWP_010911-T1	
OG0009709	GBNWP_010922-T1	
OG0009710	GBNWP_010947-T1	
OG0009711	GBNWP_010949-T1	
OG0009712	GBNWP_010961-T1	
OG0009713	GBNWP_010962-T1	
OG0009714	GBNWP_011015-T1	
OG0009715	GBNWP_011020-T1	
OG0009716	GBNWP_011029-T1	
OG0009717	GBNWP_011031-T1	
OG0009718	GBNWP_011033-T1	
OG0009719	GBNWP_011074-T1	
OG0009720	GBNWP_011083-T1	
OG0009721	GBNWP_011096-T1	
OG0009722	GBNWP_011103-T1	
OG0009723	GBNWP_011104-T1	
OG0009724	GBNWP_011106-T1	
OG0009725	GBNWP_011107-T1	
OG0009726	GBNWP_011109-T1	
OG0009727	GBNWP_011126-T1	
OG0009728	GBNWP_011136-T1	
OG0009729	GBNWP_011185-T1	
OG0009730	GBNWP_011186-T1	
OG0009731	GBNWP_011187-T1	
OG0009732	GBNWP_011208-T1	
OG0009733	GBNWP_011221-T1	
OG0009734		CHXZG_000002-T1
OG0009735		CHXZG_000041-T1
OG0009736		CHXZG_000061-T1
OG0009737		CHXZG_000071-T1
OG0009738		CHXZG_000086-T1
OG0009739		CHXZG_000147-T1
OG0009740		CHXZG_000160-T1
OG0009741		CHXZG_000163-T1
OG0009742		CHXZG_000187-T1
OG0009743		CHXZG_000226-T1
OG0009744		CHXZG_000246-T1
OG0009745		CHXZG_000254-T1
OG0009746		CHXZG_000276-T1
OG0009747		CHXZG_000286-T1
OG0009748		CHXZG_000290-T1
OG0009749		CHXZG_000306-T1
OG0009750		CHXZG_000318-T1
OG0009751		CHXZG_000327-T1
OG0009752		CHXZG_000347-T1
OG0009753		CHXZG_000373-T1
OG0009754		CHXZG_000386-T1
OG0009755		CHXZG_000392-T1
OG0009756		CHXZG_000421-T1
OG0009757		CHXZG_000464-T1
OG0009758		CHXZG_000465-T1
OG0009759		CHXZG_000473-T1
OG0009760		CHXZG_000474-T1
OG0009761		CHXZG_000535-T1
OG0009762		CHXZG_000541-T1
OG0009763		CHXZG_000566-T1
OG0009764		CHXZG_000569-T1
OG0009765		CHXZG_000573-T1
OG0009766		CHXZG_000597-T1
OG0009767		CHXZG_000599-T1
OG0009768		CHXZG_000600-T1
OG0009769		CHXZG_000602-T1
OG0009770		CHXZG_000615-T1
OG0009771		CHXZG_000632-T1
OG0009772		CHXZG_000635-T1
OG0009773		CHXZG_000651-T1
OG0009774		CHXZG_000654-T1
OG0009775		CHXZG_000690-T1
OG0009776		CHXZG_000691-T1
OG0009777		CHXZG_000692-T1
OG0009778		CHXZG_000693-T1
OG0009779		CHXZG_000706-T1
OG0009780		CHXZG_000711-T1
OG0009781		CHXZG_000756-T1
OG0009782		CHXZG_000757-T1
OG0009783		CHXZG_000762-T1
OG0009784		CHXZG_000784-T1
OG0009785		CHXZG_000786-T1
OG0009786		CHXZG_000794-T1
OG0009787		CHXZG_000802-T1
OG0009788		CHXZG_000804-T1
OG0009789		CHXZG_000805-T1
OG0009790		CHXZG_000809-T1
OG0009791		CHXZG_000817-T1
OG0009792		CHXZG_000822-T1
OG0009793		CHXZG_000829-T1
OG0009794		CHXZG_000841-T1
OG0009795		CHXZG_000842-T1
OG0009796		CHXZG_000843-T1
OG0009797		CHXZG_000854-T1
OG0009798		CHXZG_000857-T1
OG0009799		CHXZG_000863-T1
OG0009800		CHXZG_000888-T1
OG0009801		CHXZG_000897-T1
OG0009802		CHXZG_000922-T1
OG0009803		CHXZG_000956-T1
OG0009804		CHXZG_000983-T1
OG0009805		CHXZG_000986-T1
OG0009806		CHXZG_000987-T1
OG0009807		CHXZG_000989-T1
OG0009808		CHXZG_000990-T1
OG0009809		CHXZG_001016-T1
OG0009810		CHXZG_001017-T1
OG0009811		CHXZG_001018-T1
OG0009812		CHXZG_001051-T1
OG0009813		CHXZG_001053-T1
OG0009814		CHXZG_001075-T1
OG0009815		CHXZG_001084-T1
OG0009816		CHXZG_001167-T1
OG0009817		CHXZG_001168-T1
OG0009818		CHXZG_001169-T1
OG0009819		CHXZG_001242-T1
OG0009820		CHXZG_001243-T1
OG0009821		CHXZG_001261-T1
OG0009822		CHXZG_001270-T1
OG0009823		CHXZG_001272-T1
OG0009824		CHXZG_001273-T1
