	Fennellomyces_verticellatus_RSA_2442_Plus.aa	Fennellomyces_verticellatus_RSA_2446.aa
OG0000024	GBNUN_002496-T1, GBNUN_002497-T1, GBNUN_002498-T1, GBNUN_005157-T1, GBNUN_011371-T1, GBNUN_011372-T1	CHXZO_001545-T1, CHXZO_001546-T1, CHXZO_001547-T1, CHXZO_001763-T1, CHXZO_004485-T1, CHXZO_004593-T1
OG0000025	GBNUN_006264-T1, GBNUN_007109-T1, GBNUN_007693-T1, GBNUN_011375-T1, GBNUN_011926-T1	CHXZO_000949-T1, CHXZO_001766-T1, CHXZO_002493-T1, CHXZO_006736-T1, CHXZO_007518-T1, CHXZO_007684-T1, CHXZO_008840-T1
OG0000026	GBNUN_000123-T1, GBNUN_000790-T1, GBNUN_008708-T1	CHXZO_002638-T1, CHXZO_002873-T1, CHXZO_003130-T1, CHXZO_004534-T1, CHXZO_004673-T1, CHXZO_004767-T1, CHXZO_010831-T1, CHXZO_010966-T1
OG0000027	GBNUN_000833-T1, GBNUN_004891-T1, GBNUN_007717-T1, GBNUN_010221-T1, GBNUN_011572-T1	CHXZO_001302-T1, CHXZO_001990-T1, CHXZO_002900-T1, CHXZO_004654-T1, CHXZO_005136-T1, CHXZO_010409-T1
OG0000028	GBNUN_000893-T1, GBNUN_001359-T1, GBNUN_004277-T1, GBNUN_005272-T1, GBNUN_009009-T1, GBNUN_009010-T1	CHXZO_000362-T1, CHXZO_001537-T1, CHXZO_002934-T1, CHXZO_003532-T1, CHXZO_005174-T1
OG0000029	GBNUN_001001-T1, GBNUN_005376-T1, GBNUN_005377-T1, GBNUN_005378-T1, GBNUN_005379-T1, GBNUN_005568-T1	CHXZO_000232-T1, CHXZO_002697-T1, CHXZO_010998-T1, CHXZO_010999-T1, CHXZO_011000-T1
OG0000030	GBNUN_001206-T1, GBNUN_005601-T1, GBNUN_006530-T1, GBNUN_006951-T1, GBNUN_009352-T1, GBNUN_010815-T1	CHXZO_000189-T1, CHXZO_002734-T1, CHXZO_005151-T1, CHXZO_010471-T1, CHXZO_011262-T1
OG0000031	GBNUN_001640-T1, GBNUN_003392-T1, GBNUN_003515-T1, GBNUN_003986-T1, GBNUN_004105-T1, GBNUN_004930-T1, GBNUN_006059-T1, GBNUN_007405-T1, GBNUN_009682-T1, GBNUN_009746-T1, GBNUN_010191-T1	
OG0000032	GBNUN_002168-T1, GBNUN_002833-T1, GBNUN_005964-T1, GBNUN_009494-T1, GBNUN_010335-T1, GBNUN_010385-T1	CHXZO_003921-T1, CHXZO_004298-T1, CHXZO_009959-T1, CHXZO_010779-T1, CHXZO_011445-T1
OG0000033	GBNUN_003611-T1, GBNUN_006892-T1, GBNUN_009650-T1, GBNUN_010365-T1, GBNUN_010366-T1	CHXZO_002263-T1, CHXZO_003924-T1, CHXZO_010336-T1, CHXZO_011040-T1, CHXZO_011424-T1, CHXZO_011425-T1
OG0000034	GBNUN_000478-T1, GBNUN_000479-T1, GBNUN_007799-T1, GBNUN_008550-T1, GBNUN_011751-T1	CHXZO_004204-T1, CHXZO_004326-T1, CHXZO_009417-T1, CHXZO_011491-T1, CHXZO_011492-T1
OG0000035	GBNUN_000629-T1, GBNUN_000904-T1, GBNUN_002040-T1, GBNUN_004989-T1, GBNUN_006927-T1, GBNUN_009958-T1, GBNUN_010249-T1, GBNUN_011920-T1, GBNUN_011927-T1, GBNUN_011936-T1	
OG0000036	GBNUN_001020-T1, GBNUN_004221-T1, GBNUN_004223-T1, GBNUN_005730-T1, GBNUN_005885-T1, GBNUN_010261-T1, GBNUN_011096-T1, GBNUN_011098-T1, GBNUN_011099-T1	CHXZO_002890-T1
OG0000037	GBNUN_001053-T1, GBNUN_001054-T1, GBNUN_004702-T1, GBNUN_008637-T1, GBNUN_010316-T1	CHXZO_008404-T1, CHXZO_009444-T1, CHXZO_009934-T1, CHXZO_012380-T1, CHXZO_012381-T1
OG0000038	GBNUN_001454-T1, GBNUN_001456-T1, GBNUN_005399-T1, GBNUN_008710-T1, GBNUN_008937-T1	CHXZO_002059-T1, CHXZO_002827-T1, CHXZO_005804-T1, CHXZO_006973-T1, CHXZO_008464-T1
OG0000039	GBNUN_001842-T1, GBNUN_001843-T1, GBNUN_001844-T1, GBNUN_001845-T1, GBNUN_008435-T1	CHXZO_001445-T1, CHXZO_001446-T1, CHXZO_001447-T1, CHXZO_001448-T1, CHXZO_009942-T1
OG0000040	GBNUN_003063-T1	CHXZO_001834-T1, CHXZO_001835-T1, CHXZO_002933-T1, CHXZO_002935-T1, CHXZO_006577-T1, CHXZO_007387-T1, CHXZO_008300-T1, CHXZO_008301-T1, CHXZO_010569-T1
OG0000041	GBNUN_003196-T1, GBNUN_005529-T1, GBNUN_005619-T1, GBNUN_006558-T1, GBNUN_006559-T1	CHXZO_001985-T1, CHXZO_002752-T1, CHXZO_005452-T1, CHXZO_005985-T1, CHXZO_005986-T1
OG0000042	GBNUN_004354-T1, GBNUN_004608-T1, GBNUN_009356-T1, GBNUN_009452-T1	CHXZO_000087-T1, CHXZO_005632-T1, CHXZO_006032-T1, CHXZO_010413-T1, CHXZO_010822-T1, CHXZO_011426-T1
OG0000043	GBNUN_006285-T1, GBNUN_006298-T1, GBNUN_006300-T1, GBNUN_006321-T1, GBNUN_006323-T1	CHXZO_006604-T1, CHXZO_006606-T1, CHXZO_009833-T1, CHXZO_009835-T1, CHXZO_009849-T1
OG0000044	GBNUN_007606-T1, GBNUN_009380-T1, GBNUN_010504-T1, GBNUN_010508-T1	CHXZO_009672-T1, CHXZO_009675-T1, CHXZO_009676-T1, CHXZO_009740-T1, CHXZO_009751-T1, CHXZO_010869-T1
OG0000045	GBNUN_000352-T1, GBNUN_000393-T1, GBNUN_001261-T1, GBNUN_001492-T1, GBNUN_010869-T1	CHXZO_001107-T1, CHXZO_001484-T1, CHXZO_004507-T1, CHXZO_011834-T1
OG0000046	GBNUN_000395-T1, GBNUN_009989-T1, GBNUN_010756-T1, GBNUN_010762-T1	CHXZO_002607-T1, CHXZO_004691-T1, CHXZO_010667-T1, CHXZO_011175-T1, CHXZO_012211-T1
OG0000047	GBNUN_000737-T1, GBNUN_001487-T1, GBNUN_002828-T1, GBNUN_007748-T1	CHXZO_003977-T1, CHXZO_009290-T1, CHXZO_011320-T1, CHXZO_011631-T1, CHXZO_011900-T1
OG0000048	GBNUN_000771-T1, GBNUN_000772-T1, GBNUN_004079-T1, GBNUN_009924-T1	CHXZO_003253-T1, CHXZO_004020-T1, CHXZO_004021-T1, CHXZO_008513-T1, CHXZO_008514-T1
OG0000049	GBNUN_001078-T1, GBNUN_004793-T1, GBNUN_005751-T1, GBNUN_008973-T1, GBNUN_009285-T1	CHXZO_000177-T1, CHXZO_003608-T1, CHXZO_010014-T1, CHXZO_011669-T1
OG0000050	GBNUN_001226-T1, GBNUN_001231-T1, GBNUN_007522-T1, GBNUN_007523-T1, GBNUN_011465-T1	CHXZO_002531-T1, CHXZO_002535-T1, CHXZO_008998-T1, CHXZO_012111-T1
OG0000051	GBNUN_001857-T1, GBNUN_005480-T1, GBNUN_006868-T1, GBNUN_008704-T1	CHXZO_001244-T1, CHXZO_003184-T1, CHXZO_011180-T1, CHXZO_012330-T1, CHXZO_012341-T1
OG0000052	GBNUN_002042-T1, GBNUN_003118-T1, GBNUN_003963-T1, GBNUN_004497-T1	CHXZO_001109-T1, CHXZO_001796-T1, CHXZO_005670-T1, CHXZO_006177-T1, CHXZO_008866-T1
OG0000053	GBNUN_002309-T1, GBNUN_003051-T1, GBNUN_004173-T1, GBNUN_004174-T1	CHXZO_002521-T1, CHXZO_004275-T1, CHXZO_006571-T1, CHXZO_008853-T1, CHXZO_008854-T1
OG0000054	GBNUN_003102-T1, GBNUN_004278-T1, GBNUN_006308-T1	CHXZO_000142-T1, CHXZO_001899-T1, CHXZO_001900-T1, CHXZO_003533-T1, CHXZO_004820-T1, CHXZO_009824-T1
OG0000055	GBNUN_005363-T1, GBNUN_006149-T1, GBNUN_011464-T1, GBNUN_011886-T1	CHXZO_005346-T1, CHXZO_005647-T1, CHXZO_010985-T1, CHXZO_011858-T1, CHXZO_012112-T1
OG0000056	GBNUN_006028-T1, GBNUN_007924-T1, GBNUN_008158-T1, GBNUN_010069-T1	CHXZO_001006-T1, CHXZO_001904-T1, CHXZO_003071-T1, CHXZO_005506-T1, CHXZO_006015-T1
OG0000057		CHXZO_002484-T1, CHXZO_002492-T1, CHXZO_002498-T1, CHXZO_004116-T1, CHXZO_005456-T1, CHXZO_009368-T1, CHXZO_009372-T1, CHXZO_010335-T1, CHXZO_012278-T1
OG0000058	GBNUN_000403-T1, GBNUN_005695-T1, GBNUN_006465-T1, GBNUN_008252-T1	CHXZO_002884-T1, CHXZO_003712-T1, CHXZO_009023-T1, CHXZO_011391-T1
OG0000059	GBNUN_000442-T1, GBNUN_004130-T1, GBNUN_004131-T1, GBNUN_004780-T1	CHXZO_004376-T1, CHXZO_005932-T1, CHXZO_005933-T1, CHXZO_011593-T1
OG0000060	GBNUN_000519-T1, GBNUN_000945-T1, GBNUN_001791-T1, GBNUN_005921-T1, GBNUN_008643-T1, GBNUN_008905-T1	CHXZO_000859-T1, CHXZO_002339-T1
OG0000061	GBNUN_000538-T1, GBNUN_001138-T1, GBNUN_001302-T1, GBNUN_011555-T1	CHXZO_000440-T1, CHXZO_003238-T1, CHXZO_009220-T1, CHXZO_011700-T1
OG0000062	GBNUN_000556-T1, GBNUN_009410-T1, GBNUN_011162-T1, GBNUN_011287-T1	CHXZO_005010-T1, CHXZO_009771-T1, CHXZO_010293-T1, CHXZO_010516-T1
OG0000063	GBNUN_000830-T1, GBNUN_001218-T1, GBNUN_007208-T1, GBNUN_008528-T1, GBNUN_008810-T1	CHXZO_001662-T1, CHXZO_001933-T1, CHXZO_002524-T1
OG0000064	GBNUN_000892-T1, GBNUN_000894-T1, GBNUN_002315-T1, GBNUN_003062-T1, GBNUN_004657-T1, GBNUN_004935-T1, GBNUN_007375-T1, GBNUN_007376-T1	
OG0000065	GBNUN_000906-T1, GBNUN_001034-T1, GBNUN_001362-T1, GBNUN_001647-T1, GBNUN_001707-T1, GBNUN_011310-T1	CHXZO_001885-T1, CHXZO_002168-T1
OG0000066	GBNUN_001184-T1, GBNUN_001734-T1, GBNUN_010115-T1, GBNUN_011574-T1	CHXZO_002319-T1, CHXZO_003295-T1, CHXZO_011882-T1, CHXZO_012135-T1
OG0000067	GBNUN_001207-T1, GBNUN_004807-T1, GBNUN_007565-T1, GBNUN_008228-T1	CHXZO_000188-T1, CHXZO_007322-T1, CHXZO_008369-T1, CHXZO_009531-T1
OG0000068	GBNUN_001618-T1, GBNUN_004543-T1, GBNUN_007878-T1, GBNUN_009462-T1	CHXZO_002971-T1, CHXZO_003650-T1, CHXZO_004750-T1, CHXZO_006633-T1
OG0000069	GBNUN_001856-T1, GBNUN_002332-T1, GBNUN_007867-T1, GBNUN_007918-T1	CHXZO_000798-T1, CHXZO_003662-T1, CHXZO_005512-T1, CHXZO_012340-T1
OG0000070	GBNUN_001865-T1, GBNUN_003402-T1, GBNUN_003403-T1, GBNUN_010796-T1	CHXZO_002917-T1, CHXZO_002918-T1, CHXZO_011543-T1, CHXZO_012349-T1
OG0000071	GBNUN_001988-T1, GBNUN_009363-T1, GBNUN_009416-T1, GBNUN_011614-T1	CHXZO_001071-T1, CHXZO_003778-T1, CHXZO_011265-T1, CHXZO_011677-T1
OG0000072	GBNUN_002065-T1, GBNUN_003901-T1, GBNUN_006989-T1, GBNUN_008762-T1	CHXZO_001608-T1, CHXZO_006521-T1, CHXZO_007948-T1, CHXZO_009578-T1
OG0000073	GBNUN_002149-T1, GBNUN_007545-T1, GBNUN_007546-T1, GBNUN_007547-T1, GBNUN_009957-T1	CHXZO_001858-T1, CHXZO_006878-T1, CHXZO_008440-T1
OG0000074	GBNUN_002213-T1, GBNUN_004463-T1, GBNUN_007223-T1, GBNUN_008724-T1	CHXZO_005599-T1, CHXZO_007419-T1, CHXZO_009107-T1, CHXZO_009692-T1
OG0000075	GBNUN_002266-T1, GBNUN_003657-T1, GBNUN_008946-T1, GBNUN_008949-T1	CHXZO_002068-T1, CHXZO_002071-T1, CHXZO_002652-T1, CHXZO_007368-T1
OG0000076	GBNUN_002515-T1, GBNUN_003338-T1, GBNUN_004915-T1, GBNUN_006032-T1	CHXZO_001184-T1, CHXZO_002567-T1, CHXZO_003075-T1, CHXZO_010589-T1
OG0000077	GBNUN_002573-T1, GBNUN_002576-T1, GBNUN_003401-T1, GBNUN_008741-T1	CHXZO_001281-T1, CHXZO_001284-T1, CHXZO_002919-T1, CHXZO_009820-T1
OG0000078	GBNUN_003637-T1, GBNUN_005870-T1, GBNUN_006073-T1, GBNUN_007129-T1	CHXZO_002440-T1, CHXZO_005955-T1, CHXZO_006204-T1, CHXZO_007774-T1
OG0000079	GBNUN_003647-T1, GBNUN_005126-T1, GBNUN_005467-T1, GBNUN_009510-T1	CHXZO_002663-T1, CHXZO_004561-T1, CHXZO_005523-T1, CHXZO_010762-T1
OG0000080	GBNUN_003699-T1, GBNUN_006932-T1, GBNUN_008669-T1	CHXZO_002711-T1, CHXZO_004184-T1, CHXZO_004774-T1, CHXZO_008013-T1, CHXZO_011779-T1
OG0000081	GBNUN_003810-T1, GBNUN_009683-T1, GBNUN_009794-T1, GBNUN_010311-T1	CHXZO_008252-T1, CHXZO_008420-T1, CHXZO_008767-T1, CHXZO_009449-T1
OG0000082	GBNUN_004038-T1, GBNUN_004040-T1, GBNUN_006446-T1, GBNUN_010927-T1	CHXZO_003013-T1, CHXZO_003014-T1, CHXZO_007152-T1, CHXZO_009907-T1
OG0000083	GBNUN_005003-T1, GBNUN_008061-T1, GBNUN_008081-T1, GBNUN_008082-T1	CHXZO_004719-T1, CHXZO_006366-T1, CHXZO_006387-T1, CHXZO_006388-T1
OG0000084	GBNUN_005129-T1, GBNUN_005130-T1, GBNUN_005132-T1, GBNUN_008306-T1	CHXZO_004564-T1, CHXZO_004565-T1, CHXZO_004567-T1, CHXZO_006913-T1
OG0000085	GBNUN_005419-T1, GBNUN_009630-T1, GBNUN_009759-T1, GBNUN_011489-T1	CHXZO_005395-T1, CHXZO_006670-T1, CHXZO_007862-T1, CHXZO_011063-T1
OG0000086	GBNUN_006077-T1, GBNUN_007899-T1, GBNUN_009155-T1, GBNUN_009976-T1	CHXZO_003628-T1, CHXZO_006199-T1, CHXZO_007265-T1, CHXZO_012259-T1
OG0000087	GBNUN_007541-T1, GBNUN_009870-T1, GBNUN_010100-T1, GBNUN_010907-T1	CHXZO_001695-T1, CHXZO_008343-T1, CHXZO_010728-T1, CHXZO_012056-T1
OG0000088	GBNUN_000019-T1, GBNUN_003843-T1, GBNUN_008480-T1, GBNUN_010433-T1	CHXZO_000041-T1, CHXZO_005282-T1, CHXZO_008980-T1
OG0000089	GBNUN_000386-T1, GBNUN_005834-T1, GBNUN_010580-T1	CHXZO_000781-T1, CHXZO_003799-T1, CHXZO_006448-T1, CHXZO_006449-T1
OG0000090	GBNUN_000443-T1, GBNUN_006910-T1, GBNUN_006918-T1, GBNUN_009273-T1	CHXZO_009614-T1, CHXZO_010281-T1, CHXZO_011594-T1
OG0000091	GBNUN_001030-T1, GBNUN_001031-T1, GBNUN_005729-T1, GBNUN_009860-T1	CHXZO_002888-T1, CHXZO_007746-T1, CHXZO_009082-T1
OG0000092	GBNUN_001035-T1	CHXZO_001044-T1, CHXZO_002111-T1, CHXZO_002166-T1, CHXZO_003177-T1, CHXZO_003846-T1, CHXZO_004087-T1
OG0000093	GBNUN_001236-T1, GBNUN_001248-T1, GBNUN_001665-T1, GBNUN_008277-T1	CHXZO_000671-T1, CHXZO_006940-T1, CHXZO_008331-T1
OG0000094	GBNUN_001308-T1, GBNUN_005344-T1, GBNUN_010592-T1	CHXZO_000446-T1, CHXZO_000768-T1, CHXZO_005218-T1, CHXZO_010272-T1
OG0000095	GBNUN_001628-T1, GBNUN_002790-T1, GBNUN_010923-T1	CHXZO_001025-T1, CHXZO_003917-T1, CHXZO_004110-T1, CHXZO_009904-T1
OG0000096	GBNUN_002196-T1, GBNUN_008260-T1, GBNUN_009633-T1	CHXZO_006957-T1, CHXZO_009594-T1, CHXZO_011059-T1, CHXZO_011060-T1
OG0000097	GBNUN_002241-T1, GBNUN_008594-T1, GBNUN_008959-T1, GBNUN_009662-T1	CHXZO_002082-T1, CHXZO_010805-T1, CHXZO_011028-T1
OG0000098	GBNUN_003134-T1, GBNUN_004997-T1, GBNUN_005167-T1	CHXZO_000143-T1, CHXZO_004603-T1, CHXZO_004725-T1, CHXZO_006010-T1
OG0000099	GBNUN_003241-T1, GBNUN_006830-T1, GBNUN_006831-T1, GBNUN_010315-T1	CHXZO_001323-T1, CHXZO_009445-T1, CHXZO_011211-T1
OG0000100	GBNUN_003330-T1, GBNUN_003331-T1, GBNUN_003970-T1	CHXZO_002113-T1, CHXZO_002114-T1, CHXZO_006135-T1, CHXZO_006184-T1
OG0000101	GBNUN_003499-T1, GBNUN_005096-T1, GBNUN_010420-T1	CHXZO_005624-T1, CHXZO_007833-T1, CHXZO_008405-T1, CHXZO_011482-T1
OG0000102	GBNUN_006060-T1, GBNUN_006061-T1, GBNUN_008460-T1, GBNUN_008531-T1	CHXZO_009636-T1, CHXZO_009637-T1, CHXZO_009728-T1
OG0000103	GBNUN_006864-T1, GBNUN_007239-T1, GBNUN_008013-T1	CHXZO_007664-T1, CHXZO_007665-T1, CHXZO_008687-T1, CHXZO_008801-T1
OG0000104	GBNUN_007665-T1, GBNUN_010384-T1, GBNUN_011726-T1	CHXZO_010041-T1, CHXZO_010549-T1, CHXZO_011105-T1, CHXZO_011444-T1
OG0000105	GBNUN_007995-T1, GBNUN_007997-T1, GBNUN_011501-T1	CHXZO_002676-T1, CHXZO_002677-T1, CHXZO_008943-T1, CHXZO_008945-T1
