	Fennellomyces_verticellatus_RSA_2442_Plus.aa	Fennellomyces_verticellatus_RSA_2446.aa
OG0009811	GBNUN_000871-T1	
OG0009812	GBNUN_000872-T1	
OG0009813	GBNUN_000873-T1	
OG0009814	GBNUN_000876-T1	
OG0009815	GBNUN_000908-T1	
OG0009816	GBNUN_000936-T1	
OG0009817	GBNUN_000939-T1	
OG0009818	GBNUN_000944-T1	
OG0009819	GBNUN_000955-T1	
OG0009820	GBNUN_000981-T1	
OG0009821	GBNUN_000984-T1	
OG0009822	GBNUN_001013-T1	
OG0009823	GBNUN_001014-T1	
OG0009824	GBNUN_001015-T1	
OG0009825	GBNUN_001016-T1	
OG0009826	GBNUN_001036-T1	
OG0009827	GBNUN_001060-T1	
OG0009828	GBNUN_001061-T1	
OG0009829	GBNUN_001077-T1	
OG0009830	GBNUN_001082-T1	
OG0009831	GBNUN_001084-T1	
OG0009832	GBNUN_001119-T1	
OG0009833	GBNUN_001142-T1	
OG0009834	GBNUN_001159-T1	
OG0009835	GBNUN_001167-T1	
OG0009836	GBNUN_001178-T1	
OG0009837	GBNUN_001186-T1	
OG0009838	GBNUN_001191-T1	
OG0009839	GBNUN_001202-T1	
OG0009840	GBNUN_001220-T1	
OG0009841	GBNUN_001229-T1	
OG0009842	GBNUN_001235-T1	
OG0009843	GBNUN_001250-T1	
OG0009844	GBNUN_001257-T1	
OG0009845	GBNUN_001291-T1	
OG0009846	GBNUN_001292-T1	
OG0009847	GBNUN_001294-T1	
OG0009848	GBNUN_001326-T1	
OG0009849	GBNUN_001327-T1	
OG0009850	GBNUN_001329-T1	
OG0009851	GBNUN_001333-T1	
OG0009852	GBNUN_001363-T1	
OG0009853	GBNUN_001364-T1	
OG0009854	GBNUN_001365-T1	
OG0009855	GBNUN_001377-T1	
OG0009856	GBNUN_001388-T1	
OG0009857	GBNUN_001395-T1	
OG0009858	GBNUN_001408-T1	
OG0009859	GBNUN_001427-T1	
OG0009860	GBNUN_001428-T1	
OG0009861	GBNUN_001429-T1	
OG0009862	GBNUN_001458-T1	
OG0009863	GBNUN_001460-T1	
OG0009864	GBNUN_001496-T1	
OG0009865	GBNUN_001504-T1	
OG0009866	GBNUN_001520-T1	
OG0009867	GBNUN_001522-T1	
OG0009868	GBNUN_001527-T1	
OG0009869	GBNUN_001533-T1	
OG0009870	GBNUN_001549-T1	
OG0009871	GBNUN_001586-T1	
OG0009872	GBNUN_001599-T1	
OG0009873	GBNUN_001604-T1	
OG0009874	GBNUN_001607-T1	
OG0009875	GBNUN_001609-T1	
OG0009876	GBNUN_001621-T1	
OG0009877	GBNUN_001624-T1	
OG0009878	GBNUN_001646-T1	
OG0009879	GBNUN_001650-T1	
OG0009880	GBNUN_001659-T1	
OG0009881	GBNUN_001674-T1	
OG0009882	GBNUN_001675-T1	
OG0009883	GBNUN_001708-T1	
OG0009884	GBNUN_001735-T1	
OG0009885	GBNUN_001769-T1	
OG0009886	GBNUN_001792-T1	
OG0009887	GBNUN_001798-T1	
OG0009888	GBNUN_001817-T1	
OG0009889	GBNUN_001823-T1	
OG0009890	GBNUN_001824-T1	
OG0009891	GBNUN_001849-T1	
OG0009892	GBNUN_001850-T1	
OG0009893	GBNUN_001852-T1	
OG0009894	GBNUN_001853-T1	
OG0009895	GBNUN_001883-T1	
OG0009896	GBNUN_001910-T1	
OG0009897	GBNUN_001925-T1	
OG0009898	GBNUN_001949-T1	
OG0009899	GBNUN_001989-T1	
OG0009900	GBNUN_001990-T1	
OG0009901	GBNUN_001993-T1	
OG0009902	GBNUN_002046-T1	
OG0009903	GBNUN_002100-T1	
OG0009904	GBNUN_002101-T1	
OG0009905	GBNUN_002125-T1	
OG0009906	GBNUN_002127-T1	
OG0009907	GBNUN_002143-T1	
OG0009908	GBNUN_002159-T1	
OG0009909	GBNUN_002186-T1	
OG0009910	GBNUN_002188-T1	
OG0009911	GBNUN_002192-T1	
OG0009912	GBNUN_002194-T1	
OG0009913	GBNUN_002208-T1	
OG0009914	GBNUN_002209-T1	
OG0009915	GBNUN_002216-T1	
OG0009916	GBNUN_002242-T1	
OG0009917	GBNUN_002259-T1	
OG0009918	GBNUN_002367-T1	
OG0009919	GBNUN_002378-T1	
OG0009920	GBNUN_002384-T1	
OG0009921	GBNUN_002397-T1	
OG0009922	GBNUN_002411-T1	
OG0009923	GBNUN_002444-T1	
OG0009924	GBNUN_002446-T1	
OG0009925	GBNUN_002447-T1	
OG0009926	GBNUN_002476-T1	
OG0009927	GBNUN_002519-T1	
OG0009928	GBNUN_002524-T1	
OG0009929	GBNUN_002556-T1	
OG0009930	GBNUN_002558-T1	
OG0009931	GBNUN_002559-T1	
OG0009932	GBNUN_002572-T1	
OG0009933	GBNUN_002624-T1	
OG0009934	GBNUN_002671-T1	
OG0009935	GBNUN_002697-T1	
OG0009936	GBNUN_002703-T1	
OG0009937	GBNUN_002707-T1	
OG0009938	GBNUN_002742-T1	
OG0009939	GBNUN_002747-T1	
OG0009940	GBNUN_002750-T1	
OG0009941	GBNUN_002751-T1	
OG0009942	GBNUN_002756-T1	
OG0009943	GBNUN_002776-T1	
OG0009944	GBNUN_002779-T1	
OG0009945	GBNUN_002834-T1	
OG0009946	GBNUN_002849-T1	
OG0009947	GBNUN_002885-T1	
OG0009948	GBNUN_002954-T1	
OG0009949	GBNUN_002955-T1	
OG0009950	GBNUN_002956-T1	
OG0009951	GBNUN_002979-T1	
OG0009952	GBNUN_003014-T1	
OG0009953	GBNUN_003035-T1	
OG0009954	GBNUN_003075-T1	
OG0009955	GBNUN_003084-T1	
OG0009956	GBNUN_003093-T1	
OG0009957	GBNUN_003103-T1	
OG0009958	GBNUN_003109-T1	
OG0009959	GBNUN_003141-T1	
OG0009960	GBNUN_003160-T1	
OG0009961	GBNUN_003161-T1	
OG0009962	GBNUN_003208-T1	
OG0009963	GBNUN_003227-T1	
OG0009964	GBNUN_003230-T1	
OG0009965	GBNUN_003257-T1	
OG0009966	GBNUN_003264-T1	
OG0009967	GBNUN_003266-T1	
OG0009968	GBNUN_003271-T1	
OG0009969	GBNUN_003323-T1	
OG0009970	GBNUN_003355-T1	
OG0009971	GBNUN_003381-T1	
OG0009972	GBNUN_003450-T1	
OG0009973	GBNUN_003451-T1	
OG0009974	GBNUN_003454-T1	
OG0009975	GBNUN_003464-T1	
OG0009976	GBNUN_003511-T1	
OG0009977	GBNUN_003512-T1	
OG0009978	GBNUN_003516-T1	
OG0009979	GBNUN_003533-T1	
OG0009980	GBNUN_003544-T1	
OG0009981	GBNUN_003547-T1	
OG0009982	GBNUN_003557-T1	
OG0009983	GBNUN_003564-T1	
OG0009984	GBNUN_003706-T1	
OG0009985	GBNUN_003712-T1	
OG0009986	GBNUN_003715-T1	
OG0009987	GBNUN_003781-T1	
OG0009988	GBNUN_003837-T1	
OG0009989	GBNUN_003891-T1	
OG0009990	GBNUN_003898-T1	
OG0009991	GBNUN_003909-T1	
OG0009992	GBNUN_003912-T1	
OG0009993	GBNUN_003922-T1	
OG0009994	GBNUN_003931-T1	
OG0009995	GBNUN_003982-T1	
OG0009996	GBNUN_003991-T1	
OG0009997	GBNUN_004025-T1	
OG0009998	GBNUN_004026-T1	
OG0009999	GBNUN_004027-T1	
OG0010000	GBNUN_004039-T1	
OG0010001	GBNUN_004051-T1	
OG0010002	GBNUN_004082-T1	
OG0010003	GBNUN_004122-T1	
OG0010004	GBNUN_004134-T1	
OG0010005	GBNUN_004143-T1	
OG0010006	GBNUN_004182-T1	
OG0010007	GBNUN_004222-T1	
OG0010008	GBNUN_004245-T1	
OG0010009	GBNUN_004287-T1	
OG0010010	GBNUN_004291-T1	
OG0010011	GBNUN_004292-T1	
OG0010012	GBNUN_004317-T1	
OG0010013	GBNUN_004322-T1	
OG0010014	GBNUN_004344-T1	
OG0010015	GBNUN_004345-T1	
OG0010016	GBNUN_004417-T1	
OG0010017	GBNUN_004421-T1	
OG0010018	GBNUN_004477-T1	
OG0010019	GBNUN_004479-T1	
OG0010020	GBNUN_004480-T1	
OG0010021	GBNUN_004493-T1	
OG0010022	GBNUN_004529-T1	
OG0010023	GBNUN_004544-T1	
OG0010024	GBNUN_004601-T1	
OG0010025	GBNUN_004611-T1	
OG0010026	GBNUN_004664-T1	
OG0010027	GBNUN_004667-T1	
OG0010028	GBNUN_004672-T1	
OG0010029	GBNUN_004673-T1	
OG0010030	GBNUN_004701-T1	
OG0010031	GBNUN_004723-T1	
OG0010032	GBNUN_004727-T1	
OG0010033	GBNUN_004839-T1	
OG0010034	GBNUN_004890-T1	
OG0010035	GBNUN_004929-T1	
OG0010036	GBNUN_004942-T1	
OG0010037	GBNUN_004977-T1	
OG0010038	GBNUN_005008-T1	
OG0010039	GBNUN_005012-T1	
OG0010040	GBNUN_005029-T1	
OG0010041	GBNUN_005082-T1	
OG0010042	GBNUN_005125-T1	
OG0010043	GBNUN_005178-T1	
OG0010044	GBNUN_005236-T1	
OG0010045	GBNUN_005271-T1	
OG0010046	GBNUN_005294-T1	
OG0010047	GBNUN_005390-T1	
OG0010048	GBNUN_005400-T1	
OG0010049	GBNUN_005446-T1	
OG0010050	GBNUN_005449-T1	
OG0010051	GBNUN_005452-T1	
OG0010052	GBNUN_005479-T1	
OG0010053	GBNUN_005511-T1	
OG0010054	GBNUN_005545-T1	
OG0010055	GBNUN_005559-T1	
OG0010056	GBNUN_005635-T1	
OG0010057	GBNUN_005640-T1	
OG0010058	GBNUN_005662-T1	
OG0010059	GBNUN_005705-T1	
OG0010060	GBNUN_005726-T1	
OG0010061	GBNUN_005738-T1	
OG0010062	GBNUN_005739-T1	
OG0010063	GBNUN_005754-T1	
OG0010064	GBNUN_005784-T1	
OG0010065	GBNUN_005799-T1	
OG0010066	GBNUN_005815-T1	
OG0010067	GBNUN_005816-T1	
OG0010068	GBNUN_005836-T1	
OG0010069	GBNUN_005879-T1	
OG0010070	GBNUN_005883-T1	
OG0010071	GBNUN_005886-T1	
OG0010072	GBNUN_005887-T1	
OG0010073	GBNUN_005893-T1	
OG0010074	GBNUN_005910-T1	
OG0010075	GBNUN_005948-T1	
OG0010076	GBNUN_005956-T1	
OG0010077	GBNUN_005975-T1	
OG0010078	GBNUN_005989-T1	
OG0010079	GBNUN_006004-T1	
OG0010080	GBNUN_006012-T1	
OG0010081	GBNUN_006031-T1	
OG0010082	GBNUN_006042-T1	
OG0010083	GBNUN_006054-T1	
OG0010084	GBNUN_006106-T1	
OG0010085	GBNUN_006113-T1	
OG0010086	GBNUN_006137-T1	
OG0010087	GBNUN_006151-T1	
OG0010088	GBNUN_006169-T1	
OG0010089	GBNUN_006176-T1	
OG0010090	GBNUN_006189-T1	
OG0010091	GBNUN_006210-T1	
OG0010092	GBNUN_006235-T1	
OG0010093	GBNUN_006237-T1	
OG0010094	GBNUN_006316-T1	
OG0010095	GBNUN_006331-T1	
OG0010096	GBNUN_006339-T1	
OG0010097	GBNUN_006349-T1	
OG0010098	GBNUN_006371-T1	
OG0010099	GBNUN_006394-T1	
OG0010100	GBNUN_006408-T1	
OG0010101	GBNUN_006412-T1	
OG0010102	GBNUN_006421-T1	
OG0010103	GBNUN_006433-T1	
OG0010104	GBNUN_006448-T1	
OG0010105	GBNUN_006459-T1	
OG0010106	GBNUN_006470-T1	
OG0010107	GBNUN_006545-T1	
OG0010108	GBNUN_006638-T1	
OG0010109	GBNUN_006648-T1	
OG0010110	GBNUN_006690-T1	
OG0010111	GBNUN_006694-T1	
OG0010112	GBNUN_006708-T1	
OG0010113	GBNUN_006741-T1	
OG0010114	GBNUN_006754-T1	
OG0010115	GBNUN_006761-T1	
OG0010116	GBNUN_006762-T1	
OG0010117	GBNUN_006780-T1	
OG0010118	GBNUN_006803-T1	
OG0010119	GBNUN_006833-T1	
OG0010120	GBNUN_006847-T1	
OG0010121	GBNUN_006851-T1	
OG0010122	GBNUN_006865-T1	
OG0010123	GBNUN_006924-T1	
OG0010124	GBNUN_006935-T1	
OG0010125	GBNUN_006936-T1	
OG0010126	GBNUN_006967-T1	
OG0010127	GBNUN_006988-T1	
OG0010128	GBNUN_006991-T1	
OG0010129	GBNUN_007012-T1	
OG0010130	GBNUN_007038-T1	
OG0010131	GBNUN_007052-T1	
OG0010132	GBNUN_007066-T1	
OG0010133	GBNUN_007084-T1	
OG0010134	GBNUN_007137-T1	
OG0010135	GBNUN_007149-T1	
OG0010136	GBNUN_007173-T1	
OG0010137	GBNUN_007181-T1	
OG0010138	GBNUN_007187-T1	
OG0010139	GBNUN_007196-T1	
OG0010140	GBNUN_007207-T1	
OG0010141	GBNUN_007226-T1	
OG0010142	GBNUN_007244-T1	
OG0010143	GBNUN_007247-T1	
OG0010144	GBNUN_007249-T1	
OG0010145	GBNUN_007268-T1	
OG0010146	GBNUN_007318-T1	
OG0010147	GBNUN_007324-T1	
OG0010148	GBNUN_007356-T1	
OG0010149	GBNUN_007394-T1	
OG0010150	GBNUN_007428-T1	
OG0010151	GBNUN_007457-T1	
OG0010152	GBNUN_007484-T1	
OG0010153	GBNUN_007487-T1	
OG0010154	GBNUN_007506-T1	
OG0010155	GBNUN_007550-T1	
OG0010156	GBNUN_007551-T1	
OG0010157	GBNUN_007578-T1	
OG0010158	GBNUN_007581-T1	
OG0010159	GBNUN_007627-T1	
OG0010160	GBNUN_007642-T1	
OG0010161	GBNUN_007679-T1	
OG0010162	GBNUN_007714-T1	
OG0010163	GBNUN_007756-T1	
OG0010164	GBNUN_007760-T1	
OG0010165	GBNUN_007782-T1	
OG0010166	GBNUN_007790-T1	
OG0010167	GBNUN_007800-T1	
OG0010168	GBNUN_007806-T1	
OG0010169	GBNUN_007808-T1	
OG0010170	GBNUN_007820-T1	
OG0010171	GBNUN_007861-T1	
OG0010172	GBNUN_007868-T1	
OG0010173	GBNUN_007881-T1	
OG0010174	GBNUN_007909-T1	
OG0010175	GBNUN_007910-T1	
OG0010176	GBNUN_007935-T1	
OG0010177	GBNUN_007948-T1	
OG0010178	GBNUN_007980-T1	
OG0010179	GBNUN_008032-T1	
OG0010180	GBNUN_008099-T1	
OG0010181	GBNUN_008139-T1	
OG0010182	GBNUN_008166-T1	
OG0010183	GBNUN_008172-T1	
OG0010184	GBNUN_008200-T1	
OG0010185	GBNUN_008201-T1	
OG0010186	GBNUN_008210-T1	
OG0010187	GBNUN_008211-T1	
OG0010188	GBNUN_008223-T1	
OG0010189	GBNUN_008230-T1	
OG0010190	GBNUN_008237-T1	
OG0010191	GBNUN_008257-T1	
OG0010192	GBNUN_008300-T1	
OG0010193	GBNUN_008315-T1	
OG0010194	GBNUN_008321-T1	
OG0010195	GBNUN_008381-T1	
OG0010196	GBNUN_008423-T1	
OG0010197	GBNUN_008447-T1	
OG0010198	GBNUN_008462-T1	
OG0010199	GBNUN_008463-T1	
OG0010200	GBNUN_008474-T1	
OG0010201	GBNUN_008513-T1	
OG0010202	GBNUN_008521-T1	
OG0010203	GBNUN_008525-T1	
OG0010204	GBNUN_008526-T1	
OG0010205	GBNUN_008534-T1	
OG0010206	GBNUN_008537-T1	
OG0010207	GBNUN_008543-T1	
OG0010208	GBNUN_008544-T1	
OG0010209	GBNUN_008577-T1	
OG0010210	GBNUN_008608-T1	
OG0010211	GBNUN_008611-T1	
OG0010212	GBNUN_008623-T1	
OG0010213	GBNUN_008629-T1	
OG0010214	GBNUN_008630-T1	
OG0010215	GBNUN_008638-T1	
OG0010216	GBNUN_008654-T1	
OG0010217	GBNUN_008657-T1	
OG0010218	GBNUN_008703-T1	
OG0010219	GBNUN_008808-T1	
OG0010220	GBNUN_008811-T1	
OG0010221	GBNUN_008837-T1	
OG0010222	GBNUN_008838-T1	
OG0010223	GBNUN_008844-T1	
OG0010224	GBNUN_008865-T1	
OG0010225	GBNUN_008883-T1	
OG0010226	GBNUN_008901-T1	
OG0010227	GBNUN_008908-T1	
OG0010228	GBNUN_008909-T1	
OG0010229	GBNUN_008914-T1	
OG0010230	GBNUN_009053-T1	
OG0010231	GBNUN_009056-T1	
OG0010232	GBNUN_009060-T1	
OG0010233	GBNUN_009062-T1	
OG0010234	GBNUN_009069-T1	
OG0010235	GBNUN_009100-T1	
OG0010236	GBNUN_009109-T1	
OG0010237	GBNUN_009125-T1	
OG0010238	GBNUN_009126-T1	
OG0010239	GBNUN_009127-T1	
OG0010240	GBNUN_009136-T1	
OG0010241	GBNUN_009200-T1	
OG0010242	GBNUN_009201-T1	
OG0010243	GBNUN_009212-T1	
OG0010244	GBNUN_009213-T1	
OG0010245	GBNUN_009217-T1	
OG0010246	GBNUN_009234-T1	
OG0010247	GBNUN_009240-T1	
OG0010248	GBNUN_009253-T1	
OG0010249	GBNUN_009278-T1	
OG0010250	GBNUN_009344-T1	
OG0010251	GBNUN_009351-T1	
OG0010252	GBNUN_009407-T1	
OG0010253	GBNUN_009411-T1	
OG0010254	GBNUN_009429-T1	
OG0010255	GBNUN_009430-T1	
OG0010256	GBNUN_009437-T1	
OG0010257	GBNUN_009474-T1	
OG0010258	GBNUN_009495-T1	
OG0010259	GBNUN_009504-T1	
OG0010260	GBNUN_009531-T1	
OG0010261	GBNUN_009539-T1	
OG0010262	GBNUN_009563-T1	
OG0010263	GBNUN_009566-T1	
OG0010264	GBNUN_009579-T1	
OG0010265	GBNUN_009580-T1	
OG0010266	GBNUN_009590-T1	
OG0010267	GBNUN_009621-T1	
OG0010268	GBNUN_009663-T1	
OG0010269	GBNUN_009667-T1	
OG0010270	GBNUN_009672-T1	
OG0010271	GBNUN_009704-T1	
OG0010272	GBNUN_009706-T1	
OG0010273	GBNUN_009727-T1	
OG0010274	GBNUN_009731-T1	
OG0010275	GBNUN_009757-T1	
OG0010276	GBNUN_009785-T1	
OG0010277	GBNUN_009814-T1	
OG0010278	GBNUN_009817-T1	
OG0010279	GBNUN_009829-T1	
OG0010280	GBNUN_009830-T1	
OG0010281	GBNUN_009838-T1	
OG0010282	GBNUN_009839-T1	
OG0010283	GBNUN_009851-T1	
OG0010284	GBNUN_009871-T1	
OG0010285	GBNUN_009874-T1	
OG0010286	GBNUN_009882-T1	
OG0010287	GBNUN_009893-T1	
OG0010288	GBNUN_009940-T1	
OG0010289	GBNUN_009941-T1	
OG0010290	GBNUN_009949-T1	
OG0010291	GBNUN_009959-T1	
OG0010292	GBNUN_009979-T1	
OG0010293	GBNUN_009991-T1	
OG0010294	GBNUN_009996-T1	
OG0010295	GBNUN_009997-T1	
OG0010296	GBNUN_010044-T1	
OG0010297	GBNUN_010052-T1	
OG0010298	GBNUN_010054-T1	
OG0010299	GBNUN_010077-T1	
OG0010300	GBNUN_010084-T1	
OG0010301	GBNUN_010085-T1	
OG0010302	GBNUN_010087-T1	
OG0010303	GBNUN_010101-T1	
OG0010304	GBNUN_010111-T1	
OG0010305	GBNUN_010116-T1	
OG0010306	GBNUN_010118-T1	
OG0010307	GBNUN_010127-T1	
OG0010308	GBNUN_010131-T1	
OG0010309	GBNUN_010138-T1	
OG0010310	GBNUN_010159-T1	
OG0010311	GBNUN_010187-T1	
OG0010312	GBNUN_010200-T1	
OG0010313	GBNUN_010207-T1	
OG0010314	GBNUN_010215-T1	
OG0010315	GBNUN_010219-T1	
OG0010316	GBNUN_010243-T1	
OG0010317	GBNUN_010244-T1	
OG0010318	GBNUN_010248-T1	
OG0010319	GBNUN_010265-T1	
OG0010320	GBNUN_010269-T1	
OG0010321	GBNUN_010273-T1	
OG0010322	GBNUN_010299-T1	
OG0010323	GBNUN_010320-T1	
OG0010324	GBNUN_010326-T1	
OG0010325	GBNUN_010328-T1	
OG0010326	GBNUN_010346-T1	
OG0010327	GBNUN_010364-T1	
OG0010328	GBNUN_010367-T1	
OG0010329	GBNUN_010423-T1	
OG0010330	GBNUN_010454-T1	
OG0010331	GBNUN_010464-T1	
OG0010332	GBNUN_010470-T1	
OG0010333	GBNUN_010495-T1	
OG0010334	GBNUN_010502-T1	
OG0010335	GBNUN_010506-T1	
OG0010336	GBNUN_010516-T1	
OG0010337	GBNUN_010525-T1	
OG0010338	GBNUN_010547-T1	
OG0010339	GBNUN_010599-T1	
OG0010340	GBNUN_010604-T1	
OG0010341	GBNUN_010606-T1	
OG0010342	GBNUN_010608-T1	
OG0010343	GBNUN_010625-T1	
OG0010344	GBNUN_010653-T1	
OG0010345	GBNUN_010658-T1	
OG0010346	GBNUN_010705-T1	
OG0010347	GBNUN_010706-T1	
OG0010348	GBNUN_010709-T1	
OG0010349	GBNUN_010715-T1	
OG0010350	GBNUN_010718-T1	
OG0010351	GBNUN_010739-T1	
OG0010352	GBNUN_010755-T1	
OG0010353	GBNUN_010757-T1	
OG0010354	GBNUN_010758-T1	
OG0010355	GBNUN_010760-T1	
OG0010356	GBNUN_010764-T1	
OG0010357	GBNUN_010820-T1	
OG0010358	GBNUN_010822-T1	
OG0010359	GBNUN_010870-T1	
OG0010360	GBNUN_010872-T1	
OG0010361	GBNUN_010884-T1	
OG0010362	GBNUN_010894-T1	
OG0010363	GBNUN_010906-T1	
OG0010364	GBNUN_010908-T1	
OG0010365	GBNUN_010911-T1	
OG0010366	GBNUN_010921-T1	
OG0010367	GBNUN_010925-T1	
OG0010368	GBNUN_010948-T1	
OG0010369	GBNUN_010952-T1	
OG0010370	GBNUN_010961-T1	
OG0010371	GBNUN_010963-T1	
OG0010372	GBNUN_010967-T1	
OG0010373	GBNUN_010980-T1	
OG0010374	GBNUN_010985-T1	
OG0010375	GBNUN_011001-T1	
OG0010376	GBNUN_011009-T1	
OG0010377	GBNUN_011039-T1	
OG0010378	GBNUN_011044-T1	
OG0010379	GBNUN_011056-T1	
OG0010380	GBNUN_011076-T1	
OG0010381	GBNUN_011092-T1	
OG0010382	GBNUN_011097-T1	
OG0010383	GBNUN_011114-T1	
OG0010384	GBNUN_011125-T1	
OG0010385	GBNUN_011138-T1	
OG0010386	GBNUN_011147-T1	
OG0010387	GBNUN_011173-T1	
OG0010388	GBNUN_011175-T1	
OG0010389	GBNUN_011183-T1	
OG0010390	GBNUN_011184-T1	
OG0010391	GBNUN_011212-T1	
OG0010392	GBNUN_011215-T1	
OG0010393	GBNUN_011238-T1	
OG0010394	GBNUN_011260-T1	
OG0010395	GBNUN_011263-T1	
OG0010396	GBNUN_011289-T1	
OG0010397	GBNUN_011299-T1	
OG0010398	GBNUN_011309-T1	
OG0010399	GBNUN_011339-T1	
OG0010400	GBNUN_011351-T1	
OG0010401	GBNUN_011395-T1	
OG0010402	GBNUN_011398-T1	
OG0010403	GBNUN_011402-T1	
OG0010404	GBNUN_011440-T1	
OG0010405	GBNUN_011441-T1	
OG0010406	GBNUN_011442-T1	
OG0010407	GBNUN_011457-T1	
OG0010408	GBNUN_011471-T1	
OG0010409	GBNUN_011484-T1	
OG0010410	GBNUN_011500-T1	
OG0010411	GBNUN_011552-T1	
OG0010412	GBNUN_011564-T1	
OG0010413	GBNUN_011567-T1	
OG0010414	GBNUN_011568-T1	
OG0010415	GBNUN_011570-T1	
OG0010416	GBNUN_011576-T1	
OG0010417	GBNUN_011618-T1	
OG0010418	GBNUN_011632-T1	
OG0010419	GBNUN_011651-T1	
OG0010420	GBNUN_011683-T1	
OG0010421	GBNUN_011691-T1	
OG0010422	GBNUN_011694-T1	
OG0010423	GBNUN_011695-T1	
OG0010424	GBNUN_011697-T1	
OG0010425	GBNUN_011698-T1	
OG0010426	GBNUN_011703-T1	
OG0010427	GBNUN_011736-T1	
OG0010428	GBNUN_011737-T1	
OG0010429	GBNUN_011739-T1	
OG0010430	GBNUN_011778-T1	
OG0010431	GBNUN_011780-T1	
OG0010432	GBNUN_011781-T1	
OG0010433	GBNUN_011785-T1	
OG0010434	GBNUN_011786-T1	
OG0010435	GBNUN_011791-T1	
OG0010436	GBNUN_011794-T1	
OG0010437	GBNUN_011841-T1	
OG0010438	GBNUN_011866-T1	
OG0010439	GBNUN_011867-T1	
OG0010440	GBNUN_011878-T1	
OG0010441	GBNUN_011906-T1	
OG0010442	GBNUN_011918-T1	
OG0010443	GBNUN_011923-T1	
OG0010444	GBNUN_011934-T1	
OG0010445	GBNUN_011937-T1	
OG0010446	GBNUN_011940-T1	
OG0010447	GBNUN_011945-T1	
OG0010448		CHXZO_000001-T1
OG0010449		CHXZO_000003-T1
OG0010450		CHXZO_000017-T1
OG0010451		CHXZO_000080-T1
OG0010452		CHXZO_000113-T1
OG0010453		CHXZO_000154-T1
OG0010454		CHXZO_000155-T1
OG0010455		CHXZO_000169-T1
OG0010456		CHXZO_000179-T1
OG0010457		CHXZO_000198-T1
OG0010458		CHXZO_000205-T1
OG0010459		CHXZO_000239-T1
OG0010460		CHXZO_000247-T1
OG0010461		CHXZO_000274-T1
OG0010462		CHXZO_000279-T1
OG0010463		CHXZO_000280-T1
OG0010464		CHXZO_000282-T1
OG0010465		CHXZO_000283-T1
OG0010466		CHXZO_000287-T1
OG0010467		CHXZO_000293-T1
OG0010468		CHXZO_000302-T1
OG0010469		CHXZO_000312-T1
OG0010470		CHXZO_000315-T1
OG0010471		CHXZO_000320-T1
OG0010472		CHXZO_000324-T1
OG0010473		CHXZO_000353-T1
OG0010474		CHXZO_000355-T1
OG0010475		CHXZO_000356-T1
OG0010476		CHXZO_000361-T1
OG0010477		CHXZO_000373-T1
OG0010478		CHXZO_000379-T1
OG0010479		CHXZO_000390-T1
OG0010480		CHXZO_000393-T1
OG0010481		CHXZO_000397-T1
