	Chaetocladium_brefeldii_NRRL_1350.aa	Chaetocladium_brefeldii_RSA_1136-.aa
OG0004958	COZTY_001256-T1	
OG0004959	COZTY_001261-T1	
OG0004960	COZTY_001283-T1	
OG0004961	COZTY_001286-T1	
OG0004962	COZTY_001290-T1	
OG0004963	COZTY_001293-T1	
OG0004964	COZTY_001294-T1	
OG0004965	COZTY_001298-T1	
OG0004966	COZTY_001301-T1	
OG0004967	COZTY_001305-T1	
OG0004968	COZTY_001316-T1	
OG0004969	COZTY_001320-T1	
OG0004970	COZTY_001321-T1	
OG0004971	COZTY_001339-T1	
OG0004972	COZTY_001343-T1	
OG0004973	COZTY_001345-T1	
OG0004974	COZTY_001368-T1	
OG0004975	COZTY_001380-T1	
OG0004976	COZTY_001386-T1	
OG0004977	COZTY_001387-T1	
OG0004978	COZTY_001405-T1	
OG0004979	COZTY_001408-T1	
OG0004980	COZTY_001410-T1	
OG0004981	COZTY_001431-T1	
OG0004982	COZTY_001433-T1	
OG0004983	COZTY_001434-T1	
OG0004984	COZTY_001440-T1	
OG0004985	COZTY_001451-T1	
OG0004986	COZTY_001454-T1	
OG0004987	COZTY_001455-T1	
OG0004988	COZTY_001459-T1	
OG0004989	COZTY_001462-T1	
OG0004990	COZTY_001465-T1	
OG0004991	COZTY_001466-T1	
OG0004992	COZTY_001470-T1	
OG0004993	COZTY_001474-T1	
OG0004994	COZTY_001475-T1	
OG0004995	COZTY_001476-T1	
OG0004996	COZTY_001482-T1	
OG0004997	COZTY_001483-T1	
OG0004998	COZTY_001486-T1	
OG0004999	COZTY_001490-T1	
OG0005000	COZTY_001496-T1	
OG0005001	COZTY_001497-T1	
OG0005002	COZTY_001498-T1	
OG0005003	COZTY_001501-T1	
OG0005004	COZTY_001502-T1	
OG0005005	COZTY_001506-T1	
OG0005006	COZTY_001508-T1	
OG0005007	COZTY_001513-T1	
OG0005008	COZTY_001517-T1	
OG0005009	COZTY_001523-T1	
OG0005010	COZTY_001524-T1	
OG0005011	COZTY_001533-T1	
OG0005012	COZTY_001541-T1	
OG0005013	COZTY_001542-T1	
OG0005014	COZTY_001544-T1	
OG0005015	COZTY_001545-T1	
OG0005016	COZTY_001550-T1	
OG0005017	COZTY_001560-T1	
OG0005018	COZTY_001562-T1	
OG0005019	COZTY_001568-T1	
OG0005020	COZTY_001569-T1	
OG0005021	COZTY_001574-T1	
OG0005022	COZTY_001576-T1	
OG0005023	COZTY_001577-T1	
OG0005024	COZTY_001581-T1	
OG0005025	COZTY_001585-T1	
OG0005026	COZTY_001590-T1	
OG0005027	COZTY_001592-T1	
OG0005028	COZTY_001594-T1	
OG0005029	COZTY_001596-T1	
OG0005030	COZTY_001597-T1	
OG0005031	COZTY_001599-T1	
OG0005032	COZTY_001608-T1	
OG0005033	COZTY_001614-T1	
OG0005034	COZTY_001616-T1	
OG0005035	COZTY_001626-T1	
OG0005036	COZTY_001631-T1	
OG0005037	COZTY_001632-T1	
OG0005038	COZTY_001635-T1	
OG0005039	COZTY_001636-T1	
OG0005040	COZTY_001637-T1	
OG0005041	COZTY_001640-T1	
OG0005042	COZTY_001650-T1	
OG0005043	COZTY_001656-T1	
OG0005044	COZTY_001661-T1	
OG0005045	COZTY_001662-T1	
OG0005046	COZTY_001664-T1	
OG0005047	COZTY_001675-T1	
OG0005048	COZTY_001676-T1	
OG0005049	COZTY_001679-T1	
OG0005050	COZTY_001684-T1	
OG0005051	COZTY_001688-T1	
OG0005052	COZTY_001692-T1	
OG0005053	COZTY_001694-T1	
OG0005054	COZTY_001703-T1	
OG0005055	COZTY_001710-T1	
OG0005056	COZTY_001712-T1	
OG0005057	COZTY_001713-T1	
OG0005058	COZTY_001717-T1	
OG0005059	COZTY_001723-T1	
OG0005060	COZTY_001724-T1	
OG0005061	COZTY_001730-T1	
OG0005062	COZTY_001731-T1	
OG0005063	COZTY_001735-T1	
OG0005064	COZTY_001755-T1	
OG0005065	COZTY_001761-T1	
OG0005066	COZTY_001769-T1	
OG0005067	COZTY_001771-T1	
OG0005068	COZTY_001775-T1	
OG0005069	COZTY_001776-T1	
OG0005070	COZTY_001781-T1	
OG0005071	COZTY_001786-T1	
OG0005072	COZTY_001787-T1	
OG0005073	COZTY_001789-T1	
OG0005074	COZTY_001790-T1	
OG0005075	COZTY_001792-T1	
OG0005076	COZTY_001794-T1	
OG0005077	COZTY_001795-T1	
OG0005078	COZTY_001797-T1	
OG0005079	COZTY_001802-T1	
OG0005080	COZTY_001807-T1	
OG0005081	COZTY_001811-T1	
OG0005082	COZTY_001813-T1	
OG0005083	COZTY_001818-T1	
OG0005084	COZTY_001829-T1	
OG0005085	COZTY_001830-T1	
OG0005086	COZTY_001841-T1	
OG0005087	COZTY_001844-T1	
OG0005088	COZTY_001846-T1	
OG0005089	COZTY_001850-T1	
OG0005090	COZTY_001866-T1	
OG0005091	COZTY_001876-T1	
OG0005092	COZTY_001878-T1	
OG0005093	COZTY_001881-T1	
OG0005094	COZTY_001889-T1	
OG0005095	COZTY_001897-T1	
OG0005096	COZTY_001899-T1	
OG0005097	COZTY_001902-T1	
OG0005098	COZTY_001909-T1	
OG0005099	COZTY_001912-T1	
OG0005100	COZTY_001913-T1	
OG0005101	COZTY_001915-T1	
OG0005102	COZTY_001918-T1	
OG0005103	COZTY_001919-T1	
OG0005104	COZTY_001921-T1	
OG0005105	COZTY_001930-T1	
OG0005106	COZTY_001932-T1	
OG0005107	COZTY_001935-T1	
OG0005108	COZTY_001936-T1	
OG0005109	COZTY_001940-T1	
OG0005110	COZTY_001942-T1	
OG0005111	COZTY_001944-T1	
OG0005112	COZTY_001947-T1	
OG0005113	COZTY_001951-T1	
OG0005114	COZTY_001954-T1	
OG0005115	COZTY_001957-T1	
OG0005116	COZTY_001960-T1	
OG0005117	COZTY_001961-T1	
OG0005118	COZTY_001962-T1	
OG0005119	COZTY_001966-T1	
OG0005120	COZTY_001967-T1	
OG0005121	COZTY_001975-T1	
OG0005122	COZTY_001993-T1	
OG0005123	COZTY_001996-T1	
OG0005124	COZTY_002003-T1	
OG0005125	COZTY_002004-T1	
OG0005126	COZTY_002017-T1	
OG0005127	COZTY_002021-T1	
OG0005128	COZTY_002035-T1	
OG0005129	COZTY_002043-T1	
OG0005130	COZTY_002048-T1	
OG0005131	COZTY_002051-T1	
OG0005132	COZTY_002053-T1	
OG0005133	COZTY_002054-T1	
OG0005134	COZTY_002058-T1	
OG0005135	COZTY_002060-T1	
OG0005136	COZTY_002061-T1	
OG0005137	COZTY_002062-T1	
OG0005138	COZTY_002064-T1	
OG0005139	COZTY_002065-T1	
OG0005140	COZTY_002077-T1	
OG0005141	COZTY_002079-T1	
OG0005142	COZTY_002084-T1	
OG0005143	COZTY_002085-T1	
OG0005144	COZTY_002086-T1	
OG0005145	COZTY_002087-T1	
OG0005146	COZTY_002088-T1	
OG0005147	COZTY_002094-T1	
OG0005148	COZTY_002100-T1	
OG0005149	COZTY_002107-T1	
OG0005150	COZTY_002110-T1	
OG0005151	COZTY_002114-T1	
OG0005152	COZTY_002120-T1	
OG0005153	COZTY_002121-T1	
OG0005154	COZTY_002122-T1	
OG0005155	COZTY_002123-T1	
OG0005156	COZTY_002124-T1	
OG0005157	COZTY_002125-T1	
OG0005158	COZTY_002126-T1	
OG0005159	COZTY_002127-T1	
OG0005160	COZTY_002128-T1	
OG0005161	COZTY_002129-T1	
OG0005162	COZTY_002130-T1	
OG0005163	COZTY_002131-T1	
OG0005164	COZTY_002132-T1	
OG0005165	COZTY_002133-T1	
OG0005166	COZTY_002134-T1	
OG0005167	COZTY_002135-T1	
OG0005168	COZTY_002136-T1	
OG0005169	COZTY_002137-T1	
OG0005170	COZTY_002138-T1	
OG0005171	COZTY_002139-T1	
OG0005172	COZTY_002143-T1	
OG0005173	COZTY_002146-T1	
OG0005174	COZTY_002154-T1	
OG0005175	COZTY_002156-T1	
OG0005176	COZTY_002161-T1	
OG0005177	COZTY_002162-T1	
OG0005178	COZTY_002177-T1	
OG0005179	COZTY_002181-T1	
OG0005180	COZTY_002182-T1	
OG0005181	COZTY_002188-T1	
OG0005182	COZTY_002190-T1	
OG0005183	COZTY_002193-T1	
OG0005184	COZTY_002198-T1	
OG0005185	COZTY_002200-T1	
OG0005186	COZTY_002201-T1	
OG0005187	COZTY_002207-T1	
OG0005188	COZTY_002209-T1	
OG0005189	COZTY_002216-T1	
OG0005190	COZTY_002222-T1	
OG0005191	COZTY_002223-T1	
OG0005192	COZTY_002226-T1	
OG0005193	COZTY_002227-T1	
OG0005194	COZTY_002235-T1	
OG0005195	COZTY_002236-T1	
OG0005196	COZTY_002249-T1	
OG0005197	COZTY_002252-T1	
OG0005198	COZTY_002257-T1	
OG0005199	COZTY_002263-T1	
OG0005200	COZTY_002264-T1	
OG0005201	COZTY_002265-T1	
OG0005202	COZTY_002266-T1	
OG0005203	COZTY_002268-T1	
OG0005204	COZTY_002273-T1	
OG0005205	COZTY_002274-T1	
OG0005206	COZTY_002277-T1	
OG0005207	COZTY_002278-T1	
OG0005208	COZTY_002281-T1	
OG0005209	COZTY_002282-T1	
OG0005210	COZTY_002283-T1	
OG0005211	COZTY_002288-T1	
OG0005212	COZTY_002290-T1	
OG0005213	COZTY_002293-T1	
OG0005214	COZTY_002294-T1	
OG0005215	COZTY_002301-T1	
OG0005216	COZTY_002304-T1	
OG0005217	COZTY_002306-T1	
OG0005218	COZTY_002310-T1	
OG0005219	COZTY_002311-T1	
OG0005220	COZTY_002319-T1	
OG0005221	COZTY_002320-T1	
OG0005222	COZTY_002324-T1	
OG0005223	COZTY_002326-T1	
OG0005224	COZTY_002338-T1	
OG0005225	COZTY_002339-T1	
OG0005226	COZTY_002342-T1	
OG0005227	COZTY_002343-T1	
OG0005228	COZTY_002346-T1	
OG0005229	COZTY_002357-T1	
OG0005230	COZTY_002370-T1	
OG0005231	COZTY_002371-T1	
OG0005232	COZTY_002372-T1	
OG0005233	COZTY_002373-T1	
OG0005234	COZTY_002379-T1	
OG0005235	COZTY_002399-T1	
OG0005236	COZTY_002411-T1	
OG0005237	COZTY_002412-T1	
OG0005238	COZTY_002416-T1	
OG0005239	COZTY_002418-T1	
OG0005240	COZTY_002419-T1	
OG0005241	COZTY_002420-T1	
OG0005242	COZTY_002428-T1	
OG0005243	COZTY_002432-T1	
OG0005244	COZTY_002435-T1	
OG0005245	COZTY_002440-T1	
OG0005246	COZTY_002446-T1	
OG0005247	COZTY_002455-T1	
OG0005248	COZTY_002456-T1	
OG0005249	COZTY_002473-T1	
OG0005250	COZTY_002477-T1	
OG0005251	COZTY_002486-T1	
OG0005252	COZTY_002489-T1	
OG0005253	COZTY_002490-T1	
OG0005254	COZTY_002497-T1	
OG0005255	COZTY_002500-T1	
OG0005256	COZTY_002504-T1	
OG0005257	COZTY_002514-T1	
OG0005258	COZTY_002521-T1	
OG0005259	COZTY_002528-T1	
OG0005260	COZTY_002549-T1	
OG0005261	COZTY_002554-T1	
OG0005262	COZTY_002577-T1	
OG0005263	COZTY_002578-T1	
OG0005264	COZTY_002581-T1	
OG0005265	COZTY_002582-T1	
OG0005266	COZTY_002583-T1	
OG0005267	COZTY_002585-T1	
OG0005268	COZTY_002589-T1	
OG0005269	COZTY_002590-T1	
OG0005270	COZTY_002591-T1	
OG0005271	COZTY_002595-T1	
OG0005272	COZTY_002597-T1	
OG0005273	COZTY_002598-T1	
OG0005274	COZTY_002604-T1	
OG0005275	COZTY_002609-T1	
OG0005276	COZTY_002610-T1	
OG0005277	COZTY_002612-T1	
OG0005278	COZTY_002615-T1	
OG0005279	COZTY_002617-T1	
OG0005280	COZTY_002618-T1	
OG0005281	COZTY_002620-T1	
OG0005282	COZTY_002621-T1	
OG0005283	COZTY_002626-T1	
OG0005284	COZTY_002631-T1	
OG0005285	COZTY_002634-T1	
OG0005286	COZTY_002639-T1	
OG0005287	COZTY_002642-T1	
OG0005288	COZTY_002650-T1	
OG0005289	COZTY_002659-T1	
OG0005290	COZTY_002660-T1	
OG0005291	COZTY_002663-T1	
OG0005292	COZTY_002667-T1	
OG0005293	COZTY_002671-T1	
OG0005294	COZTY_002673-T1	
OG0005295	COZTY_002689-T1	
OG0005296	COZTY_002693-T1	
OG0005297	COZTY_002699-T1	
OG0005298	COZTY_002711-T1	
OG0005299	COZTY_002714-T1	
OG0005300	COZTY_002716-T1	
OG0005301	COZTY_002718-T1	
OG0005302	COZTY_002723-T1	
OG0005303	COZTY_002728-T1	
OG0005304	COZTY_002732-T1	
OG0005305	COZTY_002734-T1	
OG0005306	COZTY_002739-T1	
OG0005307	COZTY_002740-T1	
OG0005308	COZTY_002752-T1	
OG0005309	COZTY_002754-T1	
OG0005310	COZTY_002755-T1	
OG0005311	COZTY_002761-T1	
OG0005312	COZTY_002763-T1	
OG0005313	COZTY_002764-T1	
OG0005314	COZTY_002765-T1	
OG0005315	COZTY_002773-T1	
OG0005316	COZTY_002778-T1	
OG0005317	COZTY_002782-T1	
OG0005318	COZTY_002792-T1	
OG0005319	COZTY_002804-T1	
OG0005320	COZTY_002808-T1	
OG0005321	COZTY_002818-T1	
OG0005322	COZTY_002823-T1	
OG0005323	COZTY_002825-T1	
OG0005324	COZTY_002833-T1	
OG0005325	COZTY_002846-T1	
OG0005326	COZTY_002847-T1	
OG0005327	COZTY_002851-T1	
OG0005328	COZTY_002854-T1	
OG0005329	COZTY_002859-T1	
OG0005330	COZTY_002860-T1	
OG0005331	COZTY_002861-T1	
OG0005332	COZTY_002871-T1	
OG0005333	COZTY_002872-T1	
OG0005334	COZTY_002874-T1	
OG0005335	COZTY_002881-T1	
OG0005336	COZTY_002885-T1	
OG0005337	COZTY_002887-T1	
OG0005338	COZTY_002891-T1	
OG0005339	COZTY_002895-T1	
OG0005340	COZTY_002896-T1	
OG0005341	COZTY_002897-T1	
OG0005342	COZTY_002898-T1	
OG0005343	COZTY_002899-T1	
OG0005344	COZTY_002903-T1	
OG0005345	COZTY_002908-T1	
OG0005346	COZTY_002911-T1	
OG0005347	COZTY_002912-T1	
OG0005348	COZTY_002914-T1	
OG0005349	COZTY_002919-T1	
OG0005350	COZTY_002924-T1	
OG0005351	COZTY_002925-T1	
OG0005352	COZTY_002939-T1	
OG0005353	COZTY_002940-T1	
OG0005354	COZTY_002943-T1	
OG0005355	COZTY_002946-T1	
OG0005356	COZTY_002948-T1	
OG0005357	COZTY_002950-T1	
OG0005358	COZTY_002954-T1	
OG0005359	COZTY_002957-T1	
OG0005360	COZTY_002963-T1	
OG0005361	COZTY_002967-T1	
OG0005362	COZTY_002977-T1	
OG0005363	COZTY_002980-T1	
OG0005364	COZTY_002982-T1	
OG0005365	COZTY_002987-T1	
OG0005366	COZTY_002993-T1	
OG0005367	COZTY_002994-T1	
OG0005368	COZTY_002997-T1	
OG0005369	COZTY_003001-T1	
OG0005370	COZTY_003007-T1	
OG0005371	COZTY_003008-T1	
OG0005372	COZTY_003009-T1	
OG0005373	COZTY_003018-T1	
OG0005374	COZTY_003028-T1	
OG0005375	COZTY_003029-T1	
OG0005376	COZTY_003030-T1	
OG0005377	COZTY_003031-T1	
OG0005378	COZTY_003034-T1	
OG0005379	COZTY_003035-T1	
OG0005380	COZTY_003036-T1	
OG0005381	COZTY_003037-T1	
OG0005382	COZTY_003041-T1	
OG0005383	COZTY_003042-T1	
OG0005384	COZTY_003044-T1	
OG0005385	COZTY_003057-T1	
OG0005386	COZTY_003058-T1	
OG0005387	COZTY_003060-T1	
OG0005388	COZTY_003061-T1	
OG0005389	COZTY_003062-T1	
OG0005390	COZTY_003065-T1	
OG0005391	COZTY_003074-T1	
OG0005392	COZTY_003077-T1	
OG0005393	COZTY_003084-T1	
OG0005394	COZTY_003097-T1	
OG0005395	COZTY_003101-T1	
OG0005396	COZTY_003102-T1	
OG0005397	COZTY_003106-T1	
OG0005398	COZTY_003111-T1	
OG0005399	COZTY_003114-T1	
OG0005400	COZTY_003117-T1	
OG0005401	COZTY_003118-T1	
OG0005402	COZTY_003120-T1	
OG0005403	COZTY_003128-T1	
OG0005404	COZTY_003129-T1	
OG0005405	COZTY_003138-T1	
OG0005406	COZTY_003140-T1	
OG0005407	COZTY_003143-T1	
OG0005408	COZTY_003148-T1	
OG0005409	COZTY_003149-T1	
OG0005410	COZTY_003155-T1	
OG0005411	COZTY_003156-T1	
OG0005412	COZTY_003160-T1	
OG0005413	COZTY_003161-T1	
OG0005414	COZTY_003165-T1	
OG0005415	COZTY_003167-T1	
OG0005416	COZTY_003170-T1	
OG0005417	COZTY_003171-T1	
OG0005418	COZTY_003175-T1	
OG0005419	COZTY_003178-T1	
OG0005420	COZTY_003181-T1	
OG0005421	COZTY_003191-T1	
OG0005422	COZTY_003193-T1	
OG0005423	COZTY_003198-T1	
OG0005424	COZTY_003201-T1	
OG0005425	COZTY_003203-T1	
OG0005426	COZTY_003205-T1	
OG0005427	COZTY_003206-T1	
OG0005428	COZTY_003211-T1	
OG0005429	COZTY_003216-T1	
OG0005430	COZTY_003218-T1	
OG0005431	COZTY_003220-T1	
OG0005432	COZTY_003223-T1	
OG0005433	COZTY_003225-T1	
OG0005434	COZTY_003226-T1	
OG0005435	COZTY_003227-T1	
OG0005436	COZTY_003228-T1	
OG0005437	COZTY_003237-T1	
OG0005438	COZTY_003238-T1	
OG0005439	COZTY_003239-T1	
OG0005440	COZTY_003242-T1	
OG0005441	COZTY_003246-T1	
OG0005442	COZTY_003270-T1	
OG0005443	COZTY_003278-T1	
OG0005444	COZTY_003279-T1	
OG0005445	COZTY_003280-T1	
OG0005446	COZTY_003281-T1	
OG0005447	COZTY_003292-T1	
OG0005448	COZTY_003298-T1	
OG0005449	COZTY_003305-T1	
OG0005450	COZTY_003306-T1	
OG0005451	COZTY_003308-T1	
OG0005452	COZTY_003310-T1	
OG0005453	COZTY_003311-T1	
OG0005454	COZTY_003312-T1	
OG0005455	COZTY_003319-T1	
OG0005456	COZTY_003322-T1	
OG0005457	COZTY_003324-T1	
OG0005458	COZTY_003328-T1	
OG0005459	COZTY_003329-T1	
OG0005460	COZTY_003334-T1	
OG0005461	COZTY_003337-T1	
OG0005462	COZTY_003338-T1	
OG0005463	COZTY_003339-T1	
OG0005464	COZTY_003345-T1	
