	Phycomyces_blakesleeanus_Burgeff_NRRL_1465.aa	Phycomyces_blakesleeanus_NRRL_1555.aa
OG0010295	GAWGY_001557-T1	
OG0010296	GAWGY_001560-T1	
OG0010297	GAWGY_001561-T1	
OG0010298	GAWGY_001564-T1	
OG0010299	GAWGY_001569-T1	
OG0010300	GAWGY_001570-T1	
OG0010301	GAWGY_001585-T1	
OG0010302	GAWGY_001595-T1	
OG0010303	GAWGY_001605-T1	
OG0010304	GAWGY_001613-T1	
OG0010305	GAWGY_001616-T1	
OG0010306	GAWGY_001631-T1	
OG0010307	GAWGY_001635-T1	
OG0010308	GAWGY_001642-T1	
OG0010309	GAWGY_001653-T1	
OG0010310	GAWGY_001661-T1	
OG0010311	GAWGY_001665-T1	
OG0010312	GAWGY_001674-T1	
OG0010313	GAWGY_001686-T1	
OG0010314	GAWGY_001696-T1	
OG0010315	GAWGY_001699-T1	
OG0010316	GAWGY_001705-T1	
OG0010317	GAWGY_001724-T1	
OG0010318	GAWGY_001737-T1	
OG0010319	GAWGY_001759-T1	
OG0010320	GAWGY_001760-T1	
OG0010321	GAWGY_001761-T1	
OG0010322	GAWGY_001797-T1	
OG0010323	GAWGY_001812-T1	
OG0010324	GAWGY_001813-T1	
OG0010325	GAWGY_001833-T1	
OG0010326	GAWGY_001843-T1	
OG0010327	GAWGY_001844-T1	
OG0010328	GAWGY_001845-T1	
OG0010329	GAWGY_001869-T1	
OG0010330	GAWGY_001873-T1	
OG0010331	GAWGY_001878-T1	
OG0010332	GAWGY_001879-T1	
OG0010333	GAWGY_001887-T1	
OG0010334	GAWGY_001891-T1	
OG0010335	GAWGY_001906-T1	
OG0010336	GAWGY_001911-T1	
OG0010337	GAWGY_001920-T1	
OG0010338	GAWGY_001923-T1	
OG0010339	GAWGY_001938-T1	
OG0010340	GAWGY_001942-T1	
OG0010341	GAWGY_001949-T1	
OG0010342	GAWGY_001960-T1	
OG0010343	GAWGY_001961-T1	
OG0010344	GAWGY_001968-T1	
OG0010345	GAWGY_001983-T1	
OG0010346	GAWGY_001990-T1	
OG0010347	GAWGY_001993-T1	
OG0010348	GAWGY_001996-T1	
OG0010349	GAWGY_002020-T1	
OG0010350	GAWGY_002024-T1	
OG0010351	GAWGY_002026-T1	
OG0010352	GAWGY_002031-T1	
OG0010353	GAWGY_002040-T1	
OG0010354	GAWGY_002043-T1	
OG0010355	GAWGY_002057-T1	
OG0010356	GAWGY_002061-T1	
OG0010357	GAWGY_002066-T1	
OG0010358	GAWGY_002083-T1	
OG0010359	GAWGY_002098-T1	
OG0010360	GAWGY_002110-T1	
OG0010361	GAWGY_002114-T1	
OG0010362	GAWGY_002117-T1	
OG0010363	GAWGY_002131-T1	
OG0010364	GAWGY_002135-T1	
OG0010365	GAWGY_002141-T1	
OG0010366	GAWGY_002143-T1	
OG0010367	GAWGY_002163-T1	
OG0010368	GAWGY_002168-T1	
OG0010369	GAWGY_002194-T1	
OG0010370	GAWGY_002195-T1	
OG0010371	GAWGY_002207-T1	
OG0010372	GAWGY_002213-T1	
OG0010373	GAWGY_002249-T1	
OG0010374	GAWGY_002263-T1	
OG0010375	GAWGY_002275-T1	
OG0010376	GAWGY_002291-T1	
OG0010377	GAWGY_002293-T1	
OG0010378	GAWGY_002297-T1	
OG0010379	GAWGY_002317-T1	
OG0010380	GAWGY_002319-T1	
OG0010381	GAWGY_002324-T1	
OG0010382	GAWGY_002335-T1	
OG0010383	GAWGY_002336-T1	
OG0010384	GAWGY_002338-T1	
OG0010385	GAWGY_002358-T1	
OG0010386	GAWGY_002359-T1	
OG0010387	GAWGY_002368-T1	
OG0010388	GAWGY_002371-T1	
OG0010389	GAWGY_002380-T1	
OG0010390	GAWGY_002386-T1	
OG0010391	GAWGY_002387-T1	
OG0010392	GAWGY_002399-T1	
OG0010393	GAWGY_002401-T1	
OG0010394	GAWGY_002405-T1	
OG0010395	GAWGY_002406-T1	
OG0010396	GAWGY_002409-T1	
OG0010397	GAWGY_002447-T1	
OG0010398	GAWGY_002455-T1	
OG0010399	GAWGY_002458-T1	
OG0010400	GAWGY_002472-T1	
OG0010401	GAWGY_002483-T1	
OG0010402	GAWGY_002489-T1	
OG0010403	GAWGY_002502-T1	
OG0010404	GAWGY_002520-T1	
OG0010405	GAWGY_002522-T1	
OG0010406	GAWGY_002525-T1	
OG0010407	GAWGY_002526-T1	
OG0010408	GAWGY_002529-T1	
OG0010409	GAWGY_002538-T1	
OG0010410	GAWGY_002546-T1	
OG0010411	GAWGY_002554-T1	
OG0010412	GAWGY_002555-T1	
OG0010413	GAWGY_002560-T1	
OG0010414	GAWGY_002562-T1	
OG0010415	GAWGY_002572-T1	
OG0010416	GAWGY_002574-T1	
OG0010417	GAWGY_002580-T1	
OG0010418	GAWGY_002581-T1	
OG0010419	GAWGY_002582-T1	
OG0010420	GAWGY_002583-T1	
OG0010421	GAWGY_002589-T1	
OG0010422	GAWGY_002591-T1	
OG0010423	GAWGY_002594-T1	
OG0010424	GAWGY_002595-T1	
OG0010425	GAWGY_002596-T1	
OG0010426	GAWGY_002622-T1	
OG0010427	GAWGY_002624-T1	
OG0010428	GAWGY_002628-T1	
OG0010429	GAWGY_002638-T1	
OG0010430	GAWGY_002639-T1	
OG0010431	GAWGY_002645-T1	
OG0010432	GAWGY_002646-T1	
OG0010433	GAWGY_002651-T1	
OG0010434	GAWGY_002652-T1	
OG0010435	GAWGY_002655-T1	
OG0010436	GAWGY_002656-T1	
OG0010437	GAWGY_002662-T1	
OG0010438	GAWGY_002680-T1	
OG0010439	GAWGY_002681-T1	
OG0010440	GAWGY_002684-T1	
OG0010441	GAWGY_002685-T1	
OG0010442	GAWGY_002688-T1	
OG0010443	GAWGY_002702-T1	
OG0010444	GAWGY_002709-T1	
OG0010445	GAWGY_002716-T1	
OG0010446	GAWGY_002718-T1	
OG0010447	GAWGY_002721-T1	
OG0010448	GAWGY_002727-T1	
OG0010449	GAWGY_002736-T1	
OG0010450	GAWGY_002745-T1	
OG0010451	GAWGY_002746-T1	
OG0010452	GAWGY_002748-T1	
OG0010453	GAWGY_002752-T1	
OG0010454	GAWGY_002757-T1	
OG0010455	GAWGY_002776-T1	
OG0010456	GAWGY_002780-T1	
OG0010457	GAWGY_002781-T1	
OG0010458	GAWGY_002784-T1	
OG0010459	GAWGY_002814-T1	
OG0010460	GAWGY_002815-T1	
OG0010461	GAWGY_002825-T1	
OG0010462	GAWGY_002827-T1	
OG0010463	GAWGY_002828-T1	
OG0010464	GAWGY_002840-T1	
OG0010465	GAWGY_002850-T1	
OG0010466	GAWGY_002851-T1	
OG0010467	GAWGY_002861-T1	
OG0010468	GAWGY_002876-T1	
OG0010469	GAWGY_002882-T1	
OG0010470	GAWGY_002884-T1	
OG0010471	GAWGY_002885-T1	
OG0010472	GAWGY_002899-T1	
OG0010473	GAWGY_002906-T1	
OG0010474	GAWGY_002920-T1	
OG0010475	GAWGY_002928-T1	
OG0010476	GAWGY_002929-T1	
OG0010477	GAWGY_002930-T1	
OG0010478	GAWGY_002935-T1	
OG0010479	GAWGY_002938-T1	
OG0010480	GAWGY_002942-T1	
OG0010481	GAWGY_002950-T1	
OG0010482	GAWGY_002977-T1	
OG0010483	GAWGY_002978-T1	
OG0010484	GAWGY_002987-T1	
OG0010485	GAWGY_002988-T1	
OG0010486	GAWGY_003013-T1	
OG0010487	GAWGY_003022-T1	
OG0010488	GAWGY_003032-T1	
OG0010489	GAWGY_003070-T1	
OG0010490	GAWGY_003086-T1	
OG0010491	GAWGY_003093-T1	
OG0010492	GAWGY_003095-T1	
OG0010493	GAWGY_003104-T1	
OG0010494	GAWGY_003129-T1	
OG0010495	GAWGY_003140-T1	
OG0010496	GAWGY_003156-T1	
OG0010497	GAWGY_003162-T1	
OG0010498	GAWGY_003193-T1	
OG0010499	GAWGY_003196-T1	
OG0010500	GAWGY_003213-T1	
OG0010501	GAWGY_003214-T1	
OG0010502	GAWGY_003222-T1	
OG0010503	GAWGY_003227-T1	
OG0010504	GAWGY_003228-T1	
OG0010505	GAWGY_003243-T1	
OG0010506	GAWGY_003253-T1	
OG0010507	GAWGY_003259-T1	
OG0010508	GAWGY_003264-T1	
OG0010509	GAWGY_003266-T1	
OG0010510	GAWGY_003278-T1	
OG0010511	GAWGY_003280-T1	
OG0010512	GAWGY_003289-T1	
OG0010513	GAWGY_003301-T1	
OG0010514	GAWGY_003305-T1	
OG0010515	GAWGY_003309-T1	
OG0010516	GAWGY_003313-T1	
OG0010517	GAWGY_003315-T1	
OG0010518	GAWGY_003319-T1	
OG0010519	GAWGY_003326-T1	
OG0010520	GAWGY_003329-T1	
OG0010521	GAWGY_003332-T1	
OG0010522	GAWGY_003337-T1	
OG0010523	GAWGY_003338-T1	
OG0010524	GAWGY_003344-T1	
OG0010525	GAWGY_003350-T1	
OG0010526	GAWGY_003362-T1	
OG0010527	GAWGY_003363-T1	
OG0010528	GAWGY_003366-T1	
OG0010529	GAWGY_003368-T1	
OG0010530	GAWGY_003372-T1	
OG0010531	GAWGY_003374-T1	
OG0010532	GAWGY_003379-T1	
OG0010533	GAWGY_003380-T1	
OG0010534	GAWGY_003389-T1	
OG0010535	GAWGY_003393-T1	
OG0010536	GAWGY_003406-T1	
OG0010537	GAWGY_003434-T1	
OG0010538	GAWGY_003435-T1	
OG0010539	GAWGY_003441-T1	
OG0010540	GAWGY_003443-T1	
OG0010541	GAWGY_003446-T1	
OG0010542	GAWGY_003448-T1	
OG0010543	GAWGY_003466-T1	
OG0010544	GAWGY_003470-T1	
OG0010545	GAWGY_003482-T1	
OG0010546	GAWGY_003493-T1	
OG0010547	GAWGY_003501-T1	
OG0010548	GAWGY_003502-T1	
OG0010549	GAWGY_003506-T1	
OG0010550	GAWGY_003519-T1	
OG0010551	GAWGY_003524-T1	
OG0010552	GAWGY_003530-T1	
OG0010553	GAWGY_003531-T1	
OG0010554	GAWGY_003534-T1	
OG0010555	GAWGY_003539-T1	
OG0010556	GAWGY_003555-T1	
OG0010557	GAWGY_003556-T1	
OG0010558	GAWGY_003560-T1	
OG0010559	GAWGY_003568-T1	
OG0010560	GAWGY_003574-T1	
OG0010561	GAWGY_003587-T1	
OG0010562	GAWGY_003588-T1	
OG0010563	GAWGY_003589-T1	
OG0010564	GAWGY_003592-T1	
OG0010565	GAWGY_003594-T1	
OG0010566	GAWGY_003614-T1	
OG0010567	GAWGY_003621-T1	
OG0010568	GAWGY_003624-T1	
OG0010569	GAWGY_003625-T1	
OG0010570	GAWGY_003626-T1	
OG0010571	GAWGY_003627-T1	
OG0010572	GAWGY_003643-T1	
OG0010573	GAWGY_003647-T1	
OG0010574	GAWGY_003648-T1	
OG0010575	GAWGY_003651-T1	
OG0010576	GAWGY_003653-T1	
OG0010577	GAWGY_003664-T1	
OG0010578	GAWGY_003680-T1	
OG0010579	GAWGY_003685-T1	
OG0010580	GAWGY_003703-T1	
OG0010581	GAWGY_003704-T1	
OG0010582	GAWGY_003713-T1	
OG0010583	GAWGY_003718-T1	
OG0010584	GAWGY_003721-T1	
OG0010585	GAWGY_003733-T1	
OG0010586	GAWGY_003741-T1	
OG0010587	GAWGY_003744-T1	
OG0010588	GAWGY_003752-T1	
OG0010589	GAWGY_003769-T1	
OG0010590	GAWGY_003770-T1	
OG0010591	GAWGY_003788-T1	
OG0010592	GAWGY_003793-T1	
OG0010593	GAWGY_003797-T1	
OG0010594	GAWGY_003801-T1	
OG0010595	GAWGY_003804-T1	
OG0010596	GAWGY_003812-T1	
OG0010597	GAWGY_003825-T1	
OG0010598	GAWGY_003848-T1	
OG0010599	GAWGY_003851-T1	
OG0010600	GAWGY_003854-T1	
OG0010601	GAWGY_003862-T1	
OG0010602	GAWGY_003868-T1	
OG0010603	GAWGY_003869-T1	
OG0010604	GAWGY_003879-T1	
OG0010605	GAWGY_003889-T1	
OG0010606	GAWGY_003912-T1	
OG0010607	GAWGY_003913-T1	
OG0010608	GAWGY_003914-T1	
OG0010609	GAWGY_003915-T1	
OG0010610	GAWGY_003924-T1	
OG0010611	GAWGY_003930-T1	
OG0010612	GAWGY_003934-T1	
OG0010613	GAWGY_003935-T1	
OG0010614	GAWGY_003938-T1	
OG0010615	GAWGY_003941-T1	
OG0010616	GAWGY_003970-T1	
OG0010617	GAWGY_003988-T1	
OG0010618	GAWGY_003990-T1	
OG0010619	GAWGY_004014-T1	
OG0010620	GAWGY_004019-T1	
OG0010621	GAWGY_004023-T1	
OG0010622	GAWGY_004027-T1	
OG0010623	GAWGY_004035-T1	
OG0010624	GAWGY_004053-T1	
OG0010625	GAWGY_004065-T1	
OG0010626	GAWGY_004068-T1	
OG0010627	GAWGY_004092-T1	
OG0010628	GAWGY_004097-T1	
OG0010629	GAWGY_004102-T1	
OG0010630	GAWGY_004124-T1	
OG0010631	GAWGY_004132-T1	
OG0010632	GAWGY_004158-T1	
OG0010633	GAWGY_004161-T1	
OG0010634	GAWGY_004171-T1	
OG0010635	GAWGY_004173-T1	
OG0010636	GAWGY_004190-T1	
OG0010637	GAWGY_004192-T1	
OG0010638	GAWGY_004212-T1	
OG0010639	GAWGY_004213-T1	
OG0010640	GAWGY_004214-T1	
OG0010641	GAWGY_004217-T1	
OG0010642	GAWGY_004222-T1	
OG0010643	GAWGY_004230-T1	
OG0010644	GAWGY_004232-T1	
OG0010645	GAWGY_004235-T1	
OG0010646	GAWGY_004236-T1	
OG0010647	GAWGY_004238-T1	
OG0010648	GAWGY_004250-T1	
OG0010649	GAWGY_004261-T1	
OG0010650	GAWGY_004263-T1	
OG0010651	GAWGY_004282-T1	
OG0010652	GAWGY_004286-T1	
OG0010653	GAWGY_004287-T1	
OG0010654	GAWGY_004300-T1	
OG0010655	GAWGY_004304-T1	
OG0010656	GAWGY_004309-T1	
OG0010657	GAWGY_004313-T1	
OG0010658	GAWGY_004325-T1	
OG0010659	GAWGY_004329-T1	
OG0010660	GAWGY_004330-T1	
OG0010661	GAWGY_004348-T1	
OG0010662	GAWGY_004350-T1	
OG0010663	GAWGY_004352-T1	
OG0010664	GAWGY_004353-T1	
OG0010665	GAWGY_004360-T1	
OG0010666	GAWGY_004365-T1	
OG0010667	GAWGY_004368-T1	
OG0010668	GAWGY_004371-T1	
OG0010669	GAWGY_004373-T1	
OG0010670	GAWGY_004375-T1	
OG0010671	GAWGY_004380-T1	
OG0010672	GAWGY_004425-T1	
OG0010673	GAWGY_004436-T1	
OG0010674	GAWGY_004439-T1	
OG0010675	GAWGY_004440-T1	
OG0010676	GAWGY_004456-T1	
OG0010677	GAWGY_004459-T1	
OG0010678	GAWGY_004481-T1	
OG0010679	GAWGY_004482-T1	
OG0010680	GAWGY_004484-T1	
OG0010681	GAWGY_004509-T1	
OG0010682	GAWGY_004523-T1	
OG0010683	GAWGY_004527-T1	
OG0010684	GAWGY_004532-T1	
OG0010685	GAWGY_004534-T1	
OG0010686	GAWGY_004537-T1	
OG0010687	GAWGY_004551-T1	
OG0010688	GAWGY_004552-T1	
OG0010689	GAWGY_004553-T1	
OG0010690	GAWGY_004556-T1	
OG0010691	GAWGY_004574-T1	
OG0010692	GAWGY_004575-T1	
OG0010693	GAWGY_004576-T1	
OG0010694	GAWGY_004578-T1	
OG0010695	GAWGY_004579-T1	
OG0010696	GAWGY_004615-T1	
OG0010697	GAWGY_004617-T1	
OG0010698	GAWGY_004619-T1	
OG0010699	GAWGY_004622-T1	
OG0010700	GAWGY_004623-T1	
OG0010701	GAWGY_004624-T1	
OG0010702	GAWGY_004642-T1	
OG0010703	GAWGY_004681-T1	
OG0010704	GAWGY_004687-T1	
OG0010705	GAWGY_004691-T1	
OG0010706	GAWGY_004707-T1	
OG0010707	GAWGY_004708-T1	
OG0010708	GAWGY_004714-T1	
OG0010709	GAWGY_004723-T1	
OG0010710	GAWGY_004724-T1	
OG0010711	GAWGY_004728-T1	
OG0010712	GAWGY_004729-T1	
OG0010713	GAWGY_004730-T1	
OG0010714	GAWGY_004731-T1	
OG0010715	GAWGY_004737-T1	
OG0010716	GAWGY_004742-T1	
OG0010717	GAWGY_004746-T1	
OG0010718	GAWGY_004754-T1	
OG0010719	GAWGY_004766-T1	
OG0010720	GAWGY_004777-T1	
OG0010721	GAWGY_004778-T1	
OG0010722	GAWGY_004780-T1	
OG0010723	GAWGY_004783-T1	
OG0010724	GAWGY_004789-T1	
OG0010725	GAWGY_004819-T1	
OG0010726	GAWGY_004827-T1	
OG0010727	GAWGY_004828-T1	
OG0010728	GAWGY_004842-T1	
OG0010729	GAWGY_004844-T1	
OG0010730	GAWGY_004863-T1	
OG0010731	GAWGY_004866-T1	
OG0010732	GAWGY_004868-T1	
OG0010733	GAWGY_004885-T1	
OG0010734	GAWGY_004893-T1	
OG0010735	GAWGY_004904-T1	
OG0010736	GAWGY_004911-T1	
OG0010737	GAWGY_004913-T1	
OG0010738	GAWGY_004921-T1	
OG0010739	GAWGY_004928-T1	
OG0010740	GAWGY_004929-T1	
OG0010741	GAWGY_004931-T1	
OG0010742	GAWGY_004932-T1	
OG0010743	GAWGY_004942-T1	
OG0010744	GAWGY_004964-T1	
OG0010745	GAWGY_004967-T1	
OG0010746	GAWGY_004973-T1	
OG0010747	GAWGY_004974-T1	
OG0010748	GAWGY_004976-T1	
OG0010749	GAWGY_004979-T1	
OG0010750	GAWGY_004981-T1	
OG0010751	GAWGY_004982-T1	
OG0010752	GAWGY_004992-T1	
OG0010753	GAWGY_005011-T1	
OG0010754	GAWGY_005014-T1	
OG0010755	GAWGY_005016-T1	
OG0010756	GAWGY_005017-T1	
OG0010757	GAWGY_005019-T1	
OG0010758	GAWGY_005026-T1	
OG0010759	GAWGY_005042-T1	
OG0010760	GAWGY_005044-T1	
OG0010761	GAWGY_005056-T1	
OG0010762	GAWGY_005071-T1	
OG0010763	GAWGY_005072-T1	
OG0010764	GAWGY_005077-T1	
OG0010765	GAWGY_005084-T1	
OG0010766	GAWGY_005085-T1	
OG0010767	GAWGY_005086-T1	
OG0010768	GAWGY_005089-T1	
OG0010769	GAWGY_005093-T1	
OG0010770	GAWGY_005099-T1	
OG0010771	GAWGY_005104-T1	
OG0010772	GAWGY_005107-T1	
OG0010773	GAWGY_005117-T1	
OG0010774	GAWGY_005130-T1	
OG0010775	GAWGY_005137-T1	
OG0010776	GAWGY_005140-T1	
OG0010777	GAWGY_005147-T1	
OG0010778	GAWGY_005153-T1	
OG0010779	GAWGY_005155-T1	
OG0010780	GAWGY_005157-T1	
OG0010781	GAWGY_005182-T1	
OG0010782	GAWGY_005188-T1	
OG0010783	GAWGY_005189-T1	
OG0010784	GAWGY_005199-T1	
OG0010785	GAWGY_005203-T1	
OG0010786	GAWGY_005214-T1	
OG0010787	GAWGY_005216-T1	
OG0010788	GAWGY_005228-T1	
OG0010789	GAWGY_005242-T1	
OG0010790	GAWGY_005246-T1	
OG0010791	GAWGY_005249-T1	
OG0010792	GAWGY_005263-T1	
OG0010793	GAWGY_005270-T1	
OG0010794	GAWGY_005279-T1	
OG0010795	GAWGY_005280-T1	
OG0010796	GAWGY_005281-T1	
OG0010797	GAWGY_005283-T1	
OG0010798	GAWGY_005296-T1	
OG0010799	GAWGY_005298-T1	
OG0010800	GAWGY_005299-T1	
OG0010801	GAWGY_005314-T1	
OG0010802	GAWGY_005316-T1	
OG0010803	GAWGY_005334-T1	
OG0010804	GAWGY_005336-T1	
OG0010805	GAWGY_005356-T1	
OG0010806	GAWGY_005366-T1	
OG0010807	GAWGY_005370-T1	
OG0010808	GAWGY_005373-T1	
OG0010809	GAWGY_005383-T1	
OG0010810	GAWGY_005384-T1	
OG0010811	GAWGY_005390-T1	
OG0010812	GAWGY_005404-T1	
OG0010813	GAWGY_005413-T1	
OG0010814	GAWGY_005414-T1	
OG0010815	GAWGY_005416-T1	
OG0010816	GAWGY_005421-T1	
OG0010817	GAWGY_005433-T1	
OG0010818	GAWGY_005451-T1	
OG0010819	GAWGY_005452-T1	
OG0010820	GAWGY_005456-T1	
OG0010821	GAWGY_005462-T1	
OG0010822	GAWGY_005467-T1	
OG0010823	GAWGY_005483-T1	
OG0010824	GAWGY_005498-T1	
OG0010825	GAWGY_005529-T1	
OG0010826	GAWGY_005532-T1	
OG0010827	GAWGY_005548-T1	
OG0010828	GAWGY_005559-T1	
OG0010829	GAWGY_005567-T1	
OG0010830	GAWGY_005569-T1	
OG0010831	GAWGY_005571-T1	
OG0010832	GAWGY_005575-T1	
OG0010833	GAWGY_005579-T1	
OG0010834	GAWGY_005586-T1	
OG0010835	GAWGY_005587-T1	
OG0010836	GAWGY_005588-T1	
OG0010837	GAWGY_005590-T1	
OG0010838	GAWGY_005597-T1	
OG0010839	GAWGY_005598-T1	
OG0010840	GAWGY_005599-T1	
OG0010841	GAWGY_005601-T1	
OG0010842	GAWGY_005602-T1	
OG0010843	GAWGY_005621-T1	
OG0010844	GAWGY_005626-T1	
OG0010845	GAWGY_005640-T1	
OG0010846	GAWGY_005651-T1	
OG0010847	GAWGY_005665-T1	
