	Absidia_cuneospora_RSA_623_Plus.aa	Absidia_cuneospora_RSA_624-.aa
OG0007991	GBNUZ_000809-T1	
OG0007992	GBNUZ_000822-T1	
OG0007993	GBNUZ_000849-T1	
OG0007994	GBNUZ_000867-T1	
OG0007995	GBNUZ_000882-T1	
OG0007996	GBNUZ_000887-T1	
OG0007997	GBNUZ_000900-T1	
OG0007998	GBNUZ_000906-T1	
OG0007999	GBNUZ_000912-T1	
OG0008000	GBNUZ_000916-T1	
OG0008001	GBNUZ_000936-T1	
OG0008002	GBNUZ_000945-T1	
OG0008003	GBNUZ_000946-T1	
OG0008004	GBNUZ_000959-T1	
OG0008005	GBNUZ_000962-T1	
OG0008006	GBNUZ_001007-T1	
OG0008007	GBNUZ_001051-T1	
OG0008008	GBNUZ_001054-T1	
OG0008009	GBNUZ_001098-T1	
OG0008010	GBNUZ_001099-T1	
OG0008011	GBNUZ_001122-T1	
OG0008012	GBNUZ_001124-T1	
OG0008013	GBNUZ_001137-T1	
OG0008014	GBNUZ_001138-T1	
OG0008015	GBNUZ_001160-T1	
OG0008016	GBNUZ_001179-T1	
OG0008017	GBNUZ_001182-T1	
OG0008018	GBNUZ_001206-T1	
OG0008019	GBNUZ_001210-T1	
OG0008020	GBNUZ_001229-T1	
OG0008021	GBNUZ_001238-T1	
OG0008022	GBNUZ_001255-T1	
OG0008023	GBNUZ_001299-T1	
OG0008024	GBNUZ_001321-T1	
OG0008025	GBNUZ_001334-T1	
OG0008026	GBNUZ_001335-T1	
OG0008027	GBNUZ_001339-T1	
OG0008028	GBNUZ_001345-T1	
OG0008029	GBNUZ_001347-T1	
OG0008030	GBNUZ_001348-T1	
OG0008031	GBNUZ_001353-T1	
OG0008032	GBNUZ_001355-T1	
OG0008033	GBNUZ_001361-T1	
OG0008034	GBNUZ_001363-T1	
OG0008035	GBNUZ_001385-T1	
OG0008036	GBNUZ_001388-T1	
OG0008037	GBNUZ_001397-T1	
OG0008038	GBNUZ_001415-T1	
OG0008039	GBNUZ_001419-T1	
OG0008040	GBNUZ_001434-T1	
OG0008041	GBNUZ_001438-T1	
OG0008042	GBNUZ_001440-T1	
OG0008043	GBNUZ_001451-T1	
OG0008044	GBNUZ_001455-T1	
OG0008045	GBNUZ_001471-T1	
OG0008046	GBNUZ_001474-T1	
OG0008047	GBNUZ_001482-T1	
OG0008048	GBNUZ_001485-T1	
OG0008049	GBNUZ_001486-T1	
OG0008050	GBNUZ_001487-T1	
OG0008051	GBNUZ_001488-T1	
OG0008052	GBNUZ_001497-T1	
OG0008053	GBNUZ_001498-T1	
OG0008054	GBNUZ_001528-T1	
OG0008055	GBNUZ_001533-T1	
OG0008056	GBNUZ_001568-T1	
OG0008057	GBNUZ_001585-T1	
OG0008058	GBNUZ_001587-T1	
OG0008059	GBNUZ_001589-T1	
OG0008060	GBNUZ_001600-T1	
OG0008061	GBNUZ_001605-T1	
OG0008062	GBNUZ_001612-T1	
OG0008063	GBNUZ_001626-T1	
OG0008064	GBNUZ_001633-T1	
OG0008065	GBNUZ_001635-T1	
OG0008066	GBNUZ_001666-T1	
OG0008067	GBNUZ_001687-T1	
OG0008068	GBNUZ_001709-T1	
OG0008069	GBNUZ_001718-T1	
OG0008070	GBNUZ_001725-T1	
OG0008071	GBNUZ_001758-T1	
OG0008072	GBNUZ_001767-T1	
OG0008073	GBNUZ_001793-T1	
OG0008074	GBNUZ_001801-T1	
OG0008075	GBNUZ_001804-T1	
OG0008076	GBNUZ_001819-T1	
OG0008077	GBNUZ_001844-T1	
OG0008078	GBNUZ_001849-T1	
OG0008079	GBNUZ_001851-T1	
OG0008080	GBNUZ_001893-T1	
OG0008081	GBNUZ_001910-T1	
OG0008082	GBNUZ_001920-T1	
OG0008083	GBNUZ_001923-T1	
OG0008084	GBNUZ_001944-T1	
OG0008085	GBNUZ_001945-T1	
OG0008086	GBNUZ_001946-T1	
OG0008087	GBNUZ_001951-T1	
OG0008088	GBNUZ_001952-T1	
OG0008089	GBNUZ_001953-T1	
OG0008090	GBNUZ_001962-T1	
OG0008091	GBNUZ_001988-T1	
OG0008092	GBNUZ_001998-T1	
OG0008093	GBNUZ_002022-T1	
OG0008094	GBNUZ_002041-T1	
OG0008095	GBNUZ_002042-T1	
OG0008096	GBNUZ_002051-T1	
OG0008097	GBNUZ_002065-T1	
OG0008098	GBNUZ_002076-T1	
OG0008099	GBNUZ_002092-T1	
OG0008100	GBNUZ_002104-T1	
OG0008101	GBNUZ_002130-T1	
OG0008102	GBNUZ_002132-T1	
OG0008103	GBNUZ_002145-T1	
OG0008104	GBNUZ_002147-T1	
OG0008105	GBNUZ_002157-T1	
OG0008106	GBNUZ_002162-T1	
OG0008107	GBNUZ_002170-T1	
OG0008108	GBNUZ_002171-T1	
OG0008109	GBNUZ_002175-T1	
OG0008110	GBNUZ_002176-T1	
OG0008111	GBNUZ_002216-T1	
OG0008112	GBNUZ_002240-T1	
OG0008113	GBNUZ_002285-T1	
OG0008114	GBNUZ_002312-T1	
OG0008115	GBNUZ_002318-T1	
OG0008116	GBNUZ_002325-T1	
OG0008117	GBNUZ_002394-T1	
OG0008118	GBNUZ_002397-T1	
OG0008119	GBNUZ_002412-T1	
OG0008120	GBNUZ_002426-T1	
OG0008121	GBNUZ_002431-T1	
OG0008122	GBNUZ_002444-T1	
OG0008123	GBNUZ_002446-T1	
OG0008124	GBNUZ_002449-T1	
OG0008125	GBNUZ_002457-T1	
OG0008126	GBNUZ_002471-T1	
OG0008127	GBNUZ_002479-T1	
OG0008128	GBNUZ_002483-T1	
OG0008129	GBNUZ_002484-T1	
OG0008130	GBNUZ_002485-T1	
OG0008131	GBNUZ_002494-T1	
OG0008132	GBNUZ_002501-T1	
OG0008133	GBNUZ_002505-T1	
OG0008134	GBNUZ_002512-T1	
OG0008135	GBNUZ_002518-T1	
OG0008136	GBNUZ_002526-T1	
OG0008137	GBNUZ_002547-T1	
OG0008138	GBNUZ_002563-T1	
OG0008139	GBNUZ_002567-T1	
OG0008140	GBNUZ_002582-T1	
OG0008141	GBNUZ_002586-T1	
OG0008142	GBNUZ_002591-T1	
OG0008143	GBNUZ_002624-T1	
OG0008144	GBNUZ_002626-T1	
OG0008145	GBNUZ_002627-T1	
OG0008146	GBNUZ_002640-T1	
OG0008147	GBNUZ_002641-T1	
OG0008148	GBNUZ_002654-T1	
OG0008149	GBNUZ_002661-T1	
OG0008150	GBNUZ_002663-T1	
OG0008151	GBNUZ_002679-T1	
OG0008152	GBNUZ_002719-T1	
OG0008153	GBNUZ_002729-T1	
OG0008154	GBNUZ_002744-T1	
OG0008155	GBNUZ_002761-T1	
OG0008156	GBNUZ_002764-T1	
OG0008157	GBNUZ_002770-T1	
OG0008158	GBNUZ_002803-T1	
OG0008159	GBNUZ_002805-T1	
OG0008160	GBNUZ_002816-T1	
OG0008161	GBNUZ_002832-T1	
OG0008162	GBNUZ_002833-T1	
OG0008163	GBNUZ_002871-T1	
OG0008164	GBNUZ_002885-T1	
OG0008165	GBNUZ_002887-T1	
OG0008166	GBNUZ_002898-T1	
OG0008167	GBNUZ_002901-T1	
OG0008168	GBNUZ_002903-T1	
OG0008169	GBNUZ_002906-T1	
OG0008170	GBNUZ_002909-T1	
OG0008171	GBNUZ_002926-T1	
OG0008172	GBNUZ_002927-T1	
OG0008173	GBNUZ_002954-T1	
OG0008174	GBNUZ_002958-T1	
OG0008175	GBNUZ_002963-T1	
OG0008176	GBNUZ_002965-T1	
OG0008177	GBNUZ_002966-T1	
OG0008178	GBNUZ_002967-T1	
OG0008179	GBNUZ_002973-T1	
OG0008180	GBNUZ_002975-T1	
OG0008181	GBNUZ_002979-T1	
OG0008182	GBNUZ_002989-T1	
OG0008183	GBNUZ_003005-T1	
OG0008184	GBNUZ_003012-T1	
OG0008185	GBNUZ_003030-T1	
OG0008186	GBNUZ_003048-T1	
OG0008187	GBNUZ_003064-T1	
OG0008188	GBNUZ_003065-T1	
OG0008189	GBNUZ_003070-T1	
OG0008190	GBNUZ_003073-T1	
OG0008191	GBNUZ_003084-T1	
OG0008192	GBNUZ_003089-T1	
OG0008193	GBNUZ_003106-T1	
OG0008194	GBNUZ_003117-T1	
OG0008195	GBNUZ_003121-T1	
OG0008196	GBNUZ_003127-T1	
OG0008197	GBNUZ_003144-T1	
OG0008198	GBNUZ_003154-T1	
OG0008199	GBNUZ_003190-T1	
OG0008200	GBNUZ_003205-T1	
OG0008201	GBNUZ_003210-T1	
OG0008202	GBNUZ_003219-T1	
OG0008203	GBNUZ_003259-T1	
OG0008204	GBNUZ_003288-T1	
OG0008205	GBNUZ_003291-T1	
OG0008206	GBNUZ_003293-T1	
OG0008207	GBNUZ_003319-T1	
OG0008208	GBNUZ_003329-T1	
OG0008209	GBNUZ_003330-T1	
OG0008210	GBNUZ_003339-T1	
OG0008211	GBNUZ_003348-T1	
OG0008212	GBNUZ_003350-T1	
OG0008213	GBNUZ_003358-T1	
OG0008214	GBNUZ_003359-T1	
OG0008215	GBNUZ_003366-T1	
OG0008216	GBNUZ_003373-T1	
OG0008217	GBNUZ_003385-T1	
OG0008218	GBNUZ_003396-T1	
OG0008219	GBNUZ_003402-T1	
OG0008220	GBNUZ_003412-T1	
OG0008221	GBNUZ_003414-T1	
OG0008222	GBNUZ_003453-T1	
OG0008223	GBNUZ_003457-T1	
OG0008224	GBNUZ_003487-T1	
OG0008225	GBNUZ_003491-T1	
OG0008226	GBNUZ_003502-T1	
OG0008227	GBNUZ_003508-T1	
OG0008228	GBNUZ_003515-T1	
OG0008229	GBNUZ_003518-T1	
OG0008230	GBNUZ_003537-T1	
OG0008231	GBNUZ_003551-T1	
OG0008232	GBNUZ_003557-T1	
OG0008233	GBNUZ_003566-T1	
OG0008234	GBNUZ_003575-T1	
OG0008235	GBNUZ_003576-T1	
OG0008236	GBNUZ_003596-T1	
OG0008237	GBNUZ_003597-T1	
OG0008238	GBNUZ_003618-T1	
OG0008239	GBNUZ_003649-T1	
OG0008240	GBNUZ_003652-T1	
OG0008241	GBNUZ_003654-T1	
OG0008242	GBNUZ_003657-T1	
OG0008243	GBNUZ_003662-T1	
OG0008244	GBNUZ_003670-T1	
OG0008245	GBNUZ_003691-T1	
OG0008246	GBNUZ_003695-T1	
OG0008247	GBNUZ_003699-T1	
OG0008248	GBNUZ_003704-T1	
OG0008249	GBNUZ_003710-T1	
OG0008250	GBNUZ_003727-T1	
OG0008251	GBNUZ_003736-T1	
OG0008252	GBNUZ_003747-T1	
OG0008253	GBNUZ_003755-T1	
OG0008254	GBNUZ_003762-T1	
OG0008255	GBNUZ_003763-T1	
OG0008256	GBNUZ_003784-T1	
OG0008257	GBNUZ_003793-T1	
OG0008258	GBNUZ_003804-T1	
OG0008259	GBNUZ_003805-T1	
OG0008260	GBNUZ_003813-T1	
OG0008261	GBNUZ_003815-T1	
OG0008262	GBNUZ_003818-T1	
OG0008263	GBNUZ_003821-T1	
OG0008264	GBNUZ_003830-T1	
OG0008265	GBNUZ_003851-T1	
OG0008266	GBNUZ_003862-T1	
OG0008267	GBNUZ_003864-T1	
OG0008268	GBNUZ_003880-T1	
OG0008269	GBNUZ_003897-T1	
OG0008270	GBNUZ_003898-T1	
OG0008271	GBNUZ_003899-T1	
OG0008272	GBNUZ_003941-T1	
OG0008273	GBNUZ_003944-T1	
OG0008274	GBNUZ_003947-T1	
OG0008275	GBNUZ_003958-T1	
OG0008276	GBNUZ_003980-T1	
OG0008277	GBNUZ_003996-T1	
OG0008278	GBNUZ_003998-T1	
OG0008279	GBNUZ_003999-T1	
OG0008280	GBNUZ_004000-T1	
OG0008281	GBNUZ_004006-T1	
OG0008282	GBNUZ_004013-T1	
OG0008283	GBNUZ_004026-T1	
OG0008284	GBNUZ_004039-T1	
OG0008285	GBNUZ_004045-T1	
OG0008286	GBNUZ_004065-T1	
OG0008287	GBNUZ_004074-T1	
OG0008288	GBNUZ_004075-T1	
OG0008289	GBNUZ_004078-T1	
OG0008290	GBNUZ_004090-T1	
OG0008291	GBNUZ_004102-T1	
OG0008292	GBNUZ_004119-T1	
OG0008293	GBNUZ_004120-T1	
OG0008294	GBNUZ_004122-T1	
OG0008295	GBNUZ_004140-T1	
OG0008296	GBNUZ_004147-T1	
OG0008297	GBNUZ_004157-T1	
OG0008298	GBNUZ_004170-T1	
OG0008299	GBNUZ_004173-T1	
OG0008300	GBNUZ_004193-T1	
OG0008301	GBNUZ_004196-T1	
OG0008302	GBNUZ_004200-T1	
OG0008303	GBNUZ_004222-T1	
OG0008304	GBNUZ_004248-T1	
OG0008305	GBNUZ_004263-T1	
OG0008306	GBNUZ_004298-T1	
OG0008307	GBNUZ_004302-T1	
OG0008308	GBNUZ_004304-T1	
OG0008309	GBNUZ_004316-T1	
OG0008310	GBNUZ_004326-T1	
OG0008311	GBNUZ_004342-T1	
OG0008312	GBNUZ_004375-T1	
OG0008313	GBNUZ_004384-T1	
OG0008314	GBNUZ_004397-T1	
OG0008315	GBNUZ_004401-T1	
OG0008316	GBNUZ_004407-T1	
OG0008317	GBNUZ_004411-T1	
OG0008318	GBNUZ_004434-T1	
OG0008319	GBNUZ_004439-T1	
OG0008320	GBNUZ_004463-T1	
OG0008321	GBNUZ_004466-T1	
OG0008322	GBNUZ_004468-T1	
OG0008323	GBNUZ_004506-T1	
OG0008324	GBNUZ_004509-T1	
OG0008325	GBNUZ_004524-T1	
OG0008326	GBNUZ_004530-T1	
OG0008327	GBNUZ_004535-T1	
OG0008328	GBNUZ_004537-T1	
OG0008329	GBNUZ_004544-T1	
OG0008330	GBNUZ_004567-T1	
OG0008331	GBNUZ_004588-T1	
OG0008332	GBNUZ_004592-T1	
OG0008333	GBNUZ_004630-T1	
OG0008334	GBNUZ_004635-T1	
OG0008335	GBNUZ_004640-T1	
OG0008336	GBNUZ_004648-T1	
OG0008337	GBNUZ_004670-T1	
OG0008338	GBNUZ_004672-T1	
OG0008339	GBNUZ_004677-T1	
OG0008340	GBNUZ_004704-T1	
OG0008341	GBNUZ_004721-T1	
OG0008342	GBNUZ_004722-T1	
OG0008343	GBNUZ_004752-T1	
OG0008344	GBNUZ_004765-T1	
OG0008345	GBNUZ_004768-T1	
OG0008346	GBNUZ_004788-T1	
OG0008347	GBNUZ_004808-T1	
OG0008348	GBNUZ_004814-T1	
OG0008349	GBNUZ_004818-T1	
OG0008350	GBNUZ_004819-T1	
OG0008351	GBNUZ_004820-T1	
OG0008352	GBNUZ_004822-T1	
OG0008353	GBNUZ_004830-T1	
OG0008354	GBNUZ_004835-T1	
OG0008355	GBNUZ_004843-T1	
OG0008356	GBNUZ_004857-T1	
OG0008357	GBNUZ_004860-T1	
OG0008358	GBNUZ_004882-T1	
OG0008359	GBNUZ_004914-T1	
OG0008360	GBNUZ_004915-T1	
OG0008361	GBNUZ_004919-T1	
OG0008362	GBNUZ_004946-T1	
OG0008363	GBNUZ_004947-T1	
OG0008364	GBNUZ_004949-T1	
OG0008365	GBNUZ_004950-T1	
OG0008366	GBNUZ_004957-T1	
OG0008367	GBNUZ_004958-T1	
OG0008368	GBNUZ_004971-T1	
OG0008369	GBNUZ_004983-T1	
OG0008370	GBNUZ_004989-T1	
OG0008371	GBNUZ_004997-T1	
OG0008372	GBNUZ_005017-T1	
OG0008373	GBNUZ_005023-T1	
OG0008374	GBNUZ_005047-T1	
OG0008375	GBNUZ_005048-T1	
OG0008376	GBNUZ_005058-T1	
OG0008377	GBNUZ_005076-T1	
OG0008378	GBNUZ_005092-T1	
OG0008379	GBNUZ_005096-T1	
OG0008380	GBNUZ_005097-T1	
OG0008381	GBNUZ_005101-T1	
OG0008382	GBNUZ_005110-T1	
OG0008383	GBNUZ_005132-T1	
OG0008384	GBNUZ_005172-T1	
OG0008385	GBNUZ_005200-T1	
OG0008386	GBNUZ_005260-T1	
OG0008387	GBNUZ_005269-T1	
OG0008388	GBNUZ_005273-T1	
OG0008389	GBNUZ_005280-T1	
OG0008390	GBNUZ_005281-T1	
OG0008391	GBNUZ_005282-T1	
OG0008392	GBNUZ_005284-T1	
OG0008393	GBNUZ_005340-T1	
OG0008394	GBNUZ_005354-T1	
OG0008395	GBNUZ_005396-T1	
OG0008396	GBNUZ_005401-T1	
OG0008397	GBNUZ_005402-T1	
OG0008398	GBNUZ_005405-T1	
OG0008399	GBNUZ_005407-T1	
OG0008400	GBNUZ_005408-T1	
OG0008401	GBNUZ_005413-T1	
OG0008402	GBNUZ_005416-T1	
OG0008403	GBNUZ_005433-T1	
OG0008404	GBNUZ_005435-T1	
OG0008405	GBNUZ_005448-T1	
OG0008406	GBNUZ_005469-T1	
OG0008407	GBNUZ_005473-T1	
OG0008408	GBNUZ_005530-T1	
OG0008409	GBNUZ_005551-T1	
OG0008410	GBNUZ_005553-T1	
OG0008411	GBNUZ_005560-T1	
OG0008412	GBNUZ_005574-T1	
OG0008413	GBNUZ_005628-T1	
OG0008414	GBNUZ_005629-T1	
OG0008415	GBNUZ_005660-T1	
OG0008416	GBNUZ_005675-T1	
OG0008417	GBNUZ_005685-T1	
OG0008418	GBNUZ_005686-T1	
OG0008419	GBNUZ_005696-T1	
OG0008420	GBNUZ_005725-T1	
OG0008421	GBNUZ_005727-T1	
OG0008422	GBNUZ_005733-T1	
OG0008423	GBNUZ_005767-T1	
OG0008424	GBNUZ_005776-T1	
OG0008425	GBNUZ_005790-T1	
OG0008426	GBNUZ_005803-T1	
OG0008427	GBNUZ_005806-T1	
OG0008428	GBNUZ_005809-T1	
OG0008429	GBNUZ_005810-T1	
OG0008430	GBNUZ_005819-T1	
OG0008431	GBNUZ_005838-T1	
OG0008432	GBNUZ_005844-T1	
OG0008433	GBNUZ_005846-T1	
OG0008434	GBNUZ_005873-T1	
OG0008435	GBNUZ_005884-T1	
OG0008436	GBNUZ_005893-T1	
OG0008437	GBNUZ_005907-T1	
OG0008438	GBNUZ_005908-T1	
OG0008439	GBNUZ_005928-T1	
OG0008440	GBNUZ_005929-T1	
OG0008441	GBNUZ_005957-T1	
OG0008442	GBNUZ_005958-T1	
OG0008443	GBNUZ_005962-T1	
OG0008444	GBNUZ_005972-T1	
OG0008445	GBNUZ_005977-T1	
OG0008446	GBNUZ_005979-T1	
OG0008447	GBNUZ_006014-T1	
OG0008448	GBNUZ_006032-T1	
OG0008449	GBNUZ_006045-T1	
OG0008450	GBNUZ_006052-T1	
OG0008451	GBNUZ_006054-T1	
OG0008452	GBNUZ_006061-T1	
OG0008453	GBNUZ_006068-T1	
OG0008454	GBNUZ_006069-T1	
OG0008455	GBNUZ_006073-T1	
OG0008456	GBNUZ_006077-T1	
OG0008457	GBNUZ_006081-T1	
OG0008458	GBNUZ_006083-T1	
OG0008459	GBNUZ_006087-T1	
OG0008460	GBNUZ_006098-T1	
OG0008461	GBNUZ_006100-T1	
OG0008462	GBNUZ_006101-T1	
OG0008463	GBNUZ_006104-T1	
OG0008464	GBNUZ_006107-T1	
OG0008465	GBNUZ_006108-T1	
OG0008466	GBNUZ_006109-T1	
OG0008467	GBNUZ_006110-T1	
OG0008468	GBNUZ_006115-T1	
OG0008469	GBNUZ_006119-T1	
OG0008470	GBNUZ_006120-T1	
OG0008471	GBNUZ_006135-T1	
OG0008472	GBNUZ_006139-T1	
OG0008473	GBNUZ_006164-T1	
OG0008474	GBNUZ_006185-T1	
OG0008475	GBNUZ_006189-T1	
OG0008476	GBNUZ_006190-T1	
OG0008477	GBNUZ_006195-T1	
OG0008478	GBNUZ_006198-T1	
OG0008479	GBNUZ_006202-T1	
OG0008480	GBNUZ_006204-T1	
OG0008481	GBNUZ_006208-T1	
OG0008482	GBNUZ_006213-T1	
OG0008483	GBNUZ_006214-T1	
OG0008484	GBNUZ_006219-T1	
OG0008485	GBNUZ_006251-T1	
OG0008486	GBNUZ_006254-T1	
OG0008487	GBNUZ_006255-T1	
OG0008488	GBNUZ_006257-T1	
OG0008489	GBNUZ_006260-T1	
OG0008490	GBNUZ_006289-T1	
OG0008491	GBNUZ_006290-T1	
OG0008492	GBNUZ_006292-T1	
OG0008493	GBNUZ_006296-T1	
OG0008494	GBNUZ_006300-T1	
OG0008495	GBNUZ_006301-T1	
OG0008496	GBNUZ_006306-T1	
OG0008497	GBNUZ_006308-T1	
OG0008498	GBNUZ_006310-T1	
OG0008499	GBNUZ_006316-T1	
OG0008500	GBNUZ_006331-T1	
OG0008501	GBNUZ_006332-T1	
OG0008502	GBNUZ_006364-T1	
OG0008503	GBNUZ_006369-T1	
OG0008504	GBNUZ_006376-T1	
OG0008505	GBNUZ_006401-T1	
OG0008506	GBNUZ_006408-T1	
OG0008507	GBNUZ_006456-T1	
OG0008508	GBNUZ_006470-T1	
OG0008509	GBNUZ_006473-T1	
OG0008510	GBNUZ_006483-T1	
OG0008511	GBNUZ_006485-T1	
OG0008512	GBNUZ_006489-T1	
OG0008513	GBNUZ_006490-T1	
OG0008514	GBNUZ_006491-T1	
OG0008515	GBNUZ_006510-T1	
OG0008516	GBNUZ_006557-T1	
OG0008517	GBNUZ_006559-T1	
OG0008518	GBNUZ_006561-T1	
OG0008519	GBNUZ_006562-T1	
OG0008520	GBNUZ_006566-T1	
OG0008521	GBNUZ_006568-T1	
OG0008522	GBNUZ_006570-T1	
OG0008523	GBNUZ_006605-T1	
OG0008524	GBNUZ_006622-T1	
OG0008525	GBNUZ_006635-T1	
OG0008526	GBNUZ_006638-T1	
OG0008527	GBNUZ_006648-T1	
OG0008528	GBNUZ_006649-T1	
OG0008529	GBNUZ_006655-T1	
OG0008530	GBNUZ_006658-T1	
OG0008531	GBNUZ_006661-T1	
OG0008532	GBNUZ_006662-T1	
OG0008533	GBNUZ_006670-T1	
OG0008534	GBNUZ_006671-T1	
OG0008535	GBNUZ_006672-T1	
OG0008536	GBNUZ_006712-T1	
OG0008537	GBNUZ_006714-T1	
OG0008538	GBNUZ_006728-T1	
OG0008539	GBNUZ_006750-T1	
OG0008540	GBNUZ_006768-T1	
OG0008541	GBNUZ_006778-T1	
OG0008542	GBNUZ_006796-T1	
OG0008543	GBNUZ_006802-T1	
OG0008544	GBNUZ_006803-T1	
OG0008545	GBNUZ_006804-T1	
OG0008546	GBNUZ_006806-T1	
OG0008547	GBNUZ_006807-T1	
OG0008548	GBNUZ_006816-T1	
OG0008549	GBNUZ_006826-T1	
OG0008550	GBNUZ_006828-T1	
OG0008551	GBNUZ_006835-T1	
OG0008552	GBNUZ_006837-T1	
OG0008553	GBNUZ_006844-T1	
OG0008554	GBNUZ_006847-T1	
OG0008555	GBNUZ_006848-T1	
OG0008556	GBNUZ_006850-T1	
OG0008557	GBNUZ_006851-T1	
OG0008558	GBNUZ_006852-T1	
OG0008559	GBNUZ_006854-T1	
OG0008560	GBNUZ_006876-T1	
OG0008561	GBNUZ_006911-T1	
OG0008562	GBNUZ_006917-T1	
OG0008563	GBNUZ_006918-T1	
OG0008564	GBNUZ_006923-T1	
OG0008565	GBNUZ_006925-T1	
OG0008566	GBNUZ_006968-T1	
OG0008567	GBNUZ_006991-T1	
OG0008568	GBNUZ_006992-T1	
OG0008569	GBNUZ_006995-T1	
OG0008570	GBNUZ_006996-T1	
OG0008571	GBNUZ_006999-T1	
OG0008572	GBNUZ_007002-T1	
OG0008573	GBNUZ_007029-T1	
OG0008574	GBNUZ_007059-T1	
OG0008575	GBNUZ_007063-T1	
OG0008576	GBNUZ_007065-T1	
OG0008577	GBNUZ_007067-T1	
OG0008578	GBNUZ_007069-T1	
OG0008579	GBNUZ_007072-T1	
OG0008580	GBNUZ_007073-T1	
OG0008581	GBNUZ_007076-T1	
OG0008582	GBNUZ_007093-T1	
OG0008583	GBNUZ_007097-T1	
OG0008584	GBNUZ_007098-T1	
OG0008585	GBNUZ_007099-T1	
OG0008586	GBNUZ_007113-T1	
OG0008587	GBNUZ_007131-T1	
OG0008588	GBNUZ_007132-T1	
OG0008589	GBNUZ_007133-T1	
OG0008590	GBNUZ_007137-T1	
OG0008591	GBNUZ_007138-T1	
OG0008592	GBNUZ_007148-T1	
OG0008593	GBNUZ_007153-T1	
OG0008594	GBNUZ_007159-T1	
OG0008595	GBNUZ_007170-T1	
OG0008596	GBNUZ_007174-T1	
OG0008597	GBNUZ_007176-T1	
OG0008598	GBNUZ_007178-T1	
OG0008599	GBNUZ_007192-T1	
OG0008600	GBNUZ_007197-T1	
OG0008601	GBNUZ_007199-T1	
OG0008602	GBNUZ_007202-T1	
OG0008603	GBNUZ_007203-T1	
OG0008604	GBNUZ_007205-T1	
OG0008605	GBNUZ_007207-T1	
OG0008606	GBNUZ_007240-T1	
OG0008607	GBNUZ_007261-T1	
OG0008608	GBNUZ_007274-T1	
OG0008609	GBNUZ_007278-T1	
OG0008610	GBNUZ_007302-T1	
OG0008611	GBNUZ_007307-T1	
OG0008612	GBNUZ_007319-T1	
OG0008613	GBNUZ_007322-T1	
OG0008614	GBNUZ_007323-T1	
OG0008615	GBNUZ_007325-T1	
OG0008616	GBNUZ_007330-T1	
OG0008617	GBNUZ_007365-T1	
OG0008618	GBNUZ_007388-T1	
OG0008619	GBNUZ_007391-T1	
OG0008620	GBNUZ_007392-T1	
OG0008621	GBNUZ_007398-T1	
OG0008622	GBNUZ_007399-T1	
OG0008623	GBNUZ_007400-T1	
OG0008624	GBNUZ_007414-T1	
OG0008625	GBNUZ_007441-T1	
OG0008626	GBNUZ_007452-T1	
