	Absidia_cuneospora_RSA_623_Plus.aa	Absidia_cuneospora_RSA_624-.aa
OG0000066	GBNUZ_001897-T1, GBNUZ_001899-T1, GBNUZ_004258-T1, GBNUZ_004260-T1, GBNUZ_004265-T1, GBNUZ_006047-T1, GBNUZ_009326-T1	
OG0000067	GBNUZ_002521-T1, GBNUZ_004587-T1, GBNUZ_004589-T1, GBNUZ_005131-T1	GBNWA_003552-T1, GBNWA_003553-T1, GBNWA_004109-T1
OG0000068	GBNUZ_002674-T1, GBNUZ_002802-T1, GBNUZ_009547-T1	GBNWA_000197-T1, GBNWA_001243-T1, GBNWA_008833-T1, GBNWA_008834-T1
OG0000069	GBNUZ_002758-T1, GBNUZ_006574-T1, GBNUZ_007853-T1, GBNUZ_008006-T1	GBNWA_003175-T1, GBNWA_005318-T1, GBNWA_007733-T1
OG0000070	GBNUZ_002784-T1, GBNUZ_004750-T1, GBNUZ_009399-T1	GBNWA_000949-T1, GBNWA_003628-T1, GBNWA_007476-T1, GBNWA_007477-T1
OG0000071	GBNUZ_002806-T1, GBNUZ_005817-T1, GBNUZ_006334-T1	GBNWA_001240-T1, GBNWA_002800-T1, GBNWA_006191-T1, GBNWA_010007-T1
OG0000072	GBNUZ_003063-T1, GBNUZ_007974-T1, GBNUZ_009622-T1	GBNWA_007571-T1, GBNWA_008396-T1, GBNWA_008987-T1, GBNWA_008988-T1
OG0000073	GBNUZ_003344-T1, GBNUZ_009207-T1	GBNWA_000070-T1, GBNWA_005246-T1, GBNWA_005418-T1, GBNWA_006743-T1, GBNWA_008930-T1
OG0000074	GBNUZ_003653-T1, GBNUZ_004637-T1, GBNUZ_008279-T1	GBNWA_005133-T1, GBNWA_005268-T1, GBNWA_009812-T1, GBNWA_009892-T1
OG0000075	GBNUZ_003863-T1, GBNUZ_008543-T1, GBNUZ_009849-T1	GBNWA_003178-T1, GBNWA_003179-T1, GBNWA_004143-T1, GBNWA_005872-T1
OG0000076	GBNUZ_005149-T1, GBNUZ_005371-T1, GBNUZ_007546-T1, GBNUZ_008855-T1	GBNWA_002029-T1, GBNWA_007918-T1, GBNWA_009206-T1
OG0000077	GBNUZ_005325-T1, GBNUZ_006281-T1, GBNUZ_007372-T1	GBNWA_001132-T1, GBNWA_003295-T1, GBNWA_003763-T1, GBNWA_005423-T1
OG0000078	GBNUZ_005690-T1, GBNUZ_008141-T1, GBNUZ_008669-T1	GBNWA_000460-T1, GBNWA_000564-T1, GBNWA_005202-T1, GBNWA_005203-T1
OG0000079	GBNUZ_006400-T1, GBNUZ_006573-T1, GBNUZ_007324-T1, GBNUZ_009913-T1	GBNWA_001353-T1, GBNWA_005853-T1, GBNWA_006066-T1
OG0000080	GBNUZ_006652-T1, GBNUZ_007799-T1, GBNUZ_009874-T1	GBNWA_003899-T1, GBNWA_004706-T1, GBNWA_005387-T1, GBNWA_005824-T1
OG0000081	GBNUZ_006725-T1, GBNUZ_008905-T1, GBNUZ_008906-T1, GBNUZ_009320-T1	GBNWA_000713-T1, GBNWA_003641-T1, GBNWA_006997-T1
OG0000082	GBNUZ_006822-T1, GBNUZ_007941-T1, GBNUZ_009279-T1	GBNWA_000610-T1, GBNWA_003144-T1, GBNWA_006071-T1, GBNWA_008203-T1
OG0000083	GBNUZ_000003-T1, GBNUZ_003504-T1, GBNUZ_005098-T1, GBNUZ_006338-T1	GBNWA_002164-T1, GBNWA_009760-T1
OG0000084	GBNUZ_000029-T1, GBNUZ_004498-T1, GBNUZ_008139-T1	GBNWA_000562-T1, GBNWA_002139-T1, GBNWA_003451-T1
OG0000085	GBNUZ_000048-T1, GBNUZ_002777-T1, GBNUZ_006616-T1	GBNWA_002118-T1, GBNWA_003258-T1, GBNWA_007468-T1
OG0000086	GBNUZ_000096-T1, GBNUZ_009790-T1, GBNUZ_009992-T1	GBNWA_001133-T1, GBNWA_001381-T1, GBNWA_009677-T1
OG0000087	GBNUZ_000158-T1, GBNUZ_001783-T1, GBNUZ_009003-T1	GBNWA_001687-T1, GBNWA_004663-T1, GBNWA_004997-T1
OG0000088	GBNUZ_000161-T1, GBNUZ_003624-T1, GBNUZ_005678-T1	GBNWA_001690-T1, GBNWA_002890-T1, GBNWA_006598-T1
OG0000089	GBNUZ_000178-T1, GBNUZ_007729-T1, GBNUZ_009984-T1	GBNWA_002103-T1, GBNWA_005039-T1, GBNWA_005693-T1
OG0000090	GBNUZ_000186-T1, GBNUZ_000559-T1, GBNUZ_009642-T1	GBNWA_000333-T1, GBNWA_002256-T1, GBNWA_005687-T1
OG0000091	GBNUZ_000191-T1, GBNUZ_001501-T1, GBNUZ_006222-T1	GBNWA_005683-T1, GBNWA_006417-T1, GBNWA_009564-T1
OG0000092	GBNUZ_000246-T1, GBNUZ_003112-T1, GBNUZ_004425-T1	GBNWA_003796-T1, GBNWA_005631-T1, GBNWA_005717-T1
OG0000093	GBNUZ_000300-T1, GBNUZ_002718-T1, GBNUZ_005781-T1	GBNWA_000924-T1, GBNWA_003397-T1, GBNWA_003398-T1
OG0000094	GBNUZ_000355-T1, GBNUZ_001606-T1, GBNUZ_003617-T1	GBNWA_000894-T1, GBNWA_001752-T1, GBNWA_006604-T1
OG0000095	GBNUZ_000383-T1, GBNUZ_001894-T1, GBNUZ_005657-T1	GBNWA_000508-T1, GBNWA_000773-T1, GBNWA_009236-T1
OG0000096	GBNUZ_000405-T1, GBNUZ_008432-T1, GBNUZ_008448-T1	GBNWA_002104-T1, GBNWA_002381-T1, GBNWA_009375-T1
OG0000097	GBNUZ_000421-T1, GBNUZ_002290-T1, GBNUZ_009150-T1	GBNWA_004425-T1, GBNWA_008566-T1, GBNWA_009389-T1
OG0000098	GBNUZ_000459-T1, GBNUZ_004668-T1, GBNUZ_006284-T1	GBNWA_001503-T1, GBNWA_006047-T1, GBNWA_006976-T1
OG0000099	GBNUZ_000481-T1, GBNUZ_003262-T1, GBNUZ_005075-T1	GBNWA_001171-T1, GBNWA_001301-T1, GBNWA_008091-T1
OG0000100	GBNUZ_000491-T1, GBNUZ_002535-T1, GBNUZ_008441-T1	GBNWA_002386-T1, GBNWA_002573-T1, GBNWA_008132-T1
OG0000101	GBNUZ_000509-T1, GBNUZ_000724-T1, GBNUZ_001927-T1	GBNWA_002939-T1, GBNWA_008115-T1, GBNWA_009047-T1
OG0000102	GBNUZ_000564-T1, GBNUZ_005744-T1, GBNUZ_008581-T1	GBNWA_002251-T1, GBNWA_004095-T1, GBNWA_008502-T1
OG0000103	GBNUZ_000603-T1, GBNUZ_005053-T1, GBNUZ_005370-T1	GBNWA_001937-T1, GBNWA_003203-T1, GBNWA_007917-T1
OG0000104	GBNUZ_000634-T1, GBNUZ_007033-T1, GBNUZ_008391-T1	GBNWA_000112-T1, GBNWA_001147-T1, GBNWA_001410-T1
OG0000105	GBNUZ_000645-T1, GBNUZ_002413-T1, GBNUZ_009960-T1	GBNWA_004183-T1, GBNWA_007026-T1, GBNWA_007687-T1
OG0000106	GBNUZ_000660-T1, GBNUZ_001129-T1, GBNUZ_001870-T1, GBNUZ_005894-T1	GBNWA_000973-T1, GBNWA_005993-T1
OG0000107	GBNUZ_000692-T1, GBNUZ_001782-T1, GBNUZ_003216-T1	GBNWA_000439-T1, GBNWA_004998-T1, GBNWA_008680-T1
OG0000108	GBNUZ_000780-T1, GBNUZ_002865-T1, GBNUZ_006680-T1	GBNWA_007747-T1, GBNWA_008032-T1, GBNWA_009613-T1
OG0000109	GBNUZ_001001-T1, GBNUZ_002971-T1, GBNUZ_009966-T1	GBNWA_001261-T1, GBNWA_007548-T1, GBNWA_008893-T1
OG0000110	GBNUZ_001035-T1, GBNUZ_004723-T1, GBNUZ_008405-T1	GBNWA_001396-T1, GBNWA_003589-T1, GBNWA_008588-T1
OG0000111	GBNUZ_001037-T1, GBNUZ_004139-T1, GBNUZ_008394-T1	GBNWA_001408-T1, GBNWA_003587-T1, GBNWA_004532-T1
OG0000112	GBNUZ_001082-T1, GBNUZ_004447-T1, GBNUZ_005374-T1	GBNWA_007921-T1, GBNWA_008288-T1, GBNWA_008521-T1
OG0000113	GBNUZ_001088-T1, GBNUZ_001111-T1, GBNUZ_002141-T1	GBNWA_001425-T1, GBNWA_004513-T1, GBNWA_008282-T1
OG0000114	GBNUZ_001100-T1, GBNUZ_001128-T1, GBNUZ_004428-T1	GBNWA_001437-T1, GBNWA_004839-T1, GBNWA_005992-T1
OG0000115	GBNUZ_001131-T1, GBNUZ_007220-T1, GBNUZ_009035-T1	GBNWA_004834-T1, GBNWA_005996-T1, GBNWA_009247-T1
OG0000116	GBNUZ_001211-T1, GBNUZ_006769-T1, GBNUZ_009950-T1	GBNWA_000656-T1, GBNWA_002449-T1, GBNWA_005426-T1
OG0000117	GBNUZ_001263-T1, GBNUZ_004454-T1, GBNUZ_006623-T1	GBNWA_002277-T1, GBNWA_003251-T1, GBNWA_005216-T1
OG0000118	GBNUZ_001267-T1, GBNUZ_004528-T1, GBNUZ_007617-T1	GBNWA_005220-T1, GBNWA_005221-T1, GBNWA_006664-T1
OG0000119	GBNUZ_001317-T1, GBNUZ_001843-T1, GBNUZ_007837-T1	GBNWA_001089-T1, GBNWA_001553-T1, GBNWA_004822-T1
OG0000120	GBNUZ_001344-T1, GBNUZ_005138-T1, GBNUZ_005495-T1	GBNWA_001955-T1, GBNWA_006103-T1, GBNWA_009478-T1
OG0000121	GBNUZ_001350-T1, GBNUZ_002962-T1, GBNUZ_006687-T1	GBNWA_007542-T1, GBNWA_007886-T1, GBNWA_008025-T1
OG0000122	GBNUZ_001412-T1, GBNUZ_004420-T1, GBNUZ_006476-T1	GBNWA_005722-T1, GBNWA_008044-T1, GBNWA_008168-T1
OG0000123	GBNUZ_001453-T1, GBNUZ_007149-T1, GBNUZ_008735-T1	GBNWA_006955-T1, GBNWA_007715-T1, GBNWA_007834-T1
OG0000124	GBNUZ_001566-T1, GBNUZ_003290-T1, GBNUZ_006492-T1	GBNWA_002915-T1, GBNWA_007936-T1, GBNWA_008450-T1
OG0000125	GBNUZ_001719-T1, GBNUZ_006184-T1, GBNUZ_008645-T1	GBNWA_002716-T1, GBNWA_008647-T1, GBNWA_009772-T1
OG0000126	GBNUZ_001755-T1, GBNUZ_008595-T1, GBNUZ_009288-T1	GBNWA_000082-T1, GBNWA_005023-T1, GBNWA_008195-T1
OG0000127	GBNUZ_001856-T1, GBNUZ_004023-T1, GBNUZ_007888-T1	GBNWA_002012-T1, GBNWA_004071-T1, GBNWA_008183-T1
OG0000128	GBNUZ_001921-T1, GBNUZ_005027-T1, GBNUZ_007810-T1	GBNWA_004797-T1, GBNWA_007087-T1, GBNWA_009040-T1
OG0000129	GBNUZ_001925-T1, GBNUZ_003238-T1, GBNUZ_004269-T1	GBNWA_002396-T1, GBNWA_009043-T1, GBNWA_009599-T1
