	Absidia_cuneospora_RSA_623_Plus.aa	Absidia_cuneospora_RSA_624-.aa	Total
OG0000242	2	3	5
OG0000243	3	2	5
OG0000244	3	2	5
OG0000245	2	2	4
OG0000246	2	2	4
OG0000247	2	2	4
OG0000248	2	2	4
OG0000249	2	2	4
OG0000250	2	2	4
OG0000251	2	2	4
OG0000252	2	2	4
OG0000253	2	2	4
OG0000254	2	2	4
OG0000255	2	2	4
OG0000256	2	2	4
OG0000257	2	2	4
OG0000258	3	1	4
OG0000259	2	2	4
OG0000260	2	2	4
OG0000261	2	2	4
OG0000262	2	2	4
OG0000263	2	2	4
OG0000264	2	2	4
OG0000265	2	2	4
OG0000266	2	2	4
OG0000267	2	2	4
OG0000268	2	2	4
OG0000269	2	2	4
OG0000270	2	2	4
OG0000271	2	2	4
OG0000272	2	2	4
OG0000273	2	2	4
OG0000274	2	2	4
OG0000275	2	2	4
OG0000276	2	2	4
OG0000277	2	2	4
OG0000278	2	2	4
OG0000279	2	2	4
OG0000280	1	3	4
OG0000281	2	2	4
OG0000282	2	2	4
OG0000283	2	2	4
OG0000284	2	2	4
OG0000285	2	2	4
OG0000286	2	2	4
OG0000287	2	2	4
OG0000288	2	2	4
OG0000289	2	2	4
OG0000290	2	2	4
OG0000291	2	2	4
OG0000292	2	2	4
OG0000293	2	2	4
OG0000294	2	2	4
OG0000295	2	2	4
OG0000296	2	2	4
OG0000297	2	2	4
OG0000298	2	2	4
OG0000299	2	2	4
OG0000300	2	2	4
OG0000301	2	2	4
OG0000302	2	2	4
OG0000303	2	2	4
OG0000304	2	2	4
OG0000305	2	2	4
OG0000306	2	2	4
OG0000307	2	2	4
OG0000308	2	2	4
OG0000309	2	2	4
OG0000310	2	2	4
OG0000311	2	2	4
OG0000312	2	2	4
OG0000313	2	2	4
OG0000314	2	2	4
OG0000315	3	1	4
OG0000316	2	2	4
OG0000317	2	2	4
OG0000318	2	2	4
OG0000319	2	2	4
OG0000320	2	2	4
OG0000321	2	2	4
OG0000322	2	2	4
OG0000323	2	2	4
OG0000324	2	2	4
OG0000325	2	2	4
OG0000326	2	2	4
OG0000327	2	2	4
OG0000328	2	2	4
OG0000329	2	2	4
OG0000330	2	2	4
OG0000331	2	2	4
OG0000332	2	2	4
OG0000333	2	2	4
OG0000334	2	2	4
OG0000335	2	2	4
OG0000336	2	2	4
OG0000337	2	2	4
OG0000338	2	2	4
OG0000339	2	2	4
OG0000340	2	2	4
OG0000341	2	2	4
OG0000342	2	2	4
OG0000343	2	2	4
OG0000344	2	2	4
OG0000345	2	2	4
OG0000346	2	2	4
OG0000347	2	2	4
OG0000348	2	2	4
OG0000349	2	2	4
OG0000350	2	2	4
OG0000351	2	2	4
OG0000352	2	2	4
OG0000353	2	2	4
OG0000354	2	2	4
OG0000355	2	2	4
OG0000356	2	2	4
OG0000357	2	2	4
OG0000358	2	2	4
OG0000359	2	2	4
OG0000360	2	2	4
OG0000361	2	2	4
OG0000362	2	2	4
OG0000363	2	2	4
OG0000364	2	2	4
OG0000365	2	2	4
OG0000366	2	2	4
OG0000367	2	2	4
OG0000368	2	2	4
OG0000369	2	2	4
OG0000370	2	2	4
OG0000371	2	2	4
OG0000372	2	2	4
OG0000373	2	2	4
OG0000374	2	2	4
OG0000375	2	2	4
OG0000376	2	2	4
OG0000377	2	2	4
OG0000378	2	2	4
OG0000379	2	2	4
OG0000380	2	2	4
OG0000381	2	2	4
OG0000382	2	2	4
OG0000383	2	2	4
OG0000384	2	2	4
OG0000385	2	2	4
OG0000386	2	2	4
OG0000387	2	2	4
OG0000388	2	2	4
OG0000389	2	2	4
OG0000390	2	2	4
OG0000391	2	2	4
OG0000392	2	2	4
OG0000393	2	2	4
OG0000394	2	2	4
OG0000395	2	2	4
OG0000396	2	2	4
OG0000397	2	2	4
OG0000398	2	2	4
OG0000399	2	2	4
OG0000400	2	2	4
OG0000401	2	2	4
OG0000402	2	2	4
OG0000403	2	2	4
OG0000404	2	2	4
OG0000405	2	2	4
OG0000406	2	2	4
OG0000407	2	2	4
OG0000408	2	2	4
OG0000409	2	2	4
OG0000410	2	2	4
OG0000411	2	2	4
OG0000412	2	2	4
OG0000413	2	2	4
OG0000414	2	2	4
OG0000415	2	2	4
OG0000416	2	2	4
OG0000417	2	2	4
OG0000418	2	2	4
OG0000419	2	2	4
OG0000420	2	2	4
OG0000421	2	2	4
OG0000422	2	2	4
OG0000423	2	2	4
OG0000424	2	2	4
OG0000425	2	2	4
OG0000426	2	2	4
OG0000427	2	2	4
OG0000428	2	2	4
OG0000429	2	2	4
OG0000430	2	2	4
OG0000431	2	2	4
OG0000432	2	2	4
OG0000433	2	2	4
OG0000434	4	0	4
OG0000435	2	2	4
OG0000436	2	2	4
OG0000437	2	2	4
OG0000438	2	2	4
OG0000439	2	2	4
OG0000440	2	2	4
OG0000441	2	2	4
OG0000442	2	2	4
OG0000443	2	2	4
OG0000444	2	2	4
OG0000445	2	2	4
OG0000446	2	2	4
OG0000447	2	2	4
OG0000448	2	2	4
OG0000449	2	2	4
OG0000450	2	2	4
OG0000451	2	2	4
OG0000452	2	2	4
OG0000453	2	2	4
OG0000454	2	2	4
OG0000455	2	2	4
OG0000456	2	2	4
OG0000457	2	2	4
OG0000458	2	2	4
OG0000459	2	2	4
OG0000460	2	2	4
OG0000461	2	2	4
OG0000462	2	2	4
OG0000463	2	2	4
OG0000464	2	2	4
OG0000465	2	2	4
OG0000466	2	2	4
OG0000467	2	2	4
OG0000468	3	1	4
OG0000469	2	2	4
OG0000470	2	2	4
OG0000471	2	2	4
OG0000472	2	2	4
OG0000473	2	2	4
OG0000474	2	2	4
OG0000475	2	2	4
OG0000476	2	2	4
OG0000477	2	2	4
OG0000478	2	2	4
OG0000479	2	2	4
OG0000480	2	2	4
OG0000481	2	2	4
OG0000482	2	2	4
OG0000483	2	2	4
OG0000484	2	2	4
OG0000485	2	2	4
OG0000486	2	2	4
OG0000487	2	2	4
OG0000488	2	2	4
OG0000489	2	2	4
OG0000490	2	2	4
OG0000491	2	2	4
OG0000492	2	2	4
OG0000493	2	2	4
OG0000494	2	2	4
OG0000495	2	2	4
OG0000496	2	2	4
OG0000497	2	2	4
OG0000498	2	2	4
OG0000499	2	2	4
OG0000500	2	2	4
OG0000501	2	2	4
OG0000502	2	2	4
OG0000503	2	2	4
OG0000504	2	2	4
OG0000505	2	2	4
OG0000506	2	2	4
OG0000507	2	2	4
OG0000508	2	2	4
OG0000509	2	2	4
OG0000510	2	2	4
OG0000511	2	2	4
OG0000512	2	2	4
OG0000513	2	2	4
OG0000514	2	2	4
OG0000515	2	2	4
OG0000516	2	2	4
OG0000517	2	2	4
OG0000518	2	2	4
OG0000519	2	2	4
OG0000520	2	2	4
OG0000521	2	2	4
OG0000522	2	2	4
OG0000523	2	2	4
OG0000524	2	2	4
OG0000525	2	2	4
OG0000526	2	2	4
OG0000527	2	2	4
OG0000528	2	2	4
OG0000529	2	2	4
OG0000530	2	2	4
OG0000531	2	2	4
OG0000532	2	2	4
OG0000533	2	2	4
OG0000534	2	2	4
OG0000535	2	2	4
OG0000536	2	2	4
OG0000537	2	2	4
OG0000538	2	2	4
OG0000539	2	2	4
OG0000540	2	2	4
OG0000541	2	2	4
OG0000542	2	2	4
OG0000543	2	2	4
OG0000544	2	2	4
OG0000545	2	2	4
OG0000546	2	2	4
OG0000547	2	2	4
OG0000548	2	2	4
OG0000549	2	2	4
OG0000550	2	2	4
OG0000551	2	2	4
OG0000552	2	2	4
OG0000553	2	2	4
OG0000554	2	2	4
OG0000555	2	2	4
OG0000556	2	2	4
OG0000557	2	2	4
OG0000558	2	2	4
OG0000559	2	2	4
OG0000560	2	2	4
OG0000561	2	2	4
OG0000562	2	2	4
OG0000563	2	2	4
OG0000564	2	2	4
OG0000565	2	2	4
OG0000566	2	2	4
OG0000567	2	2	4
OG0000568	2	2	4
OG0000569	2	2	4
OG0000570	2	2	4
OG0000571	2	2	4
OG0000572	2	2	4
OG0000573	2	2	4
OG0000574	2	2	4
OG0000575	2	2	4
OG0000576	2	2	4
OG0000577	2	2	4
OG0000578	2	2	4
OG0000579	2	2	4
OG0000580	2	2	4
OG0000581	2	2	4
OG0000582	2	2	4
OG0000583	2	2	4
OG0000584	2	2	4
OG0000585	2	2	4
OG0000586	2	2	4
OG0000587	2	2	4
OG0000588	2	2	4
OG0000589	2	2	4
OG0000590	2	2	4
OG0000591	2	2	4
OG0000592	2	2	4
OG0000593	2	2	4
OG0000594	2	2	4
OG0000595	2	2	4
OG0000596	2	2	4
OG0000597	2	2	4
OG0000598	2	2	4
OG0000599	2	2	4
OG0000600	2	2	4
OG0000601	2	2	4
OG0000602	2	2	4
OG0000603	2	2	4
OG0000604	2	2	4
OG0000605	2	2	4
OG0000606	2	2	4
OG0000607	2	2	4
OG0000608	2	2	4
OG0000609	2	2	4
OG0000610	2	2	4
OG0000611	2	2	4
OG0000612	2	2	4
OG0000613	2	2	4
OG0000614	2	2	4
OG0000615	2	2	4
OG0000616	2	2	4
OG0000617	2	2	4
OG0000618	2	2	4
OG0000619	2	2	4
OG0000620	2	2	4
OG0000621	2	2	4
OG0000622	2	2	4
OG0000623	2	2	4
OG0000624	2	2	4
OG0000625	2	2	4
OG0000626	2	2	4
OG0000627	2	2	4
OG0000628	2	2	4
OG0000629	2	2	4
OG0000630	2	2	4
OG0000631	2	2	4
OG0000632	2	2	4
OG0000633	2	2	4
OG0000634	2	2	4
OG0000635	2	2	4
OG0000636	2	2	4
OG0000637	3	1	4
OG0000638	2	2	4
OG0000639	2	2	4
OG0000640	2	2	4
OG0000641	2	2	4
OG0000642	2	2	4
OG0000643	2	2	4
OG0000644	2	2	4
OG0000645	2	2	4
OG0000646	2	2	4
OG0000647	2	2	4
OG0000648	2	2	4
OG0000649	2	2	4
OG0000650	2	2	4
OG0000651	2	2	4
OG0000652	2	2	4
OG0000653	2	2	4
OG0000654	2	2	4
OG0000655	2	2	4
OG0000656	2	2	4
OG0000657	2	2	4
OG0000658	2	2	4
OG0000659	2	2	4
OG0000660	2	2	4
OG0000661	2	2	4
OG0000662	2	2	4
OG0000663	2	2	4
OG0000664	2	2	4
OG0000665	2	2	4
OG0000666	2	2	4
OG0000667	2	2	4
OG0000668	2	2	4
OG0000669	2	2	4
OG0000670	2	2	4
OG0000671	2	2	4
OG0000672	2	2	4
OG0000673	2	2	4
OG0000674	2	2	4
OG0000675	2	2	4
OG0000676	2	2	4
OG0000677	4	0	4
OG0000678	2	2	4
OG0000679	2	2	4
OG0000680	2	2	4
OG0000681	2	2	4
OG0000682	2	2	4
OG0000683	2	2	4
OG0000684	2	2	4
OG0000685	2	2	4
OG0000686	2	2	4
OG0000687	2	2	4
OG0000688	2	2	4
OG0000689	2	2	4
OG0000690	2	2	4
OG0000691	2	2	4
OG0000692	2	2	4
OG0000693	2	2	4
OG0000694	2	2	4
OG0000695	2	2	4
OG0000696	2	2	4
OG0000697	2	2	4
OG0000698	2	2	4
OG0000699	2	2	4
OG0000700	2	2	4
OG0000701	2	2	4
OG0000702	2	2	4
OG0000703	4	0	4
OG0000704	2	2	4
OG0000705	2	2	4
OG0000706	2	2	4
OG0000707	2	2	4
OG0000708	2	2	4
OG0000709	1	3	4
OG0000710	2	2	4
OG0000711	2	2	4
OG0000712	2	2	4
OG0000713	2	2	4
OG0000714	2	2	4
OG0000715	2	2	4
OG0000716	1	3	4
OG0000717	2	2	4
OG0000718	2	2	4
OG0000719	2	2	4
OG0000720	2	2	4
OG0000721	2	2	4
OG0000722	2	2	4
OG0000723	2	2	4
OG0000724	2	2	4
OG0000725	2	2	4
OG0000726	2	2	4
OG0000727	2	2	4
OG0000728	2	2	4
OG0000729	2	2	4
OG0000730	2	2	4
OG0000731	2	2	4
OG0000732	2	2	4
OG0000733	2	2	4
OG0000734	2	2	4
OG0000735	2	2	4
OG0000736	2	2	4
OG0000737	2	2	4
OG0000738	2	2	4
OG0000739	2	2	4
OG0000740	2	2	4
OG0000741	2	2	4
OG0000742	1	3	4
OG0000743	2	2	4
OG0000744	2	2	4
OG0000745	2	2	4
OG0000746	2	2	4
OG0000747	2	2	4
OG0000748	2	2	4
OG0000749	2	2	4
OG0000750	2	2	4
OG0000751	2	2	4
OG0000752	2	2	4
OG0000753	2	2	4
OG0000754	2	2	4
OG0000755	2	2	4
OG0000756	0	4	4
OG0000757	0	4	4
OG0000758	0	4	4
OG0000759	2	1	3
OG0000760	2	1	3
OG0000761	1	2	3
OG0000762	2	1	3
OG0000763	2	1	3
OG0000764	2	1	3
OG0000765	1	2	3
OG0000766	1	2	3
OG0000767	2	1	3
OG0000768	2	1	3
OG0000769	1	2	3
OG0000770	2	1	3
OG0000771	2	1	3
OG0000772	2	1	3
OG0000773	2	1	3
OG0000774	2	1	3
OG0000775	1	2	3
OG0000776	1	2	3
OG0000777	2	1	3
OG0000778	2	1	3
OG0000779	2	1	3
OG0000780	2	1	3
OG0000781	1	2	3
OG0000782	2	1	3
OG0000783	2	1	3
OG0000784	2	1	3
OG0000785	1	2	3
OG0000786	1	2	3
OG0000787	1	2	3
OG0000788	1	2	3
OG0000789	1	2	3
OG0000790	1	2	3
OG0000791	1	2	3
OG0000792	2	1	3
OG0000793	1	2	3
OG0000794	3	0	3
OG0000795	2	1	3
OG0000796	1	2	3
OG0000797	2	1	3
OG0000798	2	1	3
OG0000799	2	1	3
OG0000800	1	2	3
OG0000801	2	1	3
OG0000802	2	1	3
OG0000803	1	2	3
OG0000804	1	2	3
OG0000805	1	2	3
OG0000806	2	1	3
OG0000807	2	1	3
OG0000808	1	2	3
OG0000809	2	1	3
OG0000810	2	1	3
OG0000811	1	2	3
OG0000812	2	1	3
OG0000813	2	1	3
OG0000814	1	2	3
OG0000815	2	1	3
OG0000816	1	2	3
OG0000817	2	1	3
OG0000818	2	1	3
OG0000819	2	1	3
OG0000820	2	1	3
OG0000821	1	2	3
OG0000822	1	2	3
OG0000823	2	1	3
OG0000824	2	1	3
OG0000825	1	2	3
OG0000826	2	1	3
OG0000827	1	2	3
OG0000828	2	1	3
OG0000829	1	2	3
OG0000830	1	2	3
OG0000831	2	1	3
OG0000832	2	1	3
OG0000833	1	2	3
OG0000834	2	1	3
OG0000835	2	1	3
OG0000836	2	1	3
OG0000837	1	2	3
OG0000838	1	2	3
OG0000839	2	1	3
OG0000840	1	2	3
OG0000841	2	1	3
OG0000842	1	2	3
OG0000843	1	2	3
OG0000844	2	1	3
OG0000845	1	2	3
OG0000846	2	1	3
OG0000847	2	1	3
OG0000848	2	1	3
OG0000849	2	1	3
OG0000850	1	2	3
OG0000851	1	2	3
OG0000852	1	2	3
OG0000853	1	2	3
OG0000854	1	2	3
OG0000855	1	2	3
OG0000856	1	2	3
OG0000857	1	2	3
OG0000858	1	2	3
OG0000859	1	2	3
OG0000860	2	1	3
OG0000861	2	1	3
OG0000862	2	1	3
OG0000863	1	1	2
OG0000864	1	1	2
OG0000865	1	1	2
OG0000866	1	1	2
OG0000867	1	1	2
OG0000868	1	1	2
OG0000869	1	1	2
OG0000870	1	1	2
OG0000871	1	1	2
OG0000872	1	1	2
OG0000873	1	1	2
OG0000874	1	1	2
OG0000875	1	1	2
OG0000876	1	1	2
OG0000877	1	1	2
OG0000878	1	1	2
OG0000879	1	1	2
OG0000880	1	1	2
OG0000881	1	1	2
OG0000882	1	1	2
OG0000883	1	1	2
OG0000884	1	1	2
OG0000885	1	1	2
OG0000886	1	1	2
OG0000887	1	1	2
OG0000888	1	1	2
OG0000889	1	1	2
OG0000890	1	1	2
OG0000891	1	1	2
OG0000892	1	1	2
OG0000893	1	1	2
OG0000894	1	1	2
OG0000895	1	1	2
OG0000896	1	1	2
OG0000897	1	1	2
OG0000898	1	1	2
OG0000899	1	1	2
OG0000900	1	1	2
OG0000901	1	1	2
OG0000902	1	1	2
OG0000903	1	1	2
OG0000904	1	1	2
OG0000905	1	1	2
OG0000906	1	1	2
OG0000907	1	1	2
OG0000908	1	1	2
OG0000909	1	1	2
OG0000910	1	1	2
OG0000911	1	1	2
OG0000912	1	1	2
OG0000913	1	1	2
OG0000914	1	1	2
OG0000915	1	1	2
OG0000916	1	1	2
OG0000917	1	1	2
OG0000918	1	1	2
OG0000919	1	1	2
OG0000920	1	1	2
OG0000921	1	1	2
OG0000922	1	1	2
OG0000923	1	1	2
OG0000924	1	1	2
OG0000925	1	1	2
OG0000926	1	1	2
OG0000927	1	1	2
OG0000928	1	1	2
OG0000929	1	1	2
OG0000930	1	1	2
OG0000931	1	1	2
OG0000932	1	1	2
OG0000933	1	1	2
OG0000934	1	1	2
OG0000935	1	1	2
OG0000936	1	1	2
OG0000937	1	1	2
OG0000938	1	1	2
OG0000939	1	1	2
OG0000940	1	1	2
OG0000941	1	1	2
OG0000942	1	1	2
OG0000943	1	1	2
OG0000944	1	1	2
OG0000945	1	1	2
OG0000946	1	1	2
OG0000947	1	1	2
OG0000948	1	1	2
OG0000949	1	1	2
OG0000950	1	1	2
OG0000951	1	1	2
OG0000952	1	1	2
OG0000953	1	1	2
OG0000954	1	1	2
OG0000955	1	1	2
OG0000956	1	1	2
OG0000957	1	1	2
OG0000958	1	1	2
OG0000959	1	1	2
OG0000960	1	1	2
OG0000961	1	1	2
OG0000962	1	1	2
OG0000963	1	1	2
OG0000964	1	1	2
OG0000965	1	1	2
OG0000966	1	1	2
OG0000967	1	1	2
OG0000968	1	1	2
OG0000969	1	1	2
OG0000970	1	1	2
OG0000971	1	1	2
OG0000972	1	1	2
OG0000973	1	1	2
OG0000974	1	1	2
OG0000975	1	1	2
OG0000976	1	1	2
OG0000977	1	1	2
OG0000978	1	1	2
OG0000979	1	1	2
OG0000980	1	1	2
OG0000981	1	1	2
OG0000982	1	1	2
OG0000983	1	1	2
OG0000984	1	1	2
OG0000985	1	1	2
OG0000986	1	1	2
OG0000987	1	1	2
OG0000988	1	1	2
OG0000989	1	1	2
OG0000990	1	1	2
OG0000991	1	1	2
OG0000992	1	1	2
OG0000993	1	1	2
OG0000994	1	1	2
OG0000995	1	1	2
OG0000996	1	1	2
OG0000997	1	1	2
OG0000998	1	1	2
OG0000999	1	1	2
OG0001000	1	1	2
OG0001001	1	1	2
OG0001002	1	1	2
OG0001003	1	1	2
OG0001004	1	1	2
OG0001005	1	1	2
OG0001006	1	1	2
OG0001007	1	1	2
OG0001008	1	1	2
OG0001009	1	1	2
OG0001010	1	1	2
OG0001011	1	1	2
OG0001012	1	1	2
OG0001013	1	1	2
OG0001014	1	1	2
OG0001015	1	1	2
OG0001016	1	1	2
OG0001017	1	1	2
OG0001018	1	1	2
OG0001019	1	1	2
OG0001020	1	1	2
OG0001021	1	1	2
OG0001022	1	1	2
OG0001023	1	1	2
OG0001024	1	1	2
OG0001025	1	1	2
OG0001026	1	1	2
OG0001027	1	1	2
OG0001028	1	1	2
OG0001029	1	1	2
OG0001030	1	1	2
OG0001031	1	1	2
OG0001032	1	1	2
OG0001033	1	1	2
OG0001034	1	1	2
OG0001035	1	1	2
OG0001036	1	1	2
OG0001037	1	1	2
OG0001038	1	1	2
OG0001039	1	1	2
OG0001040	1	1	2
OG0001041	1	1	2
OG0001042	1	1	2
OG0001043	1	1	2
OG0001044	1	1	2
OG0001045	1	1	2
OG0001046	1	1	2
OG0001047	1	1	2
OG0001048	1	1	2
OG0001049	1	1	2
OG0001050	1	1	2
OG0001051	1	1	2
OG0001052	1	1	2
OG0001053	1	1	2
OG0001054	1	1	2
OG0001055	1	1	2
OG0001056	1	1	2
OG0001057	1	1	2
OG0001058	1	1	2
OG0001059	1	1	2
OG0001060	1	1	2
OG0001061	1	1	2
OG0001062	1	1	2
OG0001063	1	1	2
OG0001064	1	1	2
OG0001065	1	1	2
OG0001066	1	1	2
OG0001067	1	1	2
OG0001068	1	1	2
OG0001069	1	1	2
OG0001070	1	1	2
OG0001071	1	1	2
OG0001072	1	1	2
OG0001073	1	1	2
OG0001074	1	1	2
OG0001075	1	1	2
OG0001076	1	1	2
OG0001077	1	1	2
OG0001078	1	1	2
OG0001079	1	1	2
OG0001080	1	1	2
OG0001081	1	1	2
OG0001082	1	1	2
OG0001083	1	1	2
OG0001084	1	1	2
OG0001085	1	1	2
OG0001086	1	1	2
OG0001087	1	1	2
OG0001088	1	1	2
OG0001089	1	1	2
OG0001090	1	1	2
OG0001091	1	1	2
OG0001092	1	1	2
OG0001093	1	1	2
OG0001094	1	1	2
OG0001095	1	1	2
OG0001096	1	1	2
OG0001097	1	1	2
OG0001098	1	1	2
OG0001099	1	1	2
OG0001100	1	1	2
OG0001101	1	1	2
OG0001102	1	1	2
OG0001103	1	1	2
OG0001104	1	1	2
OG0001105	1	1	2
OG0001106	1	1	2
OG0001107	1	1	2
OG0001108	1	1	2
OG0001109	1	1	2
OG0001110	1	1	2
OG0001111	1	1	2
OG0001112	1	1	2
OG0001113	1	1	2
OG0001114	1	1	2
OG0001115	1	1	2
OG0001116	1	1	2
OG0001117	1	1	2
OG0001118	1	1	2
OG0001119	1	1	2
OG0001120	1	1	2
OG0001121	1	1	2
OG0001122	1	1	2
OG0001123	1	1	2
OG0001124	1	1	2
OG0001125	1	1	2
OG0001126	1	1	2
OG0001127	1	1	2
OG0001128	1	1	2
OG0001129	1	1	2
OG0001130	1	1	2
OG0001131	1	1	2
OG0001132	1	1	2
OG0001133	1	1	2
OG0001134	1	1	2
OG0001135	1	1	2
OG0001136	1	1	2
OG0001137	1	1	2
OG0001138	1	1	2
OG0001139	1	1	2
OG0001140	1	1	2
OG0001141	1	1	2
OG0001142	1	1	2
OG0001143	1	1	2
OG0001144	1	1	2
OG0001145	1	1	2
OG0001146	1	1	2
OG0001147	1	1	2
OG0001148	1	1	2
OG0001149	1	1	2
OG0001150	1	1	2
OG0001151	1	1	2
OG0001152	1	1	2
OG0001153	1	1	2
OG0001154	1	1	2
OG0001155	1	1	2
OG0001156	1	1	2
OG0001157	1	1	2
