	Absidia_caerulea_RSA_138-.aa	Absidia_caerulea_RSA_138_Plus.aa
OG0009518	GBNUX_001954-T1	
OG0009519	GBNUX_001964-T1	
OG0009520	GBNUX_001972-T1	
OG0009521	GBNUX_001980-T1	
OG0009522	GBNUX_002001-T1	
OG0009523	GBNUX_002003-T1	
OG0009524	GBNUX_002005-T1	
OG0009525	GBNUX_002008-T1	
OG0009526	GBNUX_002018-T1	
OG0009527	GBNUX_002021-T1	
OG0009528	GBNUX_002042-T1	
OG0009529	GBNUX_002066-T1	
OG0009530	GBNUX_002087-T1	
OG0009531	GBNUX_002098-T1	
OG0009532	GBNUX_002109-T1	
OG0009533	GBNUX_002119-T1	
OG0009534	GBNUX_002120-T1	
OG0009535	GBNUX_002147-T1	
OG0009536	GBNUX_002164-T1	
OG0009537	GBNUX_002166-T1	
OG0009538	GBNUX_002179-T1	
OG0009539	GBNUX_002184-T1	
OG0009540	GBNUX_002186-T1	
OG0009541	GBNUX_002197-T1	
OG0009542	GBNUX_002207-T1	
OG0009543	GBNUX_002233-T1	
OG0009544	GBNUX_002246-T1	
OG0009545	GBNUX_002254-T1	
OG0009546	GBNUX_002257-T1	
OG0009547	GBNUX_002274-T1	
OG0009548	GBNUX_002293-T1	
OG0009549	GBNUX_002297-T1	
OG0009550	GBNUX_002319-T1	
OG0009551	GBNUX_002352-T1	
OG0009552	GBNUX_002355-T1	
OG0009553	GBNUX_002366-T1	
OG0009554	GBNUX_002372-T1	
OG0009555	GBNUX_002412-T1	
OG0009556	GBNUX_002418-T1	
OG0009557	GBNUX_002434-T1	
OG0009558	GBNUX_002453-T1	
OG0009559	GBNUX_002466-T1	
OG0009560	GBNUX_002477-T1	
OG0009561	GBNUX_002501-T1	
OG0009562	GBNUX_002516-T1	
OG0009563	GBNUX_002538-T1	
OG0009564	GBNUX_002542-T1	
OG0009565	GBNUX_002554-T1	
OG0009566	GBNUX_002566-T1	
OG0009567	GBNUX_002571-T1	
OG0009568	GBNUX_002589-T1	
OG0009569	GBNUX_002597-T1	
OG0009570	GBNUX_002599-T1	
OG0009571	GBNUX_002605-T1	
OG0009572	GBNUX_002606-T1	
OG0009573	GBNUX_002623-T1	
OG0009574	GBNUX_002627-T1	
OG0009575	GBNUX_002636-T1	
OG0009576	GBNUX_002642-T1	
OG0009577	GBNUX_002648-T1	
OG0009578	GBNUX_002699-T1	
OG0009579	GBNUX_002702-T1	
OG0009580	GBNUX_002758-T1	
OG0009581	GBNUX_002782-T1	
OG0009582	GBNUX_002796-T1	
OG0009583	GBNUX_002819-T1	
OG0009584	GBNUX_002858-T1	
OG0009585	GBNUX_002859-T1	
OG0009586	GBNUX_002868-T1	
OG0009587	GBNUX_002870-T1	
OG0009588	GBNUX_002872-T1	
OG0009589	GBNUX_002876-T1	
OG0009590	GBNUX_002888-T1	
OG0009591	GBNUX_002920-T1	
OG0009592	GBNUX_002922-T1	
OG0009593	GBNUX_002923-T1	
OG0009594	GBNUX_002932-T1	
OG0009595	GBNUX_002939-T1	
OG0009596	GBNUX_003009-T1	
OG0009597	GBNUX_003054-T1	
OG0009598	GBNUX_003059-T1	
OG0009599	GBNUX_003145-T1	
OG0009600	GBNUX_003148-T1	
OG0009601	GBNUX_003161-T1	
OG0009602	GBNUX_003199-T1	
OG0009603	GBNUX_003204-T1	
OG0009604	GBNUX_003219-T1	
OG0009605	GBNUX_003236-T1	
OG0009606	GBNUX_003249-T1	
OG0009607	GBNUX_003253-T1	
OG0009608	GBNUX_003282-T1	
OG0009609	GBNUX_003291-T1	
OG0009610	GBNUX_003292-T1	
OG0009611	GBNUX_003295-T1	
OG0009612	GBNUX_003302-T1	
OG0009613	GBNUX_003305-T1	
OG0009614	GBNUX_003310-T1	
OG0009615	GBNUX_003314-T1	
OG0009616	GBNUX_003337-T1	
OG0009617	GBNUX_003372-T1	
OG0009618	GBNUX_003383-T1	
OG0009619	GBNUX_003407-T1	
OG0009620	GBNUX_003471-T1	
OG0009621	GBNUX_003473-T1	
OG0009622	GBNUX_003486-T1	
OG0009623	GBNUX_003570-T1	
OG0009624	GBNUX_003571-T1	
OG0009625	GBNUX_003576-T1	
OG0009626	GBNUX_003582-T1	
OG0009627	GBNUX_003606-T1	
OG0009628	GBNUX_003650-T1	
OG0009629	GBNUX_003655-T1	
OG0009630	GBNUX_003678-T1	
OG0009631	GBNUX_003680-T1	
OG0009632	GBNUX_003683-T1	
OG0009633	GBNUX_003706-T1	
OG0009634	GBNUX_003714-T1	
OG0009635	GBNUX_003715-T1	
OG0009636	GBNUX_003725-T1	
OG0009637	GBNUX_003779-T1	
OG0009638	GBNUX_003809-T1	
OG0009639	GBNUX_003816-T1	
OG0009640	GBNUX_003830-T1	
OG0009641	GBNUX_003831-T1	
OG0009642	GBNUX_003879-T1	
OG0009643	GBNUX_003880-T1	
OG0009644	GBNUX_003882-T1	
OG0009645	GBNUX_003887-T1	
OG0009646	GBNUX_003888-T1	
OG0009647	GBNUX_003908-T1	
OG0009648	GBNUX_003912-T1	
OG0009649	GBNUX_003927-T1	
OG0009650	GBNUX_003950-T1	
OG0009651	GBNUX_003960-T1	
OG0009652	GBNUX_003979-T1	
OG0009653	GBNUX_003985-T1	
OG0009654	GBNUX_004028-T1	
OG0009655	GBNUX_004051-T1	
OG0009656	GBNUX_004081-T1	
OG0009657	GBNUX_004111-T1	
OG0009658	GBNUX_004118-T1	
OG0009659	GBNUX_004140-T1	
OG0009660	GBNUX_004145-T1	
OG0009661	GBNUX_004164-T1	
OG0009662	GBNUX_004165-T1	
OG0009663	GBNUX_004169-T1	
OG0009664	GBNUX_004181-T1	
OG0009665	GBNUX_004186-T1	
OG0009666	GBNUX_004203-T1	
OG0009667	GBNUX_004205-T1	
OG0009668	GBNUX_004206-T1	
OG0009669	GBNUX_004214-T1	
OG0009670	GBNUX_004216-T1	
OG0009671	GBNUX_004224-T1	
OG0009672	GBNUX_004233-T1	
OG0009673	GBNUX_004255-T1	
OG0009674	GBNUX_004261-T1	
OG0009675	GBNUX_004294-T1	
OG0009676	GBNUX_004313-T1	
OG0009677	GBNUX_004314-T1	
OG0009678	GBNUX_004321-T1	
OG0009679	GBNUX_004332-T1	
OG0009680	GBNUX_004349-T1	
OG0009681	GBNUX_004351-T1	
OG0009682	GBNUX_004408-T1	
OG0009683	GBNUX_004432-T1	
OG0009684	GBNUX_004459-T1	
OG0009685	GBNUX_004476-T1	
OG0009686	GBNUX_004496-T1	
OG0009687	GBNUX_004529-T1	
OG0009688	GBNUX_004581-T1	
OG0009689	GBNUX_004582-T1	
OG0009690	GBNUX_004602-T1	
OG0009691	GBNUX_004611-T1	
OG0009692	GBNUX_004664-T1	
OG0009693	GBNUX_004665-T1	
OG0009694	GBNUX_004670-T1	
OG0009695	GBNUX_004671-T1	
OG0009696	GBNUX_004689-T1	
OG0009697	GBNUX_004710-T1	
OG0009698	GBNUX_004755-T1	
OG0009699	GBNUX_004781-T1	
OG0009700	GBNUX_004786-T1	
OG0009701	GBNUX_004793-T1	
OG0009702	GBNUX_004816-T1	
OG0009703	GBNUX_004819-T1	
OG0009704	GBNUX_004845-T1	
OG0009705	GBNUX_004864-T1	
OG0009706	GBNUX_004865-T1	
OG0009707	GBNUX_004885-T1	
OG0009708	GBNUX_004894-T1	
OG0009709	GBNUX_004910-T1	
OG0009710	GBNUX_004915-T1	
OG0009711	GBNUX_004927-T1	
OG0009712	GBNUX_004928-T1	
OG0009713	GBNUX_004937-T1	
OG0009714	GBNUX_004948-T1	
OG0009715	GBNUX_004980-T1	
OG0009716	GBNUX_004984-T1	
OG0009717	GBNUX_004995-T1	
OG0009718	GBNUX_005010-T1	
OG0009719	GBNUX_005014-T1	
OG0009720	GBNUX_005025-T1	
OG0009721	GBNUX_005045-T1	
OG0009722	GBNUX_005047-T1	
OG0009723	GBNUX_005079-T1	
OG0009724	GBNUX_005083-T1	
OG0009725	GBNUX_005093-T1	
OG0009726	GBNUX_005103-T1	
OG0009727	GBNUX_005117-T1	
OG0009728	GBNUX_005129-T1	
OG0009729	GBNUX_005130-T1	
OG0009730	GBNUX_005141-T1	
OG0009731	GBNUX_005144-T1	
OG0009732	GBNUX_005145-T1	
OG0009733	GBNUX_005166-T1	
OG0009734	GBNUX_005168-T1	
OG0009735	GBNUX_005170-T1	
OG0009736	GBNUX_005172-T1	
OG0009737	GBNUX_005186-T1	
OG0009738	GBNUX_005193-T1	
OG0009739	GBNUX_005194-T1	
OG0009740	GBNUX_005197-T1	
OG0009741	GBNUX_005216-T1	
OG0009742	GBNUX_005217-T1	
OG0009743	GBNUX_005218-T1	
OG0009744	GBNUX_005220-T1	
OG0009745	GBNUX_005270-T1	
OG0009746	GBNUX_005293-T1	
OG0009747	GBNUX_005308-T1	
OG0009748	GBNUX_005310-T1	
OG0009749	GBNUX_005315-T1	
OG0009750	GBNUX_005322-T1	
OG0009751	GBNUX_005323-T1	
OG0009752	GBNUX_005351-T1	
OG0009753	GBNUX_005369-T1	
OG0009754	GBNUX_005373-T1	
OG0009755	GBNUX_005413-T1	
OG0009756	GBNUX_005433-T1	
OG0009757	GBNUX_005436-T1	
OG0009758	GBNUX_005472-T1	
OG0009759	GBNUX_005495-T1	
OG0009760	GBNUX_005517-T1	
OG0009761	GBNUX_005524-T1	
OG0009762	GBNUX_005526-T1	
OG0009763	GBNUX_005540-T1	
OG0009764	GBNUX_005571-T1	
OG0009765	GBNUX_005597-T1	
OG0009766	GBNUX_005612-T1	
OG0009767	GBNUX_005617-T1	
OG0009768	GBNUX_005631-T1	
OG0009769	GBNUX_005658-T1	
OG0009770	GBNUX_005661-T1	
OG0009771	GBNUX_005663-T1	
OG0009772	GBNUX_005695-T1	
OG0009773	GBNUX_005700-T1	
OG0009774	GBNUX_005720-T1	
OG0009775	GBNUX_005722-T1	
OG0009776	GBNUX_005725-T1	
OG0009777	GBNUX_005759-T1	
OG0009778	GBNUX_005769-T1	
OG0009779	GBNUX_005801-T1	
OG0009780	GBNUX_005831-T1	
OG0009781	GBNUX_005835-T1	
OG0009782	GBNUX_005836-T1	
OG0009783	GBNUX_005840-T1	
OG0009784	GBNUX_005852-T1	
OG0009785	GBNUX_005857-T1	
OG0009786	GBNUX_005918-T1	
OG0009787	GBNUX_005936-T1	
OG0009788	GBNUX_005960-T1	
OG0009789	GBNUX_006005-T1	
OG0009790	GBNUX_006025-T1	
OG0009791	GBNUX_006039-T1	
OG0009792	GBNUX_006065-T1	
OG0009793	GBNUX_006068-T1	
OG0009794	GBNUX_006101-T1	
OG0009795	GBNUX_006109-T1	
OG0009796	GBNUX_006112-T1	
OG0009797	GBNUX_006113-T1	
OG0009798	GBNUX_006131-T1	
OG0009799	GBNUX_006136-T1	
OG0009800	GBNUX_006145-T1	
OG0009801	GBNUX_006153-T1	
OG0009802	GBNUX_006156-T1	
OG0009803	GBNUX_006160-T1	
OG0009804	GBNUX_006176-T1	
OG0009805	GBNUX_006203-T1	
OG0009806	GBNUX_006220-T1	
OG0009807	GBNUX_006225-T1	
OG0009808	GBNUX_006236-T1	
OG0009809	GBNUX_006246-T1	
OG0009810	GBNUX_006248-T1	
OG0009811	GBNUX_006261-T1	
OG0009812	GBNUX_006278-T1	
OG0009813	GBNUX_006296-T1	
OG0009814	GBNUX_006324-T1	
OG0009815	GBNUX_006330-T1	
OG0009816	GBNUX_006331-T1	
OG0009817	GBNUX_006333-T1	
OG0009818	GBNUX_006345-T1	
OG0009819	GBNUX_006347-T1	
OG0009820	GBNUX_006357-T1	
OG0009821	GBNUX_006358-T1	
OG0009822	GBNUX_006385-T1	
OG0009823	GBNUX_006387-T1	
OG0009824	GBNUX_006391-T1	
OG0009825	GBNUX_006397-T1	
OG0009826	GBNUX_006410-T1	
OG0009827	GBNUX_006413-T1	
OG0009828	GBNUX_006420-T1	
OG0009829	GBNUX_006425-T1	
OG0009830	GBNUX_006427-T1	
OG0009831	GBNUX_006478-T1	
OG0009832	GBNUX_006481-T1	
OG0009833	GBNUX_006502-T1	
OG0009834	GBNUX_006572-T1	
OG0009835	GBNUX_006596-T1	
OG0009836	GBNUX_006597-T1	
OG0009837	GBNUX_006630-T1	
OG0009838	GBNUX_006635-T1	
OG0009839	GBNUX_006652-T1	
OG0009840	GBNUX_006682-T1	
OG0009841	GBNUX_006704-T1	
OG0009842	GBNUX_006715-T1	
OG0009843	GBNUX_006719-T1	
OG0009844	GBNUX_006731-T1	
OG0009845	GBNUX_006742-T1	
OG0009846	GBNUX_006770-T1	
OG0009847	GBNUX_006777-T1	
OG0009848	GBNUX_006804-T1	
OG0009849	GBNUX_006873-T1	
OG0009850	GBNUX_006878-T1	
OG0009851	GBNUX_006936-T1	
OG0009852	GBNUX_006940-T1	
OG0009853	GBNUX_006943-T1	
OG0009854	GBNUX_006956-T1	
OG0009855	GBNUX_006959-T1	
OG0009856	GBNUX_006996-T1	
OG0009857	GBNUX_007006-T1	
OG0009858	GBNUX_007021-T1	
OG0009859	GBNUX_007025-T1	
OG0009860	GBNUX_007059-T1	
OG0009861	GBNUX_007081-T1	
OG0009862	GBNUX_007090-T1	
OG0009863	GBNUX_007108-T1	
OG0009864	GBNUX_007136-T1	
OG0009865	GBNUX_007171-T1	
OG0009866	GBNUX_007189-T1	
OG0009867	GBNUX_007207-T1	
OG0009868	GBNUX_007214-T1	
OG0009869	GBNUX_007217-T1	
OG0009870	GBNUX_007224-T1	
OG0009871	GBNUX_007245-T1	
OG0009872	GBNUX_007248-T1	
OG0009873	GBNUX_007249-T1	
OG0009874	GBNUX_007274-T1	
OG0009875	GBNUX_007285-T1	
OG0009876	GBNUX_007300-T1	
OG0009877	GBNUX_007304-T1	
OG0009878	GBNUX_007305-T1	
OG0009879	GBNUX_007308-T1	
OG0009880	GBNUX_007336-T1	
OG0009881	GBNUX_007366-T1	
OG0009882	GBNUX_007371-T1	
OG0009883	GBNUX_007400-T1	
OG0009884	GBNUX_007428-T1	
OG0009885	GBNUX_007437-T1	
OG0009886	GBNUX_007472-T1	
OG0009887	GBNUX_007473-T1	
OG0009888	GBNUX_007505-T1	
OG0009889	GBNUX_007526-T1	
OG0009890	GBNUX_007527-T1	
OG0009891	GBNUX_007572-T1	
OG0009892	GBNUX_007577-T1	
OG0009893	GBNUX_007609-T1	
OG0009894	GBNUX_007612-T1	
OG0009895	GBNUX_007662-T1	
OG0009896	GBNUX_007666-T1	
OG0009897	GBNUX_007667-T1	
OG0009898	GBNUX_007698-T1	
OG0009899	GBNUX_007735-T1	
OG0009900	GBNUX_007761-T1	
OG0009901	GBNUX_007768-T1	
OG0009902	GBNUX_007795-T1	
OG0009903	GBNUX_007799-T1	
OG0009904	GBNUX_007817-T1	
OG0009905	GBNUX_007834-T1	
OG0009906	GBNUX_007854-T1	
OG0009907	GBNUX_007879-T1	
OG0009908	GBNUX_007880-T1	
OG0009909	GBNUX_007887-T1	
OG0009910	GBNUX_007893-T1	
OG0009911	GBNUX_007908-T1	
OG0009912	GBNUX_007914-T1	
OG0009913	GBNUX_007940-T1	
OG0009914	GBNUX_007949-T1	
OG0009915	GBNUX_007953-T1	
OG0009916	GBNUX_007966-T1	
OG0009917	GBNUX_007976-T1	
OG0009918	GBNUX_007995-T1	
OG0009919	GBNUX_008096-T1	
OG0009920	GBNUX_008124-T1	
OG0009921	GBNUX_008125-T1	
OG0009922	GBNUX_008130-T1	
OG0009923	GBNUX_008146-T1	
OG0009924	GBNUX_008193-T1	
OG0009925	GBNUX_008202-T1	
OG0009926	GBNUX_008224-T1	
OG0009927	GBNUX_008229-T1	
OG0009928	GBNUX_008237-T1	
OG0009929	GBNUX_008256-T1	
OG0009930	GBNUX_008269-T1	
OG0009931	GBNUX_008294-T1	
OG0009932	GBNUX_008350-T1	
OG0009933	GBNUX_008357-T1	
OG0009934	GBNUX_008375-T1	
OG0009935	GBNUX_008389-T1	
OG0009936	GBNUX_008449-T1	
OG0009937	GBNUX_008457-T1	
OG0009938	GBNUX_008489-T1	
OG0009939	GBNUX_008526-T1	
OG0009940	GBNUX_008527-T1	
OG0009941	GBNUX_008540-T1	
OG0009942	GBNUX_008562-T1	
OG0009943	GBNUX_008568-T1	
OG0009944	GBNUX_008571-T1	
OG0009945	GBNUX_008580-T1	
OG0009946	GBNUX_008588-T1	
OG0009947	GBNUX_008653-T1	
OG0009948	GBNUX_008655-T1	
OG0009949	GBNUX_008665-T1	
OG0009950	GBNUX_008691-T1	
OG0009951	GBNUX_008695-T1	
OG0009952	GBNUX_008697-T1	
OG0009953	GBNUX_008701-T1	
OG0009954	GBNUX_008736-T1	
OG0009955	GBNUX_008763-T1	
OG0009956	GBNUX_008773-T1	
OG0009957	GBNUX_008777-T1	
OG0009958	GBNUX_008778-T1	
OG0009959	GBNUX_008792-T1	
OG0009960	GBNUX_008806-T1	
OG0009961	GBNUX_008822-T1	
OG0009962	GBNUX_008824-T1	
OG0009963	GBNUX_008829-T1	
OG0009964	GBNUX_008846-T1	
OG0009965	GBNUX_008847-T1	
OG0009966	GBNUX_008868-T1	
OG0009967	GBNUX_008894-T1	
OG0009968	GBNUX_008928-T1	
OG0009969	GBNUX_008939-T1	
OG0009970	GBNUX_008968-T1	
OG0009971	GBNUX_008969-T1	
OG0009972	GBNUX_008984-T1	
OG0009973	GBNUX_009018-T1	
OG0009974	GBNUX_009035-T1	
OG0009975	GBNUX_009100-T1	
OG0009976	GBNUX_009129-T1	
OG0009977	GBNUX_009141-T1	
OG0009978	GBNUX_009145-T1	
OG0009979	GBNUX_009146-T1	
OG0009980	GBNUX_009176-T1	
OG0009981	GBNUX_009222-T1	
OG0009982	GBNUX_009226-T1	
OG0009983	GBNUX_009245-T1	
OG0009984	GBNUX_009255-T1	
OG0009985	GBNUX_009268-T1	
OG0009986	GBNUX_009272-T1	
OG0009987	GBNUX_009281-T1	
OG0009988	GBNUX_009301-T1	
OG0009989	GBNUX_009308-T1	
OG0009990	GBNUX_009316-T1	
OG0009991	GBNUX_009331-T1	
OG0009992	GBNUX_009337-T1	
OG0009993	GBNUX_009355-T1	
OG0009994	GBNUX_009367-T1	
OG0009995	GBNUX_009368-T1	
OG0009996	GBNUX_009392-T1	
OG0009997	GBNUX_009398-T1	
OG0009998	GBNUX_009406-T1	
OG0009999	GBNUX_009422-T1	
OG0010000	GBNUX_009438-T1	
OG0010001	GBNUX_009441-T1	
OG0010002	GBNUX_009448-T1	
OG0010003	GBNUX_009475-T1	
OG0010004	GBNUX_009476-T1	
OG0010005	GBNUX_009501-T1	
OG0010006	GBNUX_009576-T1	
OG0010007	GBNUX_009586-T1	
OG0010008	GBNUX_009602-T1	
OG0010009	GBNUX_009629-T1	
OG0010010	GBNUX_009637-T1	
OG0010011	GBNUX_009641-T1	
OG0010012	GBNUX_009657-T1	
OG0010013	GBNUX_009695-T1	
OG0010014	GBNUX_009696-T1	
OG0010015	GBNUX_009718-T1	
OG0010016	GBNUX_009720-T1	
OG0010017	GBNUX_009728-T1	
OG0010018	GBNUX_009735-T1	
OG0010019	GBNUX_009754-T1	
OG0010020	GBNUX_009764-T1	
OG0010021	GBNUX_009768-T1	
OG0010022	GBNUX_009810-T1	
OG0010023	GBNUX_009820-T1	
OG0010024	GBNUX_009827-T1	
OG0010025	GBNUX_009830-T1	
OG0010026	GBNUX_009835-T1	
OG0010027	GBNUX_009879-T1	
OG0010028	GBNUX_009890-T1	
OG0010029	GBNUX_009891-T1	
OG0010030	GBNUX_009912-T1	
OG0010031	GBNUX_009917-T1	
OG0010032	GBNUX_009918-T1	
OG0010033	GBNUX_009948-T1	
OG0010034	GBNUX_009962-T1	
OG0010035	GBNUX_009972-T1	
OG0010036	GBNUX_009999-T1	
OG0010037	GBNUX_010008-T1	
OG0010038	GBNUX_010023-T1	
OG0010039	GBNUX_010034-T1	
OG0010040	GBNUX_010053-T1	
OG0010041	GBNUX_010069-T1	
OG0010042	GBNUX_010079-T1	
OG0010043	GBNUX_010081-T1	
OG0010044	GBNUX_010084-T1	
OG0010045	GBNUX_010091-T1	
OG0010046	GBNUX_010100-T1	
OG0010047	GBNUX_010129-T1	
OG0010048	GBNUX_010140-T1	
OG0010049	GBNUX_010151-T1	
OG0010050	GBNUX_010153-T1	
OG0010051	GBNUX_010196-T1	
OG0010052	GBNUX_010233-T1	
OG0010053	GBNUX_010244-T1	
OG0010054	GBNUX_010255-T1	
OG0010055	GBNUX_010284-T1	
OG0010056	GBNUX_010287-T1	
OG0010057	GBNUX_010295-T1	
OG0010058	GBNUX_010310-T1	
OG0010059	GBNUX_010316-T1	
OG0010060	GBNUX_010325-T1	
OG0010061	GBNUX_010364-T1	
OG0010062	GBNUX_010384-T1	
OG0010063	GBNUX_010437-T1	
OG0010064	GBNUX_010441-T1	
OG0010065	GBNUX_010455-T1	
OG0010066	GBNUX_010465-T1	
OG0010067	GBNUX_010494-T1	
OG0010068	GBNUX_010498-T1	
OG0010069	GBNUX_010500-T1	
OG0010070	GBNUX_010519-T1	
OG0010071	GBNUX_010523-T1	
OG0010072	GBNUX_010528-T1	
OG0010073	GBNUX_010538-T1	
OG0010074	GBNUX_010544-T1	
OG0010075	GBNUX_010566-T1	
OG0010076	GBNUX_010574-T1	
OG0010077	GBNUX_010575-T1	
OG0010078	GBNUX_010587-T1	
OG0010079	GBNUX_010589-T1	
OG0010080	GBNUX_010616-T1	
OG0010081	GBNUX_010626-T1	
OG0010082	GBNUX_010658-T1	
OG0010083	GBNUX_010676-T1	
OG0010084	GBNUX_010693-T1	
OG0010085	GBNUX_010723-T1	
OG0010086	GBNUX_010780-T1	
OG0010087	GBNUX_010783-T1	
OG0010088	GBNUX_010803-T1	
OG0010089	GBNUX_010809-T1	
OG0010090	GBNUX_010819-T1	
OG0010091	GBNUX_010826-T1	
OG0010092	GBNUX_010861-T1	
OG0010093	GBNUX_010863-T1	
OG0010094	GBNUX_010869-T1	
OG0010095	GBNUX_010871-T1	
OG0010096	GBNUX_010884-T1	
OG0010097	GBNUX_010890-T1	
OG0010098	GBNUX_010897-T1	
OG0010099	GBNUX_010903-T1	
OG0010100	GBNUX_010919-T1	
OG0010101	GBNUX_010928-T1	
OG0010102	GBNUX_010933-T1	
OG0010103	GBNUX_010960-T1	
OG0010104	GBNUX_010961-T1	
OG0010105	GBNUX_010976-T1	
OG0010106	GBNUX_011025-T1	
OG0010107	GBNUX_011038-T1	
OG0010108	GBNUX_011068-T1	
OG0010109	GBNUX_011089-T1	
OG0010110	GBNUX_011099-T1	
OG0010111	GBNUX_011108-T1	
OG0010112	GBNUX_011114-T1	
OG0010113	GBNUX_011115-T1	
OG0010114	GBNUX_011119-T1	
OG0010115	GBNUX_011161-T1	
OG0010116	GBNUX_011244-T1	
