	Fennellomyces_mexicanussp.nov._RSA_1415_Plus.aa	Fennellomyces_mexicanussp.nov._RSA_1418-.aa
OG0000013	GBNTS_002615-T1, GBNTS_003727-T1, GBNTS_004610-T1, GBNTS_004989-T1, GBNTS_009348-T1, GBNTS_009349-T1, GBNTS_012351-T1	GBNTT_000082-T1, GBNTT_000083-T1, GBNTT_000102-T1, GBNTT_002040-T1, GBNTT_004034-T1, GBNTT_004241-T1, GBNTT_008562-T1
OG0000014	GBNTS_003683-T1, GBNTS_004693-T1, GBNTS_006881-T1, GBNTS_011414-T1, GBNTS_011753-T1, GBNTS_012074-T1	GBNTT_000554-T1, GBNTT_000907-T1, GBNTT_000942-T1, GBNTT_002365-T1, GBNTT_011438-T1, GBNTT_011783-T1, GBNTT_011944-T1, GBNTT_012089-T1
OG0000015	GBNTS_001962-T1, GBNTS_002321-T1, GBNTS_003186-T1, GBNTS_005183-T1, GBNTS_005392-T1, GBNTS_005686-T1, GBNTS_012025-T1, GBNTS_012029-T1	GBNTT_001142-T1, GBNTT_002079-T1, GBNTT_002344-T1, GBNTT_011801-T1, GBNTT_012432-T1
OG0000016	GBNTS_003012-T1, GBNTS_003656-T1, GBNTS_012246-T1, GBNTS_012793-T1	GBNTT_001212-T1, GBNTT_002526-T1, GBNTT_003718-T1, GBNTT_004127-T1, GBNTT_004317-T1, GBNTT_004440-T1, GBNTT_010074-T1, GBNTT_011165-T1, GBNTT_011563-T1
OG0000017		GBNTT_000549-T1, GBNTT_001853-T1, GBNTT_001855-T1, GBNTT_002599-T1, GBNTT_004044-T1, GBNTT_004045-T1, GBNTT_004046-T1, GBNTT_004713-T1, GBNTT_005194-T1, GBNTT_008310-T1, GBNTT_008804-T1, GBNTT_010609-T1, GBNTT_012417-T1
OG0000018	GBNTS_000291-T1, GBNTS_003046-T1, GBNTS_003891-T1, GBNTS_004629-T1, GBNTS_007915-T1, GBNTS_008009-T1	GBNTT_000307-T1, GBNTT_001431-T1, GBNTT_003731-T1, GBNTT_006159-T1, GBNTT_010378-T1, GBNTT_012381-T1
OG0000019	GBNTS_000695-T1, GBNTS_003362-T1, GBNTS_004580-T1, GBNTS_007493-T1, GBNTS_009920-T1, GBNTS_011813-T1	GBNTT_005724-T1, GBNTT_006213-T1, GBNTT_007566-T1, GBNTT_008986-T1, GBNTT_009400-T1, GBNTT_011744-T1
OG0000020	GBNTS_001309-T1, GBNTS_006568-T1, GBNTS_006570-T1, GBNTS_007544-T1, GBNTS_009809-T1, GBNTS_009959-T1	GBNTT_002399-T1, GBNTT_002825-T1, GBNTT_009182-T1, GBNTT_010509-T1, GBNTT_011554-T1, GBNTT_012295-T1
OG0000021	GBNTS_001499-T1, GBNTS_006892-T1, GBNTS_007446-T1, GBNTS_007951-T1, GBNTS_007952-T1, GBNTS_009523-T1	GBNTT_006102-T1, GBNTT_007472-T1, GBNTT_007958-T1, GBNTT_008870-T1, GBNTT_009387-T1, GBNTT_009388-T1
OG0000022	GBNTS_002475-T1, GBNTS_003503-T1, GBNTS_004329-T1, GBNTS_005905-T1	GBNTT_001110-T1, GBNTT_002171-T1, GBNTT_002528-T1, GBNTT_003054-T1, GBNTT_003406-T1, GBNTT_004291-T1, GBNTT_004567-T1, GBNTT_004854-T1
OG0000023	GBNTS_002499-T1, GBNTS_004162-T1, GBNTS_008692-T1, GBNTS_008693-T1, GBNTS_010515-T1, GBNTS_010516-T1	GBNTT_002850-T1, GBNTT_005925-T1, GBNTT_005926-T1, GBNTT_008405-T1, GBNTT_008406-T1, GBNTT_008748-T1
OG0000024	GBNTS_004326-T1, GBNTS_005341-T1, GBNTS_006186-T1, GBNTS_008462-T1, GBNTS_012890-T1	GBNTT_002503-T1, GBNTT_004066-T1, GBNTT_005732-T1, GBNTT_008793-T1, GBNTT_010955-T1, GBNTT_011388-T1, GBNTT_012044-T1
OG0000025	GBNTS_011005-T1, GBNTS_011590-T1, GBNTS_012154-T1	GBNTT_000354-T1, GBNTT_001367-T1, GBNTT_009520-T1, GBNTT_010595-T1, GBNTT_011096-T1, GBNTT_011447-T1, GBNTT_012002-T1, GBNTT_012087-T1, GBNTT_012284-T1
OG0000026	GBNTS_000327-T1, GBNTS_000328-T1, GBNTS_003166-T1, GBNTS_005191-T1	GBNTT_005161-T1, GBNTT_008631-T1, GBNTT_012630-T1, GBNTT_012631-T1, GBNTT_012632-T1, GBNTT_012633-T1, GBNTT_012637-T1
OG0000027	GBNTS_000722-T1, GBNTS_001124-T1, GBNTS_001344-T1, GBNTS_001816-T1, GBNTS_001818-T1, GBNTS_003739-T1, GBNTS_003740-T1, GBNTS_003741-T1, GBNTS_009148-T1, GBNTS_010596-T1, GBNTS_010878-T1	
OG0000028	GBNTS_000820-T1, GBNTS_000826-T1, GBNTS_001928-T1, GBNTS_001990-T1, GBNTS_003163-T1, GBNTS_007155-T1, GBNTS_012068-T1	GBNTT_003336-T1, GBNTT_004176-T1, GBNTT_004701-T1, GBNTT_011214-T1
OG0000029	GBNTS_000821-T1, GBNTS_000825-T1, GBNTS_001263-T1, GBNTS_002285-T1, GBNTS_004061-T1, GBNTS_010830-T1	GBNTT_001399-T1, GBNTT_004269-T1, GBNTT_004373-T1, GBNTT_010422-T1, GBNTT_010586-T1
OG0000030	GBNTS_000823-T1, GBNTS_000934-T1, GBNTS_001330-T1, GBNTS_003014-T1, GBNTS_006281-T1	GBNTT_001792-T1, GBNTT_002314-T1, GBNTT_002449-T1, GBNTT_002670-T1, GBNTT_002975-T1, GBNTT_005133-T1
OG0000031	GBNTS_001311-T1, GBNTS_007180-T1, GBNTS_009795-T1	GBNTT_000815-T1, GBNTT_000994-T1, GBNTT_002417-T1, GBNTT_003972-T1, GBNTT_008081-T1, GBNTT_008323-T1, GBNTT_008760-T1, GBNTT_012641-T1
OG0000032	GBNTS_001498-T1, GBNTS_001511-T1, GBNTS_011201-T1, GBNTS_011202-T1, GBNTS_012665-T1, GBNTS_012668-T1	GBNTT_007957-T1, GBNTT_007970-T1, GBNTT_009575-T1, GBNTT_010020-T1, GBNTT_010021-T1
OG0000033	GBNTS_001550-T1, GBNTS_007436-T1, GBNTS_008994-T1, GBNTS_009410-T1, GBNTS_012018-T1	GBNTT_000018-T1, GBNTT_000019-T1, GBNTT_001662-T1, GBNTT_007363-T1, GBNTT_009001-T1, GBNTT_009602-T1
OG0000034	GBNTS_003790-T1, GBNTS_009229-T1, GBNTS_009230-T1, GBNTS_009231-T1, GBNTS_010814-T1, GBNTS_012319-T1	GBNTT_003992-T1, GBNTT_006643-T1, GBNTT_008608-T1, GBNTT_008610-T1, GBNTT_009728-T1
OG0000035	GBNTS_005078-T1, GBNTS_005101-T1, GBNTS_006557-T1, GBNTS_006956-T1, GBNTS_007761-T1, GBNTS_012378-T1	GBNTT_001406-T1, GBNTT_002940-T1, GBNTT_006952-T1, GBNTT_007625-T1, GBNTT_010473-T1
OG0000036	GBNTS_005372-T1, GBNTS_006638-T1, GBNTS_006639-T1, GBNTS_006882-T1, GBNTS_009470-T1, GBNTS_009814-T1	GBNTT_003120-T1, GBNTT_003121-T1, GBNTT_006112-T1, GBNTT_009245-T1, GBNTT_012068-T1
OG0000037	GBNTS_005546-T1, GBNTS_007293-T1, GBNTS_009667-T1, GBNTS_010302-T1, GBNTS_010662-T1	GBNTT_000634-T1, GBNTT_006792-T1, GBNTT_006793-T1, GBNTT_006971-T1, GBNTT_009887-T1, GBNTT_010350-T1
OG0000038	GBNTS_000114-T1, GBNTS_000267-T1, GBNTS_007126-T1, GBNTS_009981-T1, GBNTS_012550-T1	GBNTT_000729-T1, GBNTT_005776-T1, GBNTT_005782-T1, GBNTT_007289-T1, GBNTT_012357-T1
OG0000039	GBNTS_000669-T1, GBNTS_002048-T1, GBNTS_008362-T1, GBNTS_012412-T1	GBNTT_000478-T1, GBNTT_001134-T1, GBNTT_008150-T1, GBNTT_010811-T1, GBNTT_010813-T1, GBNTT_010885-T1
OG0000040	GBNTS_000739-T1, GBNTS_001250-T1, GBNTS_006781-T1, GBNTS_010799-T1, GBNTS_010808-T1	GBNTT_004813-T1, GBNTT_007722-T1, GBNTT_008341-T1, GBNTT_011306-T1, GBNTT_011315-T1
OG0000041	GBNTS_000975-T1, GBNTS_002979-T1, GBNTS_004030-T1, GBNTS_004852-T1, GBNTS_010597-T1, GBNTS_011811-T1	GBNTT_002600-T1, GBNTT_005804-T1, GBNTT_009194-T1, GBNTT_010072-T1
OG0000042	GBNTS_001099-T1, GBNTS_001479-T1, GBNTS_006862-T1, GBNTS_007419-T1, GBNTS_009929-T1, GBNTS_011977-T1	GBNTT_001140-T1, GBNTT_008642-T1, GBNTT_011163-T1, GBNTT_012428-T1
OG0000043	GBNTS_001520-T1, GBNTS_004555-T1, GBNTS_004556-T1, GBNTS_006617-T1, GBNTS_010652-T1	GBNTT_000625-T1, GBNTT_000892-T1, GBNTT_000893-T1, GBNTT_000934-T1, GBNTT_010597-T1
OG0000044	GBNTS_002527-T1, GBNTS_003098-T1, GBNTS_005974-T1, GBNTS_008603-T1, GBNTS_008669-T1	GBNTT_000223-T1, GBNTT_000244-T1, GBNTT_004203-T1, GBNTT_007037-T1, GBNTT_008147-T1
OG0000045	GBNTS_002542-T1, GBNTS_004438-T1, GBNTS_007141-T1, GBNTS_010955-T1, GBNTS_011964-T1, GBNTS_012113-T1	GBNTT_000321-T1, GBNTT_000352-T1, GBNTT_001251-T1, GBNTT_011343-T1
OG0000046	GBNTS_002691-T1, GBNTS_004313-T1, GBNTS_004958-T1, GBNTS_008214-T1, GBNTS_012297-T1	GBNTT_003881-T1, GBNTT_005306-T1, GBNTT_006408-T1, GBNTT_007322-T1, GBNTT_012332-T1
OG0000047	GBNTS_002743-T1, GBNTS_003350-T1, GBNTS_003678-T1, GBNTS_005206-T1	GBNTT_002951-T1, GBNTT_003127-T1, GBNTT_003458-T1, GBNTT_004104-T1, GBNTT_004717-T1, GBNTT_011999-T1
OG0000048	GBNTS_004139-T1, GBNTS_004738-T1, GBNTS_011465-T1, GBNTS_012204-T1, GBNTS_012362-T1, GBNTS_012646-T1	GBNTT_010723-T1, GBNTT_011620-T1, GBNTT_012047-T1, GBNTT_012438-T1
OG0000049	GBNTS_005782-T1, GBNTS_007515-T1, GBNTS_008713-T1, GBNTS_009589-T1, GBNTS_011578-T1	GBNTT_002433-T1, GBNTT_005404-T1, GBNTT_005565-T1, GBNTT_005566-T1, GBNTT_006084-T1
OG0000050	GBNTS_006359-T1, GBNTS_006360-T1, GBNTS_006361-T1, GBNTS_006362-T1, GBNTS_006377-T1	GBNTT_002217-T1, GBNTT_005999-T1, GBNTT_006000-T1, GBNTT_006001-T1, GBNTT_006002-T1
OG0000051	GBNTS_008962-T1, GBNTS_009800-T1, GBNTS_010902-T1, GBNTS_010904-T1, GBNTS_011176-T1	GBNTT_000218-T1, GBNTT_006035-T1, GBNTT_008153-T1, GBNTT_008771-T1, GBNTT_010846-T1
OG0000052	GBNTS_000303-T1, GBNTS_000512-T1, GBNTS_003038-T1, GBNTS_006754-T1, GBNTS_011976-T1	GBNTT_002450-T1, GBNTT_010587-T1, GBNTT_011333-T1, GBNTT_012140-T1
OG0000053	GBNTS_000309-T1, GBNTS_002572-T1, GBNTS_003435-T1, GBNTS_005375-T1, GBNTS_005582-T1	GBNTT_001078-T1, GBNTT_002615-T1, GBNTT_004439-T1, GBNTT_012180-T1
OG0000054	GBNTS_000738-T1, GBNTS_005167-T1, GBNTS_010704-T1, GBNTS_012151-T1	GBNTT_000012-T1, GBNTT_000013-T1, GBNTT_002742-T1, GBNTT_008340-T1, GBNTT_011990-T1
OG0000055	GBNTS_000977-T1, GBNTS_001761-T1, GBNTS_002799-T1, GBNTS_003351-T1, GBNTS_010689-T1	GBNTT_002703-T1, GBNTT_004123-T1, GBNTT_011895-T1, GBNTT_011900-T1
OG0000056	GBNTS_001359-T1, GBNTS_005486-T1, GBNTS_006601-T1, GBNTS_008059-T1, GBNTS_008061-T1, GBNTS_008062-T1, GBNTS_008196-T1, GBNTS_010087-T1	GBNTT_007906-T1
OG0000057	GBNTS_001609-T1, GBNTS_002276-T1, GBNTS_007672-T1, GBNTS_011071-T1, GBNTS_011072-T1	GBNTT_002178-T1, GBNTT_009360-T1, GBNTT_009460-T1, GBNTT_011541-T1
OG0000058	GBNTS_002292-T1, GBNTS_006878-T1, GBNTS_012108-T1, GBNTS_012109-T1	GBNTT_002695-T1, GBNTT_002696-T1, GBNTT_003364-T1, GBNTT_003365-T1, GBNTT_006754-T1
OG0000059	GBNTS_003138-T1, GBNTS_004890-T1, GBNTS_006335-T1, GBNTS_012364-T1, GBNTS_012887-T1	GBNTT_000977-T1, GBNTT_001545-T1, GBNTT_001546-T1, GBNTT_010895-T1
OG0000060	GBNTS_003807-T1, GBNTS_005166-T1, GBNTS_011281-T1	GBNTT_002789-T1, GBNTT_003180-T1, GBNTT_003790-T1, GBNTT_004148-T1, GBNTT_004609-T1, GBNTT_010708-T1
OG0000061	GBNTS_003912-T1, GBNTS_008056-T1, GBNTS_011647-T1, GBNTS_012445-T1, GBNTS_012463-T1	GBNTT_000403-T1, GBNTT_000420-T1, GBNTT_002370-T1, GBNTT_007781-T1
OG0000062	GBNTS_005019-T1, GBNTS_005193-T1, GBNTS_012799-T1, GBNTS_012801-T1	GBNTT_000775-T1, GBNTT_000777-T1, GBNTT_000778-T1, GBNTT_005165-T1, GBNTT_005717-T1
OG0000063	GBNTS_005335-T1, GBNTS_008142-T1, GBNTS_009495-T1, GBNTS_012878-T1	GBNTT_004060-T1, GBNTT_005868-T1, GBNTT_005916-T1, GBNTT_011735-T1, GBNTT_011736-T1
OG0000064	GBNTS_006789-T1, GBNTS_009668-T1, GBNTS_009669-T1, GBNTS_010903-T1, GBNTS_011177-T1	GBNTT_006036-T1, GBNTT_006791-T1, GBNTT_010040-T1, GBNTT_010845-T1
OG0000065	GBNTS_000028-T1, GBNTS_000029-T1, GBNTS_008156-T1, GBNTS_008521-T1	GBNTT_004509-T1, GBNTT_005902-T1, GBNTT_008505-T1, GBNTT_008506-T1
OG0000066	GBNTS_000095-T1, GBNTS_007194-T1, GBNTS_010030-T1, GBNTS_010887-T1	GBNTT_002075-T1, GBNTT_008696-T1, GBNTT_009206-T1, GBNTT_011455-T1
OG0000067	GBNTS_000188-T1, GBNTS_001377-T1, GBNTS_001378-T1, GBNTS_009522-T1	GBNTT_008075-T1, GBNTT_008076-T1, GBNTT_008871-T1, GBNTT_009547-T1
OG0000068	GBNTS_000251-T1, GBNTS_001187-T1, GBNTS_001188-T1, GBNTS_002211-T1	GBNTT_003543-T1, GBNTT_003544-T1, GBNTT_006870-T1, GBNTT_012682-T1
OG0000069	GBNTS_000427-T1, GBNTS_000428-T1, GBNTS_002737-T1, GBNTS_003215-T1, GBNTS_011160-T1	GBNTT_002980-T1, GBNTT_010052-T1, GBNTT_011779-T1
OG0000070	GBNTS_000443-T1, GBNTS_000981-T1, GBNTS_003490-T1, GBNTS_009167-T1	GBNTT_004538-T1, GBNTT_006313-T1, GBNTT_010156-T1, GBNTT_011031-T1
OG0000071	GBNTS_000541-T1, GBNTS_006001-T1, GBNTS_008436-T1, GBNTS_011610-T1	GBNTT_005269-T1, GBNTT_007063-T1, GBNTT_008211-T1, GBNTT_010331-T1
OG0000072	GBNTS_000705-T1, GBNTS_007388-T1, GBNTS_010575-T1, GBNTS_011870-T1	GBNTT_001914-T1, GBNTT_001953-T1, GBNTT_002350-T1, GBNTT_009330-T1
OG0000073	GBNTS_000789-T1, GBNTS_011415-T1, GBNTS_012015-T1, GBNTS_012026-T1	GBNTT_000395-T1, GBNTT_000866-T1, GBNTT_001693-T1, GBNTT_011896-T1
OG0000074	GBNTS_000885-T1, GBNTS_008955-T1, GBNTS_009693-T1, GBNTS_011102-T1	GBNTT_004840-T1, GBNTT_007531-T1, GBNTT_010824-T1, GBNTT_011140-T1
OG0000075	GBNTS_000930-T1, GBNTS_006559-T1, GBNTS_007088-T1, GBNTS_009701-T1	GBNTT_001331-T1, GBNTT_003480-T1, GBNTT_004644-T1, GBNTT_004848-T1
OG0000076	GBNTS_001042-T1, GBNTS_004317-T1, GBNTS_008878-T1, GBNTS_010634-T1	GBNTT_000609-T1, GBNTT_006415-T1, GBNTT_009269-T1, GBNTT_009419-T1
OG0000077	GBNTS_001281-T1, GBNTS_001578-T1, GBNTS_008583-T1	GBNTT_001316-T1, GBNTT_003796-T1, GBNTT_010254-T1, GBNTT_012527-T1, GBNTT_012538-T1
OG0000078	GBNTS_001603-T1, GBNTS_005159-T1, GBNTS_009491-T1, GBNTS_010397-T1	GBNTT_003961-T1, GBNTT_005864-T1, GBNTT_009368-T1, GBNTT_011572-T1
OG0000079	GBNTS_001984-T1, GBNTS_003646-T1, GBNTS_007721-T1, GBNTS_009350-T1, GBNTS_012376-T1	GBNTT_000081-T1, GBNTT_002942-T1, GBNTT_009837-T1
OG0000080	GBNTS_002395-T1, GBNTS_002396-T1, GBNTS_002399-T1, GBNTS_002400-T1, GBNTS_004886-T1	GBNTT_002772-T1, GBNTT_002776-T1, GBNTT_012283-T1
OG0000081	GBNTS_002466-T1, GBNTS_002467-T1, GBNTS_002468-T1, GBNTS_003638-T1, GBNTS_012100-T1	GBNTT_002324-T1, GBNTT_002325-T1, GBNTT_004154-T1
OG0000082	GBNTS_002582-T1, GBNTS_010650-T1, GBNTS_010651-T1, GBNTS_012197-T1	GBNTT_000623-T1, GBNTT_000624-T1, GBNTT_003273-T1, GBNTT_005509-T1
OG0000083	GBNTS_002813-T1, GBNTS_006364-T1, GBNTS_009961-T1, GBNTS_010778-T1	GBNTT_002468-T1, GBNTT_006004-T1, GBNTT_009184-T1, GBNTT_011285-T1
OG0000084	GBNTS_003688-T1, GBNTS_010369-T1, GBNTS_011506-T1, GBNTS_012037-T1	GBNTT_004450-T1, GBNTT_006023-T1, GBNTT_009141-T1, GBNTT_012262-T1
OG0000085	GBNTS_003750-T1, GBNTS_011099-T1, GBNTS_011529-T1, GBNTS_012488-T1	GBNTT_000685-T1, GBNTT_010661-T1, GBNTT_011676-T1, GBNTT_012650-T1
OG0000086	GBNTS_003813-T1, GBNTS_007922-T1, GBNTS_007924-T1, GBNTS_007928-T1	GBNTT_004616-T1, GBNTT_007659-T1, GBNTT_007662-T1, GBNTT_007663-T1
OG0000087	GBNTS_003815-T1, GBNTS_005586-T1, GBNTS_007391-T1, GBNTS_008064-T1	GBNTT_002085-T1, GBNTT_002347-T1, GBNTT_004615-T1, GBNTT_007903-T1
OG0000088	GBNTS_003973-T1, GBNTS_005469-T1, GBNTS_007545-T1, GBNTS_012235-T1	GBNTT_002826-T1, GBNTT_007242-T1, GBNTT_007381-T1, GBNTT_009226-T1
OG0000089	GBNTS_004039-T1, GBNTS_009681-T1, GBNTS_009682-T1, GBNTS_009683-T1	GBNTT_009514-T1, GBNTT_009515-T1, GBNTT_009516-T1, GBNTT_011958-T1
OG0000090	GBNTS_004201-T1, GBNTS_005562-T1, GBNTS_008289-T1, GBNTS_009655-T1	GBNTT_002660-T1, GBNTT_004424-T1, GBNTT_007877-T1, GBNTT_010849-T1
OG0000091	GBNTS_004454-T1, GBNTS_004533-T1, GBNTS_009117-T1, GBNTS_010488-T1	GBNTT_007338-T1, GBNTT_008834-T1, GBNTT_011076-T1, GBNTT_011409-T1
OG0000092	GBNTS_004523-T1, GBNTS_008327-T1, GBNTS_012157-T1, GBNTS_012882-T1	GBNTT_001489-T1, GBNTT_001490-T1, GBNTT_008729-T1, GBNTT_012185-T1
OG0000093	GBNTS_005229-T1, GBNTS_005708-T1, GBNTS_006048-T1, GBNTS_009598-T1	GBNTT_004186-T1, GBNTT_004930-T1, GBNTT_009213-T1, GBNTT_012356-T1
OG0000094	GBNTS_005331-T1, GBNTS_008999-T1, GBNTS_009678-T1	GBNTT_001732-T1, GBNTT_003370-T1, GBNTT_003990-T1, GBNTT_009511-T1, GBNTT_009904-T1
OG0000095	GBNTS_005384-T1, GBNTS_005857-T1, GBNTS_006341-T1, GBNTS_009282-T1	GBNTT_004099-T1, GBNTT_005435-T1, GBNTT_008165-T1, GBNTT_008255-T1
OG0000096	GBNTS_006039-T1, GBNTS_006040-T1, GBNTS_007976-T1, GBNTS_009209-T1	GBNTT_008923-T1, GBNTT_010042-T1, GBNTT_010195-T1, GBNTT_010196-T1
OG0000097	GBNTS_006227-T1, GBNTS_007905-T1, GBNTS_008482-T1, GBNTS_009514-T1	GBNTT_003637-T1, GBNTT_003869-T1, GBNTT_006141-T1, GBNTT_007430-T1
OG0000098	GBNTS_006631-T1, GBNTS_007208-T1, GBNTS_008608-T1, GBNTS_011704-T1	GBNTT_007858-T1, GBNTT_008370-T1, GBNTT_011624-T1, GBNTT_012416-T1
OG0000099	GBNTS_007522-T1, GBNTS_007523-T1, GBNTS_007694-T1	GBNTT_002494-T1, GBNTT_002495-T1, GBNTT_002496-T1, GBNTT_007012-T1, GBNTT_010248-T1
OG0000100	GBNTS_007686-T1, GBNTS_009030-T1, GBNTS_009031-T1, GBNTS_009676-T1	GBNTT_001346-T1, GBNTT_001347-T1, GBNTT_009395-T1, GBNTT_009447-T1
OG0000101	GBNTS_007875-T1, GBNTS_007876-T1, GBNTS_007877-T1, GBNTS_009496-T1, GBNTS_009501-T1, GBNTS_010074-T1	GBNTT_000599-T1, GBNTT_003683-T1
OG0000102	GBNTS_009785-T1, GBNTS_009985-T1, GBNTS_011173-T1, GBNTS_011961-T1	GBNTT_001282-T1, GBNTT_002870-T1, GBNTT_005786-T1, GBNTT_006032-T1
OG0000103		GBNTT_001515-T1, GBNTT_005090-T1, GBNTT_006562-T1, GBNTT_006930-T1, GBNTT_007905-T1, GBNTT_007908-T1, GBNTT_009699-T1, GBNTT_010515-T1
OG0000104	GBNTS_000434-T1, GBNTS_001193-T1, GBNTS_010518-T1	GBNTT_000809-T1, GBNTT_001796-T1, GBNTT_010419-T1, GBNTT_010527-T1
OG0000105	GBNTS_000471-T1, GBNTS_000472-T1, GBNTS_000938-T1, GBNTS_012889-T1	GBNTT_001548-T1, GBNTT_002810-T1, GBNTT_003337-T1
