	Fennellomyces_mexicanussp.nov._RSA_1415_Plus.aa	Fennellomyces_mexicanussp.nov._RSA_1418-.aa
OG0010166	GBNTS_001561-T1	
OG0010167	GBNTS_001569-T1	
OG0010168	GBNTS_001580-T1	
OG0010169	GBNTS_001585-T1	
OG0010170	GBNTS_001592-T1	
OG0010171	GBNTS_001597-T1	
OG0010172	GBNTS_001598-T1	
OG0010173	GBNTS_001610-T1	
OG0010174	GBNTS_001611-T1	
OG0010175	GBNTS_001619-T1	
OG0010176	GBNTS_001621-T1	
OG0010177	GBNTS_001622-T1	
OG0010178	GBNTS_001642-T1	
OG0010179	GBNTS_001648-T1	
OG0010180	GBNTS_001657-T1	
OG0010181	GBNTS_001658-T1	
OG0010182	GBNTS_001697-T1	
OG0010183	GBNTS_001698-T1	
OG0010184	GBNTS_001701-T1	
OG0010185	GBNTS_001702-T1	
OG0010186	GBNTS_001703-T1	
OG0010187	GBNTS_001716-T1	
OG0010188	GBNTS_001727-T1	
OG0010189	GBNTS_001728-T1	
OG0010190	GBNTS_001729-T1	
OG0010191	GBNTS_001730-T1	
OG0010192	GBNTS_001740-T1	
OG0010193	GBNTS_001752-T1	
OG0010194	GBNTS_001759-T1	
OG0010195	GBNTS_001762-T1	
OG0010196	GBNTS_001763-T1	
OG0010197	GBNTS_001766-T1	
OG0010198	GBNTS_001794-T1	
OG0010199	GBNTS_001886-T1	
OG0010200	GBNTS_001888-T1	
OG0010201	GBNTS_001892-T1	
OG0010202	GBNTS_001895-T1	
OG0010203	GBNTS_001899-T1	
OG0010204	GBNTS_001931-T1	
OG0010205	GBNTS_001943-T1	
OG0010206	GBNTS_001957-T1	
OG0010207	GBNTS_001958-T1	
OG0010208	GBNTS_001960-T1	
OG0010209	GBNTS_001964-T1	
OG0010210	GBNTS_001965-T1	
OG0010211	GBNTS_001981-T1	
OG0010212	GBNTS_001985-T1	
OG0010213	GBNTS_001986-T1	
OG0010214	GBNTS_001988-T1	
OG0010215	GBNTS_001989-T1	
OG0010216	GBNTS_001995-T1	
OG0010217	GBNTS_002007-T1	
OG0010218	GBNTS_002012-T1	
OG0010219	GBNTS_002024-T1	
OG0010220	GBNTS_002029-T1	
OG0010221	GBNTS_002060-T1	
OG0010222	GBNTS_002081-T1	
OG0010223	GBNTS_002094-T1	
OG0010224	GBNTS_002096-T1	
OG0010225	GBNTS_002105-T1	
OG0010226	GBNTS_002115-T1	
OG0010227	GBNTS_002117-T1	
OG0010228	GBNTS_002126-T1	
OG0010229	GBNTS_002127-T1	
OG0010230	GBNTS_002158-T1	
OG0010231	GBNTS_002161-T1	
OG0010232	GBNTS_002165-T1	
OG0010233	GBNTS_002191-T1	
OG0010234	GBNTS_002192-T1	
OG0010235	GBNTS_002204-T1	
OG0010236	GBNTS_002220-T1	
OG0010237	GBNTS_002239-T1	
OG0010238	GBNTS_002254-T1	
OG0010239	GBNTS_002275-T1	
OG0010240	GBNTS_002284-T1	
OG0010241	GBNTS_002291-T1	
OG0010242	GBNTS_002294-T1	
OG0010243	GBNTS_002302-T1	
OG0010244	GBNTS_002318-T1	
OG0010245	GBNTS_002334-T1	
OG0010246	GBNTS_002345-T1	
OG0010247	GBNTS_002348-T1	
OG0010248	GBNTS_002350-T1	
OG0010249	GBNTS_002352-T1	
OG0010250	GBNTS_002379-T1	
OG0010251	GBNTS_002380-T1	
OG0010252	GBNTS_002394-T1	
OG0010253	GBNTS_002408-T1	
OG0010254	GBNTS_002412-T1	
OG0010255	GBNTS_002413-T1	
OG0010256	GBNTS_002415-T1	
OG0010257	GBNTS_002429-T1	
OG0010258	GBNTS_002442-T1	
OG0010259	GBNTS_002445-T1	
OG0010260	GBNTS_002446-T1	
OG0010261	GBNTS_002447-T1	
OG0010262	GBNTS_002448-T1	
OG0010263	GBNTS_002451-T1	
OG0010264	GBNTS_002460-T1	
OG0010265	GBNTS_002479-T1	
OG0010266	GBNTS_002513-T1	
OG0010267	GBNTS_002515-T1	
OG0010268	GBNTS_002517-T1	
OG0010269	GBNTS_002525-T1	
OG0010270	GBNTS_002526-T1	
OG0010271	GBNTS_002538-T1	
OG0010272	GBNTS_002539-T1	
OG0010273	GBNTS_002541-T1	
OG0010274	GBNTS_002547-T1	
OG0010275	GBNTS_002570-T1	
OG0010276	GBNTS_002574-T1	
OG0010277	GBNTS_002584-T1	
OG0010278	GBNTS_002647-T1	
OG0010279	GBNTS_002660-T1	
OG0010280	GBNTS_002678-T1	
OG0010281	GBNTS_002683-T1	
OG0010282	GBNTS_002684-T1	
OG0010283	GBNTS_002697-T1	
OG0010284	GBNTS_002744-T1	
OG0010285	GBNTS_002745-T1	
OG0010286	GBNTS_002768-T1	
OG0010287	GBNTS_002774-T1	
OG0010288	GBNTS_002797-T1	
OG0010289	GBNTS_002806-T1	
OG0010290	GBNTS_002824-T1	
OG0010291	GBNTS_002826-T1	
OG0010292	GBNTS_002827-T1	
OG0010293	GBNTS_002828-T1	
OG0010294	GBNTS_002847-T1	
OG0010295	GBNTS_002848-T1	
OG0010296	GBNTS_002849-T1	
OG0010297	GBNTS_002851-T1	
OG0010298	GBNTS_002866-T1	
OG0010299	GBNTS_002876-T1	
OG0010300	GBNTS_002883-T1	
OG0010301	GBNTS_002896-T1	
OG0010302	GBNTS_002897-T1	
OG0010303	GBNTS_002898-T1	
OG0010304	GBNTS_002900-T1	
OG0010305	GBNTS_002903-T1	
OG0010306	GBNTS_002920-T1	
OG0010307	GBNTS_002922-T1	
OG0010308	GBNTS_002935-T1	
OG0010309	GBNTS_002942-T1	
OG0010310	GBNTS_002960-T1	
OG0010311	GBNTS_002967-T1	
OG0010312	GBNTS_002976-T1	
OG0010313	GBNTS_002983-T1	
OG0010314	GBNTS_002985-T1	
OG0010315	GBNTS_002986-T1	
OG0010316	GBNTS_002988-T1	
OG0010317	GBNTS_002997-T1	
OG0010318	GBNTS_003015-T1	
OG0010319	GBNTS_003016-T1	
OG0010320	GBNTS_003018-T1	
OG0010321	GBNTS_003035-T1	
OG0010322	GBNTS_003039-T1	
OG0010323	GBNTS_003040-T1	
OG0010324	GBNTS_003062-T1	
OG0010325	GBNTS_003064-T1	
OG0010326	GBNTS_003073-T1	
OG0010327	GBNTS_003079-T1	
OG0010328	GBNTS_003090-T1	
OG0010329	GBNTS_003092-T1	
OG0010330	GBNTS_003093-T1	
OG0010331	GBNTS_003095-T1	
OG0010332	GBNTS_003104-T1	
OG0010333	GBNTS_003105-T1	
OG0010334	GBNTS_003106-T1	
OG0010335	GBNTS_003109-T1	
OG0010336	GBNTS_003137-T1	
OG0010337	GBNTS_003157-T1	
OG0010338	GBNTS_003187-T1	
OG0010339	GBNTS_003190-T1	
OG0010340	GBNTS_003199-T1	
OG0010341	GBNTS_003211-T1	
OG0010342	GBNTS_003213-T1	
OG0010343	GBNTS_003235-T1	
OG0010344	GBNTS_003244-T1	
OG0010345	GBNTS_003245-T1	
OG0010346	GBNTS_003247-T1	
OG0010347	GBNTS_003248-T1	
OG0010348	GBNTS_003253-T1	
OG0010349	GBNTS_003263-T1	
OG0010350	GBNTS_003274-T1	
OG0010351	GBNTS_003275-T1	
OG0010352	GBNTS_003276-T1	
OG0010353	GBNTS_003283-T1	
OG0010354	GBNTS_003295-T1	
OG0010355	GBNTS_003298-T1	
OG0010356	GBNTS_003323-T1	
OG0010357	GBNTS_003349-T1	
OG0010358	GBNTS_003352-T1	
OG0010359	GBNTS_003359-T1	
OG0010360	GBNTS_003360-T1	
OG0010361	GBNTS_003361-T1	
OG0010362	GBNTS_003367-T1	
OG0010363	GBNTS_003369-T1	
OG0010364	GBNTS_003374-T1	
OG0010365	GBNTS_003375-T1	
OG0010366	GBNTS_003377-T1	
OG0010367	GBNTS_003379-T1	
OG0010368	GBNTS_003406-T1	
OG0010369	GBNTS_003407-T1	
OG0010370	GBNTS_003411-T1	
OG0010371	GBNTS_003413-T1	
OG0010372	GBNTS_003414-T1	
OG0010373	GBNTS_003422-T1	
OG0010374	GBNTS_003431-T1	
OG0010375	GBNTS_003434-T1	
OG0010376	GBNTS_003437-T1	
OG0010377	GBNTS_003438-T1	
OG0010378	GBNTS_003448-T1	
OG0010379	GBNTS_003452-T1	
OG0010380	GBNTS_003471-T1	
OG0010381	GBNTS_003497-T1	
OG0010382	GBNTS_003498-T1	
OG0010383	GBNTS_003499-T1	
OG0010384	GBNTS_003508-T1	
OG0010385	GBNTS_003524-T1	
OG0010386	GBNTS_003528-T1	
OG0010387	GBNTS_003532-T1	
OG0010388	GBNTS_003547-T1	
OG0010389	GBNTS_003559-T1	
OG0010390	GBNTS_003570-T1	
OG0010391	GBNTS_003573-T1	
OG0010392	GBNTS_003597-T1	
OG0010393	GBNTS_003600-T1	
OG0010394	GBNTS_003632-T1	
OG0010395	GBNTS_003633-T1	
OG0010396	GBNTS_003634-T1	
OG0010397	GBNTS_003649-T1	
OG0010398	GBNTS_003657-T1	
OG0010399	GBNTS_003662-T1	
OG0010400	GBNTS_003693-T1	
OG0010401	GBNTS_003706-T1	
OG0010402	GBNTS_003707-T1	
OG0010403	GBNTS_003708-T1	
OG0010404	GBNTS_003736-T1	
OG0010405	GBNTS_003738-T1	
OG0010406	GBNTS_003747-T1	
OG0010407	GBNTS_003749-T1	
OG0010408	GBNTS_003776-T1	
OG0010409	GBNTS_003777-T1	
OG0010410	GBNTS_003778-T1	
OG0010411	GBNTS_003782-T1	
OG0010412	GBNTS_003791-T1	
OG0010413	GBNTS_003806-T1	
OG0010414	GBNTS_003814-T1	
OG0010415	GBNTS_003817-T1	
OG0010416	GBNTS_003822-T1	
OG0010417	GBNTS_003826-T1	
OG0010418	GBNTS_003831-T1	
OG0010419	GBNTS_003857-T1	
OG0010420	GBNTS_003858-T1	
OG0010421	GBNTS_003860-T1	
OG0010422	GBNTS_003864-T1	
OG0010423	GBNTS_003867-T1	
OG0010424	GBNTS_003917-T1	
OG0010425	GBNTS_003937-T1	
OG0010426	GBNTS_003949-T1	
OG0010427	GBNTS_003984-T1	
OG0010428	GBNTS_003992-T1	
OG0010429	GBNTS_003999-T1	
OG0010430	GBNTS_004020-T1	
OG0010431	GBNTS_004021-T1	
OG0010432	GBNTS_004027-T1	
OG0010433	GBNTS_004040-T1	
OG0010434	GBNTS_004062-T1	
OG0010435	GBNTS_004081-T1	
OG0010436	GBNTS_004083-T1	
OG0010437	GBNTS_004108-T1	
OG0010438	GBNTS_004113-T1	
OG0010439	GBNTS_004137-T1	
OG0010440	GBNTS_004163-T1	
OG0010441	GBNTS_004168-T1	
OG0010442	GBNTS_004191-T1	
OG0010443	GBNTS_004198-T1	
OG0010444	GBNTS_004210-T1	
OG0010445	GBNTS_004222-T1	
OG0010446	GBNTS_004230-T1	
OG0010447	GBNTS_004231-T1	
OG0010448	GBNTS_004237-T1	
OG0010449	GBNTS_004261-T1	
OG0010450	GBNTS_004266-T1	
OG0010451	GBNTS_004281-T1	
OG0010452	GBNTS_004284-T1	
OG0010453	GBNTS_004302-T1	
OG0010454	GBNTS_004309-T1	
OG0010455	GBNTS_004319-T1	
OG0010456	GBNTS_004328-T1	
OG0010457	GBNTS_004331-T1	
OG0010458	GBNTS_004350-T1	
OG0010459	GBNTS_004352-T1	
OG0010460	GBNTS_004359-T1	
OG0010461	GBNTS_004365-T1	
OG0010462	GBNTS_004387-T1	
OG0010463	GBNTS_004394-T1	
OG0010464	GBNTS_004395-T1	
OG0010465	GBNTS_004397-T1	
OG0010466	GBNTS_004408-T1	
OG0010467	GBNTS_004433-T1	
OG0010468	GBNTS_004435-T1	
OG0010469	GBNTS_004436-T1	
OG0010470	GBNTS_004457-T1	
OG0010471	GBNTS_004466-T1	
OG0010472	GBNTS_004476-T1	
OG0010473	GBNTS_004495-T1	
OG0010474	GBNTS_004499-T1	
OG0010475	GBNTS_004564-T1	
OG0010476	GBNTS_004566-T1	
OG0010477	GBNTS_004567-T1	
OG0010478	GBNTS_004586-T1	
OG0010479	GBNTS_004607-T1	
OG0010480	GBNTS_004608-T1	
OG0010481	GBNTS_004631-T1	
OG0010482	GBNTS_004653-T1	
OG0010483	GBNTS_004674-T1	
OG0010484	GBNTS_004675-T1	
OG0010485	GBNTS_004692-T1	
OG0010486	GBNTS_004717-T1	
OG0010487	GBNTS_004721-T1	
OG0010488	GBNTS_004735-T1	
OG0010489	GBNTS_004736-T1	
OG0010490	GBNTS_004737-T1	
OG0010491	GBNTS_004745-T1	
OG0010492	GBNTS_004760-T1	
OG0010493	GBNTS_004809-T1	
OG0010494	GBNTS_004819-T1	
OG0010495	GBNTS_004832-T1	
OG0010496	GBNTS_004835-T1	
OG0010497	GBNTS_004853-T1	
OG0010498	GBNTS_004861-T1	
OG0010499	GBNTS_004868-T1	
OG0010500	GBNTS_004870-T1	
OG0010501	GBNTS_004871-T1	
OG0010502	GBNTS_004881-T1	
OG0010503	GBNTS_004887-T1	
OG0010504	GBNTS_004896-T1	
OG0010505	GBNTS_004915-T1	
OG0010506	GBNTS_004924-T1	
OG0010507	GBNTS_004933-T1	
OG0010508	GBNTS_004953-T1	
OG0010509	GBNTS_004955-T1	
OG0010510	GBNTS_004970-T1	
OG0010511	GBNTS_004971-T1	
OG0010512	GBNTS_004977-T1	
OG0010513	GBNTS_004982-T1	
OG0010514	GBNTS_004993-T1	
OG0010515	GBNTS_004994-T1	
OG0010516	GBNTS_005002-T1	
OG0010517	GBNTS_005012-T1	
OG0010518	GBNTS_005013-T1	
OG0010519	GBNTS_005041-T1	
OG0010520	GBNTS_005056-T1	
OG0010521	GBNTS_005087-T1	
OG0010522	GBNTS_005092-T1	
OG0010523	GBNTS_005094-T1	
OG0010524	GBNTS_005100-T1	
OG0010525	GBNTS_005111-T1	
OG0010526	GBNTS_005127-T1	
OG0010527	GBNTS_005153-T1	
OG0010528	GBNTS_005164-T1	
OG0010529	GBNTS_005180-T1	
OG0010530	GBNTS_005188-T1	
OG0010531	GBNTS_005204-T1	
OG0010532	GBNTS_005217-T1	
OG0010533	GBNTS_005219-T1	
OG0010534	GBNTS_005223-T1	
OG0010535	GBNTS_005238-T1	
OG0010536	GBNTS_005256-T1	
OG0010537	GBNTS_005258-T1	
OG0010538	GBNTS_005307-T1	
OG0010539	GBNTS_005309-T1	
OG0010540	GBNTS_005311-T1	
OG0010541	GBNTS_005333-T1	
OG0010542	GBNTS_005353-T1	
OG0010543	GBNTS_005373-T1	
OG0010544	GBNTS_005374-T1	
OG0010545	GBNTS_005377-T1	
OG0010546	GBNTS_005394-T1	
OG0010547	GBNTS_005405-T1	
OG0010548	GBNTS_005423-T1	
OG0010549	GBNTS_005424-T1	
OG0010550	GBNTS_005426-T1	
OG0010551	GBNTS_005427-T1	
OG0010552	GBNTS_005429-T1	
OG0010553	GBNTS_005434-T1	
OG0010554	GBNTS_005435-T1	
OG0010555	GBNTS_005438-T1	
OG0010556	GBNTS_005440-T1	
OG0010557	GBNTS_005441-T1	
OG0010558	GBNTS_005449-T1	
OG0010559	GBNTS_005457-T1	
OG0010560	GBNTS_005470-T1	
OG0010561	GBNTS_005471-T1	
OG0010562	GBNTS_005472-T1	
OG0010563	GBNTS_005491-T1	
OG0010564	GBNTS_005515-T1	
OG0010565	GBNTS_005543-T1	
OG0010566	GBNTS_005545-T1	
OG0010567	GBNTS_005570-T1	
OG0010568	GBNTS_005581-T1	
OG0010569	GBNTS_005584-T1	
OG0010570	GBNTS_005597-T1	
OG0010571	GBNTS_005598-T1	
OG0010572	GBNTS_005601-T1	
OG0010573	GBNTS_005603-T1	
OG0010574	GBNTS_005610-T1	
OG0010575	GBNTS_005642-T1	
OG0010576	GBNTS_005644-T1	
OG0010577	GBNTS_005663-T1	
OG0010578	GBNTS_005668-T1	
OG0010579	GBNTS_005689-T1	
OG0010580	GBNTS_005723-T1	
OG0010581	GBNTS_005739-T1	
OG0010582	GBNTS_005761-T1	
OG0010583	GBNTS_005775-T1	
OG0010584	GBNTS_005790-T1	
OG0010585	GBNTS_005792-T1	
OG0010586	GBNTS_005793-T1	
OG0010587	GBNTS_005815-T1	
OG0010588	GBNTS_005834-T1	
OG0010589	GBNTS_005836-T1	
OG0010590	GBNTS_005843-T1	
OG0010591	GBNTS_005863-T1	
OG0010592	GBNTS_005867-T1	
OG0010593	GBNTS_005888-T1	
OG0010594	GBNTS_005889-T1	
OG0010595	GBNTS_005898-T1	
OG0010596	GBNTS_005903-T1	
OG0010597	GBNTS_005904-T1	
OG0010598	GBNTS_005907-T1	
OG0010599	GBNTS_005912-T1	
OG0010600	GBNTS_005939-T1	
OG0010601	GBNTS_005959-T1	
OG0010602	GBNTS_005975-T1	
OG0010603	GBNTS_005976-T1	
OG0010604	GBNTS_005980-T1	
OG0010605	GBNTS_006013-T1	
OG0010606	GBNTS_006023-T1	
OG0010607	GBNTS_006024-T1	
OG0010608	GBNTS_006026-T1	
OG0010609	GBNTS_006045-T1	
OG0010610	GBNTS_006054-T1	
OG0010611	GBNTS_006058-T1	
OG0010612	GBNTS_006087-T1	
OG0010613	GBNTS_006105-T1	
OG0010614	GBNTS_006108-T1	
OG0010615	GBNTS_006116-T1	
OG0010616	GBNTS_006118-T1	
OG0010617	GBNTS_006123-T1	
OG0010618	GBNTS_006134-T1	
OG0010619	GBNTS_006146-T1	
OG0010620	GBNTS_006147-T1	
OG0010621	GBNTS_006165-T1	
OG0010622	GBNTS_006175-T1	
OG0010623	GBNTS_006217-T1	
OG0010624	GBNTS_006219-T1	
OG0010625	GBNTS_006220-T1	
OG0010626	GBNTS_006221-T1	
OG0010627	GBNTS_006222-T1	
OG0010628	GBNTS_006224-T1	
OG0010629	GBNTS_006230-T1	
OG0010630	GBNTS_006233-T1	
OG0010631	GBNTS_006234-T1	
OG0010632	GBNTS_006252-T1	
OG0010633	GBNTS_006257-T1	
OG0010634	GBNTS_006263-T1	
OG0010635	GBNTS_006270-T1	
OG0010636	GBNTS_006292-T1	
OG0010637	GBNTS_006293-T1	
OG0010638	GBNTS_006297-T1	
OG0010639	GBNTS_006299-T1	
OG0010640	GBNTS_006302-T1	
OG0010641	GBNTS_006327-T1	
OG0010642	GBNTS_006334-T1	
OG0010643	GBNTS_006338-T1	
OG0010644	GBNTS_006343-T1	
OG0010645	GBNTS_006350-T1	
OG0010646	GBNTS_006351-T1	
OG0010647	GBNTS_006352-T1	
OG0010648	GBNTS_006355-T1	
OG0010649	GBNTS_006367-T1	
OG0010650	GBNTS_006431-T1	
OG0010651	GBNTS_006466-T1	
OG0010652	GBNTS_006467-T1	
OG0010653	GBNTS_006490-T1	
OG0010654	GBNTS_006491-T1	
OG0010655	GBNTS_006514-T1	
OG0010656	GBNTS_006542-T1	
OG0010657	GBNTS_006547-T1	
OG0010658	GBNTS_006558-T1	
OG0010659	GBNTS_006564-T1	
OG0010660	GBNTS_006574-T1	
OG0010661	GBNTS_006575-T1	
OG0010662	GBNTS_006586-T1	
OG0010663	GBNTS_006587-T1	
OG0010664	GBNTS_006599-T1	
OG0010665	GBNTS_006613-T1	
OG0010666	GBNTS_006615-T1	
OG0010667	GBNTS_006618-T1	
OG0010668	GBNTS_006630-T1	
OG0010669	GBNTS_006633-T1	
OG0010670	GBNTS_006640-T1	
OG0010671	GBNTS_006643-T1	
OG0010672	GBNTS_006658-T1	
OG0010673	GBNTS_006704-T1	
OG0010674	GBNTS_006725-T1	
OG0010675	GBNTS_006726-T1	
OG0010676	GBNTS_006735-T1	
OG0010677	GBNTS_006745-T1	
OG0010678	GBNTS_006753-T1	
OG0010679	GBNTS_006755-T1	
OG0010680	GBNTS_006770-T1	
OG0010681	GBNTS_006771-T1	
OG0010682	GBNTS_006785-T1	
OG0010683	GBNTS_006790-T1	
OG0010684	GBNTS_006791-T1	
OG0010685	GBNTS_006792-T1	
OG0010686	GBNTS_006793-T1	
OG0010687	GBNTS_006795-T1	
OG0010688	GBNTS_006809-T1	
OG0010689	GBNTS_006813-T1	
OG0010690	GBNTS_006814-T1	
OG0010691	GBNTS_006824-T1	
OG0010692	GBNTS_006843-T1	
OG0010693	GBNTS_006845-T1	
OG0010694	GBNTS_006847-T1	
OG0010695	GBNTS_006856-T1	
OG0010696	GBNTS_006879-T1	
OG0010697	GBNTS_006880-T1	
OG0010698	GBNTS_006885-T1	
OG0010699	GBNTS_006903-T1	
OG0010700	GBNTS_006907-T1	
OG0010701	GBNTS_006931-T1	
OG0010702	GBNTS_006936-T1	
OG0010703	GBNTS_006937-T1	
OG0010704	GBNTS_006941-T1	
OG0010705	GBNTS_006949-T1	
OG0010706	GBNTS_006950-T1	
OG0010707	GBNTS_006963-T1	
OG0010708	GBNTS_006978-T1	
OG0010709	GBNTS_006980-T1	
OG0010710	GBNTS_006987-T1	
OG0010711	GBNTS_007001-T1	
OG0010712	GBNTS_007005-T1	
OG0010713	GBNTS_007062-T1	
OG0010714	GBNTS_007075-T1	
OG0010715	GBNTS_007086-T1	
OG0010716	GBNTS_007087-T1	
OG0010717	GBNTS_007113-T1	
OG0010718	GBNTS_007114-T1	
OG0010719	GBNTS_007129-T1	
OG0010720	GBNTS_007130-T1	
OG0010721	GBNTS_007143-T1	
OG0010722	GBNTS_007157-T1	
OG0010723	GBNTS_007168-T1	
OG0010724	GBNTS_007186-T1	
OG0010725	GBNTS_007188-T1	
OG0010726	GBNTS_007207-T1	
OG0010727	GBNTS_007215-T1	
OG0010728	GBNTS_007232-T1	
OG0010729	GBNTS_007238-T1	
OG0010730	GBNTS_007259-T1	
OG0010731	GBNTS_007262-T1	
OG0010732	GBNTS_007263-T1	
OG0010733	GBNTS_007264-T1	
OG0010734	GBNTS_007267-T1	
OG0010735	GBNTS_007274-T1	
OG0010736	GBNTS_007276-T1	
OG0010737	GBNTS_007278-T1	
OG0010738	GBNTS_007288-T1	
OG0010739	GBNTS_007290-T1	
OG0010740	GBNTS_007292-T1	
OG0010741	GBNTS_007296-T1	
OG0010742	GBNTS_007299-T1	
OG0010743	GBNTS_007300-T1	
OG0010744	GBNTS_007319-T1	
