	Cunninghamella_echinulata_RSA_2017_Plus.aa	Cunninghamella_echinulata_RSA_2018-.aa
OG0007822	GBNWU_002900-T1	
OG0007823	GBNWU_002903-T1	
OG0007824	GBNWU_002905-T1	
OG0007825	GBNWU_002906-T1	
OG0007826	GBNWU_002922-T1	
OG0007827	GBNWU_002943-T1	
OG0007828	GBNWU_002952-T1	
OG0007829	GBNWU_002954-T1	
OG0007830	GBNWU_002961-T1	
OG0007831	GBNWU_003006-T1	
OG0007832	GBNWU_003023-T1	
OG0007833	GBNWU_003025-T1	
OG0007834	GBNWU_003028-T1	
OG0007835	GBNWU_003039-T1	
OG0007836	GBNWU_003062-T1	
OG0007837	GBNWU_003065-T1	
OG0007838	GBNWU_003075-T1	
OG0007839	GBNWU_003108-T1	
OG0007840	GBNWU_003133-T1	
OG0007841	GBNWU_003135-T1	
OG0007842	GBNWU_003146-T1	
OG0007843	GBNWU_003151-T1	
OG0007844	GBNWU_003160-T1	
OG0007845	GBNWU_003171-T1	
OG0007846	GBNWU_003178-T1	
OG0007847	GBNWU_003183-T1	
OG0007848	GBNWU_003246-T1	
OG0007849	GBNWU_003251-T1	
OG0007850	GBNWU_003299-T1	
OG0007851	GBNWU_003308-T1	
OG0007852	GBNWU_003323-T1	
OG0007853	GBNWU_003331-T1	
OG0007854	GBNWU_003362-T1	
OG0007855	GBNWU_003367-T1	
OG0007856	GBNWU_003398-T1	
OG0007857	GBNWU_003401-T1	
OG0007858	GBNWU_003403-T1	
OG0007859	GBNWU_003425-T1	
OG0007860	GBNWU_003449-T1	
OG0007861	GBNWU_003467-T1	
OG0007862	GBNWU_003490-T1	
OG0007863	GBNWU_003501-T1	
OG0007864	GBNWU_003508-T1	
OG0007865	GBNWU_003519-T1	
OG0007866	GBNWU_003524-T1	
OG0007867	GBNWU_003542-T1	
OG0007868	GBNWU_003577-T1	
OG0007869	GBNWU_003617-T1	
OG0007870	GBNWU_003618-T1	
OG0007871	GBNWU_003638-T1	
OG0007872	GBNWU_003651-T1	
OG0007873	GBNWU_003653-T1	
OG0007874	GBNWU_003659-T1	
OG0007875	GBNWU_003662-T1	
OG0007876	GBNWU_003672-T1	
OG0007877	GBNWU_003673-T1	
OG0007878	GBNWU_003676-T1	
OG0007879	GBNWU_003721-T1	
OG0007880	GBNWU_003724-T1	
OG0007881	GBNWU_003725-T1	
OG0007882	GBNWU_003735-T1	
OG0007883	GBNWU_003740-T1	
OG0007884	GBNWU_003756-T1	
OG0007885	GBNWU_003771-T1	
OG0007886	GBNWU_003782-T1	
OG0007887	GBNWU_003787-T1	
OG0007888	GBNWU_003789-T1	
OG0007889	GBNWU_003813-T1	
OG0007890	GBNWU_003823-T1	
OG0007891	GBNWU_003833-T1	
OG0007892	GBNWU_003835-T1	
OG0007893	GBNWU_003838-T1	
OG0007894	GBNWU_003842-T1	
OG0007895	GBNWU_003866-T1	
OG0007896	GBNWU_003903-T1	
OG0007897	GBNWU_003911-T1	
OG0007898	GBNWU_003928-T1	
OG0007899	GBNWU_003933-T1	
OG0007900	GBNWU_003935-T1	
OG0007901	GBNWU_003942-T1	
OG0007902	GBNWU_003946-T1	
OG0007903	GBNWU_003947-T1	
OG0007904	GBNWU_003956-T1	
OG0007905	GBNWU_003969-T1	
OG0007906	GBNWU_003970-T1	
OG0007907	GBNWU_003978-T1	
OG0007908	GBNWU_003980-T1	
OG0007909	GBNWU_003984-T1	
OG0007910	GBNWU_003991-T1	
OG0007911	GBNWU_003998-T1	
OG0007912	GBNWU_004026-T1	
OG0007913	GBNWU_004035-T1	
OG0007914	GBNWU_004059-T1	
OG0007915	GBNWU_004060-T1	
OG0007916	GBNWU_004062-T1	
OG0007917	GBNWU_004071-T1	
OG0007918	GBNWU_004084-T1	
OG0007919	GBNWU_004099-T1	
OG0007920	GBNWU_004104-T1	
OG0007921	GBNWU_004111-T1	
OG0007922	GBNWU_004113-T1	
OG0007923	GBNWU_004122-T1	
OG0007924	GBNWU_004124-T1	
OG0007925	GBNWU_004129-T1	
OG0007926	GBNWU_004146-T1	
OG0007927	GBNWU_004149-T1	
OG0007928	GBNWU_004155-T1	
OG0007929	GBNWU_004179-T1	
OG0007930	GBNWU_004182-T1	
OG0007931	GBNWU_004192-T1	
OG0007932	GBNWU_004196-T1	
OG0007933	GBNWU_004210-T1	
OG0007934	GBNWU_004213-T1	
OG0007935	GBNWU_004247-T1	
OG0007936	GBNWU_004261-T1	
OG0007937	GBNWU_004262-T1	
OG0007938	GBNWU_004272-T1	
OG0007939	GBNWU_004273-T1	
OG0007940	GBNWU_004275-T1	
OG0007941	GBNWU_004278-T1	
OG0007942	GBNWU_004312-T1	
OG0007943	GBNWU_004342-T1	
OG0007944	GBNWU_004359-T1	
OG0007945	GBNWU_004360-T1	
OG0007946	GBNWU_004361-T1	
OG0007947	GBNWU_004364-T1	
OG0007948	GBNWU_004368-T1	
OG0007949	GBNWU_004369-T1	
OG0007950	GBNWU_004372-T1	
OG0007951	GBNWU_004386-T1	
OG0007952	GBNWU_004388-T1	
OG0007953	GBNWU_004397-T1	
OG0007954	GBNWU_004398-T1	
OG0007955	GBNWU_004413-T1	
OG0007956	GBNWU_004432-T1	
OG0007957	GBNWU_004453-T1	
OG0007958	GBNWU_004460-T1	
OG0007959	GBNWU_004467-T1	
OG0007960	GBNWU_004476-T1	
OG0007961	GBNWU_004497-T1	
OG0007962	GBNWU_004498-T1	
OG0007963	GBNWU_004504-T1	
OG0007964	GBNWU_004508-T1	
OG0007965	GBNWU_004517-T1	
OG0007966	GBNWU_004521-T1	
OG0007967	GBNWU_004530-T1	
OG0007968	GBNWU_004535-T1	
OG0007969	GBNWU_004541-T1	
OG0007970	GBNWU_004553-T1	
OG0007971	GBNWU_004559-T1	
OG0007972	GBNWU_004569-T1	
OG0007973	GBNWU_004584-T1	
OG0007974	GBNWU_004606-T1	
OG0007975	GBNWU_004607-T1	
OG0007976	GBNWU_004616-T1	
OG0007977	GBNWU_004618-T1	
OG0007978	GBNWU_004620-T1	
OG0007979	GBNWU_004642-T1	
OG0007980	GBNWU_004654-T1	
OG0007981	GBNWU_004672-T1	
OG0007982	GBNWU_004689-T1	
OG0007983	GBNWU_004694-T1	
OG0007984	GBNWU_004697-T1	
OG0007985	GBNWU_004699-T1	
OG0007986	GBNWU_004742-T1	
OG0007987	GBNWU_004746-T1	
OG0007988	GBNWU_004749-T1	
OG0007989	GBNWU_004759-T1	
OG0007990	GBNWU_004767-T1	
OG0007991	GBNWU_004769-T1	
OG0007992	GBNWU_004774-T1	
OG0007993	GBNWU_004775-T1	
OG0007994	GBNWU_004799-T1	
OG0007995	GBNWU_004800-T1	
OG0007996	GBNWU_004803-T1	
OG0007997	GBNWU_004811-T1	
OG0007998	GBNWU_004818-T1	
OG0007999	GBNWU_004822-T1	
OG0008000	GBNWU_004829-T1	
OG0008001	GBNWU_004834-T1	
OG0008002	GBNWU_004835-T1	
OG0008003	GBNWU_004854-T1	
OG0008004	GBNWU_004864-T1	
OG0008005	GBNWU_004868-T1	
OG0008006	GBNWU_004871-T1	
OG0008007	GBNWU_004891-T1	
OG0008008	GBNWU_004892-T1	
OG0008009	GBNWU_004916-T1	
OG0008010	GBNWU_004943-T1	
OG0008011	GBNWU_004949-T1	
OG0008012	GBNWU_004993-T1	
OG0008013	GBNWU_005000-T1	
OG0008014	GBNWU_005001-T1	
OG0008015	GBNWU_005005-T1	
OG0008016	GBNWU_005012-T1	
OG0008017	GBNWU_005024-T1	
OG0008018	GBNWU_005043-T1	
OG0008019	GBNWU_005053-T1	
OG0008020	GBNWU_005054-T1	
OG0008021	GBNWU_005062-T1	
OG0008022	GBNWU_005079-T1	
OG0008023	GBNWU_005086-T1	
OG0008024	GBNWU_005130-T1	
OG0008025	GBNWU_005155-T1	
OG0008026	GBNWU_005172-T1	
OG0008027	GBNWU_005183-T1	
OG0008028	GBNWU_005188-T1	
OG0008029	GBNWU_005190-T1	
OG0008030	GBNWU_005192-T1	
OG0008031	GBNWU_005203-T1	
OG0008032	GBNWU_005220-T1	
OG0008033	GBNWU_005239-T1	
OG0008034	GBNWU_005250-T1	
OG0008035	GBNWU_005272-T1	
OG0008036	GBNWU_005284-T1	
OG0008037	GBNWU_005295-T1	
OG0008038	GBNWU_005305-T1	
OG0008039	GBNWU_005345-T1	
OG0008040	GBNWU_005349-T1	
OG0008041	GBNWU_005351-T1	
OG0008042	GBNWU_005368-T1	
OG0008043	GBNWU_005369-T1	
OG0008044	GBNWU_005384-T1	
OG0008045	GBNWU_005388-T1	
OG0008046	GBNWU_005389-T1	
OG0008047	GBNWU_005402-T1	
OG0008048	GBNWU_005415-T1	
OG0008049	GBNWU_005423-T1	
OG0008050	GBNWU_005426-T1	
OG0008051	GBNWU_005437-T1	
OG0008052	GBNWU_005446-T1	
OG0008053	GBNWU_005468-T1	
OG0008054	GBNWU_005495-T1	
OG0008055	GBNWU_005500-T1	
OG0008056	GBNWU_005513-T1	
OG0008057	GBNWU_005526-T1	
OG0008058	GBNWU_005530-T1	
OG0008059	GBNWU_005554-T1	
OG0008060	GBNWU_005559-T1	
OG0008061	GBNWU_005570-T1	
OG0008062	GBNWU_005572-T1	
OG0008063	GBNWU_005579-T1	
OG0008064	GBNWU_005581-T1	
OG0008065	GBNWU_005601-T1	
OG0008066	GBNWU_005621-T1	
OG0008067	GBNWU_005625-T1	
OG0008068	GBNWU_005649-T1	
OG0008069	GBNWU_005656-T1	
OG0008070	GBNWU_005715-T1	
OG0008071	GBNWU_005718-T1	
OG0008072	GBNWU_005725-T1	
OG0008073	GBNWU_005727-T1	
OG0008074	GBNWU_005768-T1	
OG0008075	GBNWU_005779-T1	
OG0008076	GBNWU_005785-T1	
OG0008077	GBNWU_005797-T1	
OG0008078	GBNWU_005798-T1	
OG0008079	GBNWU_005801-T1	
OG0008080	GBNWU_005805-T1	
OG0008081	GBNWU_005814-T1	
OG0008082	GBNWU_005844-T1	
OG0008083	GBNWU_005853-T1	
OG0008084	GBNWU_005854-T1	
OG0008085	GBNWU_005880-T1	
OG0008086	GBNWU_005890-T1	
OG0008087	GBNWU_005902-T1	
OG0008088	GBNWU_005915-T1	
OG0008089	GBNWU_005934-T1	
OG0008090	GBNWU_005938-T1	
OG0008091	GBNWU_005952-T1	
OG0008092	GBNWU_005953-T1	
OG0008093	GBNWU_005955-T1	
OG0008094	GBNWU_005965-T1	
OG0008095	GBNWU_005979-T1	
OG0008096	GBNWU_005990-T1	
OG0008097	GBNWU_006003-T1	
OG0008098	GBNWU_006019-T1	
OG0008099	GBNWU_006053-T1	
OG0008100	GBNWU_006055-T1	
OG0008101	GBNWU_006074-T1	
OG0008102	GBNWU_006082-T1	
OG0008103	GBNWU_006084-T1	
OG0008104	GBNWU_006088-T1	
OG0008105	GBNWU_006099-T1	
OG0008106	GBNWU_006100-T1	
OG0008107	GBNWU_006107-T1	
OG0008108	GBNWU_006112-T1	
OG0008109	GBNWU_006127-T1	
OG0008110	GBNWU_006132-T1	
OG0008111	GBNWU_006133-T1	
OG0008112	GBNWU_006135-T1	
OG0008113	GBNWU_006145-T1	
OG0008114	GBNWU_006151-T1	
OG0008115	GBNWU_006155-T1	
OG0008116	GBNWU_006161-T1	
OG0008117	GBNWU_006167-T1	
OG0008118	GBNWU_006208-T1	
OG0008119	GBNWU_006241-T1	
OG0008120	GBNWU_006252-T1	
OG0008121	GBNWU_006262-T1	
OG0008122	GBNWU_006265-T1	
OG0008123	GBNWU_006271-T1	
OG0008124	GBNWU_006275-T1	
OG0008125	GBNWU_006305-T1	
OG0008126	GBNWU_006328-T1	
OG0008127	GBNWU_006336-T1	
OG0008128	GBNWU_006347-T1	
OG0008129	GBNWU_006360-T1	
OG0008130	GBNWU_006364-T1	
OG0008131	GBNWU_006377-T1	
OG0008132	GBNWU_006382-T1	
OG0008133	GBNWU_006394-T1	
OG0008134	GBNWU_006410-T1	
OG0008135	GBNWU_006411-T1	
OG0008136	GBNWU_006430-T1	
OG0008137	GBNWU_006453-T1	
OG0008138	GBNWU_006459-T1	
OG0008139	GBNWU_006475-T1	
OG0008140	GBNWU_006491-T1	
OG0008141	GBNWU_006496-T1	
OG0008142	GBNWU_006498-T1	
OG0008143	GBNWU_006501-T1	
OG0008144	GBNWU_006502-T1	
OG0008145	GBNWU_006506-T1	
OG0008146	GBNWU_006510-T1	
OG0008147	GBNWU_006522-T1	
OG0008148	GBNWU_006544-T1	
OG0008149	GBNWU_006560-T1	
OG0008150	GBNWU_006564-T1	
OG0008151	GBNWU_006566-T1	
OG0008152	GBNWU_006573-T1	
OG0008153	GBNWU_006580-T1	
OG0008154	GBNWU_006593-T1	
OG0008155	GBNWU_006595-T1	
OG0008156	GBNWU_006599-T1	
OG0008157	GBNWU_006608-T1	
OG0008158	GBNWU_006625-T1	
OG0008159	GBNWU_006628-T1	
OG0008160	GBNWU_006642-T1	
OG0008161	GBNWU_006653-T1	
OG0008162	GBNWU_006660-T1	
OG0008163	GBNWU_006662-T1	
OG0008164	GBNWU_006669-T1	
OG0008165	GBNWU_006671-T1	
OG0008166	GBNWU_006680-T1	
OG0008167	GBNWU_006691-T1	
OG0008168	GBNWU_006698-T1	
OG0008169	GBNWU_006716-T1	
OG0008170	GBNWU_006721-T1	
OG0008171	GBNWU_006726-T1	
OG0008172	GBNWU_006730-T1	
OG0008173	GBNWU_006737-T1	
OG0008174	GBNWU_006772-T1	
OG0008175	GBNWU_006808-T1	
OG0008176	GBNWU_006821-T1	
OG0008177	GBNWU_006822-T1	
OG0008178	GBNWU_006841-T1	
OG0008179	GBNWU_006846-T1	
OG0008180	GBNWU_006877-T1	
OG0008181	GBNWU_006927-T1	
OG0008182	GBNWU_006942-T1	
OG0008183	GBNWU_006943-T1	
OG0008184	GBNWU_006946-T1	
OG0008185	GBNWU_006967-T1	
OG0008186	GBNWU_006969-T1	
OG0008187	GBNWU_006977-T1	
OG0008188	GBNWU_006992-T1	
OG0008189	GBNWU_007020-T1	
OG0008190	GBNWU_007022-T1	
OG0008191	GBNWU_007060-T1	
OG0008192	GBNWU_007071-T1	
OG0008193	GBNWU_007081-T1	
OG0008194	GBNWU_007097-T1	
OG0008195	GBNWU_007102-T1	
OG0008196	GBNWU_007105-T1	
OG0008197	GBNWU_007108-T1	
OG0008198	GBNWU_007113-T1	
OG0008199	GBNWU_007152-T1	
OG0008200	GBNWU_007154-T1	
OG0008201	GBNWU_007157-T1	
OG0008202	GBNWU_007160-T1	
OG0008203	GBNWU_007161-T1	
OG0008204	GBNWU_007183-T1	
OG0008205	GBNWU_007205-T1	
OG0008206	GBNWU_007210-T1	
OG0008207	GBNWU_007238-T1	
OG0008208	GBNWU_007246-T1	
OG0008209	GBNWU_007279-T1	
OG0008210	GBNWU_007291-T1	
OG0008211	GBNWU_007294-T1	
OG0008212	GBNWU_007304-T1	
OG0008213	GBNWU_007306-T1	
OG0008214	GBNWU_007317-T1	
OG0008215	GBNWU_007321-T1	
OG0008216	GBNWU_007326-T1	
OG0008217	GBNWU_007327-T1	
OG0008218	GBNWU_007328-T1	
OG0008219	GBNWU_007344-T1	
OG0008220	GBNWU_007345-T1	
OG0008221	GBNWU_007371-T1	
OG0008222	GBNWU_007372-T1	
OG0008223	GBNWU_007395-T1	
OG0008224	GBNWU_007400-T1	
OG0008225	GBNWU_007410-T1	
OG0008226	GBNWU_007411-T1	
OG0008227	GBNWU_007412-T1	
OG0008228	GBNWU_007414-T1	
OG0008229	GBNWU_007415-T1	
OG0008230	GBNWU_007470-T1	
OG0008231	GBNWU_007475-T1	
OG0008232	GBNWU_007486-T1	
OG0008233	GBNWU_007490-T1	
OG0008234	GBNWU_007500-T1	
OG0008235	GBNWU_007524-T1	
OG0008236	GBNWU_007528-T1	
OG0008237	GBNWU_007535-T1	
OG0008238	GBNWU_007551-T1	
OG0008239	GBNWU_007558-T1	
OG0008240	GBNWU_007563-T1	
OG0008241	GBNWU_007575-T1	
OG0008242	GBNWU_007576-T1	
OG0008243	GBNWU_007595-T1	
OG0008244	GBNWU_007597-T1	
OG0008245	GBNWU_007616-T1	
OG0008246	GBNWU_007620-T1	
OG0008247	GBNWU_007623-T1	
OG0008248	GBNWU_007672-T1	
OG0008249	GBNWU_007685-T1	
OG0008250	GBNWU_007725-T1	
OG0008251	GBNWU_007730-T1	
OG0008252	GBNWU_007744-T1	
OG0008253	GBNWU_007752-T1	
OG0008254	GBNWU_007754-T1	
OG0008255	GBNWU_007757-T1	
OG0008256	GBNWU_007760-T1	
OG0008257	GBNWU_007784-T1	
OG0008258	GBNWU_007785-T1	
OG0008259	GBNWU_007805-T1	
OG0008260	GBNWU_007809-T1	
OG0008261	GBNWU_007818-T1	
OG0008262	GBNWU_007854-T1	
OG0008263	GBNWU_007855-T1	
OG0008264	GBNWU_007859-T1	
OG0008265	GBNWU_007868-T1	
OG0008266	GBNWU_007882-T1	
OG0008267	GBNWU_007905-T1	
OG0008268	GBNWU_007929-T1	
OG0008269	GBNWU_007935-T1	
OG0008270	GBNWU_007944-T1	
OG0008271	GBNWU_007964-T1	
OG0008272	GBNWU_007982-T1	
OG0008273	GBNWU_007983-T1	
OG0008274	GBNWU_007993-T1	
OG0008275	GBNWU_008016-T1	
OG0008276	GBNWU_008017-T1	
OG0008277	GBNWU_008018-T1	
OG0008278	GBNWU_008028-T1	
OG0008279	GBNWU_008049-T1	
OG0008280	GBNWU_008050-T1	
OG0008281	GBNWU_008054-T1	
OG0008282	GBNWU_008061-T1	
OG0008283	GBNWU_008064-T1	
OG0008284	GBNWU_008065-T1	
OG0008285	GBNWU_008070-T1	
OG0008286	GBNWU_008111-T1	
OG0008287	GBNWU_008115-T1	
OG0008288	GBNWU_008122-T1	
OG0008289	GBNWU_008128-T1	
OG0008290	GBNWU_008158-T1	
OG0008291	GBNWU_008171-T1	
OG0008292	GBNWU_008174-T1	
OG0008293	GBNWU_008191-T1	
OG0008294	GBNWU_008192-T1	
OG0008295	GBNWU_008199-T1	
OG0008296	GBNWU_008202-T1	
OG0008297	GBNWU_008232-T1	
OG0008298	GBNWU_008234-T1	
OG0008299	GBNWU_008235-T1	
OG0008300	GBNWU_008238-T1	
OG0008301	GBNWU_008246-T1	
OG0008302	GBNWU_008247-T1	
OG0008303	GBNWU_008280-T1	
OG0008304	GBNWU_008286-T1	
OG0008305	GBNWU_008290-T1	
OG0008306	GBNWU_008291-T1	
OG0008307	GBNWU_008292-T1	
OG0008308	GBNWU_008295-T1	
OG0008309	GBNWU_008300-T1	
OG0008310	GBNWU_008328-T1	
OG0008311	GBNWU_008343-T1	
OG0008312	GBNWU_008344-T1	
OG0008313	GBNWU_008355-T1	
OG0008314	GBNWU_008372-T1	
OG0008315	GBNWU_008384-T1	
OG0008316	GBNWU_008387-T1	
OG0008317	GBNWU_008388-T1	
OG0008318	GBNWU_008389-T1	
OG0008319	GBNWU_008390-T1	
OG0008320	GBNWU_008391-T1	
OG0008321	GBNWU_008397-T1	
OG0008322	GBNWU_008404-T1	
OG0008323	GBNWU_008436-T1	
OG0008324	GBNWU_008448-T1	
OG0008325	GBNWU_008469-T1	
OG0008326	GBNWU_008475-T1	
OG0008327	GBNWU_008482-T1	
OG0008328	GBNWU_008484-T1	
OG0008329	GBNWU_008485-T1	
OG0008330	GBNWU_008487-T1	
OG0008331	GBNWU_008498-T1	
OG0008332	GBNWU_008502-T1	
OG0008333	GBNWU_008520-T1	
OG0008334	GBNWU_008521-T1	
OG0008335	GBNWU_008523-T1	
OG0008336	GBNWU_008524-T1	
OG0008337	GBNWU_008538-T1	
OG0008338	GBNWU_008575-T1	
OG0008339	GBNWU_008579-T1	
OG0008340	GBNWU_008581-T1	
OG0008341	GBNWU_008583-T1	
OG0008342	GBNWU_008603-T1	
OG0008343	GBNWU_008628-T1	
