	Cunninghamella_echinulata_RSA_2017_Plus.aa	Cunninghamella_echinulata_RSA_2018-.aa
OG0000028	GBNWU_002972-T1, GBNWU_005870-T1, GBNWU_006464-T1, GBNWU_009462-T1, GBNWU_009463-T1, GBNWU_009465-T1	GBNWW_002523-T1, GBNWW_004317-T1, GBNWW_006320-T1, GBNWW_009547-T1
OG0000029	GBNWU_003962-T1, GBNWU_004148-T1, GBNWU_004880-T1, GBNWU_005937-T1, GBNWU_008856-T1	GBNWW_001705-T1, GBNWW_002899-T1, GBNWW_002900-T1, GBNWW_005853-T1, GBNWW_006760-T1
OG0000030	GBNWU_000202-T1, GBNWU_000203-T1, GBNWU_002509-T1, GBNWU_007367-T1, GBNWU_007881-T1	GBNWW_001928-T1, GBNWW_002969-T1, GBNWW_004080-T1, GBNWW_004471-T1
OG0000031	GBNWU_000755-T1, GBNWU_002317-T1, GBNWU_006013-T1, GBNWU_009324-T1	GBNWW_004003-T1, GBNWW_005773-T1, GBNWW_005896-T1, GBNWW_007265-T1, GBNWW_008566-T1
OG0000032	GBNWU_000898-T1, GBNWU_004074-T1, GBNWU_004075-T1, GBNWU_004077-T1, GBNWU_009060-T1	GBNWW_004250-T1, GBNWW_004252-T1, GBNWW_005828-T1, GBNWW_006418-T1
OG0000033	GBNWU_001306-T1, GBNWU_002181-T1, GBNWU_003109-T1, GBNWU_005924-T1	GBNWW_000138-T1, GBNWW_002025-T1, GBNWW_007863-T1, GBNWW_009280-T1, GBNWW_009281-T1
OG0000034	GBNWU_001341-T1, GBNWU_003436-T1, GBNWU_004345-T1, GBNWU_005682-T1	GBNWW_000148-T1, GBNWW_006266-T1, GBNWW_006307-T1, GBNWW_008534-T1, GBNWW_009272-T1
OG0000035	GBNWU_002478-T1, GBNWU_002480-T1, GBNWU_002481-T1, GBNWU_003985-T1	GBNWW_001182-T1, GBNWW_001183-T1, GBNWW_001185-T1, GBNWW_003947-T1, GBNWW_008336-T1
OG0000036	GBNWU_003154-T1, GBNWU_004204-T1, GBNWU_004205-T1, GBNWU_006266-T1, GBNWU_008491-T1	GBNWW_001413-T1, GBNWW_003809-T1, GBNWW_006643-T1, GBNWW_007138-T1
OG0000037	GBNWU_003217-T1, GBNWU_003853-T1, GBNWU_004839-T1, GBNWU_008697-T1	GBNWW_003029-T1, GBNWW_003586-T1, GBNWW_008356-T1, GBNWW_008764-T1, GBNWW_008765-T1
OG0000038	GBNWU_004582-T1, GBNWU_008014-T1, GBNWU_008709-T1, GBNWU_008854-T1	GBNWW_001289-T1, GBNWW_005147-T1, GBNWW_005250-T1, GBNWW_008976-T1, GBNWW_009447-T1
OG0000039	GBNWU_005046-T1, GBNWU_009475-T1, GBNWU_009476-T1, GBNWU_009490-T1	GBNWW_003635-T1, GBNWW_003636-T1, GBNWW_004046-T1, GBNWW_004277-T1, GBNWW_006859-T1
OG0000040	GBNWU_005753-T1, GBNWU_006982-T1, GBNWU_006983-T1	GBNWW_001987-T1, GBNWW_002496-T1, GBNWW_008005-T1, GBNWW_008008-T1, GBNWW_008400-T1, GBNWW_008670-T1
OG0000041		GBNWW_001256-T1, GBNWW_003863-T1, GBNWW_006084-T1, GBNWW_006134-T1, GBNWW_006135-T1, GBNWW_006136-T1, GBNWW_007592-T1, GBNWW_008024-T1, GBNWW_008885-T1
OG0000042	GBNWU_000036-T1, GBNWU_001855-T1, GBNWU_003388-T1, GBNWU_009480-T1	GBNWW_003132-T1, GBNWW_006855-T1, GBNWW_007274-T1, GBNWW_009249-T1
OG0000043	GBNWU_000130-T1, GBNWU_005604-T1, GBNWU_007381-T1, GBNWU_008066-T1, GBNWU_008069-T1	GBNWW_003797-T1, GBNWW_007814-T1, GBNWW_009495-T1
OG0000044	GBNWU_000305-T1, GBNWU_001705-T1, GBNWU_009029-T1, GBNWU_009031-T1	GBNWW_001394-T1, GBNWW_002489-T1, GBNWW_002860-T1, GBNWW_004508-T1
OG0000045	GBNWU_000461-T1, GBNWU_002616-T1, GBNWU_004785-T1, GBNWU_008449-T1	GBNWW_000505-T1, GBNWW_001257-T1, GBNWW_002825-T1, GBNWW_005553-T1
OG0000046	GBNWU_000494-T1, GBNWU_003759-T1, GBNWU_003939-T1, GBNWU_005214-T1	GBNWW_000711-T1, GBNWW_001497-T1, GBNWW_005793-T1, GBNWW_009400-T1
OG0000047	GBNWU_000518-T1, GBNWU_001465-T1, GBNWU_001466-T1, GBNWU_009459-T1	GBNWW_003886-T1, GBNWW_003889-T1, GBNWW_005784-T1, GBNWW_008860-T1
OG0000048	GBNWU_000538-T1, GBNWU_000822-T1, GBNWU_002422-T1, GBNWU_003561-T1	GBNWW_000941-T1, GBNWW_002680-T1, GBNWW_003414-T1, GBNWW_006951-T1
OG0000049	GBNWU_000552-T1, GBNWU_005701-T1, GBNWU_005754-T1, GBNWU_005881-T1, GBNWU_005882-T1	GBNWW_006970-T1, GBNWW_008399-T1, GBNWW_008958-T1
OG0000050	GBNWU_000663-T1, GBNWU_006460-T1, GBNWU_007803-T1, GBNWU_007804-T1, GBNWU_008089-T1	GBNWW_008994-T1, GBNWW_008995-T1, GBNWW_009226-T1
OG0000051	GBNWU_000869-T1, GBNWU_001986-T1, GBNWU_004391-T1, GBNWU_005327-T1, GBNWU_005328-T1, GBNWU_008045-T1, GBNWU_009447-T1	GBNWW_007424-T1
OG0000052	GBNWU_001115-T1, GBNWU_004701-T1, GBNWU_005721-T1, GBNWU_006916-T1	GBNWW_006257-T1, GBNWW_008238-T1, GBNWW_008461-T1, GBNWW_008464-T1
OG0000053	GBNWU_001202-T1, GBNWU_003800-T1, GBNWU_003801-T1, GBNWU_005783-T1	GBNWW_002132-T1, GBNWW_002256-T1, GBNWW_007597-T1, GBNWW_008149-T1
OG0000054	GBNWU_001393-T1, GBNWU_008466-T1	GBNWW_005059-T1, GBNWW_005714-T1, GBNWW_005903-T1, GBNWW_007996-T1, GBNWW_008088-T1, GBNWW_009330-T1
OG0000055	GBNWU_001520-T1, GBNWU_002410-T1, GBNWU_002774-T1, GBNWU_003348-T1	GBNWW_000565-T1, GBNWW_003050-T1, GBNWW_003178-T1, GBNWW_009054-T1
OG0000056	GBNWU_001677-T1, GBNWU_001683-T1, GBNWU_002701-T1, GBNWU_009377-T1	GBNWW_000760-T1, GBNWW_001990-T1, GBNWW_001996-T1, GBNWW_003298-T1
OG0000057	GBNWU_001905-T1, GBNWU_004426-T1, GBNWU_005400-T1, GBNWU_005467-T1, GBNWU_008685-T1	GBNWW_003017-T1, GBNWW_003220-T1, GBNWW_003383-T1
OG0000058	GBNWU_001923-T1, GBNWU_002790-T1, GBNWU_008407-T1, GBNWU_008748-T1	GBNWW_002277-T1, GBNWW_007356-T1, GBNWW_007669-T1, GBNWW_008340-T1
OG0000059	GBNWU_002064-T1, GBNWU_007110-T1, GBNWU_008281-T1, GBNWU_008562-T1	GBNWW_002444-T1, GBNWW_005685-T1, GBNWW_007557-T1, GBNWW_009369-T1
OG0000060	GBNWU_002419-T1, GBNWU_002951-T1, GBNWU_007013-T1, GBNWU_009532-T1	GBNWW_001054-T1, GBNWW_002677-T1, GBNWW_007035-T1, GBNWW_008106-T1
OG0000061	GBNWU_002787-T1, GBNWU_005541-T1, GBNWU_006309-T1, GBNWU_007981-T1	GBNWW_002353-T1, GBNWW_005870-T1, GBNWW_008061-T1, GBNWW_009040-T1
OG0000062	GBNWU_003420-T1, GBNWU_003572-T1, GBNWU_007127-T1, GBNWU_007872-T1, GBNWU_009333-T1	GBNWW_000654-T1, GBNWW_001020-T1, GBNWW_004124-T1
OG0000063	GBNWU_003669-T1, GBNWU_007522-T1, GBNWU_007523-T1, GBNWU_007568-T1	GBNWW_002227-T1, GBNWW_002700-T1, GBNWW_007228-T1, GBNWW_007229-T1
OG0000064	GBNWU_003758-T1, GBNWU_004241-T1, GBNWU_007940-T1, GBNWU_009428-T1	GBNWW_001093-T1, GBNWW_001909-T1, GBNWW_003151-T1, GBNWW_006599-T1
OG0000065	GBNWU_003793-T1, GBNWU_004815-T1, GBNWU_006184-T1, GBNWU_008734-T1	GBNWW_000581-T1, GBNWW_001863-T1, GBNWW_005791-T1, GBNWW_006880-T1
OG0000066	GBNWU_006703-T1, GBNWU_007582-T1, GBNWU_008901-T1, GBNWU_009075-T1	GBNWW_001795-T1, GBNWW_002464-T1, GBNWW_005814-T1, GBNWW_006797-T1
OG0000067		GBNWW_002945-T1, GBNWW_006439-T1, GBNWW_006887-T1, GBNWW_007252-T1, GBNWW_007500-T1, GBNWW_007648-T1, GBNWW_007769-T1, GBNWW_008919-T1
OG0000068	GBNWU_000039-T1, GBNWU_006248-T1, GBNWU_007778-T1	GBNWW_001332-T1, GBNWW_005331-T1, GBNWW_009245-T1, GBNWW_009246-T1
OG0000069	GBNWU_000232-T1, GBNWU_001458-T1, GBNWU_002562-T1, GBNWU_003245-T1	GBNWW_000541-T1, GBNWW_001739-T1, GBNWW_001885-T1
OG0000070	GBNWU_000361-T1, GBNWU_000950-T1, GBNWU_002322-T1	GBNWW_001242-T1, GBNWW_006578-T1, GBNWW_006579-T1, GBNWW_006973-T1
OG0000071	GBNWU_000519-T1, GBNWU_000662-T1, GBNWU_008088-T1	GBNWW_006169-T1, GBNWW_007505-T1, GBNWW_009600-T1, GBNWW_009601-T1
OG0000072	GBNWU_000797-T1, GBNWU_000798-T1, GBNWU_003486-T1, GBNWU_003491-T1, GBNWU_004685-T1, GBNWU_007776-T1	GBNWW_009118-T1
OG0000073	GBNWU_001193-T1, GBNWU_001532-T1, GBNWU_003073-T1	GBNWW_003466-T1, GBNWW_004156-T1, GBNWW_006097-T1, GBNWW_008022-T1
OG0000074	GBNWU_001224-T1, GBNWU_001793-T1, GBNWU_003345-T1, GBNWU_008727-T1	GBNWW_003847-T1, GBNWW_006873-T1, GBNWW_009258-T1
OG0000075	GBNWU_001288-T1, GBNWU_001685-T1, GBNWU_002307-T1, GBNWU_006701-T1, GBNWU_006938-T1, GBNWU_007726-T1	GBNWW_000067-T1
OG0000076	GBNWU_001769-T1, GBNWU_004469-T1, GBNWU_006984-T1	GBNWW_002344-T1, GBNWW_004953-T1, GBNWW_007251-T1, GBNWW_008879-T1
OG0000077	GBNWU_002338-T1, GBNWU_003411-T1, GBNWU_008400-T1	GBNWW_001029-T1, GBNWW_001031-T1, GBNWW_002283-T1, GBNWW_002284-T1
OG0000078	GBNWU_003273-T1, GBNWU_003274-T1, GBNWU_003276-T1, GBNWU_009556-T1	GBNWW_002989-T1, GBNWW_002991-T1, GBNWW_008038-T1
OG0000079	GBNWU_003744-T1, GBNWU_005336-T1, GBNWU_005338-T1, GBNWU_007918-T1	GBNWW_002957-T1, GBNWW_002959-T1, GBNWW_008513-T1
OG0000080	GBNWU_004743-T1, GBNWU_007512-T1, GBNWU_009473-T1	GBNWW_003638-T1, GBNWW_003639-T1, GBNWW_004296-T1, GBNWW_005307-T1
OG0000081	GBNWU_004870-T1, GBNWU_004872-T1, GBNWU_006206-T1, GBNWU_009410-T1	GBNWW_000724-T1, GBNWW_007386-T1, GBNWW_009727-T1
OG0000082	GBNWU_005023-T1, GBNWU_005025-T1, GBNWU_007812-T1, GBNWU_009432-T1	GBNWW_001098-T1, GBNWW_006928-T1, GBNWW_008161-T1
OG0000083	GBNWU_005235-T1, GBNWU_006499-T1, GBNWU_006809-T1	GBNWW_000954-T1, GBNWW_005363-T1, GBNWW_007896-T1, GBNWW_008162-T1
OG0000084	GBNWU_006401-T1, GBNWU_006403-T1, GBNWU_008236-T1, GBNWU_008237-T1	GBNWW_003757-T1, GBNWW_003758-T1, GBNWW_003761-T1
OG0000085	GBNWU_000048-T1, GBNWU_001103-T1, GBNWU_003460-T1	GBNWW_000034-T1, GBNWW_000623-T1, GBNWW_005727-T1
OG0000086	GBNWU_000067-T1, GBNWU_002528-T1, GBNWU_005322-T1	GBNWW_003287-T1, GBNWW_007687-T1, GBNWW_009744-T1
OG0000087	GBNWU_000072-T1, GBNWU_005191-T1, GBNWU_005764-T1	GBNWW_003282-T1, GBNWW_003328-T1, GBNWW_005690-T1
OG0000088	GBNWU_000075-T1, GBNWU_001694-T1, GBNWU_006551-T1	GBNWW_001643-T1, GBNWW_007413-T1, GBNWW_007917-T1
OG0000089	GBNWU_000091-T1, GBNWU_004982-T1, GBNWU_009449-T1	GBNWW_006238-T1, GBNWW_006814-T1, GBNWW_007646-T1
OG0000090	GBNWU_000098-T1, GBNWU_000707-T1, GBNWU_008934-T1	GBNWW_001317-T1, GBNWW_004525-T1, GBNWW_006230-T1
OG0000091	GBNWU_000104-T1, GBNWU_002776-T1, GBNWU_006397-T1	GBNWW_001405-T1, GBNWW_006224-T1, GBNWW_009051-T1
OG0000092	GBNWU_000143-T1, GBNWU_005136-T1, GBNWU_006094-T1	GBNWW_003362-T1, GBNWW_004610-T1, GBNWW_006410-T1
OG0000093	GBNWU_000254-T1, GBNWU_002437-T1, GBNWU_002739-T1	GBNWW_001831-T1, GBNWW_005380-T1, GBNWW_006676-T1
OG0000094	GBNWU_000276-T1, GBNWU_000278-T1, GBNWU_002622-T1	GBNWW_000046-T1, GBNWW_000985-T1, GBNWW_000989-T1
OG0000095	GBNWU_000315-T1, GBNWU_004153-T1, GBNWU_006911-T1	GBNWW_001701-T1, GBNWW_002490-T1, GBNWW_004518-T1
OG0000096	GBNWU_000338-T1, GBNWU_002193-T1, GBNWU_003575-T1	GBNWW_001125-T1, GBNWW_003601-T1, GBNWW_006766-T1
OG0000097	GBNWU_000497-T1, GBNWU_004332-T1, GBNWU_007608-T1	GBNWW_000446-T1, GBNWW_001501-T1, GBNWW_009217-T1
OG0000098	GBNWU_000533-T1, GBNWU_004658-T1, GBNWU_004744-T1	GBNWW_000937-T1, GBNWW_004295-T1, GBNWW_005730-T1
OG0000099	GBNWU_000546-T1, GBNWU_002769-T1, GBNWU_008733-T1	GBNWW_006291-T1, GBNWW_006879-T1, GBNWW_008963-T1
OG0000100	GBNWU_000553-T1, GBNWU_002169-T1, GBNWU_003091-T1	GBNWW_002818-T1, GBNWW_006147-T1, GBNWW_008957-T1
OG0000101	GBNWU_000573-T1, GBNWU_005586-T1, GBNWU_006152-T1, GBNWU_009379-T1	GBNWW_004055-T1, GBNWW_004879-T1
OG0000102	GBNWU_000601-T1, GBNWU_001337-T1, GBNWU_005602-T1	GBNWW_005510-T1, GBNWW_005565-T1, GBNWW_008531-T1
OG0000103	GBNWU_000608-T1, GBNWU_002082-T1, GBNWU_009248-T1	GBNWW_002558-T1, GBNWW_009104-T1, GBNWW_009520-T1
OG0000104	GBNWU_000719-T1, GBNWU_004884-T1, GBNWU_008804-T1	GBNWW_001759-T1, GBNWW_001845-T1, GBNWW_005140-T1
OG0000105	GBNWU_000777-T1, GBNWU_004529-T1, GBNWU_005751-T1	GBNWW_001250-T1, GBNWW_001251-T1, GBNWW_004889-T1
OG0000106	GBNWU_000803-T1, GBNWU_000804-T1, GBNWU_000805-T1	GBNWW_003853-T1, GBNWW_004333-T1, GBNWW_004334-T1
OG0000107	GBNWU_000808-T1, GBNWU_001829-T1, GBNWU_007681-T1	GBNWW_004338-T1, GBNWW_004856-T1, GBNWW_009536-T1
OG0000108	GBNWU_000829-T1, GBNWU_004450-T1, GBNWU_008370-T1	GBNWW_003081-T1, GBNWW_003409-T1, GBNWW_005948-T1
OG0000109	GBNWU_000831-T1, GBNWU_003479-T1, GBNWU_004983-T1	GBNWW_003407-T1, GBNWW_006813-T1, GBNWW_009684-T1
OG0000110	GBNWU_000915-T1, GBNWU_002069-T1, GBNWU_008164-T1	GBNWW_001805-T1, GBNWW_007562-T1, GBNWW_007794-T1
OG0000111	GBNWU_000924-T1, GBNWU_004814-T1, GBNWU_008735-T1	GBNWW_005790-T1, GBNWW_006658-T1, GBNWW_006881-T1
OG0000112	GBNWU_000926-T1, GBNWU_005277-T1, GBNWU_008805-T1	GBNWW_001844-T1, GBNWW_006662-T1, GBNWW_007760-T1
OG0000113	GBNWU_001116-T1, GBNWU_001165-T1, GBNWU_007847-T1	GBNWW_005599-T1, GBNWW_006337-T1, GBNWW_008237-T1
OG0000114	GBNWU_001139-T1, GBNWU_003437-T1, GBNWU_007742-T1	GBNWW_000149-T1, GBNWW_005493-T1, GBNWW_006939-T1
OG0000115	GBNWU_001266-T1, GBNWU_005831-T1, GBNWU_006738-T1	GBNWW_004946-T1, GBNWW_005770-T1, GBNWW_009176-T1
OG0000116	GBNWU_001321-T1, GBNWU_002251-T1, GBNWU_002264-T1	GBNWW_001172-T1, GBNWW_003872-T1, GBNWW_009719-T1
OG0000117	GBNWU_001342-T1, GBNWU_001343-T1, GBNWU_001345-T1	GBNWW_008536-T1, GBNWW_008537-T1, GBNWW_008538-T1
OG0000118	GBNWU_001400-T1, GBNWU_006770-T1, GBNWU_007461-T1	GBNWW_003458-T1, GBNWW_004181-T1, GBNWW_006940-T1
OG0000119	GBNWU_001462-T1, GBNWU_001463-T1, GBNWU_001464-T1	GBNWW_003885-T1, GBNWW_005445-T1, GBNWW_005446-T1
OG0000120	GBNWU_001474-T1, GBNWU_001701-T1, GBNWU_002132-T1	GBNWW_003258-T1, GBNWW_005319-T1, GBNWW_007589-T1
OG0000121	GBNWU_001497-T1, GBNWU_006064-T1, GBNWU_007650-T1	GBNWW_000828-T1, GBNWW_005927-T1, GBNWW_006393-T1
OG0000122	GBNWU_001558-T1, GBNWU_001613-T1, GBNWU_006354-T1	GBNWW_000833-T1, GBNWW_007202-T1, GBNWW_008415-T1
OG0000123	GBNWU_001585-T1, GBNWU_001741-T1, GBNWU_006488-T1	GBNWW_000741-T1, GBNWW_001046-T1, GBNWW_001167-T1
OG0000124	GBNWU_001805-T1, GBNWU_002167-T1, GBNWU_008113-T1	GBNWW_005563-T1, GBNWW_006145-T1, GBNWW_008272-T1
OG0000125	GBNWU_001833-T1, GBNWU_005056-T1, GBNWU_005380-T1	GBNWW_003201-T1, GBNWW_003902-T1, GBNWW_009539-T1
OG0000126	GBNWU_001937-T1, GBNWU_007657-T1, GBNWU_009466-T1	GBNWW_001222-T1, GBNWW_005921-T1, GBNWW_008452-T1
