	Pilaira_anomala_RSA_1997_Plus.aa	Pilaira_anomala_RSA_1998-.aa
OG0005785	GBNWS_000819-T1	
OG0005786	GBNWS_000824-T1	
OG0005787	GBNWS_000826-T1	
OG0005788	GBNWS_000830-T1	
OG0005789	GBNWS_000831-T1	
OG0005790	GBNWS_000832-T1	
OG0005791	GBNWS_000837-T1	
OG0005792	GBNWS_000838-T1	
OG0005793	GBNWS_000840-T1	
OG0005794	GBNWS_000849-T1	
OG0005795	GBNWS_000850-T1	
OG0005796	GBNWS_000853-T1	
OG0005797	GBNWS_000860-T1	
OG0005798	GBNWS_000862-T1	
OG0005799	GBNWS_000875-T1	
OG0005800	GBNWS_000878-T1	
OG0005801	GBNWS_000883-T1	
OG0005802	GBNWS_000889-T1	
OG0005803	GBNWS_000897-T1	
OG0005804	GBNWS_000898-T1	
OG0005805	GBNWS_000899-T1	
OG0005806	GBNWS_000906-T1	
OG0005807	GBNWS_000907-T1	
OG0005808	GBNWS_000909-T1	
OG0005809	GBNWS_000911-T1	
OG0005810	GBNWS_000914-T1	
OG0005811	GBNWS_000925-T1	
OG0005812	GBNWS_000937-T1	
OG0005813	GBNWS_000943-T1	
OG0005814	GBNWS_000945-T1	
OG0005815	GBNWS_000956-T1	
OG0005816	GBNWS_000960-T1	
OG0005817	GBNWS_000967-T1	
OG0005818	GBNWS_000968-T1	
OG0005819	GBNWS_000969-T1	
OG0005820	GBNWS_000973-T1	
OG0005821	GBNWS_000989-T1	
OG0005822	GBNWS_001004-T1	
OG0005823	GBNWS_001007-T1	
OG0005824	GBNWS_001012-T1	
OG0005825	GBNWS_001017-T1	
OG0005826	GBNWS_001018-T1	
OG0005827	GBNWS_001019-T1	
OG0005828	GBNWS_001020-T1	
OG0005829	GBNWS_001024-T1	
OG0005830	GBNWS_001025-T1	
OG0005831	GBNWS_001027-T1	
OG0005832	GBNWS_001031-T1	
OG0005833	GBNWS_001035-T1	
OG0005834	GBNWS_001037-T1	
OG0005835	GBNWS_001041-T1	
OG0005836	GBNWS_001047-T1	
OG0005837	GBNWS_001050-T1	
OG0005838	GBNWS_001052-T1	
OG0005839	GBNWS_001053-T1	
OG0005840	GBNWS_001054-T1	
OG0005841	GBNWS_001058-T1	
OG0005842	GBNWS_001062-T1	
OG0005843	GBNWS_001064-T1	
OG0005844	GBNWS_001067-T1	
OG0005845	GBNWS_001072-T1	
OG0005846	GBNWS_001079-T1	
OG0005847	GBNWS_001081-T1	
OG0005848	GBNWS_001083-T1	
OG0005849	GBNWS_001089-T1	
OG0005850	GBNWS_001094-T1	
OG0005851	GBNWS_001096-T1	
OG0005852	GBNWS_001099-T1	
OG0005853	GBNWS_001101-T1	
OG0005854	GBNWS_001105-T1	
OG0005855	GBNWS_001107-T1	
OG0005856	GBNWS_001108-T1	
OG0005857	GBNWS_001112-T1	
OG0005858	GBNWS_001123-T1	
OG0005859	GBNWS_001127-T1	
OG0005860	GBNWS_001128-T1	
OG0005861	GBNWS_001130-T1	
OG0005862	GBNWS_001132-T1	
OG0005863	GBNWS_001133-T1	
OG0005864	GBNWS_001138-T1	
OG0005865	GBNWS_001139-T1	
OG0005866	GBNWS_001141-T1	
OG0005867	GBNWS_001145-T1	
OG0005868	GBNWS_001146-T1	
OG0005869	GBNWS_001148-T1	
OG0005870	GBNWS_001149-T1	
OG0005871	GBNWS_001161-T1	
OG0005872	GBNWS_001162-T1	
OG0005873	GBNWS_001181-T1	
OG0005874	GBNWS_001183-T1	
OG0005875	GBNWS_001188-T1	
OG0005876	GBNWS_001193-T1	
OG0005877	GBNWS_001197-T1	
OG0005878	GBNWS_001198-T1	
OG0005879	GBNWS_001199-T1	
OG0005880	GBNWS_001200-T1	
OG0005881	GBNWS_001203-T1	
OG0005882	GBNWS_001208-T1	
OG0005883	GBNWS_001214-T1	
OG0005884	GBNWS_001218-T1	
OG0005885	GBNWS_001224-T1	
OG0005886	GBNWS_001225-T1	
OG0005887	GBNWS_001235-T1	
OG0005888	GBNWS_001237-T1	
OG0005889	GBNWS_001239-T1	
OG0005890	GBNWS_001240-T1	
OG0005891	GBNWS_001247-T1	
OG0005892	GBNWS_001248-T1	
OG0005893	GBNWS_001256-T1	
OG0005894	GBNWS_001276-T1	
OG0005895	GBNWS_001280-T1	
OG0005896	GBNWS_001285-T1	
OG0005897	GBNWS_001288-T1	
OG0005898	GBNWS_001296-T1	
OG0005899	GBNWS_001301-T1	
OG0005900	GBNWS_001303-T1	
OG0005901	GBNWS_001307-T1	
OG0005902	GBNWS_001322-T1	
OG0005903	GBNWS_001342-T1	
OG0005904	GBNWS_001343-T1	
OG0005905	GBNWS_001344-T1	
OG0005906	GBNWS_001345-T1	
OG0005907	GBNWS_001355-T1	
OG0005908	GBNWS_001357-T1	
OG0005909	GBNWS_001358-T1	
OG0005910	GBNWS_001375-T1	
OG0005911	GBNWS_001377-T1	
OG0005912	GBNWS_001383-T1	
OG0005913	GBNWS_001390-T1	
OG0005914	GBNWS_001392-T1	
OG0005915	GBNWS_001401-T1	
OG0005916	GBNWS_001402-T1	
OG0005917	GBNWS_001409-T1	
OG0005918	GBNWS_001414-T1	
OG0005919	GBNWS_001419-T1	
OG0005920	GBNWS_001421-T1	
OG0005921	GBNWS_001430-T1	
OG0005922	GBNWS_001433-T1	
OG0005923	GBNWS_001439-T1	
OG0005924	GBNWS_001445-T1	
OG0005925	GBNWS_001446-T1	
OG0005926	GBNWS_001463-T1	
OG0005927	GBNWS_001467-T1	
OG0005928	GBNWS_001469-T1	
OG0005929	GBNWS_001478-T1	
OG0005930	GBNWS_001481-T1	
OG0005931	GBNWS_001483-T1	
OG0005932	GBNWS_001489-T1	
OG0005933	GBNWS_001494-T1	
OG0005934	GBNWS_001517-T1	
OG0005935	GBNWS_001519-T1	
OG0005936	GBNWS_001525-T1	
OG0005937	GBNWS_001527-T1	
OG0005938	GBNWS_001534-T1	
OG0005939	GBNWS_001537-T1	
OG0005940	GBNWS_001555-T1	
OG0005941	GBNWS_001557-T1	
OG0005942	GBNWS_001560-T1	
OG0005943	GBNWS_001564-T1	
OG0005944	GBNWS_001570-T1	
OG0005945	GBNWS_001573-T1	
OG0005946	GBNWS_001574-T1	
OG0005947	GBNWS_001578-T1	
OG0005948	GBNWS_001579-T1	
OG0005949	GBNWS_001582-T1	
OG0005950	GBNWS_001583-T1	
OG0005951	GBNWS_001585-T1	
OG0005952	GBNWS_001586-T1	
OG0005953	GBNWS_001590-T1	
OG0005954	GBNWS_001593-T1	
OG0005955	GBNWS_001594-T1	
OG0005956	GBNWS_001600-T1	
OG0005957	GBNWS_001601-T1	
OG0005958	GBNWS_001611-T1	
OG0005959	GBNWS_001613-T1	
OG0005960	GBNWS_001620-T1	
OG0005961	GBNWS_001621-T1	
OG0005962	GBNWS_001622-T1	
OG0005963	GBNWS_001630-T1	
OG0005964	GBNWS_001633-T1	
OG0005965	GBNWS_001641-T1	
OG0005966	GBNWS_001649-T1	
OG0005967	GBNWS_001651-T1	
OG0005968	GBNWS_001656-T1	
OG0005969	GBNWS_001657-T1	
OG0005970	GBNWS_001658-T1	
OG0005971	GBNWS_001661-T1	
OG0005972	GBNWS_001664-T1	
OG0005973	GBNWS_001667-T1	
OG0005974	GBNWS_001668-T1	
OG0005975	GBNWS_001669-T1	
OG0005976	GBNWS_001670-T1	
OG0005977	GBNWS_001672-T1	
OG0005978	GBNWS_001676-T1	
OG0005979	GBNWS_001679-T1	
OG0005980	GBNWS_001680-T1	
OG0005981	GBNWS_001682-T1	
OG0005982	GBNWS_001689-T1	
OG0005983	GBNWS_001695-T1	
OG0005984	GBNWS_001696-T1	
OG0005985	GBNWS_001697-T1	
OG0005986	GBNWS_001700-T1	
OG0005987	GBNWS_001703-T1	
OG0005988	GBNWS_001709-T1	
OG0005989	GBNWS_001713-T1	
OG0005990	GBNWS_001714-T1	
OG0005991	GBNWS_001715-T1	
OG0005992	GBNWS_001725-T1	
OG0005993	GBNWS_001730-T1	
OG0005994	GBNWS_001731-T1	
OG0005995	GBNWS_001732-T1	
OG0005996	GBNWS_001734-T1	
OG0005997	GBNWS_001735-T1	
OG0005998	GBNWS_001737-T1	
OG0005999	GBNWS_001744-T1	
OG0006000	GBNWS_001745-T1	
OG0006001	GBNWS_001751-T1	
OG0006002	GBNWS_001758-T1	
OG0006003	GBNWS_001772-T1	
OG0006004	GBNWS_001779-T1	
OG0006005	GBNWS_001795-T1	
OG0006006	GBNWS_001799-T1	
OG0006007	GBNWS_001803-T1	
OG0006008	GBNWS_001805-T1	
OG0006009	GBNWS_001808-T1	
OG0006010	GBNWS_001809-T1	
OG0006011	GBNWS_001812-T1	
OG0006012	GBNWS_001813-T1	
OG0006013	GBNWS_001821-T1	
OG0006014	GBNWS_001824-T1	
OG0006015	GBNWS_001826-T1	
OG0006016	GBNWS_001829-T1	
OG0006017	GBNWS_001830-T1	
OG0006018	GBNWS_001832-T1	
OG0006019	GBNWS_001840-T1	
OG0006020	GBNWS_001842-T1	
OG0006021	GBNWS_001860-T1	
OG0006022	GBNWS_001877-T1	
OG0006023	GBNWS_001882-T1	
OG0006024	GBNWS_001883-T1	
OG0006025	GBNWS_001884-T1	
OG0006026	GBNWS_001885-T1	
OG0006027	GBNWS_001888-T1	
OG0006028	GBNWS_001898-T1	
OG0006029	GBNWS_001900-T1	
OG0006030	GBNWS_001902-T1	
OG0006031	GBNWS_001910-T1	
OG0006032	GBNWS_001913-T1	
OG0006033	GBNWS_001919-T1	
OG0006034	GBNWS_001926-T1	
OG0006035	GBNWS_001927-T1	
OG0006036	GBNWS_001931-T1	
OG0006037	GBNWS_001937-T1	
OG0006038	GBNWS_001941-T1	
OG0006039	GBNWS_001943-T1	
OG0006040	GBNWS_001944-T1	
OG0006041	GBNWS_001945-T1	
OG0006042	GBNWS_001946-T1	
OG0006043	GBNWS_001947-T1	
OG0006044	GBNWS_001948-T1	
OG0006045	GBNWS_001950-T1	
OG0006046	GBNWS_001951-T1	
OG0006047	GBNWS_001952-T1	
OG0006048	GBNWS_001953-T1	
OG0006049	GBNWS_001954-T1	
OG0006050	GBNWS_001956-T1	
OG0006051	GBNWS_001959-T1	
OG0006052	GBNWS_001961-T1	
OG0006053	GBNWS_001965-T1	
OG0006054	GBNWS_001972-T1	
OG0006055	GBNWS_001974-T1	
OG0006056	GBNWS_001975-T1	
OG0006057	GBNWS_001976-T1	
OG0006058	GBNWS_001980-T1	
OG0006059	GBNWS_001986-T1	
OG0006060	GBNWS_001987-T1	
OG0006061	GBNWS_001988-T1	
OG0006062	GBNWS_001989-T1	
OG0006063	GBNWS_001992-T1	
OG0006064	GBNWS_001994-T1	
OG0006065	GBNWS_001999-T1	
OG0006066	GBNWS_002002-T1	
OG0006067	GBNWS_002009-T1	
OG0006068	GBNWS_002010-T1	
OG0006069	GBNWS_002011-T1	
OG0006070	GBNWS_002012-T1	
OG0006071	GBNWS_002017-T1	
OG0006072	GBNWS_002018-T1	
OG0006073	GBNWS_002028-T1	
OG0006074	GBNWS_002030-T1	
OG0006075	GBNWS_002033-T1	
OG0006076	GBNWS_002034-T1	
OG0006077	GBNWS_002035-T1	
OG0006078	GBNWS_002050-T1	
OG0006079	GBNWS_002058-T1	
OG0006080	GBNWS_002062-T1	
OG0006081	GBNWS_002069-T1	
OG0006082	GBNWS_002071-T1	
OG0006083	GBNWS_002072-T1	
OG0006084	GBNWS_002074-T1	
OG0006085	GBNWS_002079-T1	
OG0006086	GBNWS_002086-T1	
OG0006087	GBNWS_002094-T1	
OG0006088	GBNWS_002096-T1	
OG0006089	GBNWS_002098-T1	
OG0006090	GBNWS_002099-T1	
OG0006091	GBNWS_002100-T1	
OG0006092	GBNWS_002104-T1	
OG0006093	GBNWS_002106-T1	
OG0006094	GBNWS_002107-T1	
OG0006095	GBNWS_002111-T1	
OG0006096	GBNWS_002113-T1	
OG0006097	GBNWS_002132-T1	
OG0006098	GBNWS_002133-T1	
OG0006099	GBNWS_002141-T1	
OG0006100	GBNWS_002148-T1	
OG0006101	GBNWS_002149-T1	
OG0006102	GBNWS_002150-T1	
OG0006103	GBNWS_002153-T1	
OG0006104	GBNWS_002154-T1	
OG0006105	GBNWS_002158-T1	
OG0006106	GBNWS_002164-T1	
OG0006107	GBNWS_002175-T1	
OG0006108	GBNWS_002178-T1	
OG0006109	GBNWS_002181-T1	
OG0006110	GBNWS_002183-T1	
OG0006111	GBNWS_002185-T1	
OG0006112	GBNWS_002188-T1	
OG0006113	GBNWS_002192-T1	
OG0006114	GBNWS_002205-T1	
OG0006115	GBNWS_002206-T1	
OG0006116	GBNWS_002209-T1	
OG0006117	GBNWS_002212-T1	
OG0006118	GBNWS_002220-T1	
OG0006119	GBNWS_002221-T1	
OG0006120	GBNWS_002224-T1	
OG0006121	GBNWS_002230-T1	
OG0006122	GBNWS_002243-T1	
OG0006123	GBNWS_002249-T1	
OG0006124	GBNWS_002257-T1	
OG0006125	GBNWS_002259-T1	
OG0006126	GBNWS_002262-T1	
OG0006127	GBNWS_002263-T1	
OG0006128	GBNWS_002266-T1	
OG0006129	GBNWS_002267-T1	
OG0006130	GBNWS_002268-T1	
OG0006131	GBNWS_002274-T1	
OG0006132	GBNWS_002277-T1	
OG0006133	GBNWS_002278-T1	
OG0006134	GBNWS_002285-T1	
OG0006135	GBNWS_002290-T1	
OG0006136	GBNWS_002296-T1	
OG0006137	GBNWS_002297-T1	
OG0006138	GBNWS_002298-T1	
OG0006139	GBNWS_002299-T1	
OG0006140	GBNWS_002301-T1	
OG0006141	GBNWS_002304-T1	
OG0006142	GBNWS_002305-T1	
OG0006143	GBNWS_002306-T1	
OG0006144	GBNWS_002307-T1	
OG0006145	GBNWS_002308-T1	
OG0006146	GBNWS_002309-T1	
OG0006147	GBNWS_002310-T1	
OG0006148	GBNWS_002311-T1	
OG0006149	GBNWS_002315-T1	
OG0006150	GBNWS_002320-T1	
OG0006151	GBNWS_002325-T1	
OG0006152	GBNWS_002328-T1	
OG0006153	GBNWS_002336-T1	
OG0006154	GBNWS_002342-T1	
OG0006155	GBNWS_002344-T1	
OG0006156	GBNWS_002349-T1	
OG0006157	GBNWS_002356-T1	
OG0006158	GBNWS_002357-T1	
OG0006159	GBNWS_002361-T1	
OG0006160	GBNWS_002364-T1	
OG0006161	GBNWS_002371-T1	
OG0006162	GBNWS_002373-T1	
OG0006163	GBNWS_002375-T1	
OG0006164	GBNWS_002387-T1	
OG0006165	GBNWS_002402-T1	
OG0006166	GBNWS_002403-T1	
OG0006167	GBNWS_002404-T1	
OG0006168	GBNWS_002408-T1	
OG0006169	GBNWS_002417-T1	
OG0006170	GBNWS_002423-T1	
OG0006171	GBNWS_002424-T1	
OG0006172	GBNWS_002431-T1	
OG0006173	GBNWS_002436-T1	
OG0006174	GBNWS_002441-T1	
OG0006175	GBNWS_002445-T1	
OG0006176	GBNWS_002446-T1	
OG0006177	GBNWS_002449-T1	
OG0006178	GBNWS_002453-T1	
OG0006179	GBNWS_002455-T1	
OG0006180	GBNWS_002463-T1	
OG0006181	GBNWS_002464-T1	
OG0006182	GBNWS_002472-T1	
OG0006183	GBNWS_002475-T1	
OG0006184	GBNWS_002478-T1	
OG0006185	GBNWS_002480-T1	
OG0006186	GBNWS_002487-T1	
OG0006187	GBNWS_002489-T1	
OG0006188	GBNWS_002494-T1	
OG0006189	GBNWS_002499-T1	
OG0006190	GBNWS_002503-T1	
OG0006191	GBNWS_002510-T1	
OG0006192	GBNWS_002511-T1	
OG0006193	GBNWS_002512-T1	
OG0006194	GBNWS_002530-T1	
OG0006195	GBNWS_002532-T1	
OG0006196	GBNWS_002542-T1	
OG0006197	GBNWS_002545-T1	
OG0006198	GBNWS_002547-T1	
OG0006199	GBNWS_002548-T1	
OG0006200	GBNWS_002549-T1	
OG0006201	GBNWS_002553-T1	
OG0006202	GBNWS_002554-T1	
OG0006203	GBNWS_002555-T1	
OG0006204	GBNWS_002556-T1	
OG0006205	GBNWS_002557-T1	
OG0006206	GBNWS_002575-T1	
OG0006207	GBNWS_002582-T1	
OG0006208	GBNWS_002595-T1	
OG0006209	GBNWS_002596-T1	
OG0006210	GBNWS_002599-T1	
OG0006211	GBNWS_002603-T1	
OG0006212	GBNWS_002606-T1	
OG0006213	GBNWS_002608-T1	
OG0006214	GBNWS_002609-T1	
OG0006215	GBNWS_002617-T1	
OG0006216	GBNWS_002618-T1	
OG0006217	GBNWS_002629-T1	
OG0006218	GBNWS_002632-T1	
OG0006219	GBNWS_002635-T1	
OG0006220	GBNWS_002637-T1	
OG0006221	GBNWS_002653-T1	
OG0006222	GBNWS_002655-T1	
OG0006223	GBNWS_002657-T1	
OG0006224	GBNWS_002658-T1	
OG0006225	GBNWS_002661-T1	
OG0006226	GBNWS_002663-T1	
OG0006227	GBNWS_002665-T1	
OG0006228	GBNWS_002672-T1	
OG0006229	GBNWS_002676-T1	
OG0006230	GBNWS_002677-T1	
OG0006231	GBNWS_002686-T1	
OG0006232	GBNWS_002690-T1	
OG0006233	GBNWS_002691-T1	
OG0006234	GBNWS_002693-T1	
OG0006235	GBNWS_002703-T1	
OG0006236	GBNWS_002704-T1	
OG0006237	GBNWS_002706-T1	
OG0006238	GBNWS_002709-T1	
OG0006239	GBNWS_002713-T1	
OG0006240	GBNWS_002716-T1	
OG0006241	GBNWS_002717-T1	
OG0006242	GBNWS_002719-T1	
OG0006243	GBNWS_002722-T1	
OG0006244	GBNWS_002723-T1	
OG0006245	GBNWS_002729-T1	
OG0006246	GBNWS_002731-T1	
OG0006247	GBNWS_002733-T1	
OG0006248	GBNWS_002743-T1	
OG0006249	GBNWS_002746-T1	
OG0006250	GBNWS_002752-T1	
OG0006251	GBNWS_002758-T1	
OG0006252	GBNWS_002762-T1	
OG0006253	GBNWS_002763-T1	
OG0006254	GBNWS_002771-T1	
OG0006255	GBNWS_002775-T1	
OG0006256	GBNWS_002779-T1	
OG0006257	GBNWS_002782-T1	
OG0006258	GBNWS_002796-T1	
OG0006259	GBNWS_002799-T1	
OG0006260	GBNWS_002801-T1	
OG0006261	GBNWS_002804-T1	
OG0006262	GBNWS_002811-T1	
OG0006263	GBNWS_002823-T1	
OG0006264	GBNWS_002826-T1	
OG0006265	GBNWS_002831-T1	
OG0006266	GBNWS_002834-T1	
OG0006267	GBNWS_002841-T1	
OG0006268	GBNWS_002844-T1	
OG0006269	GBNWS_002845-T1	
OG0006270	GBNWS_002848-T1	
OG0006271	GBNWS_002849-T1	
OG0006272	GBNWS_002851-T1	
OG0006273	GBNWS_002855-T1	
OG0006274	GBNWS_002857-T1	
OG0006275	GBNWS_002858-T1	
OG0006276	GBNWS_002859-T1	
OG0006277	GBNWS_002861-T1	
OG0006278	GBNWS_002862-T1	
OG0006279	GBNWS_002863-T1	
OG0006280	GBNWS_002869-T1	
OG0006281	GBNWS_002871-T1	
OG0006282	GBNWS_002872-T1	
OG0006283	GBNWS_002873-T1	
OG0006284	GBNWS_002879-T1	
OG0006285	GBNWS_002880-T1	
OG0006286	GBNWS_002881-T1	
OG0006287	GBNWS_002884-T1	
OG0006288	GBNWS_002886-T1	
OG0006289	GBNWS_002888-T1	
OG0006290	GBNWS_002889-T1	
OG0006291	GBNWS_002892-T1	
OG0006292	GBNWS_002894-T1	
OG0006293	GBNWS_002895-T1	
OG0006294	GBNWS_002898-T1	
OG0006295	GBNWS_002905-T1	
OG0006296	GBNWS_002906-T1	
OG0006297	GBNWS_002909-T1	
OG0006298	GBNWS_002912-T1	
OG0006299	GBNWS_002915-T1	
