	Ellisomyces_anomalus_NRRL_2465_Plus-T.aa	Ellisomyces_anomalus_RSA_581-.aa
OG0000010	GBNWX_007368-T1, GBNWX_008999-T1, GBNWX_009075-T1, GBNWX_009076-T1, GBNWX_009077-T1, GBNWX_009150-T1	GBNWY_000980-T1, GBNWY_007325-T1, GBNWY_009473-T1, GBNWY_009474-T1, GBNWY_009475-T1, GBNWY_009757-T1
OG0000011	GBNWX_001775-T1, GBNWX_002326-T1, GBNWX_010088-T1, GBNWX_010796-T1	GBNWY_000423-T1, GBNWY_003184-T1, GBNWY_005147-T1, GBNWY_007453-T1, GBNWY_007913-T1, GBNWY_009981-T1, GBNWY_010854-T1
OG0000012	GBNWX_001798-T1, GBNWX_006754-T1, GBNWX_006877-T1, GBNWX_008378-T1, GBNWX_010189-T1	GBNWY_002935-T1, GBNWY_002959-T1, GBNWY_005171-T1, GBNWY_006601-T1, GBNWY_006870-T1, GBNWY_009697-T1
OG0000013	GBNWX_006019-T1, GBNWX_006289-T1, GBNWX_006864-T1, GBNWX_007688-T1, GBNWX_008352-T1, GBNWX_008452-T1	GBNWY_006037-T1, GBNWY_006301-T1, GBNWY_008236-T1, GBNWY_008474-T1, GBNWY_011085-T1
OG0000014	GBNWX_006307-T1, GBNWX_009028-T1, GBNWX_010087-T1, GBNWX_010206-T1, GBNWX_010797-T1	GBNWY_000422-T1, GBNWY_007454-T1, GBNWY_007912-T1, GBNWY_008370-T1, GBNWY_010853-T1, GBNWY_011022-T1
OG0000015	GBNWX_000343-T1, GBNWX_001115-T1, GBNWX_004965-T1, GBNWX_005475-T1, GBNWX_010764-T1	GBNWY_000666-T1, GBNWY_001605-T1, GBNWY_002931-T1, GBNWY_005033-T1, GBNWY_007291-T1
OG0000016	GBNWX_000448-T1, GBNWX_004730-T1, GBNWX_006383-T1, GBNWX_008171-T1, GBNWX_009524-T1	GBNWY_005494-T1, GBNWY_007450-T1, GBNWY_009856-T1, GBNWY_010481-T1, GBNWY_010813-T1
OG0000017	GBNWX_000496-T1, GBNWX_001446-T1, GBNWX_003340-T1, GBNWX_005461-T1, GBNWX_010115-T1	GBNWY_000299-T1, GBNWY_000803-T1, GBNWY_003783-T1, GBNWY_005403-T1, GBNWY_006402-T1
OG0000018	GBNWX_000600-T1, GBNWX_001166-T1, GBNWX_003163-T1, GBNWX_003169-T1, GBNWX_004814-T1	GBNWY_000781-T1, GBNWY_001139-T1, GBNWY_003099-T1, GBNWY_003105-T1, GBNWY_004841-T1
OG0000019	GBNWX_000912-T1, GBNWX_001826-T1, GBNWX_007743-T1, GBNWX_010073-T1, GBNWX_010317-T1	GBNWY_005426-T1, GBNWY_007263-T1, GBNWY_007687-T1, GBNWY_008443-T1, GBNWY_010674-T1
OG0000020	GBNWX_001047-T1, GBNWX_001564-T1, GBNWX_006617-T1, GBNWX_008397-T1, GBNWX_008953-T1	GBNWY_000066-T1, GBNWY_001780-T1, GBNWY_006594-T1, GBNWY_010767-T1, GBNWY_010990-T1
OG0000021	GBNWX_001767-T1, GBNWX_002060-T1, GBNWX_005958-T1, GBNWX_009260-T1	GBNWY_002103-T1, GBNWY_004763-T1, GBNWY_004765-T1, GBNWY_004766-T1, GBNWY_008380-T1, GBNWY_011059-T1
OG0000022	GBNWX_002075-T1, GBNWX_006159-T1, GBNWX_006295-T1, GBNWX_009545-T1, GBNWX_011012-T1	GBNWY_002886-T1, GBNWY_006354-T1, GBNWY_006367-T1, GBNWY_008395-T1, GBNWY_010024-T1
OG0000023	GBNWX_002575-T1, GBNWX_005108-T1, GBNWX_005986-T1, GBNWX_007144-T1, GBNWX_007961-T1	GBNWY_000015-T1, GBNWY_002720-T1, GBNWY_005782-T1, GBNWY_006547-T1, GBNWY_007854-T1
OG0000024	GBNWX_002746-T1, GBNWX_006259-T1, GBNWX_007140-T1, GBNWX_007254-T1, GBNWX_010151-T1	GBNWY_000011-T1, GBNWY_001076-T1, GBNWY_003144-T1, GBNWY_006644-T1, GBNWY_010646-T1
OG0000025	GBNWX_003130-T1, GBNWX_004603-T1, GBNWX_006607-T1, GBNWX_007327-T1, GBNWX_009752-T1	GBNWY_003066-T1, GBNWY_004694-T1, GBNWY_006618-T1, GBNWY_006791-T1, GBNWY_008929-T1
OG0000026	GBNWX_003458-T1, GBNWX_005852-T1, GBNWX_005853-T1, GBNWX_008307-T1, GBNWX_010429-T1	GBNWY_000127-T1, GBNWY_005593-T1, GBNWY_005668-T1, GBNWY_005669-T1, GBNWY_008754-T1
OG0000027	GBNWX_006900-T1, GBNWX_007534-T1, GBNWX_007535-T1, GBNWX_010762-T1, GBNWX_010763-T1	GBNWY_002897-T1, GBNWY_002929-T1, GBNWY_002930-T1, GBNWY_007614-T1, GBNWY_007615-T1
OG0000028	GBNWX_002600-T1, GBNWX_004897-T1, GBNWX_006615-T1, GBNWX_009100-T1	GBNWY_003124-T1, GBNWY_004679-T1, GBNWY_005021-T1, GBNWY_005022-T1, GBNWY_006627-T1
OG0000029	GBNWX_004435-T1, GBNWX_005194-T1, GBNWX_006299-T1, GBNWX_008026-T1, GBNWX_009445-T1	GBNWY_005774-T1, GBNWY_007246-T1, GBNWY_008825-T1, GBNWY_009986-T1
OG0000030	GBNWX_000028-T1, GBNWX_001304-T1, GBNWX_005938-T1, GBNWX_008760-T1	GBNWY_001678-T1, GBNWY_005838-T1, GBNWY_007137-T1, GBNWY_008581-T1
OG0000031	GBNWX_000040-T1, GBNWX_001761-T1, GBNWX_005415-T1, GBNWX_009023-T1	GBNWY_002097-T1, GBNWY_005240-T1, GBNWY_007149-T1, GBNWY_007707-T1
OG0000032	GBNWX_000074-T1, GBNWX_002916-T1, GBNWX_008225-T1, GBNWX_009403-T1	GBNWY_002626-T1, GBNWY_007183-T1, GBNWY_008522-T1, GBNWY_008948-T1
OG0000033	GBNWX_000102-T1, GBNWX_002057-T1, GBNWX_002396-T1, GBNWX_004918-T1	GBNWY_002517-T1, GBNWY_004715-T1, GBNWY_005857-T1, GBNWY_008377-T1
OG0000034	GBNWX_000133-T1, GBNWX_003941-T1, GBNWX_005686-T1, GBNWX_005843-T1	GBNWY_001231-T1, GBNWY_004179-T1, GBNWY_005690-T1, GBNWY_006027-T1
OG0000035	GBNWX_000135-T1, GBNWX_002436-T1, GBNWX_004165-T1, GBNWX_006863-T1	GBNWY_001233-T1, GBNWY_003310-T1, GBNWY_004543-T1, GBNWY_008937-T1
OG0000036	GBNWX_000264-T1, GBNWX_001635-T1, GBNWX_004033-T1, GBNWX_004887-T1	GBNWY_000731-T1, GBNWY_001850-T1, GBNWY_004556-T1, GBNWY_004877-T1
OG0000037	GBNWX_000316-T1, GBNWX_000921-T1, GBNWX_003170-T1, GBNWX_003978-T1, GBNWX_004688-T1, GBNWX_009321-T1, GBNWX_009753-T1, GBNWX_011111-T1	
OG0000038	GBNWX_000395-T1, GBNWX_004168-T1, GBNWX_004494-T1, GBNWX_010962-T1	GBNWY_004546-T1, GBNWY_007428-T1, GBNWY_008070-T1, GBNWY_010240-T1
OG0000039	GBNWX_000402-T1, GBNWX_005050-T1, GBNWX_007453-T1, GBNWX_007583-T1	GBNWY_002835-T1, GBNWY_005052-T1, GBNWY_007036-T1, GBNWY_009537-T1
OG0000040	GBNWX_000476-T1, GBNWX_005933-T1, GBNWX_007392-T1, GBNWX_008661-T1	GBNWY_002747-T1, GBNWY_005522-T1, GBNWY_005832-T1, GBNWY_006768-T1
OG0000041	GBNWX_000588-T1, GBNWX_008601-T1, GBNWX_009089-T1, GBNWX_010587-T1	GBNWY_000793-T1, GBNWY_009060-T1, GBNWY_010563-T1, GBNWY_010607-T1
OG0000042	GBNWX_000589-T1, GBNWX_005472-T1, GBNWX_005620-T1, GBNWX_009979-T1	GBNWY_000792-T1, GBNWY_005435-T1, GBNWY_007294-T1, GBNWY_010422-T1
OG0000043	GBNWX_000626-T1, GBNWX_002185-T1, GBNWX_006097-T1, GBNWX_009840-T1	GBNWY_000996-T1, GBNWY_002054-T1, GBNWY_002558-T1, GBNWY_009612-T1
OG0000044	GBNWX_000686-T1, GBNWX_001280-T1, GBNWX_004469-T1, GBNWX_009516-T1	GBNWY_001701-T1, GBNWY_004622-T1, GBNWY_009849-T1, GBNWY_009948-T1
OG0000045	GBNWX_000832-T1, GBNWX_003325-T1, GBNWX_008719-T1, GBNWX_009738-T1	GBNWY_003456-T1, GBNWY_003740-T1, GBNWY_005341-T1, GBNWY_008881-T1
OG0000046	GBNWX_000868-T1, GBNWX_005868-T1, GBNWX_009736-T1, GBNWX_010815-T1	GBNWY_001034-T1, GBNWY_002245-T1, GBNWY_009356-T1, GBNWY_009465-T1
OG0000047	GBNWX_000901-T1, GBNWX_002596-T1, GBNWX_002621-T1, GBNWX_003198-T1	GBNWY_002294-T1, GBNWY_003120-T1, GBNWY_004364-T1, GBNWY_006742-T1
OG0000048	GBNWX_000972-T1, GBNWX_001882-T1, GBNWX_002728-T1, GBNWX_005977-T1	GBNWY_002039-T1, GBNWY_004021-T1, GBNWY_006007-T1, GBNWY_009467-T1
OG0000049	GBNWX_001004-T1, GBNWX_005430-T1, GBNWX_006944-T1, GBNWX_007203-T1	GBNWY_005270-T1, GBNWY_007311-T1, GBNWY_008197-T1, GBNWY_009294-T1
OG0000050	GBNWX_001104-T1, GBNWX_005768-T1, GBNWX_009435-T1, GBNWX_009438-T1	GBNWY_001615-T1, GBNWY_002373-T1, GBNWY_009993-T1, GBNWY_009996-T1
OG0000051	GBNWX_001116-T1, GBNWX_004113-T1, GBNWX_006183-T1, GBNWX_009823-T1	GBNWY_001604-T1, GBNWY_006171-T1, GBNWY_007213-T1, GBNWY_008561-T1
OG0000052	GBNWX_001120-T1, GBNWX_003128-T1, GBNWX_006608-T1, GBNWX_007142-T1	GBNWY_000013-T1, GBNWY_001600-T1, GBNWY_003064-T1, GBNWY_006619-T1
OG0000053	GBNWX_001230-T1, GBNWX_001285-T1, GBNWX_003402-T1, GBNWX_008939-T1	GBNWY_001696-T1, GBNWY_008691-T1, GBNWY_010064-T1, GBNWY_011142-T1
OG0000054	GBNWX_001261-T1, GBNWX_003885-T1, GBNWX_007582-T1, GBNWX_009489-T1	GBNWY_002836-T1, GBNWY_004071-T1, GBNWY_005893-T1, GBNWY_009820-T1
OG0000055	GBNWX_001313-T1, GBNWX_004970-T1, GBNWX_006522-T1, GBNWX_010456-T1	GBNWY_001627-T1, GBNWY_005038-T1, GBNWY_006519-T1, GBNWY_010878-T1
OG0000056	GBNWX_001340-T1, GBNWX_007211-T1, GBNWX_009261-T1, GBNWX_010570-T1	GBNWY_000895-T1, GBNWY_001461-T1, GBNWY_004422-T1, GBNWY_009766-T1
OG0000057	GBNWX_001374-T1, GBNWX_002598-T1, GBNWX_004227-T1, GBNWX_007337-T1	GBNWY_000280-T1, GBNWY_001664-T1, GBNWY_003122-T1, GBNWY_004459-T1
OG0000058	GBNWX_001413-T1, GBNWX_003048-T1, GBNWX_003264-T1, GBNWX_007575-T1	GBNWY_001710-T1, GBNWY_003559-T1, GBNWY_003613-T1, GBNWY_007656-T1
OG0000059	GBNWX_001458-T1, GBNWX_002366-T1, GBNWX_005514-T1, GBNWX_006669-T1	GBNWY_000946-T1, GBNWY_002817-T1, GBNWY_003159-T1, GBNWY_009038-T1
OG0000060	GBNWX_001685-T1, GBNWX_003703-T1, GBNWX_004519-T1, GBNWX_010818-T1	GBNWY_001989-T1, GBNWY_002242-T1, GBNWY_004234-T1, GBNWY_004604-T1
OG0000061	GBNWX_001721-T1, GBNWX_005487-T1, GBNWX_007086-T1, GBNWX_010532-T1	GBNWY_000278-T1, GBNWY_004003-T1, GBNWY_006063-T1, GBNWY_007256-T1
OG0000062	GBNWX_002669-T1, GBNWX_003533-T1, GBNWX_008014-T1, GBNWX_009882-T1	GBNWY_003530-T1, GBNWY_003815-T1, GBNWY_004940-T1, GBNWY_007890-T1
OG0000063	GBNWX_002729-T1, GBNWX_006215-T1, GBNWX_008971-T1, GBNWX_009179-T1	GBNWY_000049-T1, GBNWY_003127-T1, GBNWY_004964-T1, GBNWY_010546-T1
OG0000064	GBNWX_003015-T1, GBNWX_006234-T1, GBNWX_007634-T1, GBNWX_010138-T1	GBNWY_005000-T1, GBNWY_006220-T1, GBNWY_010327-T1, GBNWY_010659-T1
OG0000065	GBNWX_003148-T1, GBNWX_003197-T1, GBNWX_007819-T1, GBNWX_009914-T1	GBNWY_003084-T1, GBNWY_006679-T1, GBNWY_006978-T1, GBNWY_008492-T1
OG0000066	GBNWX_003177-T1, GBNWX_006318-T1, GBNWX_006320-T1, GBNWX_009330-T1	GBNWY_002194-T1, GBNWY_006164-T1, GBNWY_006166-T1, GBNWY_008590-T1
OG0000067	GBNWX_003219-T1, GBNWX_005720-T1, GBNWX_009062-T1, GBNWX_009504-T1	GBNWY_002316-T1, GBNWY_006093-T1, GBNWY_009487-T1, GBNWY_009837-T1
OG0000068	GBNWX_003299-T1, GBNWX_005026-T1, GBNWX_006815-T1, GBNWX_007075-T1	GBNWY_003204-T1, GBNWY_005137-T1, GBNWY_007086-T1, GBNWY_007355-T1
OG0000069	GBNWX_003562-T1, GBNWX_006489-T1, GBNWX_007446-T1, GBNWX_010768-T1	GBNWY_000452-T1, GBNWY_001531-T1, GBNWY_003853-T1, GBNWY_008101-T1
OG0000070	GBNWX_003660-T1, GBNWX_004204-T1, GBNWX_004328-T1, GBNWX_010475-T1	GBNWY_002424-T1, GBNWY_005930-T1, GBNWY_010134-T1, GBNWY_010896-T1
OG0000071	GBNWX_004121-T1, GBNWX_004506-T1, GBNWX_005765-T1, GBNWX_007032-T1	GBNWY_000108-T1, GBNWY_002375-T1, GBNWY_004791-T1, GBNWY_007221-T1
OG0000072	GBNWX_004902-T1, GBNWX_006847-T1, GBNWX_007029-T1, GBNWX_010032-T1	GBNWY_000106-T1, GBNWY_002501-T1, GBNWY_007028-T1, GBNWY_010290-T1
OG0000073	GBNWX_005020-T1, GBNWX_005271-T1, GBNWX_007085-T1, GBNWX_009711-T1	GBNWY_000611-T1, GBNWY_001925-T1, GBNWY_003317-T1, GBNWY_007258-T1
OG0000074	GBNWX_005047-T1, GBNWX_010751-T1, GBNWX_010753-T1, GBNWX_010754-T1	GBNWY_002918-T1, GBNWY_002920-T1, GBNWY_002921-T1, GBNWY_009127-T1
OG0000075	GBNWX_005103-T1, GBNWX_007906-T1, GBNWX_011009-T1, GBNWX_011078-T1	GBNWY_006552-T1, GBNWY_007796-T1, GBNWY_009441-T1, GBNWY_010027-T1
OG0000076	GBNWX_005900-T1, GBNWX_007275-T1, GBNWX_007885-T1, GBNWX_008596-T1	GBNWY_001201-T1, GBNWY_005644-T1, GBNWY_008906-T1, GBNWY_009055-T1
OG0000077	GBNWX_006747-T1, GBNWX_007059-T1, GBNWX_008301-T1, GBNWX_009454-T1	GBNWY_000526-T1, GBNWY_006674-T1, GBNWY_007051-T1, GBNWY_009089-T1
OG0000078	GBNWX_007102-T1, GBNWX_007121-T1	GBNWY_001347-T1, GBNWY_005991-T1, GBNWY_006777-T1, GBNWY_007915-T1, GBNWY_008511-T1, GBNWY_009719-T1
OG0000079		GBNWY_000497-T1, GBNWY_000689-T1, GBNWY_002201-T1, GBNWY_004288-T1, GBNWY_004682-T1, GBNWY_004751-T1, GBNWY_006792-T1, GBNWY_008519-T1
OG0000080	GBNWX_000010-T1, GBNWX_004086-T1, GBNWX_007917-T1	GBNWY_001108-T1, GBNWY_007119-T1, GBNWY_010266-T1, GBNWY_010589-T1
OG0000081	GBNWX_000045-T1, GBNWX_001099-T1, GBNWX_001439-T1, GBNWX_003032-T1, GBNWX_003590-T1, GBNWX_005918-T1, GBNWX_006673-T1	
OG0000082	GBNWX_000290-T1, GBNWX_007120-T1, GBNWX_008132-T1	GBNWY_000632-T1, GBNWY_003237-T1, GBNWY_003238-T1, GBNWY_010409-T1
OG0000083	GBNWX_001148-T1, GBNWX_008363-T1, GBNWX_010254-T1, GBNWX_010281-T1	GBNWY_001572-T1, GBNWY_004208-T1, GBNWY_004673-T1
OG0000084	GBNWX_001194-T1, GBNWX_007813-T1, GBNWX_009031-T1, GBNWX_009032-T1	GBNWY_001430-T1, GBNWY_006985-T1, GBNWY_008700-T1
OG0000085	GBNWX_001226-T1, GBNWX_004442-T1, GBNWX_006995-T1	GBNWY_000074-T1, GBNWY_004157-T1, GBNWY_004869-T1, GBNWY_011146-T1
OG0000086	GBNWX_001311-T1, GBNWX_004621-T1, GBNWX_004622-T1	GBNWY_001625-T1, GBNWY_001626-T1, GBNWY_001835-T1, GBNWY_001836-T1
OG0000087	GBNWX_001339-T1, GBNWX_004584-T1, GBNWX_004604-T1, GBNWX_006422-T1, GBNWX_006872-T1, GBNWX_007580-T1, GBNWX_009068-T1	
OG0000088	GBNWX_001881-T1, GBNWX_008811-T1, GBNWX_009814-T1	GBNWY_002040-T1, GBNWY_002096-T1, GBNWY_008570-T1, GBNWY_008666-T1
OG0000089	GBNWX_001986-T1, GBNWX_003193-T1, GBNWX_007118-T1, GBNWX_008803-T1	GBNWY_002331-T1, GBNWY_002642-T1, GBNWY_003240-T1
OG0000090	GBNWX_002412-T1, GBNWX_007677-T1, GBNWX_009324-T1	GBNWY_003537-T1, GBNWY_008333-T1, GBNWY_008462-T1, GBNWY_008958-T1
OG0000091	GBNWX_002646-T1, GBNWX_003597-T1, GBNWX_008426-T1	GBNWY_004339-T1, GBNWY_007749-T1, GBNWY_008291-T1, GBNWY_009836-T1
OG0000092	GBNWX_002656-T1, GBNWX_004324-T1, GBNWX_007731-T1	GBNWY_005934-T1, GBNWY_007580-T1, GBNWY_007581-T1, GBNWY_007878-T1
OG0000093	GBNWX_003770-T1, GBNWX_007667-T1, GBNWX_009806-T1	GBNWY_004057-T1, GBNWY_007431-T1, GBNWY_007432-T1, GBNWY_008578-T1
OG0000094	GBNWX_004531-T1, GBNWX_004610-T1, GBNWX_006650-T1	GBNWY_000934-T1, GBNWY_004725-T1, GBNWY_004726-T1, GBNWY_007667-T1
OG0000095	GBNWX_005080-T1, GBNWX_007182-T1, GBNWX_007691-T1	GBNWY_005089-T1, GBNWY_005115-T1, GBNWY_008477-T1, GBNWY_008478-T1
OG0000096	GBNWX_005893-T1, GBNWX_008724-T1, GBNWX_009079-T1	GBNWY_001194-T1, GBNWY_005334-T1, GBNWY_005335-T1, GBNWY_009013-T1
OG0000097	GBNWX_006509-T1, GBNWX_007931-T1, GBNWX_008892-T1	GBNWY_006235-T1, GBNWY_007731-T1, GBNWY_009146-T1, GBNWY_010576-T1
OG0000098	GBNWX_007765-T1, GBNWX_010889-T1	GBNWY_005447-T1, GBNWY_006774-T1, GBNWY_007540-T1, GBNWY_008129-T1, GBNWY_009567-T1
OG0000099	GBNWX_008476-T1, GBNWX_008538-T1, GBNWX_008539-T1, GBNWX_010188-T1	GBNWY_003750-T1, GBNWY_008234-T1, GBNWY_009696-T1
OG0000100		GBNWY_000292-T1, GBNWY_002969-T1, GBNWY_004980-T1, GBNWY_004981-T1, GBNWY_005806-T1, GBNWY_007154-T1, GBNWY_010303-T1
OG0000101		GBNWY_001329-T1, GBNWY_001339-T1, GBNWY_001460-T1, GBNWY_004695-T1, GBNWY_006875-T1, GBNWY_007661-T1, GBNWY_009482-T1
OG0000102	GBNWX_000001-T1, GBNWX_001141-T1, GBNWX_003951-T1	GBNWY_001579-T1, GBNWY_004189-T1, GBNWY_007111-T1
OG0000103	GBNWX_000011-T1, GBNWX_007918-T1, GBNWX_008531-T1	GBNWY_004126-T1, GBNWY_007120-T1, GBNWY_010588-T1
OG0000104	GBNWX_000014-T1, GBNWX_003039-T1, GBNWX_007736-T1	GBNWY_003568-T1, GBNWY_007123-T1, GBNWY_010178-T1
OG0000105	GBNWX_000042-T1, GBNWX_002614-T1, GBNWX_005130-T1	GBNWY_004371-T1, GBNWY_006525-T1, GBNWY_007151-T1
OG0000106	GBNWX_000049-T1, GBNWX_006429-T1, GBNWX_008739-T1	GBNWY_000385-T1, GBNWY_007159-T1, GBNWY_008502-T1
OG0000107	GBNWX_000067-T1, GBNWX_002124-T1, GBNWX_009716-T1	GBNWY_001920-T1, GBNWY_007176-T1, GBNWY_009233-T1
OG0000108	GBNWX_000073-T1, GBNWX_000640-T1, GBNWX_006426-T1	GBNWY_000388-T1, GBNWY_000417-T1, GBNWY_007182-T1
OG0000109	GBNWX_000087-T1, GBNWX_006274-T1, GBNWX_007491-T1	GBNWY_001104-T1, GBNWY_003301-T1, GBNWY_009383-T1
OG0000110	GBNWX_000099-T1, GBNWX_001603-T1, GBNWX_006150-T1	GBNWY_006358-T1, GBNWY_009371-T1, GBNWY_010977-T1
OG0000111	GBNWX_000143-T1, GBNWX_001849-T1, GBNWX_005691-T1	GBNWY_002992-T1, GBNWY_006031-T1, GBNWY_007675-T1
OG0000112	GBNWX_000168-T1, GBNWX_007964-T1, GBNWX_008338-T1	GBNWY_000467-T1, GBNWY_007851-T1, GBNWY_008722-T1
OG0000113	GBNWX_000186-T1, GBNWX_001258-T1, GBNWX_002978-T1	GBNWY_001381-T1, GBNWY_007728-T1, GBNWY_010154-T1
OG0000114	GBNWX_000217-T1, GBNWX_006305-T1, GBNWX_009000-T1	GBNWY_000979-T1, GBNWY_005375-T1, GBNWY_007240-T1
OG0000115	GBNWX_000218-T1, GBNWX_001848-T1, GBNWX_009297-T1	GBNWY_002993-T1, GBNWY_005374-T1, GBNWY_009802-T1
OG0000116	GBNWX_000292-T1, GBNWX_007933-T1, GBNWX_008440-T1	GBNWY_000634-T1, GBNWY_004123-T1, GBNWY_010574-T1
OG0000117	GBNWX_000318-T1, GBNWX_003366-T1, GBNWX_010017-T1	GBNWY_000691-T1, GBNWY_003964-T1, GBNWY_010274-T1
OG0000118	GBNWX_000415-T1, GBNWX_002018-T1, GBNWX_010675-T1	GBNWY_001166-T1, GBNWY_001881-T1, GBNWY_009551-T1
OG0000119	GBNWX_000475-T1, GBNWX_000703-T1, GBNWX_002122-T1	GBNWY_003920-T1, GBNWY_005521-T1, GBNWY_009231-T1
OG0000120	GBNWX_000489-T1, GBNWX_003182-T1, GBNWX_008347-T1	GBNWY_002189-T1, GBNWY_005535-T1, GBNWY_007895-T1
OG0000121	GBNWX_000501-T1, GBNWX_005029-T1	GBNWY_000808-T1, GBNWY_004598-T1, GBNWY_005140-T1, GBNWY_006943-T1
OG0000122	GBNWX_000513-T1, GBNWX_002850-T1, GBNWX_005851-T1	GBNWY_000820-T1, GBNWY_004451-T1, GBNWY_005667-T1
OG0000123	GBNWX_000545-T1, GBNWX_001072-T1, GBNWX_008488-T1	GBNWY_000833-T1, GBNWY_001416-T1, GBNWY_008762-T1
OG0000124	GBNWX_000629-T1, GBNWX_001687-T1, GBNWX_007393-T1	GBNWY_000999-T1, GBNWY_001991-T1, GBNWY_006769-T1
OG0000125	GBNWX_000665-T1, GBNWX_003788-T1, GBNWX_007420-T1	GBNWY_005450-T1, GBNWY_009968-T1, GBNWY_010848-T1
OG0000126	GBNWX_000679-T1, GBNWX_003331-T1, GBNWX_010135-T1	GBNWY_003735-T1, GBNWY_009955-T1, GBNWY_010662-T1
OG0000127	GBNWX_000685-T1, GBNWX_001126-T1, GBNWX_001395-T1	GBNWY_001594-T1, GBNWY_001728-T1, GBNWY_009949-T1
OG0000128	GBNWX_000761-T1, GBNWX_006696-T1, GBNWX_007311-T1	GBNWY_001374-T1, GBNWY_007393-T1, GBNWY_009455-T1
OG0000129	GBNWX_000950-T1, GBNWX_005275-T1, GBNWX_007457-T1	GBNWY_001808-T1, GBNWY_003321-T1, GBNWY_007032-T1
OG0000130	GBNWX_001038-T1, GBNWX_004788-T1, GBNWX_008408-T1	GBNWY_002063-T1, GBNWY_007767-T1, GBNWY_010776-T1
OG0000131	GBNWX_001068-T1, GBNWX_008848-T1, GBNWX_009569-T1	GBNWY_001413-T1, GBNWY_008601-T1, GBNWY_010360-T1
OG0000132	GBNWX_001127-T1, GBNWX_005140-T1, GBNWX_011018-T1	GBNWY_001593-T1, GBNWY_002266-T1, GBNWY_011115-T1
OG0000133	GBNWX_001146-T1, GBNWX_004929-T1, GBNWX_010068-T1	GBNWY_001574-T1, GBNWY_002528-T1, GBNWY_008437-T1
OG0000134	GBNWX_001209-T1, GBNWX_002203-T1, GBNWX_005368-T1	GBNWY_001446-T1, GBNWY_002612-T1, GBNWY_007509-T1
