	Pirella_circinans_RSA_622-.aa	Pirella_circinans_RSA_682.aa
OG0009154	GBNTW_004038-T1	
OG0009155	GBNTW_004070-T1	
OG0009156	GBNTW_004071-T1	
OG0009157	GBNTW_004098-T1	
OG0009158	GBNTW_004104-T1	
OG0009159	GBNTW_004110-T1	
OG0009160	GBNTW_004114-T1	
OG0009161	GBNTW_004133-T1	
OG0009162	GBNTW_004158-T1	
OG0009163	GBNTW_004163-T1	
OG0009164	GBNTW_004168-T1	
OG0009165	GBNTW_004170-T1	
OG0009166	GBNTW_004173-T1	
OG0009167	GBNTW_004187-T1	
OG0009168	GBNTW_004191-T1	
OG0009169	GBNTW_004197-T1	
OG0009170	GBNTW_004211-T1	
OG0009171	GBNTW_004215-T1	
OG0009172	GBNTW_004236-T1	
OG0009173	GBNTW_004254-T1	
OG0009174	GBNTW_004269-T1	
OG0009175	GBNTW_004285-T1	
OG0009176	GBNTW_004289-T1	
OG0009177	GBNTW_004290-T1	
OG0009178	GBNTW_004309-T1	
OG0009179	GBNTW_004336-T1	
OG0009180	GBNTW_004350-T1	
OG0009181	GBNTW_004369-T1	
OG0009182	GBNTW_004376-T1	
OG0009183	GBNTW_004395-T1	
OG0009184	GBNTW_004406-T1	
OG0009185	GBNTW_004412-T1	
OG0009186	GBNTW_004419-T1	
OG0009187	GBNTW_004438-T1	
OG0009188	GBNTW_004449-T1	
OG0009189	GBNTW_004482-T1	
OG0009190	GBNTW_004531-T1	
OG0009191	GBNTW_004557-T1	
OG0009192	GBNTW_004581-T1	
OG0009193	GBNTW_004593-T1	
OG0009194	GBNTW_004595-T1	
OG0009195	GBNTW_004607-T1	
OG0009196	GBNTW_004608-T1	
OG0009197	GBNTW_004682-T1	
OG0009198	GBNTW_004689-T1	
OG0009199	GBNTW_004722-T1	
OG0009200	GBNTW_004734-T1	
OG0009201	GBNTW_004809-T1	
OG0009202	GBNTW_004820-T1	
OG0009203	GBNTW_004835-T1	
OG0009204	GBNTW_004838-T1	
OG0009205	GBNTW_004842-T1	
OG0009206	GBNTW_004843-T1	
OG0009207	GBNTW_004853-T1	
OG0009208	GBNTW_004865-T1	
OG0009209	GBNTW_004871-T1	
OG0009210	GBNTW_004899-T1	
OG0009211	GBNTW_004906-T1	
OG0009212	GBNTW_004930-T1	
OG0009213	GBNTW_004941-T1	
OG0009214	GBNTW_004962-T1	
OG0009215	GBNTW_004987-T1	
OG0009216	GBNTW_005050-T1	
OG0009217	GBNTW_005055-T1	
OG0009218	GBNTW_005060-T1	
OG0009219	GBNTW_005108-T1	
OG0009220	GBNTW_005115-T1	
OG0009221	GBNTW_005116-T1	
OG0009222	GBNTW_005132-T1	
OG0009223	GBNTW_005139-T1	
OG0009224	GBNTW_005147-T1	
OG0009225	GBNTW_005162-T1	
OG0009226	GBNTW_005170-T1	
OG0009227	GBNTW_005221-T1	
OG0009228	GBNTW_005243-T1	
OG0009229	GBNTW_005253-T1	
OG0009230	GBNTW_005291-T1	
OG0009231	GBNTW_005376-T1	
OG0009232	GBNTW_005416-T1	
OG0009233	GBNTW_005423-T1	
OG0009234	GBNTW_005440-T1	
OG0009235	GBNTW_005458-T1	
OG0009236	GBNTW_005470-T1	
OG0009237	GBNTW_005498-T1	
OG0009238	GBNTW_005514-T1	
OG0009239	GBNTW_005516-T1	
OG0009240	GBNTW_005542-T1	
OG0009241	GBNTW_005551-T1	
OG0009242	GBNTW_005553-T1	
OG0009243	GBNTW_005576-T1	
OG0009244	GBNTW_005601-T1	
OG0009245	GBNTW_005619-T1	
OG0009246	GBNTW_005629-T1	
OG0009247	GBNTW_005643-T1	
OG0009248	GBNTW_005665-T1	
OG0009249	GBNTW_005698-T1	
OG0009250	GBNTW_005701-T1	
OG0009251	GBNTW_005707-T1	
OG0009252	GBNTW_005724-T1	
OG0009253	GBNTW_005795-T1	
OG0009254	GBNTW_005825-T1	
OG0009255	GBNTW_005883-T1	
OG0009256	GBNTW_005886-T1	
OG0009257	GBNTW_005898-T1	
OG0009258	GBNTW_005910-T1	
OG0009259	GBNTW_005926-T1	
OG0009260	GBNTW_005942-T1	
OG0009261	GBNTW_005944-T1	
OG0009262	GBNTW_005950-T1	
OG0009263	GBNTW_005962-T1	
OG0009264	GBNTW_006014-T1	
OG0009265	GBNTW_006068-T1	
OG0009266	GBNTW_006072-T1	
OG0009267	GBNTW_006116-T1	
OG0009268	GBNTW_006137-T1	
OG0009269	GBNTW_006138-T1	
OG0009270	GBNTW_006146-T1	
OG0009271	GBNTW_006156-T1	
OG0009272	GBNTW_006209-T1	
OG0009273	GBNTW_006218-T1	
OG0009274	GBNTW_006246-T1	
OG0009275	GBNTW_006250-T1	
OG0009276	GBNTW_006251-T1	
OG0009277	GBNTW_006253-T1	
OG0009278	GBNTW_006255-T1	
OG0009279	GBNTW_006277-T1	
OG0009280	GBNTW_006322-T1	
OG0009281	GBNTW_006340-T1	
OG0009282	GBNTW_006342-T1	
OG0009283	GBNTW_006346-T1	
OG0009284	GBNTW_006366-T1	
OG0009285	GBNTW_006368-T1	
OG0009286	GBNTW_006373-T1	
OG0009287	GBNTW_006438-T1	
OG0009288	GBNTW_006442-T1	
OG0009289	GBNTW_006452-T1	
OG0009290	GBNTW_006459-T1	
OG0009291	GBNTW_006490-T1	
OG0009292	GBNTW_006510-T1	
OG0009293	GBNTW_006542-T1	
OG0009294	GBNTW_006554-T1	
OG0009295	GBNTW_006561-T1	
OG0009296	GBNTW_006588-T1	
OG0009297	GBNTW_006591-T1	
OG0009298	GBNTW_006604-T1	
OG0009299	GBNTW_006638-T1	
OG0009300	GBNTW_006643-T1	
OG0009301	GBNTW_006666-T1	
OG0009302	GBNTW_006688-T1	
OG0009303	GBNTW_006691-T1	
OG0009304	GBNTW_006692-T1	
OG0009305	GBNTW_006695-T1	
OG0009306	GBNTW_006703-T1	
OG0009307	GBNTW_006704-T1	
OG0009308	GBNTW_006717-T1	
OG0009309	GBNTW_006733-T1	
OG0009310	GBNTW_006758-T1	
OG0009311	GBNTW_006777-T1	
OG0009312	GBNTW_006817-T1	
OG0009313	GBNTW_006828-T1	
OG0009314	GBNTW_006842-T1	
OG0009315	GBNTW_006845-T1	
OG0009316	GBNTW_006856-T1	
OG0009317	GBNTW_006858-T1	
OG0009318	GBNTW_006862-T1	
OG0009319	GBNTW_006890-T1	
OG0009320	GBNTW_006894-T1	
OG0009321	GBNTW_006904-T1	
OG0009322	GBNTW_006923-T1	
OG0009323	GBNTW_006924-T1	
OG0009324	GBNTW_006947-T1	
OG0009325	GBNTW_006948-T1	
OG0009326	GBNTW_006957-T1	
OG0009327	GBNTW_006962-T1	
OG0009328	GBNTW_006966-T1	
OG0009329	GBNTW_006968-T1	
OG0009330	GBNTW_006982-T1	
OG0009331	GBNTW_006994-T1	
OG0009332	GBNTW_007031-T1	
OG0009333	GBNTW_007032-T1	
OG0009334	GBNTW_007040-T1	
OG0009335	GBNTW_007041-T1	
OG0009336	GBNTW_007071-T1	
OG0009337	GBNTW_007088-T1	
OG0009338	GBNTW_007092-T1	
OG0009339	GBNTW_007107-T1	
OG0009340	GBNTW_007110-T1	
OG0009341	GBNTW_007141-T1	
OG0009342	GBNTW_007148-T1	
OG0009343	GBNTW_007212-T1	
OG0009344	GBNTW_007229-T1	
OG0009345	GBNTW_007235-T1	
OG0009346	GBNTW_007239-T1	
OG0009347	GBNTW_007254-T1	
OG0009348	GBNTW_007313-T1	
OG0009349	GBNTW_007314-T1	
OG0009350	GBNTW_007344-T1	
OG0009351	GBNTW_007354-T1	
OG0009352	GBNTW_007356-T1	
OG0009353	GBNTW_007363-T1	
OG0009354	GBNTW_007373-T1	
OG0009355	GBNTW_007376-T1	
OG0009356	GBNTW_007384-T1	
OG0009357	GBNTW_007431-T1	
OG0009358	GBNTW_007448-T1	
OG0009359	GBNTW_007454-T1	
OG0009360	GBNTW_007455-T1	
OG0009361	GBNTW_007461-T1	
OG0009362	GBNTW_007466-T1	
OG0009363	GBNTW_007503-T1	
OG0009364	GBNTW_007531-T1	
OG0009365	GBNTW_007541-T1	
OG0009366	GBNTW_007550-T1	
OG0009367	GBNTW_007584-T1	
OG0009368	GBNTW_007616-T1	
OG0009369	GBNTW_007684-T1	
OG0009370	GBNTW_007712-T1	
OG0009371	GBNTW_007713-T1	
OG0009372	GBNTW_007757-T1	
OG0009373	GBNTW_007771-T1	
OG0009374	GBNTW_007785-T1	
OG0009375	GBNTW_007794-T1	
OG0009376	GBNTW_007795-T1	
OG0009377	GBNTW_007801-T1	
OG0009378	GBNTW_007804-T1	
OG0009379	GBNTW_007819-T1	
OG0009380	GBNTW_007828-T1	
OG0009381	GBNTW_007849-T1	
OG0009382	GBNTW_007857-T1	
OG0009383	GBNTW_007909-T1	
OG0009384	GBNTW_007919-T1	
OG0009385	GBNTW_007937-T1	
OG0009386	GBNTW_007951-T1	
OG0009387	GBNTW_007968-T1	
OG0009388	GBNTW_007974-T1	
OG0009389	GBNTW_007980-T1	
OG0009390	GBNTW_007989-T1	
OG0009391	GBNTW_008020-T1	
OG0009392	GBNTW_008026-T1	
OG0009393	GBNTW_008089-T1	
OG0009394	GBNTW_008093-T1	
OG0009395	GBNTW_008102-T1	
OG0009396	GBNTW_008106-T1	
OG0009397	GBNTW_008117-T1	
OG0009398	GBNTW_008118-T1	
OG0009399	GBNTW_008146-T1	
OG0009400	GBNTW_008162-T1	
OG0009401	GBNTW_008165-T1	
OG0009402	GBNTW_008191-T1	
OG0009403	GBNTW_008197-T1	
OG0009404	GBNTW_008200-T1	
OG0009405	GBNTW_008201-T1	
OG0009406	GBNTW_008220-T1	
OG0009407	GBNTW_008224-T1	
OG0009408	GBNTW_008230-T1	
OG0009409	GBNTW_008234-T1	
OG0009410	GBNTW_008236-T1	
OG0009411	GBNTW_008271-T1	
OG0009412	GBNTW_008280-T1	
OG0009413	GBNTW_008283-T1	
OG0009414	GBNTW_008295-T1	
OG0009415	GBNTW_008296-T1	
OG0009416	GBNTW_008298-T1	
OG0009417	GBNTW_008361-T1	
OG0009418	GBNTW_008403-T1	
OG0009419	GBNTW_008411-T1	
OG0009420	GBNTW_008433-T1	
OG0009421	GBNTW_008436-T1	
OG0009422	GBNTW_008447-T1	
OG0009423	GBNTW_008495-T1	
OG0009424	GBNTW_008506-T1	
OG0009425	GBNTW_008507-T1	
OG0009426	GBNTW_008509-T1	
OG0009427	GBNTW_008510-T1	
OG0009428	GBNTW_008519-T1	
OG0009429	GBNTW_008547-T1	
OG0009430	GBNTW_008581-T1	
OG0009431	GBNTW_008606-T1	
OG0009432	GBNTW_008609-T1	
OG0009433	GBNTW_008647-T1	
OG0009434	GBNTW_008696-T1	
OG0009435	GBNTW_008704-T1	
OG0009436	GBNTW_008755-T1	
OG0009437	GBNTW_008795-T1	
OG0009438	GBNTW_008817-T1	
OG0009439	GBNTW_008861-T1	
OG0009440	GBNTW_008862-T1	
OG0009441	GBNTW_008868-T1	
OG0009442	GBNTW_008880-T1	
OG0009443	GBNTW_008902-T1	
OG0009444	GBNTW_008905-T1	
OG0009445	GBNTW_008907-T1	
OG0009446	GBNTW_008919-T1	
OG0009447	GBNTW_008922-T1	
OG0009448	GBNTW_008938-T1	
OG0009449	GBNTW_008943-T1	
OG0009450	GBNTW_008966-T1	
OG0009451	GBNTW_008999-T1	
OG0009452	GBNTW_009016-T1	
OG0009453	GBNTW_009026-T1	
OG0009454	GBNTW_009068-T1	
OG0009455	GBNTW_009074-T1	
OG0009456	GBNTW_009107-T1	
OG0009457	GBNTW_009108-T1	
OG0009458	GBNTW_009137-T1	
OG0009459	GBNTW_009147-T1	
OG0009460	GBNTW_009155-T1	
OG0009461	GBNTW_009156-T1	
OG0009462	GBNTW_009167-T1	
OG0009463	GBNTW_009189-T1	
OG0009464	GBNTW_009201-T1	
OG0009465	GBNTW_009223-T1	
OG0009466	GBNTW_009224-T1	
OG0009467	GBNTW_009227-T1	
OG0009468	GBNTW_009235-T1	
OG0009469	GBNTW_009239-T1	
OG0009470	GBNTW_009245-T1	
OG0009471	GBNTW_009249-T1	
OG0009472	GBNTW_009268-T1	
OG0009473	GBNTW_009285-T1	
OG0009474	GBNTW_009290-T1	
OG0009475	GBNTW_009331-T1	
OG0009476	GBNTW_009345-T1	
OG0009477	GBNTW_009368-T1	
OG0009478	GBNTW_009378-T1	
OG0009479	GBNTW_009385-T1	
OG0009480	GBNTW_009394-T1	
OG0009481	GBNTW_009435-T1	
OG0009482	GBNTW_009437-T1	
OG0009483	GBNTW_009446-T1	
OG0009484	GBNTW_009480-T1	
OG0009485	GBNTW_009483-T1	
OG0009486	GBNTW_009484-T1	
OG0009487	GBNTW_009499-T1	
OG0009488	GBNTW_009521-T1	
OG0009489	GBNTW_009528-T1	
OG0009490	GBNTW_009566-T1	
OG0009491	GBNTW_009584-T1	
OG0009492	GBNTW_009593-T1	
OG0009493	GBNTW_009605-T1	
OG0009494	GBNTW_009625-T1	
OG0009495	GBNTW_009659-T1	
OG0009496	GBNTW_009670-T1	
OG0009497	GBNTW_009671-T1	
OG0009498	GBNTW_009688-T1	
OG0009499	GBNTW_009698-T1	
OG0009500	GBNTW_009704-T1	
OG0009501	GBNTW_009705-T1	
OG0009502	GBNTW_009707-T1	
OG0009503	GBNTW_009713-T1	
OG0009504	GBNTW_009749-T1	
OG0009505	GBNTW_009765-T1	
OG0009506	GBNTW_009783-T1	
OG0009507	GBNTW_009803-T1	
OG0009508	GBNTW_009819-T1	
OG0009509	GBNTW_009828-T1	
OG0009510	GBNTW_009850-T1	
OG0009511	GBNTW_009864-T1	
OG0009512	GBNTW_009870-T1	
OG0009513	GBNTW_009887-T1	
OG0009514	GBNTW_009899-T1	
OG0009515	GBNTW_009900-T1	
OG0009516	GBNTW_009929-T1	
OG0009517	GBNTW_009968-T1	
OG0009518	GBNTW_009988-T1	
OG0009519	GBNTW_010003-T1	
OG0009520	GBNTW_010098-T1	
OG0009521	GBNTW_010116-T1	
OG0009522	GBNTW_010121-T1	
OG0009523	GBNTW_010122-T1	
OG0009524	GBNTW_010145-T1	
OG0009525	GBNTW_010177-T1	
OG0009526	GBNTW_010178-T1	
OG0009527	GBNTW_010181-T1	
OG0009528	GBNTW_010182-T1	
OG0009529	GBNTW_010220-T1	
OG0009530	GBNTW_010226-T1	
OG0009531	GBNTW_010243-T1	
OG0009532	GBNTW_010247-T1	
OG0009533	GBNTW_010254-T1	
OG0009534	GBNTW_010267-T1	
OG0009535	GBNTW_010286-T1	
OG0009536	GBNTW_010307-T1	
OG0009537	GBNTW_010310-T1	
OG0009538	GBNTW_010320-T1	
OG0009539	GBNTW_010348-T1	
OG0009540	GBNTW_010389-T1	
OG0009541	GBNTW_010390-T1	
OG0009542	GBNTW_010391-T1	
OG0009543	GBNTW_010399-T1	
OG0009544	GBNTW_010406-T1	
OG0009545	GBNTW_010440-T1	
OG0009546	GBNTW_010463-T1	
OG0009547	GBNTW_010476-T1	
OG0009548	GBNTW_010484-T1	
OG0009549	GBNTW_010485-T1	
OG0009550	GBNTW_010486-T1	
OG0009551	GBNTW_010487-T1	
