	Thamnostylum_lucknowense_RSA_1015_Plus-T.aa	Thamnostylum_lucknowense_RSA_1093-.aa
OG0009376	GBNSX_002849-T1	
OG0009377	GBNSX_002850-T1	
OG0009378	GBNSX_002851-T1	
OG0009379	GBNSX_002855-T1	
OG0009380	GBNSX_002870-T1	
OG0009381	GBNSX_002871-T1	
OG0009382	GBNSX_002872-T1	
OG0009383	GBNSX_002890-T1	
OG0009384	GBNSX_002902-T1	
OG0009385	GBNSX_002915-T1	
OG0009386	GBNSX_002919-T1	
OG0009387	GBNSX_002943-T1	
OG0009388	GBNSX_002959-T1	
OG0009389	GBNSX_002991-T1	
OG0009390	GBNSX_002996-T1	
OG0009391	GBNSX_002997-T1	
OG0009392	GBNSX_003003-T1	
OG0009393	GBNSX_003006-T1	
OG0009394	GBNSX_003009-T1	
OG0009395	GBNSX_003010-T1	
OG0009396	GBNSX_003011-T1	
OG0009397	GBNSX_003029-T1	
OG0009398	GBNSX_003030-T1	
OG0009399	GBNSX_003033-T1	
OG0009400	GBNSX_003034-T1	
OG0009401	GBNSX_003054-T1	
OG0009402	GBNSX_003055-T1	
OG0009403	GBNSX_003057-T1	
OG0009404	GBNSX_003072-T1	
OG0009405	GBNSX_003078-T1	
OG0009406	GBNSX_003079-T1	
OG0009407	GBNSX_003081-T1	
OG0009408	GBNSX_003082-T1	
OG0009409	GBNSX_003084-T1	
OG0009410	GBNSX_003091-T1	
OG0009411	GBNSX_003104-T1	
OG0009412	GBNSX_003106-T1	
OG0009413	GBNSX_003107-T1	
OG0009414	GBNSX_003127-T1	
OG0009415	GBNSX_003129-T1	
OG0009416	GBNSX_003130-T1	
OG0009417	GBNSX_003149-T1	
OG0009418	GBNSX_003189-T1	
OG0009419	GBNSX_003192-T1	
OG0009420	GBNSX_003193-T1	
OG0009421	GBNSX_003194-T1	
OG0009422	GBNSX_003196-T1	
OG0009423	GBNSX_003199-T1	
OG0009424	GBNSX_003229-T1	
OG0009425	GBNSX_003233-T1	
OG0009426	GBNSX_003237-T1	
OG0009427	GBNSX_003242-T1	
OG0009428	GBNSX_003251-T1	
OG0009429	GBNSX_003253-T1	
OG0009430	GBNSX_003266-T1	
OG0009431	GBNSX_003269-T1	
OG0009432	GBNSX_003274-T1	
OG0009433	GBNSX_003275-T1	
OG0009434	GBNSX_003276-T1	
OG0009435	GBNSX_003279-T1	
OG0009436	GBNSX_003291-T1	
OG0009437	GBNSX_003295-T1	
OG0009438	GBNSX_003296-T1	
OG0009439	GBNSX_003297-T1	
OG0009440	GBNSX_003314-T1	
OG0009441	GBNSX_003324-T1	
OG0009442	GBNSX_003325-T1	
OG0009443	GBNSX_003344-T1	
OG0009444	GBNSX_003345-T1	
OG0009445	GBNSX_003346-T1	
OG0009446	GBNSX_003371-T1	
OG0009447	GBNSX_003374-T1	
OG0009448	GBNSX_003379-T1	
OG0009449	GBNSX_003383-T1	
OG0009450	GBNSX_003395-T1	
OG0009451	GBNSX_003397-T1	
OG0009452	GBNSX_003403-T1	
OG0009453	GBNSX_003407-T1	
OG0009454	GBNSX_003415-T1	
OG0009455	GBNSX_003416-T1	
OG0009456	GBNSX_003417-T1	
OG0009457	GBNSX_003418-T1	
OG0009458	GBNSX_003429-T1	
OG0009459	GBNSX_003437-T1	
OG0009460	GBNSX_003438-T1	
OG0009461	GBNSX_003456-T1	
OG0009462	GBNSX_003457-T1	
OG0009463	GBNSX_003458-T1	
OG0009464	GBNSX_003473-T1	
OG0009465	GBNSX_003479-T1	
OG0009466	GBNSX_003481-T1	
OG0009467	GBNSX_003503-T1	
OG0009468	GBNSX_003505-T1	
OG0009469	GBNSX_003513-T1	
OG0009470	GBNSX_003558-T1	
OG0009471	GBNSX_003563-T1	
OG0009472	GBNSX_003584-T1	
OG0009473	GBNSX_003587-T1	
OG0009474	GBNSX_003595-T1	
OG0009475	GBNSX_003602-T1	
OG0009476	GBNSX_003604-T1	
OG0009477	GBNSX_003628-T1	
OG0009478	GBNSX_003632-T1	
OG0009479	GBNSX_003633-T1	
OG0009480	GBNSX_003634-T1	
OG0009481	GBNSX_003635-T1	
OG0009482	GBNSX_003656-T1	
OG0009483	GBNSX_003657-T1	
OG0009484	GBNSX_003658-T1	
OG0009485	GBNSX_003662-T1	
OG0009486	GBNSX_003663-T1	
OG0009487	GBNSX_003672-T1	
OG0009488	GBNSX_003679-T1	
OG0009489	GBNSX_003681-T1	
OG0009490	GBNSX_003696-T1	
OG0009491	GBNSX_003698-T1	
OG0009492	GBNSX_003701-T1	
OG0009493	GBNSX_003703-T1	
OG0009494	GBNSX_003704-T1	
OG0009495	GBNSX_003707-T1	
OG0009496	GBNSX_003716-T1	
OG0009497	GBNSX_003717-T1	
OG0009498	GBNSX_003718-T1	
OG0009499	GBNSX_003719-T1	
OG0009500	GBNSX_003720-T1	
OG0009501	GBNSX_003723-T1	
OG0009502	GBNSX_003725-T1	
OG0009503	GBNSX_003726-T1	
OG0009504	GBNSX_003728-T1	
OG0009505	GBNSX_003730-T1	
OG0009506	GBNSX_003731-T1	
OG0009507	GBNSX_003740-T1	
OG0009508	GBNSX_003741-T1	
OG0009509	GBNSX_003750-T1	
OG0009510	GBNSX_003765-T1	
OG0009511	GBNSX_003769-T1	
OG0009512	GBNSX_003770-T1	
OG0009513	GBNSX_003771-T1	
OG0009514	GBNSX_003772-T1	
OG0009515	GBNSX_003773-T1	
OG0009516	GBNSX_003777-T1	
OG0009517	GBNSX_003778-T1	
OG0009518	GBNSX_003786-T1	
OG0009519	GBNSX_003791-T1	
OG0009520	GBNSX_003792-T1	
OG0009521	GBNSX_003793-T1	
OG0009522	GBNSX_003794-T1	
OG0009523	GBNSX_003796-T1	
OG0009524	GBNSX_003806-T1	
OG0009525	GBNSX_003809-T1	
OG0009526	GBNSX_003812-T1	
OG0009527	GBNSX_003813-T1	
OG0009528	GBNSX_003814-T1	
OG0009529	GBNSX_003817-T1	
OG0009530	GBNSX_003818-T1	
OG0009531	GBNSX_003820-T1	
OG0009532	GBNSX_003833-T1	
OG0009533	GBNSX_003834-T1	
OG0009534	GBNSX_003835-T1	
OG0009535	GBNSX_003841-T1	
OG0009536	GBNSX_003863-T1	
OG0009537	GBNSX_003871-T1	
OG0009538	GBNSX_003874-T1	
OG0009539	GBNSX_003884-T1	
OG0009540	GBNSX_003889-T1	
OG0009541	GBNSX_003892-T1	
OG0009542	GBNSX_003894-T1	
OG0009543	GBNSX_003895-T1	
OG0009544	GBNSX_003896-T1	
OG0009545	GBNSX_003897-T1	
OG0009546	GBNSX_003904-T1	
OG0009547	GBNSX_003911-T1	
OG0009548	GBNSX_003916-T1	
OG0009549	GBNSX_003919-T1	
