	Circinella_umbellata_RSA_505-.aa	Circinella_umbellata_RSA_505_Plus.aa
OG0000010	GBNWG_001113-T1, GBNWG_002324-T1, GBNWG_002958-T1, GBNWG_002975-T1, GBNWG_003026-T1, GBNWG_003957-T1, GBNWG_004149-T1, GBNWG_006048-T1, GBNWG_006155-T1, GBNWG_006296-T1, GBNWG_008421-T1, GBNWG_008893-T1, GBNWG_008985-T1, GBNWG_009317-T1	
OG0000011	GBNWG_009640-T1	GBNWH_001028-T1, GBNWH_001029-T1, GBNWH_001215-T1, GBNWH_002859-T1, GBNWH_006219-T1, GBNWH_009476-T1, GBNWH_009669-T1, GBNWH_009673-T1, GBNWH_010177-T1, GBNWH_010178-T1, GBNWH_010179-T1, GBNWH_010806-T1, GBNWH_011641-T1
OG0000012		GBNWH_000241-T1, GBNWH_003058-T1, GBNWH_003354-T1, GBNWH_004475-T1, GBNWH_004476-T1, GBNWH_004653-T1, GBNWH_008494-T1, GBNWH_009044-T1, GBNWH_009121-T1, GBNWH_009530-T1, GBNWH_011467-T1, GBNWH_011710-T1, GBNWH_012131-T1, GBNWH_012152-T1
OG0000013		GBNWH_000340-T1, GBNWH_001127-T1, GBNWH_001597-T1, GBNWH_001751-T1, GBNWH_002081-T1, GBNWH_004041-T1, GBNWH_004732-T1, GBNWH_007259-T1, GBNWH_007441-T1, GBNWH_008808-T1, GBNWH_009547-T1, GBNWH_012056-T1, GBNWH_012060-T1, GBNWH_012061-T1
OG0000014	GBNWG_000188-T1, GBNWG_002926-T1, GBNWG_008057-T1	GBNWH_001861-T1, GBNWH_001862-T1, GBNWH_001863-T1, GBNWH_003173-T1, GBNWH_004778-T1, GBNWH_004779-T1, GBNWH_005328-T1, GBNWH_008158-T1, GBNWH_009125-T1, GBNWH_011900-T1
OG0000015	GBNWG_001663-T1, GBNWG_002568-T1, GBNWG_003077-T1, GBNWG_003079-T1, GBNWG_003212-T1, GBNWG_003225-T1, GBNWG_003981-T1, GBNWG_005724-T1, GBNWG_008355-T1, GBNWG_008407-T1, GBNWG_008408-T1, GBNWG_009012-T1	GBNWH_005920-T1
OG0000016	GBNWG_005945-T1, GBNWG_008623-T1, GBNWG_008996-T1, GBNWG_009202-T1	GBNWH_001464-T1, GBNWH_003399-T1, GBNWH_003685-T1, GBNWH_004236-T1, GBNWH_005170-T1, GBNWH_006870-T1, GBNWH_007872-T1, GBNWH_010281-T1, GBNWH_012104-T1
OG0000017	GBNWG_000197-T1, GBNWG_001066-T1, GBNWG_003020-T1, GBNWG_003700-T1, GBNWG_003881-T1, GBNWG_005493-T1, GBNWG_007286-T1, GBNWG_007961-T1, GBNWG_008301-T1, GBNWG_009087-T1, GBNWG_009878-T1, GBNWG_009922-T1	
OG0000018	GBNWG_001473-T1, GBNWG_002701-T1, GBNWG_004069-T1, GBNWG_004861-T1, GBNWG_005601-T1, GBNWG_006520-T1, GBNWG_008995-T1	GBNWH_000442-T1, GBNWH_000640-T1, GBNWH_009603-T1, GBNWH_010376-T1, GBNWH_010489-T1
OG0000019	GBNWG_004644-T1, GBNWG_006995-T1	GBNWH_001038-T1, GBNWH_002289-T1, GBNWH_002592-T1, GBNWH_003171-T1, GBNWH_003172-T1, GBNWH_003688-T1, GBNWH_003804-T1, GBNWH_005993-T1, GBNWH_009310-T1, GBNWH_011661-T1
OG0000020	GBNWG_007596-T1	GBNWH_001447-T1, GBNWH_003188-T1, GBNWH_004621-T1, GBNWH_005311-T1, GBNWH_006096-T1, GBNWH_006253-T1, GBNWH_007854-T1, GBNWH_009345-T1, GBNWH_009817-T1, GBNWH_010050-T1, GBNWH_011057-T1
OG0000021	GBNWG_000809-T1, GBNWG_001651-T1, GBNWG_006540-T1	GBNWH_002554-T1, GBNWH_003944-T1, GBNWH_005972-T1, GBNWH_005975-T1, GBNWH_006830-T1, GBNWH_007690-T1, GBNWH_010968-T1, GBNWH_010969-T1
OG0000022	GBNWG_001118-T1, GBNWG_005816-T1, GBNWG_008810-T1	GBNWH_000528-T1, GBNWH_002912-T1, GBNWH_002975-T1, GBNWH_007502-T1, GBNWH_008606-T1, GBNWH_008607-T1, GBNWH_010075-T1, GBNWH_010722-T1
OG0000023	GBNWG_003983-T1, GBNWG_005398-T1, GBNWG_005599-T1, GBNWG_006443-T1, GBNWG_006745-T1, GBNWG_008676-T1, GBNWG_010080-T1	GBNWH_004787-T1, GBNWH_005846-T1, GBNWH_009365-T1, GBNWH_011853-T1
OG0000024	GBNWG_003986-T1, GBNWG_005863-T1, GBNWG_008037-T1	GBNWH_000660-T1, GBNWH_001840-T1, GBNWH_003013-T1, GBNWH_003725-T1, GBNWH_004661-T1, GBNWH_004788-T1, GBNWH_006444-T1, GBNWH_010670-T1
OG0000025	GBNWG_005508-T1, GBNWG_008687-T1	GBNWH_000328-T1, GBNWH_001130-T1, GBNWH_001440-T1, GBNWH_003566-T1, GBNWH_009391-T1, GBNWH_009781-T1, GBNWH_010528-T1, GBNWH_010558-T1, GBNWH_010606-T1
OG0000026	GBNWG_009292-T1	GBNWH_000308-T1, GBNWH_000786-T1, GBNWH_000787-T1, GBNWH_001213-T1, GBNWH_003146-T1, GBNWH_005195-T1, GBNWH_005912-T1, GBNWH_010335-T1, GBNWH_010644-T1, GBNWH_011176-T1
OG0000027		GBNWH_000989-T1, GBNWH_001025-T1, GBNWH_004822-T1, GBNWH_004999-T1, GBNWH_005871-T1, GBNWH_005881-T1, GBNWH_008115-T1, GBNWH_009209-T1, GBNWH_009432-T1, GBNWH_010491-T1, GBNWH_011943-T1
OG0000028		GBNWH_001991-T1, GBNWH_002096-T1, GBNWH_002604-T1, GBNWH_003700-T1, GBNWH_004573-T1, GBNWH_005680-T1, GBNWH_006104-T1, GBNWH_008566-T1, GBNWH_010303-T1, GBNWH_011035-T1, GBNWH_011954-T1
OG0000029	GBNWG_000465-T1, GBNWG_003012-T1, GBNWG_003038-T1, GBNWG_004415-T1, GBNWG_004944-T1, GBNWG_005402-T1, GBNWG_006111-T1, GBNWG_008232-T1	GBNWH_002648-T1, GBNWH_007893-T1
OG0000030	GBNWG_000581-T1, GBNWG_001824-T1, GBNWG_003021-T1, GBNWG_003485-T1, GBNWG_003878-T1, GBNWG_005532-T1, GBNWG_005962-T1, GBNWG_007807-T1, GBNWG_009842-T1, GBNWG_009989-T1	
OG0000031	GBNWG_000871-T1, GBNWG_001635-T1, GBNWG_002883-T1, GBNWG_005265-T1, GBNWG_005946-T1, GBNWG_006276-T1, GBNWG_006357-T1, GBNWG_007278-T1, GBNWG_007701-T1, GBNWG_008418-T1	
OG0000032	GBNWG_002329-T1, GBNWG_002816-T1, GBNWG_003195-T1, GBNWG_003307-T1, GBNWG_008380-T1	GBNWH_003327-T1, GBNWH_003328-T1, GBNWH_003329-T1, GBNWH_003748-T1, GBNWH_009606-T1
OG0000033	GBNWG_002375-T1, GBNWG_002395-T1, GBNWG_003250-T1, GBNWG_007124-T1	GBNWH_001965-T1, GBNWH_004798-T1, GBNWH_005399-T1, GBNWH_005515-T1, GBNWH_009109-T1, GBNWH_009584-T1
OG0000034	GBNWG_002425-T1, GBNWG_004367-T1, GBNWG_007000-T1, GBNWG_007157-T1, GBNWG_007725-T1, GBNWG_008923-T1, GBNWG_009507-T1	GBNWH_003317-T1, GBNWH_009463-T1, GBNWH_012002-T1
OG0000035	GBNWG_002962-T1, GBNWG_003155-T1, GBNWG_007225-T1, GBNWG_008771-T1	GBNWH_001444-T1, GBNWH_003433-T1, GBNWH_003434-T1, GBNWH_008677-T1, GBNWH_011730-T1, GBNWH_011982-T1
OG0000036		GBNWH_003448-T1, GBNWH_003555-T1, GBNWH_003556-T1, GBNWH_003573-T1, GBNWH_003576-T1, GBNWH_004817-T1, GBNWH_006360-T1, GBNWH_006504-T1, GBNWH_008814-T1, GBNWH_010883-T1
OG0000037	GBNWG_000285-T1, GBNWG_004355-T1, GBNWG_004910-T1, GBNWG_004911-T1, GBNWG_009756-T1	GBNWH_002845-T1, GBNWH_007254-T1, GBNWH_008269-T1, GBNWH_010185-T1
OG0000038	GBNWG_000653-T1, GBNWG_001115-T1, GBNWG_002831-T1, GBNWG_002912-T1, GBNWG_003243-T1, GBNWG_005120-T1, GBNWG_009881-T1	GBNWH_007354-T1, GBNWH_011131-T1
OG0000039	GBNWG_000705-T1, GBNWG_001193-T1, GBNWG_001319-T1, GBNWG_003798-T1, GBNWG_003953-T1, GBNWG_004932-T1, GBNWG_005691-T1, GBNWG_007765-T1, GBNWG_008497-T1	
OG0000040	GBNWG_001783-T1, GBNWG_003134-T1, GBNWG_004878-T1	GBNWH_000585-T1, GBNWH_002764-T1, GBNWH_006449-T1, GBNWH_008229-T1, GBNWH_009228-T1, GBNWH_011814-T1
OG0000041	GBNWG_001798-T1, GBNWG_003328-T1, GBNWG_003551-T1, GBNWG_004691-T1, GBNWG_005548-T1	GBNWH_001217-T1, GBNWH_003432-T1, GBNWH_011045-T1, GBNWH_012046-T1
OG0000042	GBNWG_001849-T1	GBNWH_000250-T1, GBNWH_002205-T1, GBNWH_004186-T1, GBNWH_006901-T1, GBNWH_007368-T1, GBNWH_009026-T1, GBNWH_009213-T1, GBNWH_011160-T1
OG0000043	GBNWG_002944-T1, GBNWG_003133-T1, GBNWG_003946-T1, GBNWG_003950-T1, GBNWG_004518-T1, GBNWG_005437-T1, GBNWG_006166-T1, GBNWG_007316-T1, GBNWG_009894-T1	
OG0000044	GBNWG_003443-T1	GBNWH_000512-T1, GBNWH_000513-T1, GBNWH_008993-T1, GBNWH_009245-T1, GBNWH_009449-T1, GBNWH_010704-T1, GBNWH_011299-T1, GBNWH_011300-T1
OG0000045	GBNWG_009622-T1	GBNWH_003490-T1, GBNWH_004430-T1, GBNWH_004725-T1, GBNWH_005208-T1, GBNWH_005518-T1, GBNWH_007757-T1, GBNWH_009488-T1, GBNWH_011061-T1
OG0000046	GBNWG_000053-T1, GBNWG_001038-T1, GBNWG_001688-T1, GBNWG_007969-T1, GBNWG_008632-T1	GBNWH_001137-T1, GBNWH_003115-T1, GBNWH_011097-T1
OG0000047	GBNWG_000181-T1, GBNWG_007741-T1	GBNWH_001034-T1, GBNWH_003205-T1, GBNWH_005470-T1, GBNWH_006207-T1, GBNWH_010781-T1, GBNWH_010992-T1
OG0000048	GBNWG_000243-T1, GBNWG_002821-T1, GBNWG_003137-T1, GBNWG_004709-T1, GBNWG_005338-T1, GBNWG_005647-T1, GBNWG_006095-T1, GBNWG_006531-T1	
OG0000049	GBNWG_000396-T1, GBNWG_007796-T1, GBNWG_008636-T1	GBNWH_000395-T1, GBNWH_003355-T1, GBNWH_009376-T1, GBNWH_009763-T1, GBNWH_011256-T1
OG0000050	GBNWG_000464-T1, GBNWG_004359-T1, GBNWG_004811-T1, GBNWG_005979-T1, GBNWG_007389-T1, GBNWG_008123-T1, GBNWG_009085-T1	GBNWH_004604-T1
OG0000051	GBNWG_000497-T1	GBNWH_003758-T1, GBNWH_003822-T1, GBNWH_005114-T1, GBNWH_005393-T1, GBNWH_007334-T1, GBNWH_008234-T1, GBNWH_011053-T1
OG0000052	GBNWG_000507-T1, GBNWG_001372-T1, GBNWG_003108-T1, GBNWG_005187-T1, GBNWG_005264-T1, GBNWG_006066-T1, GBNWG_006074-T1, GBNWG_008381-T1	
OG0000053	GBNWG_000637-T1, GBNWG_008585-T1, GBNWG_008848-T1	GBNWH_000694-T1, GBNWH_001993-T1, GBNWH_005825-T1, GBNWH_006679-T1, GBNWH_010464-T1
OG0000054	GBNWG_001112-T1, GBNWG_001979-T1, GBNWG_003014-T1, GBNWG_003576-T1, GBNWG_004876-T1, GBNWG_006287-T1, GBNWG_006500-T1	GBNWH_004895-T1
OG0000055	GBNWG_001601-T1	GBNWH_002800-T1, GBNWH_006138-T1, GBNWH_008024-T1, GBNWH_008035-T1, GBNWH_008384-T1, GBNWH_009303-T1, GBNWH_010251-T1
OG0000056	GBNWG_002592-T1, GBNWG_003985-T1, GBNWG_004082-T1, GBNWG_004083-T1, GBNWG_006831-T1	GBNWH_002109-T1, GBNWH_003613-T1, GBNWH_004391-T1
OG0000057	GBNWG_006208-T1	GBNWH_001752-T1, GBNWH_005035-T1, GBNWH_005382-T1, GBNWH_005819-T1, GBNWH_005822-T1, GBNWH_007234-T1, GBNWH_007269-T1
OG0000058	GBNWG_008080-T1	GBNWH_000053-T1, GBNWH_000244-T1, GBNWH_000605-T1, GBNWH_002601-T1, GBNWH_006205-T1, GBNWH_006606-T1, GBNWH_011562-T1
OG0000059	GBNWG_009022-T1, GBNWG_009886-T1	GBNWH_001594-T1, GBNWH_001841-T1, GBNWH_001848-T1, GBNWH_002424-T1, GBNWH_008177-T1, GBNWH_011319-T1
OG0000060	GBNWG_000779-T1, GBNWG_003206-T1, GBNWG_004091-T1, GBNWG_007164-T1	GBNWH_002914-T1, GBNWH_004120-T1, GBNWH_010701-T1
OG0000061	GBNWG_000878-T1, GBNWG_002166-T1, GBNWG_004636-T1, GBNWG_004637-T1, GBNWG_005316-T1, GBNWG_006719-T1	GBNWH_005880-T1
OG0000062	GBNWG_000997-T1, GBNWG_002938-T1, GBNWG_003117-T1, GBNWG_003118-T1, GBNWG_008757-T1	GBNWH_000360-T1, GBNWH_001382-T1
OG0000063	GBNWG_001018-T1, GBNWG_002560-T1, GBNWG_003675-T1, GBNWG_004320-T1, GBNWG_005671-T1, GBNWG_008420-T1	GBNWH_004419-T1
OG0000064	GBNWG_001128-T1	GBNWH_004551-T1, GBNWH_004707-T1, GBNWH_004941-T1, GBNWH_005237-T1, GBNWH_006376-T1, GBNWH_006530-T1
OG0000065	GBNWG_001327-T1, GBNWG_001863-T1, GBNWG_003032-T1, GBNWG_004696-T1, GBNWG_006416-T1, GBNWG_007761-T1, GBNWG_009436-T1	
OG0000066	GBNWG_001339-T1, GBNWG_006339-T1, GBNWG_006537-T1, GBNWG_007276-T1	GBNWH_003087-T1, GBNWH_003852-T1, GBNWH_007725-T1
OG0000067	GBNWG_001552-T1, GBNWG_002024-T1, GBNWG_006677-T1, GBNWG_007523-T1	GBNWH_000905-T1, GBNWH_004497-T1, GBNWH_010622-T1
OG0000068	GBNWG_001554-T1	GBNWH_001316-T1, GBNWH_004736-T1, GBNWH_004907-T1, GBNWH_007137-T1, GBNWH_007442-T1, GBNWH_009906-T1
OG0000069	GBNWG_002041-T1, GBNWG_002947-T1, GBNWG_002953-T1, GBNWG_004357-T1, GBNWG_009768-T1	GBNWH_005024-T1, GBNWH_008947-T1
OG0000070	GBNWG_002640-T1, GBNWG_007598-T1	GBNWH_002484-T1, GBNWH_004062-T1, GBNWH_007748-T1, GBNWH_007749-T1, GBNWH_011046-T1
OG0000071	GBNWG_002876-T1, GBNWG_007293-T1	GBNWH_001176-T1, GBNWH_001177-T1, GBNWH_001178-T1, GBNWH_001433-T1, GBNWH_011065-T1
OG0000072	GBNWG_002910-T1, GBNWG_004863-T1, GBNWG_006664-T1, GBNWG_007163-T1	GBNWH_003117-T1, GBNWH_008614-T1, GBNWH_008730-T1
OG0000073	GBNWG_004858-T1, GBNWG_006350-T1, GBNWG_010055-T1	GBNWH_000628-T1, GBNWH_003162-T1, GBNWH_006383-T1, GBNWH_011154-T1
OG0000074	GBNWG_006467-T1	GBNWH_000648-T1, GBNWH_000687-T1, GBNWH_001859-T1, GBNWH_005224-T1, GBNWH_006436-T1, GBNWH_010957-T1
OG0000075	GBNWG_007333-T1	GBNWH_002850-T1, GBNWH_007116-T1, GBNWH_007880-T1, GBNWH_008978-T1, GBNWH_009257-T1, GBNWH_009302-T1
OG0000076	GBNWG_009188-T1, GBNWG_009218-T1	GBNWH_001689-T1, GBNWH_008865-T1, GBNWH_009744-T1, GBNWH_010364-T1, GBNWH_011758-T1
OG0000077	GBNWG_009357-T1	GBNWH_000747-T1, GBNWH_001449-T1, GBNWH_001618-T1, GBNWH_008306-T1, GBNWH_010377-T1, GBNWH_011145-T1
OG0000078	GBNWG_009801-T1	GBNWH_000944-T1, GBNWH_002599-T1, GBNWH_004018-T1, GBNWH_010768-T1, GBNWH_011189-T1, GBNWH_012189-T1
OG0000079	GBNWG_000010-T1, GBNWG_001376-T1, GBNWG_009873-T1	GBNWH_008573-T1, GBNWH_010594-T1, GBNWH_010914-T1
OG0000080	GBNWG_000018-T1, GBNWG_003453-T1	GBNWH_001844-T1, GBNWH_007018-T1, GBNWH_009179-T1, GBNWH_009388-T1
OG0000081	GBNWG_000055-T1, GBNWG_003677-T1, GBNWG_004324-T1, GBNWG_008341-T1	GBNWH_000317-T1, GBNWH_009420-T1
OG0000082	GBNWG_000154-T1, GBNWG_003181-T1	GBNWH_001277-T1, GBNWH_007878-T1, GBNWH_012017-T1, GBNWH_012132-T1
OG0000083	GBNWG_000304-T1	GBNWH_000976-T1, GBNWH_001631-T1, GBNWH_002034-T1, GBNWH_008408-T1, GBNWH_010734-T1
OG0000084	GBNWG_000459-T1, GBNWG_005088-T1, GBNWG_007069-T1, GBNWG_007512-T1	GBNWH_002016-T1, GBNWH_006228-T1
OG0000085	GBNWG_000475-T1, GBNWG_001097-T1, GBNWG_005742-T1, GBNWG_008840-T1	GBNWH_002919-T1, GBNWH_004608-T1
OG0000086	GBNWG_000584-T1, GBNWG_002997-T1, GBNWG_003785-T1, GBNWG_004667-T1, GBNWG_006532-T1	GBNWH_000213-T1
OG0000087	GBNWG_000656-T1, GBNWG_000810-T1, GBNWG_004299-T1	GBNWH_001452-T1, GBNWH_004446-T1, GBNWH_006583-T1
OG0000088	GBNWG_000897-T1, GBNWG_001606-T1, GBNWG_005954-T1, GBNWG_009435-T1	GBNWH_003474-T1, GBNWH_006983-T1
OG0000089	GBNWG_000900-T1, GBNWG_001098-T1, GBNWG_003709-T1, GBNWG_006415-T1, GBNWG_007793-T1	GBNWH_010595-T1
OG0000090	GBNWG_001340-T1, GBNWG_004459-T1, GBNWG_006461-T1, GBNWG_007995-T1, GBNWG_008775-T1	GBNWH_009084-T1
OG0000091	GBNWG_001418-T1, GBNWG_002477-T1, GBNWG_004481-T1	GBNWH_006478-T1, GBNWH_011156-T1, GBNWH_011157-T1
OG0000092	GBNWG_001435-T1, GBNWG_008554-T1	GBNWH_000571-T1, GBNWH_006831-T1, GBNWH_010312-T1, GBNWH_011245-T1
OG0000093	GBNWG_001506-T1, GBNWG_008641-T1, GBNWG_009052-T1	GBNWH_002792-T1, GBNWH_006717-T1, GBNWH_009830-T1
OG0000094	GBNWG_001985-T1, GBNWG_005857-T1	GBNWH_000552-T1, GBNWH_007002-T1, GBNWH_007714-T1, GBNWH_009840-T1
OG0000095	GBNWG_002096-T1, GBNWG_004334-T1, GBNWG_007723-T1	GBNWH_001710-T1, GBNWH_008931-T1, GBNWH_011575-T1
OG0000096	GBNWG_002190-T1, GBNWG_004867-T1, GBNWG_006774-T1, GBNWG_009432-T1	GBNWH_006873-T1, GBNWH_011101-T1
OG0000097	GBNWG_002497-T1	GBNWH_009805-T1, GBNWH_009863-T1, GBNWH_010607-T1, GBNWH_011478-T1, GBNWH_012178-T1
OG0000098	GBNWG_002708-T1, GBNWG_009793-T1	GBNWH_000463-T1, GBNWH_005423-T1, GBNWH_011092-T1, GBNWH_011293-T1
OG0000099	GBNWG_002732-T1	GBNWH_001946-T1, GBNWH_008073-T1, GBNWH_008515-T1, GBNWH_009648-T1, GBNWH_011460-T1
OG0000100	GBNWG_002833-T1	GBNWH_000126-T1, GBNWH_003743-T1, GBNWH_005285-T1, GBNWH_006075-T1, GBNWH_011455-T1
OG0000101	GBNWG_003085-T1, GBNWG_008527-T1, GBNWG_009905-T1	GBNWH_007941-T1, GBNWH_009337-T1, GBNWH_011752-T1
OG0000102	GBNWG_003097-T1, GBNWG_003932-T1, GBNWG_006602-T1, GBNWG_009900-T1	GBNWH_003601-T1, GBNWH_008788-T1
OG0000103	GBNWG_003153-T1	GBNWH_004931-T1, GBNWH_007724-T1, GBNWH_009460-T1, GBNWH_009647-T1, GBNWH_011278-T1
OG0000104	GBNWG_003714-T1, GBNWG_008442-T1	GBNWH_001732-T1, GBNWH_004179-T1, GBNWH_009510-T1, GBNWH_011482-T1
OG0000105	GBNWG_003802-T1	GBNWH_001074-T1, GBNWH_004880-T1, GBNWH_004998-T1, GBNWH_006073-T1, GBNWH_006840-T1
OG0000106	GBNWG_003925-T1, GBNWG_005295-T1	GBNWH_002015-T1, GBNWH_005038-T1, GBNWH_005381-T1, GBNWH_009374-T1
OG0000107	GBNWG_004005-T1, GBNWG_009646-T1	GBNWH_000428-T1, GBNWH_004259-T1, GBNWH_008202-T1, GBNWH_010249-T1
OG0000108	GBNWG_004790-T1	GBNWH_002620-T1, GBNWH_005479-T1, GBNWH_005844-T1, GBNWH_006708-T1, GBNWH_010072-T1
OG0000109	GBNWG_004837-T1	GBNWH_003475-T1, GBNWH_005247-T1, GBNWH_006985-T1, GBNWH_007382-T1, GBNWH_010117-T1
OG0000110	GBNWG_004938-T1, GBNWG_005215-T1	GBNWH_000009-T1, GBNWH_000065-T1, GBNWH_000066-T1, GBNWH_006650-T1
OG0000111	GBNWG_005361-T1, GBNWG_005419-T1	GBNWH_005441-T1, GBNWH_006734-T1, GBNWH_007181-T1, GBNWH_010747-T1
OG0000112	GBNWG_005913-T1, GBNWG_006606-T1, GBNWG_008797-T1, GBNWG_009800-T1	GBNWH_002556-T1, GBNWH_010145-T1
OG0000113	GBNWG_006075-T1, GBNWG_009680-T1	GBNWH_005913-T1, GBNWH_006686-T1, GBNWH_007064-T1, GBNWH_011165-T1
OG0000114	GBNWG_006157-T1, GBNWG_007296-T1	GBNWH_003991-T1, GBNWH_009551-T1, GBNWH_009577-T1, GBNWH_009797-T1
OG0000115	GBNWG_006551-T1	GBNWH_002590-T1, GBNWH_002591-T1, GBNWH_003153-T1, GBNWH_008317-T1, GBNWH_010800-T1
OG0000116	GBNWG_006757-T1	GBNWH_001509-T1, GBNWH_004546-T1, GBNWH_004548-T1, GBNWH_010023-T1, GBNWH_012004-T1
OG0000117	GBNWG_006913-T1	GBNWH_001976-T1, GBNWH_004342-T1, GBNWH_007579-T1, GBNWH_009181-T1, GBNWH_010735-T1
OG0000118	GBNWG_006960-T1, GBNWG_007440-T1, GBNWG_009205-T1	GBNWH_002067-T1, GBNWH_002441-T1, GBNWH_007557-T1
OG0000119	GBNWG_007396-T1	GBNWH_000663-T1, GBNWH_000724-T1, GBNWH_008394-T1, GBNWH_008471-T1, GBNWH_010182-T1
OG0000120	GBNWG_007744-T1	GBNWH_004094-T1, GBNWH_005223-T1, GBNWH_005603-T1, GBNWH_006832-T1, GBNWH_010270-T1
