	Circinella_umbellata_RSA_505-.aa	Circinella_umbellata_RSA_505_Plus.aa
OG0003789	GBNWG_000179-T1	
OG0003790	GBNWG_000180-T1	
OG0003791	GBNWG_000183-T1	
OG0003792	GBNWG_000187-T1	
OG0003793	GBNWG_000189-T1	
OG0003794	GBNWG_000194-T1	
OG0003795	GBNWG_000196-T1	
OG0003796	GBNWG_000198-T1	
OG0003797	GBNWG_000199-T1	
OG0003798	GBNWG_000200-T1	
OG0003799	GBNWG_000202-T1	
OG0003800	GBNWG_000208-T1	
OG0003801	GBNWG_000209-T1	
OG0003802	GBNWG_000211-T1	
OG0003803	GBNWG_000213-T1	
OG0003804	GBNWG_000214-T1	
OG0003805	GBNWG_000215-T1	
OG0003806	GBNWG_000217-T1	
OG0003807	GBNWG_000218-T1	
OG0003808	GBNWG_000219-T1	
OG0003809	GBNWG_000221-T1	
OG0003810	GBNWG_000222-T1	
OG0003811	GBNWG_000223-T1	
OG0003812	GBNWG_000225-T1	
OG0003813	GBNWG_000227-T1	
OG0003814	GBNWG_000228-T1	
OG0003815	GBNWG_000229-T1	
OG0003816	GBNWG_000234-T1	
OG0003817	GBNWG_000235-T1	
OG0003818	GBNWG_000236-T1	
OG0003819	GBNWG_000237-T1	
OG0003820	GBNWG_000239-T1	
OG0003821	GBNWG_000241-T1	
OG0003822	GBNWG_000244-T1	
OG0003823	GBNWG_000246-T1	
OG0003824	GBNWG_000247-T1	
OG0003825	GBNWG_000249-T1	
OG0003826	GBNWG_000252-T1	
OG0003827	GBNWG_000253-T1	
OG0003828	GBNWG_000254-T1	
OG0003829	GBNWG_000256-T1	
OG0003830	GBNWG_000257-T1	
OG0003831	GBNWG_000258-T1	
OG0003832	GBNWG_000259-T1	
OG0003833	GBNWG_000260-T1	
OG0003834	GBNWG_000266-T1	
OG0003835	GBNWG_000267-T1	
OG0003836	GBNWG_000268-T1	
OG0003837	GBNWG_000269-T1	
OG0003838	GBNWG_000270-T1	
OG0003839	GBNWG_000272-T1	
OG0003840	GBNWG_000273-T1	
OG0003841	GBNWG_000275-T1	
OG0003842	GBNWG_000277-T1	
OG0003843	GBNWG_000280-T1	
OG0003844	GBNWG_000283-T1	
OG0003845	GBNWG_000284-T1	
OG0003846	GBNWG_000286-T1	
OG0003847	GBNWG_000289-T1	
OG0003848	GBNWG_000290-T1	
OG0003849	GBNWG_000291-T1	
OG0003850	GBNWG_000296-T1	
OG0003851	GBNWG_000300-T1	
OG0003852	GBNWG_000303-T1	
OG0003853	GBNWG_000306-T1	
OG0003854	GBNWG_000309-T1	
OG0003855	GBNWG_000311-T1	
OG0003856	GBNWG_000313-T1	
OG0003857	GBNWG_000315-T1	
OG0003858	GBNWG_000316-T1	
OG0003859	GBNWG_000317-T1	
OG0003860	GBNWG_000318-T1	
OG0003861	GBNWG_000319-T1	
OG0003862	GBNWG_000320-T1	
OG0003863	GBNWG_000321-T1	
OG0003864	GBNWG_000322-T1	
OG0003865	GBNWG_000323-T1	
OG0003866	GBNWG_000324-T1	
OG0003867	GBNWG_000325-T1	
OG0003868	GBNWG_000326-T1	
OG0003869	GBNWG_000327-T1	
OG0003870	GBNWG_000328-T1	
OG0003871	GBNWG_000329-T1	
OG0003872	GBNWG_000330-T1	
OG0003873	GBNWG_000331-T1	
OG0003874	GBNWG_000332-T1	
OG0003875	GBNWG_000333-T1	
OG0003876	GBNWG_000337-T1	
OG0003877	GBNWG_000339-T1	
OG0003878	GBNWG_000340-T1	
OG0003879	GBNWG_000341-T1	
OG0003880	GBNWG_000345-T1	
OG0003881	GBNWG_000347-T1	
OG0003882	GBNWG_000348-T1	
OG0003883	GBNWG_000349-T1	
OG0003884	GBNWG_000350-T1	
OG0003885	GBNWG_000354-T1	
OG0003886	GBNWG_000355-T1	
OG0003887	GBNWG_000356-T1	
OG0003888	GBNWG_000357-T1	
OG0003889	GBNWG_000358-T1	
OG0003890	GBNWG_000360-T1	
OG0003891	GBNWG_000362-T1	
OG0003892	GBNWG_000363-T1	
OG0003893	GBNWG_000364-T1	
OG0003894	GBNWG_000365-T1	
OG0003895	GBNWG_000367-T1	
OG0003896	GBNWG_000368-T1	
OG0003897	GBNWG_000369-T1	
OG0003898	GBNWG_000370-T1	
OG0003899	GBNWG_000371-T1	
OG0003900	GBNWG_000372-T1	
OG0003901	GBNWG_000373-T1	
OG0003902	GBNWG_000374-T1	
OG0003903	GBNWG_000375-T1	
OG0003904	GBNWG_000376-T1	
OG0003905	GBNWG_000377-T1	
OG0003906	GBNWG_000380-T1	
OG0003907	GBNWG_000381-T1	
OG0003908	GBNWG_000382-T1	
OG0003909	GBNWG_000384-T1	
OG0003910	GBNWG_000388-T1	
OG0003911	GBNWG_000389-T1	
OG0003912	GBNWG_000390-T1	
OG0003913	GBNWG_000391-T1	
OG0003914	GBNWG_000392-T1	
OG0003915	GBNWG_000393-T1	
OG0003916	GBNWG_000394-T1	
OG0003917	GBNWG_000402-T1	
OG0003918	GBNWG_000403-T1	
OG0003919	GBNWG_000404-T1	
OG0003920	GBNWG_000407-T1	
OG0003921	GBNWG_000408-T1	
OG0003922	GBNWG_000410-T1	
OG0003923	GBNWG_000411-T1	
OG0003924	GBNWG_000412-T1	
OG0003925	GBNWG_000415-T1	
OG0003926	GBNWG_000418-T1	
OG0003927	GBNWG_000420-T1	
OG0003928	GBNWG_000421-T1	
OG0003929	GBNWG_000423-T1	
OG0003930	GBNWG_000424-T1	
OG0003931	GBNWG_000425-T1	
OG0003932	GBNWG_000426-T1	
OG0003933	GBNWG_000427-T1	
OG0003934	GBNWG_000428-T1	
OG0003935	GBNWG_000429-T1	
OG0003936	GBNWG_000432-T1	
OG0003937	GBNWG_000433-T1	
OG0003938	GBNWG_000436-T1	
OG0003939	GBNWG_000442-T1	
OG0003940	GBNWG_000448-T1	
OG0003941	GBNWG_000449-T1	
OG0003942	GBNWG_000450-T1	
OG0003943	GBNWG_000454-T1	
OG0003944	GBNWG_000455-T1	
OG0003945	GBNWG_000456-T1	
OG0003946	GBNWG_000457-T1	
OG0003947	GBNWG_000458-T1	
OG0003948	GBNWG_000460-T1	
OG0003949	GBNWG_000461-T1	
OG0003950	GBNWG_000462-T1	
OG0003951	GBNWG_000467-T1	
OG0003952	GBNWG_000472-T1	
OG0003953	GBNWG_000478-T1	
OG0003954	GBNWG_000480-T1	
OG0003955	GBNWG_000481-T1	
OG0003956	GBNWG_000482-T1	
OG0003957	GBNWG_000483-T1	
OG0003958	GBNWG_000484-T1	
OG0003959	GBNWG_000486-T1	
OG0003960	GBNWG_000489-T1	
OG0003961	GBNWG_000490-T1	
OG0003962	GBNWG_000491-T1	
OG0003963	GBNWG_000492-T1	
OG0003964	GBNWG_000499-T1	
OG0003965	GBNWG_000500-T1	
OG0003966	GBNWG_000502-T1	
OG0003967	GBNWG_000505-T1	
OG0003968	GBNWG_000506-T1	
OG0003969	GBNWG_000508-T1	
OG0003970	GBNWG_000509-T1	
OG0003971	GBNWG_000516-T1	
OG0003972	GBNWG_000518-T1	
OG0003973	GBNWG_000521-T1	
OG0003974	GBNWG_000522-T1	
OG0003975	GBNWG_000523-T1	
OG0003976	GBNWG_000525-T1	
OG0003977	GBNWG_000526-T1	
OG0003978	GBNWG_000527-T1	
OG0003979	GBNWG_000528-T1	
OG0003980	GBNWG_000530-T1	
OG0003981	GBNWG_000531-T1	
OG0003982	GBNWG_000533-T1	
OG0003983	GBNWG_000536-T1	
OG0003984	GBNWG_000537-T1	
OG0003985	GBNWG_000539-T1	
OG0003986	GBNWG_000540-T1	
OG0003987	GBNWG_000545-T1	
OG0003988	GBNWG_000546-T1	
OG0003989	GBNWG_000549-T1	
OG0003990	GBNWG_000551-T1	
OG0003991	GBNWG_000552-T1	
OG0003992	GBNWG_000553-T1	
OG0003993	GBNWG_000554-T1	
OG0003994	GBNWG_000555-T1	
OG0003995	GBNWG_000556-T1	
OG0003996	GBNWG_000557-T1	
OG0003997	GBNWG_000558-T1	
OG0003998	GBNWG_000561-T1	
OG0003999	GBNWG_000563-T1	
OG0004000	GBNWG_000564-T1	
OG0004001	GBNWG_000565-T1	
OG0004002	GBNWG_000569-T1	
OG0004003	GBNWG_000572-T1	
OG0004004	GBNWG_000573-T1	
OG0004005	GBNWG_000578-T1	
OG0004006	GBNWG_000579-T1	
OG0004007	GBNWG_000580-T1	
OG0004008	GBNWG_000583-T1	
OG0004009	GBNWG_000586-T1	
OG0004010	GBNWG_000587-T1	
OG0004011	GBNWG_000588-T1	
OG0004012	GBNWG_000593-T1	
OG0004013	GBNWG_000594-T1	
OG0004014	GBNWG_000595-T1	
OG0004015	GBNWG_000596-T1	
OG0004016	GBNWG_000597-T1	
OG0004017	GBNWG_000599-T1	
OG0004018	GBNWG_000601-T1	
OG0004019	GBNWG_000602-T1	
OG0004020	GBNWG_000603-T1	
OG0004021	GBNWG_000604-T1	
OG0004022	GBNWG_000605-T1	
OG0004023	GBNWG_000606-T1	
OG0004024	GBNWG_000607-T1	
OG0004025	GBNWG_000609-T1	
OG0004026	GBNWG_000610-T1	
OG0004027	GBNWG_000611-T1	
OG0004028	GBNWG_000613-T1	
OG0004029	GBNWG_000614-T1	
OG0004030	GBNWG_000615-T1	
OG0004031	GBNWG_000617-T1	
OG0004032	GBNWG_000618-T1	
OG0004033	GBNWG_000620-T1	
OG0004034	GBNWG_000621-T1	
OG0004035	GBNWG_000623-T1	
OG0004036	GBNWG_000624-T1	
OG0004037	GBNWG_000628-T1	
OG0004038	GBNWG_000630-T1	
OG0004039	GBNWG_000631-T1	
OG0004040	GBNWG_000632-T1	
OG0004041	GBNWG_000633-T1	
OG0004042	GBNWG_000635-T1	
OG0004043	GBNWG_000638-T1	
OG0004044	GBNWG_000642-T1	
OG0004045	GBNWG_000647-T1	
OG0004046	GBNWG_000650-T1	
OG0004047	GBNWG_000651-T1	
OG0004048	GBNWG_000652-T1	
OG0004049	GBNWG_000654-T1	
OG0004050	GBNWG_000655-T1	
OG0004051	GBNWG_000660-T1	
OG0004052	GBNWG_000664-T1	
OG0004053	GBNWG_000665-T1	
OG0004054	GBNWG_000666-T1	
OG0004055	GBNWG_000667-T1	
OG0004056	GBNWG_000668-T1	
OG0004057	GBNWG_000669-T1	
OG0004058	GBNWG_000670-T1	
OG0004059	GBNWG_000671-T1	
OG0004060	GBNWG_000679-T1	
OG0004061	GBNWG_000680-T1	
OG0004062	GBNWG_000681-T1	
OG0004063	GBNWG_000684-T1	
OG0004064	GBNWG_000685-T1	
OG0004065	GBNWG_000690-T1	
OG0004066	GBNWG_000692-T1	
OG0004067	GBNWG_000694-T1	
OG0004068	GBNWG_000697-T1	
OG0004069	GBNWG_000701-T1	
OG0004070	GBNWG_000702-T1	
OG0004071	GBNWG_000703-T1	
OG0004072	GBNWG_000706-T1	
OG0004073	GBNWG_000707-T1	
OG0004074	GBNWG_000714-T1	
OG0004075	GBNWG_000716-T1	
OG0004076	GBNWG_000717-T1	
OG0004077	GBNWG_000722-T1	
OG0004078	GBNWG_000724-T1	
OG0004079	GBNWG_000725-T1	
OG0004080	GBNWG_000726-T1	
OG0004081	GBNWG_000727-T1	
OG0004082	GBNWG_000728-T1	
OG0004083	GBNWG_000730-T1	
OG0004084	GBNWG_000733-T1	
OG0004085	GBNWG_000739-T1	
OG0004086	GBNWG_000740-T1	
OG0004087	GBNWG_000742-T1	
OG0004088	GBNWG_000743-T1	
OG0004089	GBNWG_000746-T1	
OG0004090	GBNWG_000748-T1	
OG0004091	GBNWG_000749-T1	
OG0004092	GBNWG_000754-T1	
OG0004093	GBNWG_000755-T1	
OG0004094	GBNWG_000756-T1	
OG0004095	GBNWG_000758-T1	
OG0004096	GBNWG_000760-T1	
OG0004097	GBNWG_000763-T1	
OG0004098	GBNWG_000764-T1	
OG0004099	GBNWG_000768-T1	
OG0004100	GBNWG_000769-T1	
OG0004101	GBNWG_000774-T1	
OG0004102	GBNWG_000775-T1	
OG0004103	GBNWG_000784-T1	
OG0004104	GBNWG_000788-T1	
OG0004105	GBNWG_000790-T1	
OG0004106	GBNWG_000791-T1	
OG0004107	GBNWG_000792-T1	
OG0004108	GBNWG_000793-T1	
OG0004109	GBNWG_000794-T1	
OG0004110	GBNWG_000797-T1	
OG0004111	GBNWG_000798-T1	
OG0004112	GBNWG_000799-T1	
OG0004113	GBNWG_000802-T1	
OG0004114	GBNWG_000803-T1	
OG0004115	GBNWG_000804-T1	
OG0004116	GBNWG_000806-T1	
OG0004117	GBNWG_000812-T1	
OG0004118	GBNWG_000813-T1	
OG0004119	GBNWG_000815-T1	
OG0004120	GBNWG_000816-T1	
OG0004121	GBNWG_000817-T1	
OG0004122	GBNWG_000819-T1	
OG0004123	GBNWG_000821-T1	
OG0004124	GBNWG_000822-T1	
OG0004125	GBNWG_000824-T1	
OG0004126	GBNWG_000826-T1	
OG0004127	GBNWG_000827-T1	
OG0004128	GBNWG_000828-T1	
OG0004129	GBNWG_000831-T1	
OG0004130	GBNWG_000832-T1	
OG0004131	GBNWG_000833-T1	
OG0004132	GBNWG_000834-T1	
OG0004133	GBNWG_000835-T1	
OG0004134	GBNWG_000836-T1	
OG0004135	GBNWG_000837-T1	
OG0004136	GBNWG_000838-T1	
OG0004137	GBNWG_000841-T1	
OG0004138	GBNWG_000842-T1	
OG0004139	GBNWG_000843-T1	
OG0004140	GBNWG_000844-T1	
OG0004141	GBNWG_000848-T1	
OG0004142	GBNWG_000850-T1	
OG0004143	GBNWG_000851-T1	
OG0004144	GBNWG_000855-T1	
OG0004145	GBNWG_000856-T1	
OG0004146	GBNWG_000859-T1	
OG0004147	GBNWG_000861-T1	
OG0004148	GBNWG_000865-T1	
OG0004149	GBNWG_000866-T1	
OG0004150	GBNWG_000868-T1	
OG0004151	GBNWG_000869-T1	
OG0004152	GBNWG_000870-T1	
OG0004153	GBNWG_000872-T1	
OG0004154	GBNWG_000873-T1	
OG0004155	GBNWG_000874-T1	
OG0004156	GBNWG_000875-T1	
OG0004157	GBNWG_000876-T1	
OG0004158	GBNWG_000877-T1	
OG0004159	GBNWG_000879-T1	
OG0004160	GBNWG_000880-T1	
OG0004161	GBNWG_000882-T1	
OG0004162	GBNWG_000883-T1	
OG0004163	GBNWG_000885-T1	
OG0004164	GBNWG_000886-T1	
OG0004165	GBNWG_000888-T1	
OG0004166	GBNWG_000889-T1	
OG0004167	GBNWG_000890-T1	
OG0004168	GBNWG_000891-T1	
OG0004169	GBNWG_000892-T1	
OG0004170	GBNWG_000893-T1	
OG0004171	GBNWG_000894-T1	
OG0004172	GBNWG_000895-T1	
OG0004173	GBNWG_000896-T1	
OG0004174	GBNWG_000898-T1	
OG0004175	GBNWG_000899-T1	
OG0004176	GBNWG_000901-T1	
OG0004177	GBNWG_000902-T1	
OG0004178	GBNWG_000903-T1	
OG0004179	GBNWG_000904-T1	
OG0004180	GBNWG_000905-T1	
OG0004181	GBNWG_000906-T1	
OG0004182	GBNWG_000907-T1	
OG0004183	GBNWG_000908-T1	
OG0004184	GBNWG_000909-T1	
OG0004185	GBNWG_000910-T1	
OG0004186	GBNWG_000911-T1	
OG0004187	GBNWG_000912-T1	
OG0004188	GBNWG_000913-T1	
OG0004189	GBNWG_000914-T1	
OG0004190	GBNWG_000915-T1	
OG0004191	GBNWG_000916-T1	
OG0004192	GBNWG_000917-T1	
OG0004193	GBNWG_000918-T1	
OG0004194	GBNWG_000919-T1	
OG0004195	GBNWG_000920-T1	
OG0004196	GBNWG_000921-T1	
OG0004197	GBNWG_000922-T1	
OG0004198	GBNWG_000924-T1	
OG0004199	GBNWG_000925-T1	
OG0004200	GBNWG_000926-T1	
OG0004201	GBNWG_000928-T1	
OG0004202	GBNWG_000929-T1	
OG0004203	GBNWG_000931-T1	
OG0004204	GBNWG_000932-T1	
OG0004205	GBNWG_000934-T1	
OG0004206	GBNWG_000936-T1	
OG0004207	GBNWG_000938-T1	
OG0004208	GBNWG_000939-T1	
OG0004209	GBNWG_000941-T1	
OG0004210	GBNWG_000942-T1	
OG0004211	GBNWG_000947-T1	
OG0004212	GBNWG_000948-T1	
OG0004213	GBNWG_000955-T1	
OG0004214	GBNWG_000957-T1	
OG0004215	GBNWG_000958-T1	
OG0004216	GBNWG_000959-T1	
OG0004217	GBNWG_000960-T1	
OG0004218	GBNWG_000964-T1	
OG0004219	GBNWG_000966-T1	
OG0004220	GBNWG_000968-T1	
OG0004221	GBNWG_000969-T1	
OG0004222	GBNWG_000971-T1	
OG0004223	GBNWG_000972-T1	
OG0004224	GBNWG_000973-T1	
OG0004225	GBNWG_000975-T1	
OG0004226	GBNWG_000980-T1	
OG0004227	GBNWG_000981-T1	
OG0004228	GBNWG_000983-T1	
OG0004229	GBNWG_000988-T1	
OG0004230	GBNWG_000989-T1	
OG0004231	GBNWG_000992-T1	
OG0004232	GBNWG_000994-T1	
OG0004233	GBNWG_000995-T1	
OG0004234	GBNWG_000996-T1	
OG0004235	GBNWG_000998-T1	
OG0004236	GBNWG_000999-T1	
OG0004237	GBNWG_001000-T1	
OG0004238	GBNWG_001001-T1	
OG0004239	GBNWG_001002-T1	
OG0004240	GBNWG_001003-T1	
OG0004241	GBNWG_001004-T1	
OG0004242	GBNWG_001006-T1	
OG0004243	GBNWG_001007-T1	
OG0004244	GBNWG_001017-T1	
OG0004245	GBNWG_001019-T1	
OG0004246	GBNWG_001020-T1	
OG0004247	GBNWG_001021-T1	
OG0004248	GBNWG_001022-T1	
OG0004249	GBNWG_001023-T1	
OG0004250	GBNWG_001024-T1	
OG0004251	GBNWG_001025-T1	
OG0004252	GBNWG_001026-T1	
OG0004253	GBNWG_001027-T1	
OG0004254	GBNWG_001028-T1	
OG0004255	GBNWG_001032-T1	
OG0004256	GBNWG_001033-T1	
OG0004257	GBNWG_001034-T1	
OG0004258	GBNWG_001035-T1	
OG0004259	GBNWG_001036-T1	
OG0004260	GBNWG_001039-T1	
OG0004261	GBNWG_001040-T1	
OG0004262	GBNWG_001041-T1	
OG0004263	GBNWG_001042-T1	
OG0004264	GBNWG_001043-T1	
OG0004265	GBNWG_001044-T1	
OG0004266	GBNWG_001045-T1	
OG0004267	GBNWG_001047-T1	
OG0004268	GBNWG_001048-T1	
OG0004269	GBNWG_001049-T1	
OG0004270	GBNWG_001051-T1	
OG0004271	GBNWG_001053-T1	
OG0004272	GBNWG_001055-T1	
OG0004273	GBNWG_001056-T1	
OG0004274	GBNWG_001058-T1	
OG0004275	GBNWG_001059-T1	
OG0004276	GBNWG_001064-T1	
OG0004277	GBNWG_001065-T1	
OG0004278	GBNWG_001067-T1	
OG0004279	GBNWG_001072-T1	
OG0004280	GBNWG_001073-T1	
OG0004281	GBNWG_001074-T1	
OG0004282	GBNWG_001080-T1	
OG0004283	GBNWG_001081-T1	
OG0004284	GBNWG_001084-T1	
OG0004285	GBNWG_001085-T1	
OG0004286	GBNWG_001086-T1	
OG0004287	GBNWG_001087-T1	
OG0004288	GBNWG_001090-T1	
OG0004289	GBNWG_001091-T1	
OG0004290	GBNWG_001092-T1	
OG0004291	GBNWG_001094-T1	
OG0004292	GBNWG_001096-T1	
OG0004293	GBNWG_001103-T1	
OG0004294	GBNWG_001105-T1	
OG0004295	GBNWG_001106-T1	
OG0004296	GBNWG_001107-T1	
OG0004297	GBNWG_001110-T1	
OG0004298	GBNWG_001114-T1	
OG0004299	GBNWG_001117-T1	
OG0004300	GBNWG_001119-T1	
OG0004301	GBNWG_001120-T1	
OG0004302	GBNWG_001123-T1	
OG0004303	GBNWG_001130-T1	
OG0004304	GBNWG_001132-T1	
OG0004305	GBNWG_001133-T1	
OG0004306	GBNWG_001134-T1	
OG0004307	GBNWG_001135-T1	
OG0004308	GBNWG_001137-T1	
OG0004309	GBNWG_001138-T1	
OG0004310	GBNWG_001140-T1	
OG0004311	GBNWG_001141-T1	
OG0004312	GBNWG_001142-T1	
OG0004313	GBNWG_001146-T1	
OG0004314	GBNWG_001149-T1	
OG0004315	GBNWG_001150-T1	
OG0004316	GBNWG_001151-T1	
OG0004317	GBNWG_001152-T1	
OG0004318	GBNWG_001154-T1	
OG0004319	GBNWG_001156-T1	
OG0004320	GBNWG_001157-T1	
OG0004321	GBNWG_001158-T1	
OG0004322	GBNWG_001160-T1	
OG0004323	GBNWG_001164-T1	
OG0004324	GBNWG_001165-T1	
OG0004325	GBNWG_001166-T1	
OG0004326	GBNWG_001167-T1	
OG0004327	GBNWG_001168-T1	
OG0004328	GBNWG_001169-T1	
OG0004329	GBNWG_001170-T1	
OG0004330	GBNWG_001171-T1	
OG0004331	GBNWG_001172-T1	
OG0004332	GBNWG_001173-T1	
OG0004333	GBNWG_001174-T1	
OG0004334	GBNWG_001175-T1	
OG0004335	GBNWG_001176-T1	
OG0004336	GBNWG_001177-T1	
OG0004337	GBNWG_001178-T1	
OG0004338	GBNWG_001180-T1	
OG0004339	GBNWG_001182-T1	
OG0004340	GBNWG_001184-T1	
OG0004341	GBNWG_001185-T1	
OG0004342	GBNWG_001186-T1	
OG0004343	GBNWG_001188-T1	
OG0004344	GBNWG_001191-T1	
OG0004345	GBNWG_001192-T1	
OG0004346	GBNWG_001195-T1	
OG0004347	GBNWG_001196-T1	
OG0004348	GBNWG_001197-T1	
OG0004349	GBNWG_001198-T1	
OG0004350	GBNWG_001200-T1	
OG0004351	GBNWG_001201-T1	
OG0004352	GBNWG_001202-T1	
OG0004353	GBNWG_001203-T1	
OG0004354	GBNWG_001205-T1	
OG0004355	GBNWG_001206-T1	
OG0004356	GBNWG_001207-T1	
OG0004357	GBNWG_001210-T1	
OG0004358	GBNWG_001211-T1	
OG0004359	GBNWG_001212-T1	
OG0004360	GBNWG_001213-T1	
OG0004361	GBNWG_001214-T1	
OG0004362	GBNWG_001215-T1	
OG0004363	GBNWG_001216-T1	
OG0004364	GBNWG_001218-T1	
OG0004365	GBNWG_001219-T1	
OG0004366	GBNWG_001220-T1	
OG0004367	GBNWG_001221-T1	
OG0004368	GBNWG_001222-T1	
OG0004369	GBNWG_001223-T1	
OG0004370	GBNWG_001224-T1	
OG0004371	GBNWG_001233-T1	
OG0004372	GBNWG_001240-T1	
OG0004373	GBNWG_001245-T1	
OG0004374	GBNWG_001246-T1	
OG0004375	GBNWG_001247-T1	
OG0004376	GBNWG_001248-T1	
OG0004377	GBNWG_001250-T1	
OG0004378	GBNWG_001252-T1	
OG0004379	GBNWG_001253-T1	
OG0004380	GBNWG_001254-T1	
OG0004381	GBNWG_001258-T1	
OG0004382	GBNWG_001259-T1	
OG0004383	GBNWG_001261-T1	
OG0004384	GBNWG_001262-T1	
OG0004385	GBNWG_001263-T1	
OG0004386	GBNWG_001265-T1	
OG0004387	GBNWG_001269-T1	
OG0004388	GBNWG_001271-T1	
OG0004389	GBNWG_001272-T1	
OG0004390	GBNWG_001273-T1	
OG0004391	GBNWG_001274-T1	
OG0004392	GBNWG_001275-T1	
OG0004393	GBNWG_001278-T1	
OG0004394	GBNWG_001281-T1	
OG0004395	GBNWG_001282-T1	
OG0004396	GBNWG_001283-T1	
OG0004397	GBNWG_001284-T1	
OG0004398	GBNWG_001285-T1	
OG0004399	GBNWG_001287-T1	
OG0004400	GBNWG_001288-T1	
OG0004401	GBNWG_001289-T1	
OG0004402	GBNWG_001290-T1	
OG0004403	GBNWG_001291-T1	
OG0004404	GBNWG_001292-T1	
OG0004405	GBNWG_001293-T1	
OG0004406	GBNWG_001294-T1	
OG0004407	GBNWG_001295-T1	
OG0004408	GBNWG_001296-T1	
OG0004409	GBNWG_001297-T1	
OG0004410	GBNWG_001298-T1	
OG0004411	GBNWG_001299-T1	
OG0004412	GBNWG_001300-T1	
OG0004413	GBNWG_001301-T1	
OG0004414	GBNWG_001302-T1	
OG0004415	GBNWG_001305-T1	
OG0004416	GBNWG_001306-T1	
OG0004417	GBNWG_001308-T1	
OG0004418	GBNWG_001309-T1	
OG0004419	GBNWG_001315-T1	
OG0004420	GBNWG_001318-T1	
OG0004421	GBNWG_001320-T1	
OG0004422	GBNWG_001322-T1	
OG0004423	GBNWG_001324-T1	
OG0004424	GBNWG_001328-T1	
OG0004425	GBNWG_001329-T1	
OG0004426	GBNWG_001330-T1	
OG0004427	GBNWG_001331-T1	
OG0004428	GBNWG_001333-T1	
OG0004429	GBNWG_001338-T1	
OG0004430	GBNWG_001341-T1	
OG0004431	GBNWG_001343-T1	
OG0004432	GBNWG_001347-T1	
OG0004433	GBNWG_001351-T1	
OG0004434	GBNWG_001354-T1	
OG0004435	GBNWG_001355-T1	
OG0004436	GBNWG_001356-T1	
OG0004437	GBNWG_001357-T1	
OG0004438	GBNWG_001361-T1	
OG0004439	GBNWG_001362-T1	
