	Gilbertella_persicariavar.persicaria_CBS_190.32-T.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0000012	GBNWN_002056-T1, GBNWN_003554-T1, GBNWN_004605-T1, GBNWN_005843-T1, GBNWN_006960-T1, GBNWN_009407-T1	GBNWO_001587-T1, GBNWO_001746-T1, GBNWO_001931-T1, GBNWO_003002-T1, GBNWO_003870-T1, GBNWO_003891-T1, GBNWO_007664-T1
OG0000013	GBNWN_000722-T1, GBNWN_002424-T1, GBNWN_004311-T1, GBNWN_004606-T1, GBNWN_005884-T1, GBNWN_006786-T1	GBNWO_000548-T1, GBNWO_003249-T1, GBNWO_003622-T1, GBNWO_005493-T1, GBNWO_007561-T1, GBNWO_008928-T1
OG0000014	GBNWN_001254-T1, GBNWN_001255-T1, GBNWN_001431-T1, GBNWN_002405-T1, GBNWN_003963-T1, GBNWN_004643-T1, GBNWN_006576-T1	GBNWO_001221-T1, GBNWO_003433-T1, GBNWO_003885-T1, GBNWO_007115-T1, GBNWO_007886-T1
OG0000015	GBNWN_001650-T1, GBNWN_002127-T1, GBNWN_002378-T1, GBNWN_002984-T1, GBNWN_003212-T1, GBNWN_004736-T1, GBNWN_004820-T1, GBNWN_005119-T1, GBNWN_008047-T1, GBNWN_008917-T1, GBNWN_009491-T1	GBNWO_002444-T1
OG0000016	GBNWN_001829-T1, GBNWN_003147-T1, GBNWN_003562-T1, GBNWN_003770-T1, GBNWN_004412-T1, GBNWN_005259-T1	GBNWO_001607-T1, GBNWO_005137-T1, GBNWO_005409-T1, GBNWO_007191-T1, GBNWO_007418-T1, GBNWO_009152-T1
OG0000017	GBNWN_002709-T1, GBNWN_003069-T1, GBNWN_004894-T1, GBNWN_008842-T1, GBNWN_009453-T1	GBNWO_000947-T1, GBNWO_002004-T1, GBNWO_002474-T1, GBNWO_005617-T1, GBNWO_006927-T1, GBNWO_007073-T1, GBNWO_007897-T1
OG0000018	GBNWN_000030-T1, GBNWN_003595-T1, GBNWN_004515-T1, GBNWN_008725-T1, GBNWN_009170-T1	GBNWO_001517-T1, GBNWO_001825-T1, GBNWO_002875-T1, GBNWO_003388-T1, GBNWO_006618-T1, GBNWO_009205-T1
OG0000019	GBNWN_000162-T1, GBNWN_000168-T1, GBNWN_000169-T1, GBNWN_005235-T1, GBNWN_007729-T1, GBNWN_008504-T1	GBNWO_000059-T1, GBNWO_008198-T1, GBNWO_008430-T1, GBNWO_008431-T1, GBNWO_009187-T1
OG0000020	GBNWN_001210-T1, GBNWN_001212-T1, GBNWN_002503-T1, GBNWN_002504-T1, GBNWN_004257-T1, GBNWN_005446-T1, GBNWN_009057-T1	GBNWO_001035-T1, GBNWO_003206-T1, GBNWO_006142-T1, GBNWO_007052-T1
OG0000021	GBNWN_003008-T1, GBNWN_004689-T1, GBNWN_007182-T1, GBNWN_007892-T1, GBNWN_008759-T1	GBNWO_000627-T1, GBNWO_003436-T1, GBNWO_003817-T1, GBNWO_006413-T1, GBNWO_006414-T1, GBNWO_006961-T1
OG0000022	GBNWN_003283-T1, GBNWN_006116-T1, GBNWN_008328-T1, GBNWN_008602-T1, GBNWN_008788-T1	GBNWO_000060-T1, GBNWO_004175-T1, GBNWO_004922-T1, GBNWO_005453-T1, GBNWO_008229-T1, GBNWO_009262-T1
OG0000023	GBNWN_003757-T1, GBNWN_003758-T1, GBNWN_003893-T1, GBNWN_004020-T1, GBNWN_004906-T1, GBNWN_007542-T1	GBNWO_000034-T1, GBNWO_003934-T1, GBNWO_005055-T1, GBNWO_006630-T1, GBNWO_008505-T1
OG0000024	GBNWN_000441-T1, GBNWN_001286-T1, GBNWN_001408-T1, GBNWN_001863-T1, GBNWN_007106-T1	GBNWO_000224-T1, GBNWO_000349-T1, GBNWO_007338-T1, GBNWO_007692-T1, GBNWO_008850-T1
OG0000025	GBNWN_000579-T1, GBNWN_001245-T1, GBNWN_004113-T1, GBNWN_004533-T1, GBNWN_007916-T1	GBNWO_000450-T1, GBNWO_001273-T1, GBNWO_004596-T1, GBNWO_008801-T1, GBNWO_009503-T1
OG0000026	GBNWN_000755-T1, GBNWN_004005-T1, GBNWN_004883-T1, GBNWN_007224-T1, GBNWN_009175-T1	GBNWO_002737-T1, GBNWO_002739-T1, GBNWO_003310-T1, GBNWO_004441-T1, GBNWO_008340-T1
OG0000027	GBNWN_000913-T1, GBNWN_001803-T1, GBNWN_002034-T1, GBNWN_009132-T1, GBNWN_009479-T1	GBNWO_000467-T1, GBNWO_001041-T1, GBNWO_001612-T1, GBNWO_002229-T1, GBNWO_008105-T1
OG0000028	GBNWN_001064-T1, GBNWN_003951-T1, GBNWN_006126-T1, GBNWN_007102-T1, GBNWN_007453-T1, GBNWN_008149-T1	GBNWO_000866-T1, GBNWO_001861-T1, GBNWO_003273-T1, GBNWO_008362-T1
OG0000029	GBNWN_002427-T1, GBNWN_003305-T1, GBNWN_004891-T1, GBNWN_004892-T1, GBNWN_007110-T1	GBNWO_002472-T1, GBNWO_005664-T1, GBNWO_007228-T1, GBNWO_007229-T1, GBNWO_007878-T1
OG0000030	GBNWN_002437-T1, GBNWN_004133-T1, GBNWN_005751-T1, GBNWN_007879-T1, GBNWN_008057-T1	GBNWO_002274-T1, GBNWO_002374-T1, GBNWO_003994-T1, GBNWO_005446-T1, GBNWO_005943-T1
OG0000031	GBNWN_002592-T1, GBNWN_004716-T1, GBNWN_005772-T1, GBNWN_007439-T1, GBNWN_007440-T1, GBNWN_007445-T1	GBNWO_000147-T1, GBNWO_001047-T1, GBNWO_002909-T1, GBNWO_008965-T1
OG0000032	GBNWN_002646-T1, GBNWN_006771-T1, GBNWN_008049-T1, GBNWN_008332-T1, GBNWN_008583-T1	GBNWO_000360-T1, GBNWO_000938-T1, GBNWO_003783-T1, GBNWO_005219-T1, GBNWO_008645-T1
OG0000033	GBNWN_003500-T1, GBNWN_005094-T1, GBNWN_006409-T1, GBNWN_007499-T1, GBNWN_008240-T1	GBNWO_000733-T1, GBNWO_001553-T1, GBNWO_004363-T1, GBNWO_005536-T1, GBNWO_006370-T1
OG0000034	GBNWN_003507-T1, GBNWN_004833-T1, GBNWN_007105-T1, GBNWN_007348-T1, GBNWN_007948-T1	GBNWO_000299-T1, GBNWO_005852-T1, GBNWO_007212-T1, GBNWO_008338-T1, GBNWO_008851-T1
OG0000035	GBNWN_003990-T1, GBNWN_005892-T1, GBNWN_005894-T1, GBNWN_008164-T1, GBNWN_008261-T1	GBNWO_001048-T1, GBNWO_001219-T1, GBNWO_002775-T1, GBNWO_004898-T1, GBNWO_005829-T1
OG0000036	GBNWN_004638-T1, GBNWN_004708-T1, GBNWN_005737-T1, GBNWN_009505-T1	GBNWO_002914-T1, GBNWO_003864-T1, GBNWO_007348-T1, GBNWO_007349-T1, GBNWO_007907-T1, GBNWO_008744-T1
OG0000037	GBNWN_000306-T1, GBNWN_003440-T1, GBNWN_005933-T1, GBNWN_007498-T1, GBNWN_008785-T1, GBNWN_009034-T1	GBNWO_004036-T1, GBNWO_005310-T1, GBNWO_007266-T1
OG0000038	GBNWN_000335-T1, GBNWN_000813-T1, GBNWN_001288-T1, GBNWN_002249-T1, GBNWN_009428-T1	GBNWO_002190-T1, GBNWO_003148-T1, GBNWO_003198-T1, GBNWO_009063-T1
OG0000039	GBNWN_000365-T1, GBNWN_002055-T1, GBNWN_004922-T1, GBNWN_006289-T1, GBNWN_008717-T1	GBNWO_003041-T1, GBNWO_003173-T1, GBNWO_004142-T1, GBNWO_005596-T1
OG0000040	GBNWN_000663-T1, GBNWN_000664-T1, GBNWN_004696-T1, GBNWN_005129-T1, GBNWN_006256-T1	GBNWO_001217-T1, GBNWO_001768-T1, GBNWO_002269-T1, GBNWO_008286-T1
OG0000041	GBNWN_000750-T1, GBNWN_002420-T1, GBNWN_003009-T1, GBNWN_006836-T1	GBNWO_002980-T1, GBNWO_003313-T1, GBNWO_003631-T1, GBNWO_007236-T1, GBNWO_007977-T1
OG0000042	GBNWN_000900-T1, GBNWN_001269-T1, GBNWN_003391-T1, GBNWN_007590-T1	GBNWO_001172-T1, GBNWO_001799-T1, GBNWO_004549-T1, GBNWO_007142-T1, GBNWO_008945-T1
OG0000043	GBNWN_001462-T1, GBNWN_002787-T1, GBNWN_005428-T1, GBNWN_007079-T1	GBNWO_002182-T1, GBNWO_006240-T1, GBNWO_008166-T1, GBNWO_008230-T1, GBNWO_009106-T1
OG0000044	GBNWN_001754-T1, GBNWN_003555-T1, GBNWN_007517-T1, GBNWN_008380-T1	GBNWO_001727-T1, GBNWO_004375-T1, GBNWO_004531-T1, GBNWO_004884-T1, GBNWO_007665-T1
OG0000045	GBNWN_002471-T1, GBNWN_003607-T1, GBNWN_007894-T1, GBNWN_009270-T1	GBNWO_002359-T1, GBNWO_004228-T1, GBNWO_005009-T1, GBNWO_006308-T1, GBNWO_007767-T1
OG0000046	GBNWN_004199-T1, GBNWN_006056-T1	GBNWO_004347-T1, GBNWO_004629-T1, GBNWO_005905-T1, GBNWO_006393-T1, GBNWO_008595-T1, GBNWO_008636-T1, GBNWO_009367-T1
OG0000047	GBNWN_004433-T1, GBNWN_006742-T1, GBNWN_006743-T1, GBNWN_008079-T1, GBNWN_009064-T1	GBNWO_000561-T1, GBNWO_003834-T1, GBNWO_006714-T1, GBNWO_006800-T1
OG0000048		GBNWO_000939-T1, GBNWO_003127-T1, GBNWO_003835-T1, GBNWO_003874-T1, GBNWO_004031-T1, GBNWO_004466-T1, GBNWO_004497-T1, GBNWO_005215-T1, GBNWO_007398-T1
OG0000049	GBNWN_000087-T1, GBNWN_002207-T1, GBNWN_004030-T1, GBNWN_009586-T1	GBNWO_002833-T1, GBNWO_004237-T1, GBNWO_007018-T1, GBNWO_007995-T1
OG0000050	GBNWN_000094-T1, GBNWN_000112-T1, GBNWN_001191-T1, GBNWN_001223-T1	GBNWO_001320-T1, GBNWO_002619-T1, GBNWO_002828-T1, GBNWO_004507-T1
OG0000051	GBNWN_000367-T1, GBNWN_002844-T1, GBNWN_003800-T1, GBNWN_007607-T1, GBNWN_008527-T1	GBNWO_001208-T1, GBNWO_005718-T1, GBNWO_007003-T1
OG0000052	GBNWN_000426-T1, GBNWN_001358-T1, GBNWN_002098-T1, GBNWN_003590-T1, GBNWN_003591-T1, GBNWN_004989-T1, GBNWN_008557-T1, GBNWN_009242-T1	
OG0000053	GBNWN_000517-T1, GBNWN_002826-T1, GBNWN_005306-T1, GBNWN_007935-T1	GBNWO_005692-T1, GBNWO_009384-T1, GBNWO_009385-T1, GBNWO_009621-T1
OG0000054	GBNWN_000636-T1, GBNWN_000673-T1, GBNWN_003803-T1, GBNWN_005203-T1	GBNWO_001089-T1, GBNWO_002985-T1, GBNWO_005149-T1, GBNWO_009283-T1
OG0000055	GBNWN_000666-T1, GBNWN_001346-T1, GBNWN_002764-T1, GBNWN_006687-T1	GBNWO_001431-T1, GBNWO_003522-T1, GBNWO_006922-T1, GBNWO_007241-T1
OG0000056	GBNWN_000746-T1, GBNWN_004800-T1, GBNWN_006312-T1, GBNWN_006313-T1	GBNWO_001774-T1, GBNWO_003080-T1, GBNWO_005021-T1, GBNWO_006289-T1
OG0000057	GBNWN_000778-T1, GBNWN_009397-T1	GBNWO_001275-T1, GBNWO_002151-T1, GBNWO_002237-T1, GBNWO_006317-T1, GBNWO_007039-T1, GBNWO_007193-T1
OG0000058	GBNWN_000800-T1, GBNWN_002114-T1, GBNWN_005002-T1	GBNWO_001029-T1, GBNWO_001908-T1, GBNWO_002516-T1, GBNWO_005156-T1, GBNWO_005727-T1
OG0000059	GBNWN_000883-T1, GBNWN_002354-T1, GBNWN_004372-T1, GBNWN_004668-T1	GBNWO_007528-T1, GBNWO_008666-T1, GBNWO_008742-T1, GBNWO_008841-T1
OG0000060	GBNWN_000897-T1, GBNWN_003148-T1, GBNWN_004105-T1, GBNWN_009503-T1	GBNWO_001593-T1, GBNWO_002912-T1, GBNWO_004763-T1, GBNWO_008498-T1
OG0000061	GBNWN_000921-T1, GBNWN_002712-T1, GBNWN_005495-T1, GBNWN_005697-T1, GBNWN_006643-T1, GBNWN_007885-T1	GBNWO_001841-T1, GBNWO_001954-T1
OG0000062	GBNWN_001368-T1, GBNWN_005507-T1, GBNWN_005813-T1, GBNWN_009298-T1	GBNWO_003421-T1, GBNWO_007580-T1, GBNWO_009593-T1, GBNWO_009600-T1
OG0000063	GBNWN_001404-T1, GBNWN_004394-T1, GBNWN_004516-T1, GBNWN_007743-T1	GBNWO_000045-T1, GBNWO_004935-T1, GBNWO_007342-T1, GBNWO_009203-T1
OG0000064	GBNWN_001423-T1, GBNWN_001568-T1, GBNWN_003478-T1, GBNWN_008322-T1	GBNWO_003914-T1, GBNWO_004868-T1, GBNWO_007782-T1, GBNWO_009104-T1
OG0000065	GBNWN_001456-T1, GBNWN_004705-T1, GBNWN_007876-T1, GBNWN_008567-T1	GBNWO_000625-T1, GBNWO_001808-T1, GBNWO_007520-T1, GBNWO_007829-T1
OG0000066	GBNWN_001840-T1, GBNWN_004490-T1, GBNWN_006242-T1, GBNWN_006843-T1	GBNWO_001996-T1, GBNWO_002577-T1, GBNWO_003625-T1, GBNWO_008206-T1
OG0000067	GBNWN_002513-T1, GBNWN_003322-T1, GBNWN_006808-T1, GBNWN_007736-T1	GBNWO_000052-T1, GBNWO_001298-T1, GBNWO_004038-T1, GBNWO_008058-T1
OG0000068	GBNWN_002607-T1, GBNWN_002737-T1, GBNWN_005250-T1, GBNWN_007306-T1	GBNWO_001308-T1, GBNWO_001402-T1, GBNWO_001777-T1, GBNWO_007983-T1
OG0000069	GBNWN_002628-T1, GBNWN_003952-T1, GBNWN_007869-T1, GBNWN_009152-T1	GBNWO_003943-T1, GBNWO_005897-T1, GBNWO_007654-T1, GBNWO_009515-T1
OG0000070	GBNWN_003113-T1, GBNWN_004083-T1, GBNWN_005010-T1, GBNWN_007138-T1	GBNWO_001462-T1, GBNWO_003500-T1, GBNWO_004932-T1, GBNWO_005487-T1
OG0000071	GBNWN_003395-T1, GBNWN_007652-T1, GBNWN_008124-T1, GBNWN_008405-T1	GBNWO_000679-T1, GBNWO_001050-T1, GBNWO_002597-T1, GBNWO_003761-T1
OG0000072	GBNWN_004227-T1, GBNWN_004327-T1, GBNWN_004611-T1, GBNWN_009530-T1	GBNWO_002386-T1, GBNWO_003607-T1, GBNWO_007953-T1, GBNWO_008725-T1
OG0000073	GBNWN_004423-T1, GBNWN_005263-T1, GBNWN_006402-T1, GBNWN_008580-T1	GBNWO_002937-T1, GBNWO_004712-T1, GBNWO_008308-T1, GBNWO_009161-T1
OG0000074	GBNWN_004748-T1, GBNWN_006702-T1, GBNWN_008250-T1, GBNWN_008855-T1	GBNWO_002490-T1, GBNWO_007914-T1, GBNWO_008639-T1, GBNWO_008661-T1
OG0000075	GBNWN_004796-T1, GBNWN_006018-T1, GBNWN_006695-T1, GBNWN_008089-T1	GBNWO_000405-T1, GBNWO_003084-T1, GBNWO_007354-T1, GBNWO_009429-T1
OG0000076	GBNWN_004864-T1, GBNWN_005084-T1, GBNWN_006212-T1, GBNWN_008999-T1	GBNWO_000667-T1, GBNWO_001327-T1, GBNWO_006363-T1, GBNWO_006828-T1
OG0000077	GBNWN_005595-T1, GBNWN_007339-T1, GBNWN_007609-T1, GBNWN_008615-T1	GBNWO_000187-T1, GBNWO_004018-T1, GBNWO_004492-T1, GBNWO_008889-T1
OG0000078	GBNWN_006199-T1, GBNWN_006779-T1, GBNWN_007923-T1, GBNWN_009450-T1	GBNWO_003556-T1, GBNWO_007273-T1, GBNWO_007900-T1, GBNWO_009381-T1
OG0000079	GBNWN_007836-T1, GBNWN_008356-T1, GBNWN_008899-T1, GBNWN_008961-T1	GBNWO_000003-T1, GBNWO_002560-T1, GBNWO_006902-T1, GBNWO_008295-T1
OG0000080	GBNWN_000009-T1, GBNWN_003218-T1, GBNWN_006182-T1, GBNWN_006555-T1	GBNWO_002321-T1, GBNWO_004117-T1, GBNWO_009021-T1
OG0000081	GBNWN_000309-T1, GBNWN_002807-T1, GBNWN_002813-T1, GBNWN_007405-T1	GBNWO_001326-T1, GBNWO_002561-T1, GBNWO_003200-T1
OG0000082	GBNWN_000604-T1, GBNWN_002027-T1, GBNWN_003017-T1, GBNWN_003141-T1	GBNWO_002806-T1, GBNWO_007553-T1, GBNWO_009537-T1
OG0000083	GBNWN_000632-T1, GBNWN_001961-T1, GBNWN_002216-T1, GBNWN_008869-T1	GBNWO_002301-T1, GBNWO_008494-T1, GBNWO_009324-T1
OG0000084	GBNWN_000736-T1, GBNWN_003378-T1, GBNWN_004186-T1	GBNWO_001031-T1, GBNWO_004314-T1, GBNWO_008860-T1, GBNWO_008861-T1
OG0000085	GBNWN_000815-T1, GBNWN_003287-T1, GBNWN_006611-T1, GBNWN_007544-T1	GBNWO_000817-T1, GBNWO_001497-T1, GBNWO_004035-T1
OG0000086	GBNWN_000932-T1, GBNWN_001767-T1, GBNWN_007469-T1, GBNWN_008807-T1	GBNWO_001006-T1, GBNWO_002837-T1, GBNWO_004156-T1
OG0000087	GBNWN_000978-T1, GBNWN_002876-T1, GBNWN_002909-T1, GBNWN_002957-T1, GBNWN_004198-T1, GBNWN_006054-T1, GBNWN_009516-T1	
OG0000088	GBNWN_001140-T1, GBNWN_002782-T1, GBNWN_008434-T1	GBNWO_003507-T1, GBNWO_006746-T1, GBNWO_008028-T1, GBNWO_008189-T1
OG0000089	GBNWN_001335-T1, GBNWN_003611-T1, GBNWN_003693-T1, GBNWN_007804-T1	GBNWO_006224-T1, GBNWO_007321-T1, GBNWO_007943-T1
OG0000090	GBNWN_001424-T1, GBNWN_003389-T1, GBNWN_004042-T1, GBNWN_007417-T1	GBNWO_006509-T1, GBNWO_006615-T1, GBNWO_008947-T1
OG0000091	GBNWN_001527-T1, GBNWN_005840-T1, GBNWN_006861-T1, GBNWN_008132-T1	GBNWO_001058-T1, GBNWO_001708-T1, GBNWO_005389-T1
OG0000092	GBNWN_001547-T1, GBNWN_005704-T1, GBNWN_009531-T1, GBNWN_009532-T1	GBNWO_003606-T1, GBNWO_006798-T1, GBNWO_007475-T1
OG0000093	GBNWN_001700-T1, GBNWN_001701-T1, GBNWN_004540-T1, GBNWN_005778-T1	GBNWO_001280-T1, GBNWO_002307-T1, GBNWO_006462-T1
OG0000094	GBNWN_001813-T1, GBNWN_003268-T1, GBNWN_006785-T1, GBNWN_006962-T1	GBNWO_000340-T1, GBNWO_000549-T1, GBNWO_003257-T1
OG0000095	GBNWN_001983-T1, GBNWN_006625-T1, GBNWN_007154-T1	GBNWO_001139-T1, GBNWO_001384-T1, GBNWO_005033-T1, GBNWO_009241-T1
OG0000096	GBNWN_002413-T1, GBNWN_003686-T1, GBNWN_004153-T1	GBNWO_000029-T1, GBNWO_002728-T1, GBNWO_004732-T1, GBNWO_006642-T1
OG0000097	GBNWN_003151-T1, GBNWN_008417-T1, GBNWN_009017-T1	GBNWO_000396-T1, GBNWO_003146-T1, GBNWO_003405-T1, GBNWO_007920-T1
OG0000098	GBNWN_003223-T1, GBNWN_003224-T1, GBNWN_003225-T1	GBNWO_003301-T1, GBNWO_004743-T1, GBNWO_004744-T1, GBNWO_007329-T1
OG0000099	GBNWN_003271-T1, GBNWN_006547-T1, GBNWN_008801-T1	GBNWO_001115-T1, GBNWO_005532-T1, GBNWO_006387-T1, GBNWO_007028-T1
OG0000100	GBNWN_003873-T1, GBNWN_005182-T1, GBNWN_006591-T1, GBNWN_006789-T1	GBNWO_000545-T1, GBNWO_008421-T1, GBNWO_009032-T1
OG0000101	GBNWN_003875-T1, GBNWN_004426-T1, GBNWN_005780-T1, GBNWN_008703-T1	GBNWO_002309-T1, GBNWO_002862-T1, GBNWO_008305-T1
OG0000102	GBNWN_004094-T1, GBNWN_007454-T1, GBNWN_009052-T1	GBNWO_003468-T1, GBNWO_006667-T1, GBNWO_008361-T1, GBNWO_009096-T1
OG0000103	GBNWN_004131-T1, GBNWN_005034-T1, GBNWN_009234-T1	GBNWO_001243-T1, GBNWO_002753-T1, GBNWO_006108-T1, GBNWO_007059-T1
OG0000104	GBNWN_004192-T1, GBNWN_004457-T1, GBNWN_004919-T1	GBNWO_002989-T1, GBNWO_003716-T1, GBNWO_008866-T1, GBNWO_009355-T1
OG0000105	GBNWN_004250-T1, GBNWN_004251-T1, GBNWN_004791-T1	GBNWO_000241-T1, GBNWO_003503-T1, GBNWO_004524-T1, GBNWO_007586-T1
OG0000106	GBNWN_004663-T1, GBNWN_007556-T1, GBNWN_008112-T1	GBNWO_000529-T1, GBNWO_001380-T1, GBNWO_003965-T1, GBNWO_007375-T1
OG0000107	GBNWN_005449-T1, GBNWN_005992-T1, GBNWN_007752-T1, GBNWN_008543-T1	GBNWO_001396-T1, GBNWO_003536-T1, GBNWO_008148-T1
OG0000108	GBNWN_005647-T1, GBNWN_005835-T1, GBNWN_008488-T1, GBNWN_009607-T1	GBNWO_001627-T1, GBNWO_004060-T1, GBNWO_004716-T1
OG0000109	GBNWN_006753-T1, GBNWN_008226-T1, GBNWN_009335-T1	GBNWO_003262-T1, GBNWO_003314-T1, GBNWO_005279-T1, GBNWO_009012-T1
OG0000110		GBNWO_001644-T1, GBNWO_001776-T1, GBNWO_001787-T1, GBNWO_005369-T1, GBNWO_005579-T1, GBNWO_007621-T1, GBNWO_009529-T1
OG0000111	GBNWN_000003-T1, GBNWN_003914-T1, GBNWN_005036-T1	GBNWO_002256-T1, GBNWO_004148-T1, GBNWO_006334-T1
OG0000112	GBNWN_000007-T1, GBNWN_007612-T1, GBNWN_009404-T1	GBNWO_002809-T1, GBNWO_004174-T1, GBNWO_009019-T1
OG0000113	GBNWN_000059-T1, GBNWN_000563-T1, GBNWN_003039-T1	GBNWO_001392-T1, GBNWO_001675-T1, GBNWO_007724-T1
OG0000114	GBNWN_000116-T1, GBNWN_005459-T1, GBNWN_005907-T1	GBNWO_004044-T1, GBNWO_004100-T1, GBNWO_006936-T1
OG0000115	GBNWN_000381-T1, GBNWN_006236-T1, GBNWN_007660-T1	GBNWO_003042-T1, GBNWO_007682-T1, GBNWO_009147-T1
OG0000116	GBNWN_000386-T1, GBNWN_000839-T1, GBNWN_006701-T1	GBNWO_002322-T1, GBNWO_003168-T1, GBNWO_007913-T1
OG0000117	GBNWN_000497-T1, GBNWN_005369-T1, GBNWN_009115-T1	GBNWO_004285-T1, GBNWO_004816-T1, GBNWO_009039-T1
OG0000118	GBNWN_000505-T1, GBNWN_001149-T1, GBNWN_005240-T1	GBNWO_000105-T1, GBNWO_005508-T1, GBNWO_006709-T1
OG0000119	GBNWN_000515-T1, GBNWN_003392-T1, GBNWN_006417-T1, GBNWN_009040-T1	GBNWO_004705-T1, GBNWO_004879-T1
OG0000120	GBNWN_000542-T1, GBNWN_001031-T1, GBNWN_005258-T1	GBNWO_002946-T1, GBNWO_007980-T1, GBNWO_008956-T1
OG0000121	GBNWN_000606-T1, GBNWN_005515-T1, GBNWN_006320-T1	GBNWO_000124-T1, GBNWO_000757-T1, GBNWO_004326-T1
