	Backusella_lamprospora_NRRL_1401.aa	Backusella_lamprospora_NRRL_6044_Plus.aa
OG0010370	CTHSW_000384-T1	
OG0010371	CTHSW_000390-T1	
OG0010372	CTHSW_000401-T1	
OG0010373	CTHSW_000408-T1	
OG0010374	CTHSW_000413-T1	
OG0010375	CTHSW_000417-T1	
OG0010376	CTHSW_000430-T1	
OG0010377	CTHSW_000431-T1	
OG0010378	CTHSW_000432-T1	
OG0010379	CTHSW_000447-T1	
OG0010380	CTHSW_000450-T1	
OG0010381	CTHSW_000452-T1	
OG0010382	CTHSW_000453-T1	
OG0010383	CTHSW_000465-T1	
OG0010384	CTHSW_000472-T1	
OG0010385	CTHSW_000485-T1	
OG0010386	CTHSW_000493-T1	
OG0010387	CTHSW_000514-T1	
OG0010388	CTHSW_000515-T1	
OG0010389	CTHSW_000516-T1	
OG0010390	CTHSW_000517-T1	
OG0010391	CTHSW_000524-T1	
OG0010392	CTHSW_000539-T1	
OG0010393	CTHSW_000541-T1	
OG0010394	CTHSW_000547-T1	
OG0010395	CTHSW_000549-T1	
OG0010396	CTHSW_000550-T1	
OG0010397	CTHSW_000551-T1	
OG0010398	CTHSW_000552-T1	
OG0010399	CTHSW_000553-T1	
OG0010400	CTHSW_000585-T1	
OG0010401	CTHSW_000602-T1	
OG0010402	CTHSW_000603-T1	
OG0010403	CTHSW_000604-T1	
OG0010404	CTHSW_000612-T1	
OG0010405	CTHSW_000614-T1	
OG0010406	CTHSW_000623-T1	
OG0010407	CTHSW_000624-T1	
OG0010408	CTHSW_000630-T1	
OG0010409	CTHSW_000645-T1	
OG0010410	CTHSW_000648-T1	
OG0010411	CTHSW_000651-T1	
OG0010412	CTHSW_000654-T1	
OG0010413	CTHSW_000657-T1	
OG0010414	CTHSW_000658-T1	
OG0010415	CTHSW_000666-T1	
OG0010416	CTHSW_000701-T1	
OG0010417	CTHSW_000707-T1	
OG0010418	CTHSW_000746-T1	
OG0010419	CTHSW_000761-T1	
OG0010420	CTHSW_000793-T1	
OG0010421	CTHSW_000817-T1	
OG0010422	CTHSW_000819-T1	
OG0010423	CTHSW_000822-T1	
OG0010424	CTHSW_000829-T1	
OG0010425	CTHSW_000830-T1	
OG0010426	CTHSW_000831-T1	
OG0010427	CTHSW_000833-T1	
OG0010428	CTHSW_000834-T1	
OG0010429	CTHSW_000867-T1	
OG0010430	CTHSW_000868-T1	
OG0010431	CTHSW_000869-T1	
OG0010432	CTHSW_000871-T1	
OG0010433	CTHSW_000876-T1	
OG0010434	CTHSW_000877-T1	
OG0010435	CTHSW_000878-T1	
OG0010436	CTHSW_000888-T1	
OG0010437	CTHSW_000894-T1	
OG0010438	CTHSW_000908-T1	
OG0010439	CTHSW_000909-T1	
OG0010440	CTHSW_000913-T1	
OG0010441	CTHSW_000915-T1	
OG0010442	CTHSW_000917-T1	
OG0010443	CTHSW_000930-T1	
OG0010444	CTHSW_000934-T1	
OG0010445	CTHSW_000946-T1	
OG0010446	CTHSW_000947-T1	
OG0010447	CTHSW_000951-T1	
OG0010448	CTHSW_000954-T1	
OG0010449	CTHSW_000957-T1	
OG0010450	CTHSW_000958-T1	
OG0010451	CTHSW_000963-T1	
OG0010452	CTHSW_000964-T1	
OG0010453	CTHSW_000986-T1	
OG0010454	CTHSW_000992-T1	
OG0010455	CTHSW_000993-T1	
OG0010456	CTHSW_000997-T1	
OG0010457	CTHSW_001000-T1	
OG0010458	CTHSW_001001-T1	
OG0010459	CTHSW_001002-T1	
OG0010460	CTHSW_001005-T1	
OG0010461	CTHSW_001006-T1	
OG0010462	CTHSW_001007-T1	
OG0010463	CTHSW_001008-T1	
OG0010464	CTHSW_001022-T1	
OG0010465	CTHSW_001025-T1	
OG0010466	CTHSW_001031-T1	
OG0010467	CTHSW_001033-T1	
OG0010468	CTHSW_001037-T1	
OG0010469	CTHSW_001038-T1	
OG0010470	CTHSW_001040-T1	
OG0010471	CTHSW_001041-T1	
OG0010472	CTHSW_001042-T1	
OG0010473	CTHSW_001047-T1	
OG0010474	CTHSW_001056-T1	
OG0010475	CTHSW_001060-T1	
OG0010476	CTHSW_001081-T1	
OG0010477	CTHSW_001082-T1	
OG0010478	CTHSW_001083-T1	
OG0010479	CTHSW_001084-T1	
OG0010480	CTHSW_001086-T1	
OG0010481	CTHSW_001091-T1	
OG0010482	CTHSW_001093-T1	
OG0010483	CTHSW_001096-T1	
OG0010484	CTHSW_001100-T1	
OG0010485	CTHSW_001102-T1	
OG0010486	CTHSW_001104-T1	
OG0010487	CTHSW_001106-T1	
OG0010488	CTHSW_001111-T1	
OG0010489	CTHSW_001124-T1	
OG0010490	CTHSW_001126-T1	
OG0010491	CTHSW_001127-T1	
OG0010492	CTHSW_001128-T1	
OG0010493	CTHSW_001130-T1	
OG0010494	CTHSW_001132-T1	
OG0010495	CTHSW_001136-T1	
OG0010496	CTHSW_001156-T1	
OG0010497	CTHSW_001162-T1	
OG0010498	CTHSW_001163-T1	
OG0010499	CTHSW_001167-T1	
OG0010500	CTHSW_001168-T1	
OG0010501	CTHSW_001169-T1	
OG0010502	CTHSW_001171-T1	
OG0010503	CTHSW_001176-T1	
OG0010504	CTHSW_001183-T1	
OG0010505	CTHSW_001186-T1	
OG0010506	CTHSW_001196-T1	
OG0010507	CTHSW_001206-T1	
OG0010508	CTHSW_001207-T1	
OG0010509	CTHSW_001208-T1	
OG0010510	CTHSW_001209-T1	
OG0010511	CTHSW_001213-T1	
OG0010512	CTHSW_001214-T1	
OG0010513	CTHSW_001217-T1	
OG0010514	CTHSW_001231-T1	
OG0010515	CTHSW_001240-T1	
OG0010516	CTHSW_001249-T1	
OG0010517	CTHSW_001253-T1	
OG0010518	CTHSW_001255-T1	
OG0010519	CTHSW_001261-T1	
OG0010520	CTHSW_001265-T1	
OG0010521	CTHSW_001279-T1	
OG0010522	CTHSW_001280-T1	
OG0010523	CTHSW_001282-T1	
OG0010524	CTHSW_001285-T1	
OG0010525	CTHSW_001292-T1	
OG0010526	CTHSW_001293-T1	
OG0010527	CTHSW_001295-T1	
OG0010528	CTHSW_001302-T1	
OG0010529	CTHSW_001328-T1	
OG0010530	CTHSW_001342-T1	
OG0010531	CTHSW_001347-T1	
OG0010532	CTHSW_001353-T1	
OG0010533	CTHSW_001356-T1	
OG0010534	CTHSW_001357-T1	
OG0010535	CTHSW_001358-T1	
OG0010536	CTHSW_001359-T1	
OG0010537	CTHSW_001366-T1	
OG0010538	CTHSW_001373-T1	
OG0010539	CTHSW_001377-T1	
OG0010540	CTHSW_001381-T1	
OG0010541	CTHSW_001382-T1	
OG0010542	CTHSW_001383-T1	
OG0010543	CTHSW_001384-T1	
OG0010544	CTHSW_001390-T1	
OG0010545	CTHSW_001399-T1	
OG0010546	CTHSW_001406-T1	
OG0010547	CTHSW_001410-T1	
OG0010548	CTHSW_001412-T1	
OG0010549	CTHSW_001414-T1	
OG0010550	CTHSW_001415-T1	
OG0010551	CTHSW_001416-T1	
OG0010552	CTHSW_001418-T1	
OG0010553	CTHSW_001419-T1	
OG0010554	CTHSW_001444-T1	
OG0010555	CTHSW_001445-T1	
OG0010556	CTHSW_001446-T1	
OG0010557	CTHSW_001447-T1	
OG0010558	CTHSW_001450-T1	
OG0010559	CTHSW_001451-T1	
OG0010560	CTHSW_001452-T1	
OG0010561	CTHSW_001453-T1	
OG0010562	CTHSW_001454-T1	
OG0010563	CTHSW_001455-T1	
OG0010564	CTHSW_001457-T1	
OG0010565	CTHSW_001466-T1	
OG0010566	CTHSW_001467-T1	
OG0010567	CTHSW_001469-T1	
OG0010568	CTHSW_001471-T1	
OG0010569	CTHSW_001476-T1	
OG0010570	CTHSW_001479-T1	
OG0010571	CTHSW_001485-T1	
OG0010572	CTHSW_001487-T1	
OG0010573	CTHSW_001488-T1	
OG0010574	CTHSW_001490-T1	
OG0010575	CTHSW_001500-T1	
OG0010576	CTHSW_001510-T1	
OG0010577	CTHSW_001526-T1	
OG0010578	CTHSW_001527-T1	
OG0010579	CTHSW_001529-T1	
OG0010580	CTHSW_001535-T1	
OG0010581	CTHSW_001544-T1	
OG0010582	CTHSW_001552-T1	
OG0010583	CTHSW_001561-T1	
OG0010584	CTHSW_001562-T1	
OG0010585	CTHSW_001565-T1	
OG0010586	CTHSW_001566-T1	
OG0010587	CTHSW_001569-T1	
OG0010588	CTHSW_001580-T1	
OG0010589	CTHSW_001581-T1	
OG0010590	CTHSW_001590-T1	
OG0010591	CTHSW_001592-T1	
OG0010592	CTHSW_001594-T1	
OG0010593	CTHSW_001599-T1	
OG0010594	CTHSW_001600-T1	
OG0010595	CTHSW_001602-T1	
OG0010596	CTHSW_001603-T1	
OG0010597	CTHSW_001606-T1	
OG0010598	CTHSW_001609-T1	
OG0010599	CTHSW_001614-T1	
OG0010600	CTHSW_001623-T1	
OG0010601	CTHSW_001635-T1	
OG0010602	CTHSW_001640-T1	
OG0010603	CTHSW_001643-T1	
OG0010604	CTHSW_001645-T1	
OG0010605	CTHSW_001647-T1	
OG0010606	CTHSW_001661-T1	
OG0010607	CTHSW_001665-T1	
OG0010608	CTHSW_001666-T1	
OG0010609	CTHSW_001673-T1	
OG0010610	CTHSW_001674-T1	
OG0010611	CTHSW_001698-T1	
OG0010612	CTHSW_001721-T1	
OG0010613	CTHSW_001724-T1	
OG0010614	CTHSW_001725-T1	
OG0010615	CTHSW_001732-T1	
OG0010616	CTHSW_001734-T1	
OG0010617	CTHSW_001737-T1	
OG0010618	CTHSW_001738-T1	
OG0010619	CTHSW_001759-T1	
OG0010620	CTHSW_001770-T1	
OG0010621	CTHSW_001771-T1	
OG0010622	CTHSW_001772-T1	
OG0010623	CTHSW_001773-T1	
OG0010624	CTHSW_001795-T1	
OG0010625	CTHSW_001802-T1	
OG0010626	CTHSW_001805-T1	
OG0010627	CTHSW_001806-T1	
OG0010628	CTHSW_001807-T1	
OG0010629	CTHSW_001812-T1	
OG0010630	CTHSW_001840-T1	
OG0010631	CTHSW_001842-T1	
OG0010632	CTHSW_001852-T1	
OG0010633	CTHSW_001854-T1	
OG0010634	CTHSW_001859-T1	
OG0010635	CTHSW_001864-T1	
OG0010636	CTHSW_001865-T1	
OG0010637	CTHSW_001866-T1	
OG0010638	CTHSW_001867-T1	
OG0010639	CTHSW_001870-T1	
OG0010640	CTHSW_001877-T1	
OG0010641	CTHSW_001900-T1	
OG0010642	CTHSW_001906-T1	
OG0010643	CTHSW_001924-T1	
OG0010644	CTHSW_001927-T1	
OG0010645	CTHSW_001928-T1	
OG0010646	CTHSW_001930-T1	
OG0010647	CTHSW_001933-T1	
OG0010648	CTHSW_001934-T1	
OG0010649	CTHSW_001965-T1	
OG0010650	CTHSW_001980-T1	
OG0010651	CTHSW_001982-T1	
OG0010652	CTHSW_001988-T1	
OG0010653	CTHSW_001994-T1	
OG0010654	CTHSW_002012-T1	
OG0010655	CTHSW_002024-T1	
OG0010656	CTHSW_002025-T1	
OG0010657	CTHSW_002026-T1	
OG0010658	CTHSW_002027-T1	
OG0010659	CTHSW_002028-T1	
OG0010660	CTHSW_002029-T1	
OG0010661	CTHSW_002036-T1	
OG0010662	CTHSW_002045-T1	
OG0010663	CTHSW_002046-T1	
OG0010664	CTHSW_002050-T1	
OG0010665	CTHSW_002052-T1	
OG0010666	CTHSW_002069-T1	
OG0010667	CTHSW_002086-T1	
OG0010668	CTHSW_002093-T1	
OG0010669	CTHSW_002094-T1	
OG0010670	CTHSW_002095-T1	
OG0010671	CTHSW_002101-T1	
OG0010672	CTHSW_002102-T1	
OG0010673	CTHSW_002104-T1	
OG0010674	CTHSW_002108-T1	
OG0010675	CTHSW_002109-T1	
OG0010676	CTHSW_002117-T1	
OG0010677	CTHSW_002122-T1	
OG0010678	CTHSW_002137-T1	
OG0010679	CTHSW_002139-T1	
OG0010680	CTHSW_002147-T1	
OG0010681	CTHSW_002164-T1	
OG0010682	CTHSW_002167-T1	
OG0010683	CTHSW_002168-T1	
OG0010684	CTHSW_002169-T1	
OG0010685	CTHSW_002170-T1	
OG0010686	CTHSW_002171-T1	
OG0010687	CTHSW_002176-T1	
OG0010688	CTHSW_002179-T1	
OG0010689	CTHSW_002189-T1	
OG0010690	CTHSW_002199-T1	
OG0010691	CTHSW_002201-T1	
OG0010692	CTHSW_002203-T1	
OG0010693	CTHSW_002229-T1	
OG0010694	CTHSW_002230-T1	
OG0010695	CTHSW_002231-T1	
OG0010696	CTHSW_002234-T1	
OG0010697	CTHSW_002235-T1	
OG0010698	CTHSW_002236-T1	
OG0010699	CTHSW_002237-T1	
OG0010700	CTHSW_002238-T1	
OG0010701	CTHSW_002241-T1	
OG0010702	CTHSW_002258-T1	
OG0010703	CTHSW_002268-T1	
OG0010704	CTHSW_002269-T1	
OG0010705	CTHSW_002270-T1	
OG0010706	CTHSW_002272-T1	
OG0010707	CTHSW_002280-T1	
OG0010708	CTHSW_002285-T1	
OG0010709	CTHSW_002300-T1	
OG0010710	CTHSW_002303-T1	
OG0010711	CTHSW_002307-T1	
OG0010712	CTHSW_002324-T1	
OG0010713	CTHSW_002332-T1	
OG0010714	CTHSW_002333-T1	
OG0010715	CTHSW_002334-T1	
OG0010716	CTHSW_002346-T1	
OG0010717	CTHSW_002351-T1	
OG0010718	CTHSW_002356-T1	
OG0010719	CTHSW_002357-T1	
OG0010720	CTHSW_002358-T1	
OG0010721	CTHSW_002371-T1	
OG0010722	CTHSW_002382-T1	
OG0010723	CTHSW_002384-T1	
OG0010724	CTHSW_002385-T1	
OG0010725	CTHSW_002386-T1	
OG0010726	CTHSW_002407-T1	
OG0010727	CTHSW_002410-T1	
OG0010728	CTHSW_002418-T1	
OG0010729	CTHSW_002419-T1	
OG0010730	CTHSW_002420-T1	
OG0010731	CTHSW_002422-T1	
OG0010732	CTHSW_002445-T1	
OG0010733	CTHSW_002454-T1	
OG0010734	CTHSW_002455-T1	
OG0010735	CTHSW_002466-T1	
OG0010736	CTHSW_002467-T1	
OG0010737	CTHSW_002469-T1	
OG0010738	CTHSW_002470-T1	
OG0010739	CTHSW_002471-T1	
OG0010740	CTHSW_002476-T1	
OG0010741	CTHSW_002489-T1	
OG0010742	CTHSW_002490-T1	
OG0010743	CTHSW_002491-T1	
OG0010744	CTHSW_002498-T1	
OG0010745	CTHSW_002507-T1	
OG0010746	CTHSW_002508-T1	
OG0010747	CTHSW_002516-T1	
OG0010748	CTHSW_002518-T1	
OG0010749	CTHSW_002533-T1	
OG0010750	CTHSW_002546-T1	
OG0010751	CTHSW_002547-T1	
OG0010752	CTHSW_002572-T1	
OG0010753	CTHSW_002573-T1	
OG0010754	CTHSW_002574-T1	
OG0010755	CTHSW_002575-T1	
OG0010756	CTHSW_002578-T1	
OG0010757	CTHSW_002579-T1	
OG0010758	CTHSW_002580-T1	
OG0010759	CTHSW_002583-T1	
OG0010760	CTHSW_002603-T1	
OG0010761	CTHSW_002604-T1	
OG0010762	CTHSW_002605-T1	
OG0010763	CTHSW_002610-T1	
OG0010764	CTHSW_002615-T1	
OG0010765	CTHSW_002616-T1	
OG0010766	CTHSW_002618-T1	
OG0010767	CTHSW_002623-T1	
OG0010768	CTHSW_002629-T1	
OG0010769	CTHSW_002632-T1	
OG0010770	CTHSW_002652-T1	
OG0010771	CTHSW_002653-T1	
OG0010772	CTHSW_002654-T1	
OG0010773	CTHSW_002655-T1	
OG0010774	CTHSW_002656-T1	
OG0010775	CTHSW_002657-T1	
OG0010776	CTHSW_002663-T1	
OG0010777	CTHSW_002667-T1	
OG0010778	CTHSW_002668-T1	
OG0010779	CTHSW_002682-T1	
OG0010780	CTHSW_002683-T1	
OG0010781	CTHSW_002684-T1	
OG0010782	CTHSW_002685-T1	
OG0010783	CTHSW_002686-T1	
OG0010784	CTHSW_002688-T1	
OG0010785	CTHSW_002689-T1	
OG0010786	CTHSW_002690-T1	
OG0010787	CTHSW_002708-T1	
OG0010788	CTHSW_002712-T1	
OG0010789	CTHSW_002724-T1	
OG0010790	CTHSW_002731-T1	
OG0010791	CTHSW_002733-T1	
OG0010792	CTHSW_002737-T1	
OG0010793	CTHSW_002748-T1	
OG0010794	CTHSW_002766-T1	
OG0010795	CTHSW_002776-T1	
OG0010796	CTHSW_002777-T1	
OG0010797	CTHSW_002778-T1	
OG0010798	CTHSW_002779-T1	
OG0010799	CTHSW_002780-T1	
OG0010800	CTHSW_002781-T1	
OG0010801	CTHSW_002782-T1	
OG0010802	CTHSW_002797-T1	
OG0010803	CTHSW_002800-T1	
OG0010804	CTHSW_002801-T1	
OG0010805	CTHSW_002804-T1	
OG0010806	CTHSW_002805-T1	
OG0010807	CTHSW_002806-T1	
OG0010808	CTHSW_002812-T1	
OG0010809	CTHSW_002835-T1	
OG0010810	CTHSW_002836-T1	
OG0010811	CTHSW_002848-T1	
OG0010812	CTHSW_002860-T1	
OG0010813	CTHSW_002861-T1	
OG0010814	CTHSW_002863-T1	
OG0010815	CTHSW_002877-T1	
OG0010816	CTHSW_002886-T1	
OG0010817	CTHSW_002887-T1	
OG0010818	CTHSW_002888-T1	
OG0010819	CTHSW_002890-T1	
OG0010820	CTHSW_002891-T1	
OG0010821	CTHSW_002892-T1	
OG0010822	CTHSW_002900-T1	
OG0010823	CTHSW_002908-T1	
OG0010824	CTHSW_002911-T1	
OG0010825	CTHSW_002920-T1	
OG0010826	CTHSW_002922-T1	
OG0010827	CTHSW_002925-T1	
OG0010828	CTHSW_002932-T1	
OG0010829	CTHSW_002933-T1	
OG0010830	CTHSW_002938-T1	
OG0010831	CTHSW_002939-T1	
OG0010832	CTHSW_002941-T1	
OG0010833	CTHSW_002950-T1	
OG0010834	CTHSW_002951-T1	
OG0010835	CTHSW_002975-T1	
OG0010836	CTHSW_002979-T1	
OG0010837	CTHSW_002980-T1	
OG0010838	CTHSW_002981-T1	
OG0010839	CTHSW_003003-T1	
OG0010840	CTHSW_003008-T1	
OG0010841	CTHSW_003025-T1	
OG0010842	CTHSW_003027-T1	
OG0010843	CTHSW_003029-T1	
OG0010844	CTHSW_003035-T1	
OG0010845	CTHSW_003039-T1	
OG0010846	CTHSW_003040-T1	
OG0010847	CTHSW_003050-T1	
OG0010848	CTHSW_003071-T1	
OG0010849	CTHSW_003087-T1	
OG0010850	CTHSW_003089-T1	
OG0010851	CTHSW_003091-T1	
OG0010852	CTHSW_003100-T1	
OG0010853	CTHSW_003117-T1	
OG0010854	CTHSW_003119-T1	
OG0010855	CTHSW_003120-T1	
OG0010856	CTHSW_003121-T1	
OG0010857	CTHSW_003140-T1	
OG0010858	CTHSW_003141-T1	
OG0010859	CTHSW_003143-T1	
OG0010860	CTHSW_003144-T1	
OG0010861	CTHSW_003146-T1	
OG0010862	CTHSW_003164-T1	
OG0010863	CTHSW_003169-T1	
OG0010864	CTHSW_003170-T1	
OG0010865	CTHSW_003171-T1	
OG0010866	CTHSW_003172-T1	
OG0010867	CTHSW_003173-T1	
OG0010868	CTHSW_003183-T1	
OG0010869	CTHSW_003188-T1	
OG0010870	CTHSW_003196-T1	
OG0010871	CTHSW_003197-T1	
OG0010872	CTHSW_003200-T1	
OG0010873	CTHSW_003214-T1	
OG0010874	CTHSW_003220-T1	
OG0010875	CTHSW_003222-T1	
OG0010876	CTHSW_003248-T1	
OG0010877	CTHSW_003249-T1	
OG0010878	CTHSW_003261-T1	
OG0010879	CTHSW_003266-T1	
OG0010880	CTHSW_003279-T1	
OG0010881	CTHSW_003285-T1	
OG0010882	CTHSW_003302-T1	
OG0010883	CTHSW_003303-T1	
OG0010884	CTHSW_003304-T1	
OG0010885	CTHSW_003305-T1	
OG0010886	CTHSW_003327-T1	
OG0010887	CTHSW_003329-T1	
OG0010888	CTHSW_003332-T1	
OG0010889	CTHSW_003334-T1	
OG0010890	CTHSW_003335-T1	
OG0010891	CTHSW_003336-T1	
OG0010892	CTHSW_003337-T1	
OG0010893	CTHSW_003350-T1	
OG0010894	CTHSW_003353-T1	
OG0010895	CTHSW_003354-T1	
OG0010896	CTHSW_003364-T1	
OG0010897	CTHSW_003365-T1	
OG0010898	CTHSW_003368-T1	
OG0010899	CTHSW_003370-T1	
OG0010900	CTHSW_003374-T1	
OG0010901	CTHSW_003393-T1	
OG0010902	CTHSW_003396-T1	
OG0010903	CTHSW_003401-T1	
OG0010904	CTHSW_003408-T1	
OG0010905	CTHSW_003413-T1	
OG0010906	CTHSW_003439-T1	
OG0010907	CTHSW_003444-T1	
OG0010908	CTHSW_003447-T1	
OG0010909	CTHSW_003448-T1	
OG0010910	CTHSW_003451-T1	
OG0010911	CTHSW_003455-T1	
OG0010912	CTHSW_003457-T1	
OG0010913	CTHSW_003464-T1	
OG0010914	CTHSW_003469-T1	
OG0010915	CTHSW_003471-T1	
OG0010916	CTHSW_003475-T1	
OG0010917	CTHSW_003476-T1	
OG0010918	CTHSW_003477-T1	
OG0010919	CTHSW_003478-T1	
OG0010920	CTHSW_003488-T1	
OG0010921	CTHSW_003491-T1	
OG0010922	CTHSW_003493-T1	
OG0010923	CTHSW_003495-T1	
OG0010924	CTHSW_003496-T1	
OG0010925	CTHSW_003513-T1	
OG0010926	CTHSW_003514-T1	
OG0010927	CTHSW_003515-T1	
OG0010928	CTHSW_003536-T1	
OG0010929	CTHSW_003537-T1	
OG0010930	CTHSW_003539-T1	
OG0010931	CTHSW_003552-T1	
OG0010932	CTHSW_003561-T1	
OG0010933	CTHSW_003563-T1	
OG0010934	CTHSW_003564-T1	
OG0010935	CTHSW_003565-T1	
OG0010936	CTHSW_003567-T1	
OG0010937	CTHSW_003577-T1	
OG0010938	CTHSW_003584-T1	
OG0010939	CTHSW_003592-T1	
OG0010940	CTHSW_003597-T1	
OG0010941	CTHSW_003598-T1	
OG0010942	CTHSW_003605-T1	
OG0010943	CTHSW_003606-T1	
OG0010944	CTHSW_003628-T1	
OG0010945	CTHSW_003630-T1	
OG0010946	CTHSW_003631-T1	
OG0010947	CTHSW_003654-T1	
OG0010948	CTHSW_003655-T1	
OG0010949	CTHSW_003669-T1	
OG0010950	CTHSW_003684-T1	
OG0010951	CTHSW_003698-T1	
OG0010952	CTHSW_003700-T1	
OG0010953	CTHSW_003705-T1	
OG0010954	CTHSW_003733-T1	
OG0010955	CTHSW_003734-T1	
OG0010956	CTHSW_003737-T1	
OG0010957	CTHSW_003741-T1	
OG0010958	CTHSW_003753-T1	
OG0010959	CTHSW_003759-T1	
OG0010960	CTHSW_003760-T1	
OG0010961	CTHSW_003761-T1	
OG0010962	CTHSW_003762-T1	
OG0010963	CTHSW_003763-T1	
OG0010964	CTHSW_003765-T1	
OG0010965	CTHSW_003766-T1	
OG0010966	CTHSW_003768-T1	
OG0010967	CTHSW_003776-T1	
OG0010968	CTHSW_003777-T1	
OG0010969	CTHSW_003786-T1	
OG0010970	CTHSW_003793-T1	
OG0010971	CTHSW_003796-T1	
OG0010972	CTHSW_003798-T1	
OG0010973	CTHSW_003810-T1	
OG0010974	CTHSW_003816-T1	
OG0010975	CTHSW_003817-T1	
OG0010976	CTHSW_003818-T1	
OG0010977	CTHSW_003822-T1	
OG0010978	CTHSW_003823-T1	
OG0010979	CTHSW_003824-T1	
OG0010980	CTHSW_003826-T1	
OG0010981	CTHSW_003828-T1	
OG0010982	CTHSW_003851-T1	
OG0010983	CTHSW_003852-T1	
OG0010984	CTHSW_003853-T1	
OG0010985	CTHSW_003854-T1	
OG0010986	CTHSW_003856-T1	
OG0010987	CTHSW_003870-T1	
OG0010988	CTHSW_003877-T1	
OG0010989	CTHSW_003878-T1	
OG0010990	CTHSW_003879-T1	
OG0010991	CTHSW_003881-T1	
OG0010992	CTHSW_003887-T1	
OG0010993	CTHSW_003906-T1	
OG0010994	CTHSW_003907-T1	
OG0010995	CTHSW_003921-T1	
OG0010996	CTHSW_003924-T1	
OG0010997	CTHSW_003925-T1	
OG0010998	CTHSW_003926-T1	
OG0010999	CTHSW_003930-T1	
OG0011000	CTHSW_003939-T1	
OG0011001	CTHSW_003940-T1	
OG0011002	CTHSW_003950-T1	
OG0011003	CTHSW_003951-T1	
OG0011004	CTHSW_003952-T1	
OG0011005	CTHSW_003953-T1	
OG0011006	CTHSW_003954-T1	
OG0011007	CTHSW_003955-T1	
OG0011008	CTHSW_003959-T1	
OG0011009	CTHSW_003965-T1	
OG0011010	CTHSW_003967-T1	
OG0011011	CTHSW_003969-T1	
OG0011012	CTHSW_003975-T1	
OG0011013	CTHSW_003976-T1	
OG0011014	CTHSW_003983-T1	
OG0011015	CTHSW_003996-T1	
OG0011016	CTHSW_003999-T1	
OG0011017	CTHSW_004022-T1	
OG0011018	CTHSW_004026-T1	
OG0011019	CTHSW_004031-T1	
OG0011020	CTHSW_004046-T1	
OG0011021	CTHSW_004049-T1	
OG0011022	CTHSW_004063-T1	
OG0011023	CTHSW_004069-T1	
OG0011024	CTHSW_004077-T1	
OG0011025	CTHSW_004078-T1	
OG0011026	CTHSW_004079-T1	
OG0011027	CTHSW_004114-T1	
OG0011028	CTHSW_004116-T1	
OG0011029	CTHSW_004117-T1	
OG0011030	CTHSW_004119-T1	
OG0011031	CTHSW_004127-T1	
OG0011032	CTHSW_004137-T1	
OG0011033	CTHSW_004138-T1	
OG0011034	CTHSW_004139-T1	
OG0011035	CTHSW_004140-T1	
OG0011036	CTHSW_004145-T1	
OG0011037	CTHSW_004153-T1	
OG0011038	CTHSW_004159-T1	
OG0011039	CTHSW_004160-T1	
OG0011040	CTHSW_004161-T1	
OG0011041	CTHSW_004162-T1	
OG0011042	CTHSW_004165-T1	
OG0011043	CTHSW_004188-T1	
OG0011044	CTHSW_004190-T1	
OG0011045	CTHSW_004204-T1	
OG0011046	CTHSW_004207-T1	
OG0011047	CTHSW_004209-T1	
